"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
107,"SulphurCrabsArmour","Humid Hive","Anfractuosité détrempée","Feuchter Schwarmbau","湿った巣","축축한 벌집","Colméia Humida","Отсыревшее убежище","Colmena húmeda","รังอับชื้น","潮穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
108,"SulphurCrabsWeapon","Humid Hive","Anfractuosité détrempée","Feuchter Schwarmbau","湿った巣","축축한 벌집","Colméia Humida","Отсыревшее убежище","Colmena húmeda","รังอับชื้น","潮穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
109,"SulphurCrabsTrinkets","Humid Hive","Anfractuosité détrempée","Feuchter Schwarmbau","湿った巣","축축한 벌집","Colméia Humida","Отсыревшее убежище","Colmena húmeda","รังอับชื้น","潮穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
110,"SulphurCrabsCurrency","Humid Hive","Anfractuosité détrempée","Feuchter Schwarmbau","湿った巣","축축한 벌집","Colméia Humida","Отсыревшее убежище","Colmena húmeda","รังอับชื้น","潮穴",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
111,"SulphurCampsiteGeneric","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
112,"SulphurCampsiteArmour","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
113,"SulphurCampsiteWeapon","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
114,"SulphurCampsiteTrinkets","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
115,"SulphurCampsiteCurrency","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
116,"SulphurCampsiteMaps","Wretched Camp","Camp en piteux état","Heruntergekommenes Lager","悲惨なキャンプ","초라한 야영지","Acampamento Miserável","Проклятый лагерь","Campamento precario","ค่ายชั่วช้า","淒涼營地",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
117,"SulphurSandTrinkets","Dust Vents","Geysers de poussière","Stauböffnungen","粉塵噴出孔","먼지 분출구","Respiradouros Empoeirados","Песчаное жерло","Fumarolas de polvo","ปล่องฝุ่นผง","風塵噴口",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
118,"SulphurSandCurrency","Dust Vents","Geysers de poussière","Stauböffnungen","粉塵噴出孔","먼지 분출구","Respiradouros Empoeirados","Песчаное жерло","Fumarolas de polvo","ปล่องฝุ่นผง","風塵噴口",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
119,"SulphurSandMaps","Dust Vents","Geysers de poussière","Stauböffnungen","粉塵噴出孔","먼지 분출구","Respiradouros Empoeirados","Песчаное жерло","Fumarolas de polvo","ปล่องฝุ่นผง","風塵噴口",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
120,"LightningGolemsGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
121,"LightningGolemsGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
122,"LightningGolemsLightning","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Lightning",[],[2],[50],"Contains Lightning Items","Présence d'Objets de foudre","Enthält Blitz-Gegenstände","雷アイテムがある","번개 아이템 포함","Contém Itens de Raio","Содержит предметы молнии","Contiene objetos de rayo","มีไอเทมสายฟ้า","包含閃電物品",0,[0],[0],[0],[100]
123,"CavernsChaosWarbands1","Renegade Camp","Camp de Déserteurs","Abtrünnigen-Lager","レネゲードのキャンプ","탈주자 야영지","Acampamento Renegado","Лагерь ренегатов","Campamento de renegados","ค่ายทรยศ","反叛營地",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandChaos",[],[2],[35],"Contains Chaos Items","Présence d'Objets du chaos","Enthält Chaos-Gegenstände","混沌アイテムがある","카오스 아이템 포함","Contém Itens de Caos","Содержит предметы хаоса","Contiene objetos de caos","มีไอเทมเคออส","包含混沌物品",0,[0],[0],[0],[100]
124,"MineSandTrinkets","Dusty Chamber","Cavité poussiéreuse","Staubige Kammer","埃っぽい広間","먼지 쌓인 방","Câmara Empoeirada","Пыльные покои","Cámara polvorienta","โพรงฝุ่นจับ","風塵密室",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[200]
125,"MineSandCurrency","Dusty Chamber","Cavité poussiéreuse","Staubige Kammer","埃っぽい広間","먼지 쌓인 방","Câmara Empoeirada","Пыльные покои","Cámara polvorienta","โพรงฝุ่นจับ","風塵密室",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
126,"MineAnimatedWeapon","Ringing Cavern","Caverne retentissante","Schallende Höhle","共鳴する洞窟","메아리치는 암굴","Caverna Ressonante","Звенящая пещера","Caverna resonante","ถ้ำก้องสะท้อน","歡鬧洞穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
127,"MineAnimatedArmour","Ringing Cavern","Caverne retentissante","Schallende Höhle","共鳴する洞窟","메아리치는 암굴","Caverna Ressonante","Звенящая пещера","Caverna resonante","ถ้ำก้องสะท้อน","歡鬧洞穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
128,"MineSkeletonGeneric","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
129,"MineSkeletonArmour","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
130,"MineSkeletonWeapon","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
131,"MineSkeletonTrinkets","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
132,"MineSkeletonGems","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
133,"MineSkeletonCurrency","Buried Camp","Camp enfoui","Verschüttetes Lager","葬られたキャンプ","매장된 야영지","Acampamento Enterrado","Погребенный лагерь","Campamento enterrado","ค่ายที่ถูกฝัง","隱匿營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
134,"MineRockGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
135,"MineRockGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
136,"MineChaosGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
137,"MineChaosGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
138,"MineAmplifierGeneric","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
139,"MineAmplifierArmour","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
140,"MineAmplifierWeapons","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
141,"MineAmplifierTrinkets","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Juwelen","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
142,"MineAmplifierGems","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
143,"MineAmplifierCurrency","Abandoned Amplifier","Amplificateur abandonné","Verlassener Verstärker","放棄された増幅器","버려진 증폭기","Amplificador Abandonado","Заброшенный усилитель","Amplificador abandonado","ทางขยายที่รกร้าง","遺棄增幅器",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
144,"MineSpiderGeneric","Webbed Mineshaft","Puits de mine entoilé","Spinnennetzbedeckter Schacht","蜘蛛の巣の張った縦坑","거미줄 덮인 갱도","Mastro Envolto em Teia","Опутанная штольня","Mina arácnida","ปล่องเหมืองอาบใย","織網豎井",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
145,"MineSpiderTrinkets","Webbed Mineshaft","Puits de mine entoilé","Spinnennetzbedeckter Schacht","蜘蛛の巣の張った縦坑","거미줄 덮인 갱도","Mastro Envolto em Teia","Опутанная штольня","Mina arácnida","ปล่องเหมืองอาบใย","織網豎井",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
146,"MineSpiderCurrency","Webbed Mineshaft","Puits de mine entoilé","Spinnennetzbedeckter Schacht","蜘蛛の巣の張った縦坑","거미줄 덮인 갱도","Mastro Envolto em Teia","Опутанная штольня","Mina arácnida","ปล่องเหมืองอาบใย","織網豎井",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
147,"MineCampsiteGeneric","Abandoned Camp","Camp abandonné","Verlassenes Lager","放棄されたキャンプ","버려진 야영지","Acampamento Abandonado","Заброшенный лагерь","Campamento abandonado","ค่ายรกร้าง","廢棄營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
148,"MineCampsiteArmour","Abandoned Camp","Camp abandonné","Verlassenes Lager","放棄されたキャンプ","버려진 야영지","Acampamento Abandonado","Заброшенный лагерь","Campamento abandonado","ค่ายรกร้าง","廢棄營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
149,"MineCampsiteWeapon","Abandoned Camp","Camp abandonné","Verlassenes Lager","放棄されたキャンプ","버려진 야영지","Acampamento Abandonado","Заброшенный лагерь","Campamento abandonado","ค่ายรกร้าง","廢棄營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
150,"MineCampsiteTrinkets","Abandoned Camp","Camp abandonné","Verlassenes Lager","放棄されたキャンプ","버려진 야영지","Acampamento Abandonado","Заброшенный лагерь","Campamento abandonado","ค่ายรกร้าง","廢棄營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
151,"MineCampsiteCurrency","Abandoned Camp","Camp abandonné","Verlassenes Lager","放棄されたキャンプ","버려진 야영지","Acampamento Abandonado","Заброшенный лагерь","Campamento abandonado","ค่ายรกร้าง","廢棄營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
152,"Beyond","Pulsating Grotto","Grotte vrombissante","Pulsierende Grotte","脈動する洞窟","고동치는 석굴","Gruta Pulsante","Пульсирующий грот","Gruta pulsante","อุโมงค์สั่นไหว","脈動石窟",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Beyond",[],[2],[10],"Contains Monsters from Beyond","Présence de Monstres d'Ailleurs","Enthält Monster aus dem Jenseits","ビヨンドモンスターがいる","이계 몬스터들 포함","Contém Itens do Além","Содержит монстров Иномирья","Contiene monstruos del más allá","มีมอนสเตอร์จากต่างมิติ","包含超越怪物",0,[0],[0],[0],[100]
153,"ForestRhoaGeneric","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
154,"ForestRhoaArmour","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
155,"ForestRhoaWeapon","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
156,"ForestRhoaTrinkets","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
157,"ForestRhoaCurrency","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
158,"ForestRhoaBlood","Nesting Grounds","Lieu de nidification","Nistplätze","営巣地","포개어진 대지","Local de Aninhamento","Гнездовье","Zona de anidación","ถิ่นทำรัง","築巢之地",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Blood",[],[2],[50],"Contains Physical Items","Présence d'Objets physiques","Enthält physische Gegenstände","物理アイテムがある","물리 아이템 포함","Contém Itens Físicos","Содержит физические предметы","Contiene objetos físicos","มีไอเทมกายภาพ","包含物理物品",0,[0],[0],[0],[100]
159,"ForestCampsiteGeneric","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
