"rownum","Id","SoundFile","BankFile","HASH16","IsAvailableInHideout","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MusicCategories","bool","i32"
181,"LegionBattle","Audio/Music/Legion/LegionBattle","Music27.bank",57890,1,"Legion","Legion","Legion","リージョン","군단","Legion","Легион","Legion","กองพัน","戰亂之殤","","","","","","","","","","","[0,13]",1,0
182,"LegionBattleResolve","Audio/Music/Legion/LegionBattleResolve","Music27.bank",57147,"","","","","","","","","","","","","","","","","","","","","",[],"",0
183,"LegionAmbient","Audio/Music/Legion/LegionAmbient","Music27.bank",44413,"","","","","","","","","","","","","","","","","","","","","",[],"",0
184,"BlightBattle","Audio/Music/Blight/Blight","Blight.bank",49040,1,"Blight","Blight","Blight","ブライト","역병","Blight","Скверна","Blight","ไบล์ท","凋落禁地","","","","","","","","","","","[0,13]",1,0
185,"BlightVictoryMusic","Audio/Music/Blight/BlightVictoryMusic","Blight.bank",38727,"","","","","","","","","","","","","","","","","","","","","",[],"",0
186,"BlightDefeatMusic","Audio/Music/Blight/BlightDefeatMusic","Blight.bank",8856,"","","","","","","","","","","","","","","","","","","","","",[],"",0
187,"BlightAmbient","Audio/Music/Blight/BlightAmbient","Blight.bank",25737,"","","","","","","","","","","","","","","","","","","","","",[13],"",0
188,"Metamorphosis","Audio/Music/Metamorphosis/Metamorphosis","Metamorphosis.bank",61056,1,"Metamorph","Metamorph","Metamorph","メタモルフ","변형","Metamorph","Метаморф","Metamorph","เมตามอร์ฟ","鍊獄幻魔","","","","","","","","","","","[0,13]",1,0
189,"Laboratory","Audio/Music/Metamorphosis/Laboratory","Metamorphosis.bank",4822,1,"Tane's Laboratory","Laboratoire de Tane","Tanes Laboratorium","ターネの研究所","테인의 연구실","Laboratório do Tane","Лаборатория Танэ","Laboratorio de Tane","ห้องทดลองของ ทาเน","塔恩的鍊金室","","","","","","","","","","","[13,1]",1,0
190,"DeliriumRegular","Audio/Music/Delirium/DeliriumRegular","Delirium.bank",30530,1,"Twisted Illusions","Illusions distordues","Bizarre Illusionen","ねじれた幻影","뒤틀린 환상","Ilusões Distorcidas","Искажённые иллюзии","Ilusiones retorcidas","Twisted Illusions","扭曲幻像","","","","","","","","","","",[13],1,0
191,"DeliriumBoss","Audio/Music/Delirium/DeliriumBoss","Delirium.bank",39309,1,"Delirium","Delirium","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","เดลิเรียม","譫妄異域","","","","","","","","","","","[0,13]",1,0
192,"DeliriumResolve","Audio/Music/Delirium/DeliriumResolve","Delirium.bank",63260,"","","","","","","","","","","","","","","","","","","","","",[],"",0
193,"HarvestCombat","Audio/Music/Harvest/HarvestCombat","Harvest.bank",33558,1,"Harvest Combat","Harvest - Combat","Harvest-Kampf","ハーベストコンバット","수확 전투","Combate Harvest","Жатва: схватка","Combate de Harvest","การต่อสู้ในฮาร์เวสต์","豐收戰鬥","","","","","","","","","","",[13],1,0
194,"HarvestBoss","Audio/Music/Harvest/HarvestBoss","Harvest.bank",5783,1,"Harvest Boss","Harvest - Boss","Harvest-Boss","ハーベストボス","수확 보스","Chefe Harvest","Жатва: босс","Jefe de Harvest","บอสฮาร์เวสต์","豐收頭目","","","","","","","","","","","[0,13]",1,0
195,"HarvestGarden","Audio/Music/Harvest/HarvestGarden","Harvest.bank",50259,1,"The Sacred Grove","Le Bosquet sacré","Der Heilige Hain","聖なる木立","신성한 숲","O Bosque Sagrado","Священная роща","El huerto sagrado","สวนศักดิ์สิทธิ์","聖殿密園","","","","","","","","","","","[13,1]",1,0
196,"HeistTrailer","Audio/Music/Heist/HeistTrailer","Heist.bank",64513,1,"Stick to the Plan","« On adhère au plan »","Haltet Euch an den Plan","計画実行","계획대로","Siga o Plano","Действуем по плану","Cíñete al plan","ตามแผนที่วางไว้","堅持計畫","","","","","","","","","","","[13,16]",1,0
197,"HeistHub","Audio/Music/Heist/HeistHub","Heist.bank",46526,1,"The Rogue Harbour","Le Port des Malfaiteurs","Der Hafen der Abtrünnigen","ローグハーバー","도둑 항구","O Porto dos Renegados","Разбойничья гавань","El puerto de los renegados","ท่าเรือโจร","盜賊港灣","","","","","","","","","","","[13,1]",1,0
198,"HeistPreFight","Audio/Music/Heist/HeistPreFight","Heist.bank",30337,"","","","","","","","","","","","","","","","","","","","","",[],"",0
199,"HeistBoss1Resolve","Audio/Music/Heist/HeistBoss1Resolve","Heist.bank",1992,"","","","","","","","","","","","","","","","","","","","","",[],"",0
200,"HeistBoss1","Audio/Music/Heist/HeistBoss1","Heist.bank",39946,1,"Vengeance","Vengeance","Vergeltung","復讐","복수","Vingança","Возмездие","Venganza","แก้แค้น","復仇","","","","","","","","","","","[0,13]",1,0
201,"HeistRegular","Audio/Music/Heist/HeistRegular","Heist.bank",14514,"","","","","","","","","","","","","","","","","","","","","",[],"",0
202,"HeistSuccess","Audio/Music/Heist/HeistSuccess","Heist.bank",2616,"","","","","","","","","","","","","","","","","","","","","",[],"",0
203,"HeistFailure","Audio/Music/Heist/HeistFailure","Heist.bank",65381,"","","","","","","","","","","","","","","","","","","","","",[],"",0
204,"HeistRegular2","Audio/Music/Heist/HeistRegular2","Heist.bank",48012,"","","","","","","","","","","","","","","","","","","","","",[],"",0
205,"UltimatumBoss","Audio/Music/Ultimatum/UltimatumBoss","Ultimatum.bank",25298,"","","","","","","","","","","","","","","","","","","","","",[],"",0
206,"UltimatumRegular","Audio/Music/Ultimatum/UltimatumRegular","Ultimatum.bank",44160,"","","","","","","","","","","","","","","","","","","","","",[],"",0
207,"UltimatumResolve","Audio/Music/Ultimatum/UltimatumResolve","Ultimatum.bank",20595,"","","","","","","","","","","","","","","","","","","","","",[],"",0
208,"UltimatumHideout","Audio/Music/Ultimatum/UltimatumHideout","Ultimatum.bank",18370,1,"Ultimatum","Ultimatum","Ultimatum","ウルティメイタム","결전","Ultimatum","Ультиматум","Ultimatum","คำขาด","最後通牒","","","","","","","","","","","[0,13]",1,0
209,"Expedition","Audio/Music/Expedition/Expedition","Expedition.bank",56999,1,"Expedition","Expedition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedition","กองสำรวจ","死境探險","","","","","","","","","","",[13],1,0
210,"Logbooks","Audio/Music/Expedition/Logbooks","Expedition.bank",12252,1,"Logbooks","Journal de bord","Logbücher","ログブック","일지","Diários de Bordo","Журналы","Registros","สมุดปูมเดินทาง","日誌","","","","","","","","","","",[13],1,0
211,"OlrothBoss","Audio/Music/Expedition/OlrothBoss","Expedition.bank",49595,"","","","","","","","","","","","","","","","","","","","","",[],"",0
212,"VoranaBoss","Audio/Music/Expedition/VoranaBoss","Expedition.bank",28046,1,"Expedition Boss","Boss d'Expedition","Expedition-Boss","エクスペディションボス","탐험 보스","Chefe Expedition","Босс Экспедиции","Jefe de Expedition","บอสกองสำรวจ","探險頭目","","","","","","","","","","","[0,13]",1,0
213,"MedvedBoss","Audio/Music/Expedition/MedvedBoss","Expedition.bank",41291,"","","","","","","","","","","","","","","","","","","","","",[],"",0
214,"ExpeditionTomb","Audio/Music/Expedition/ExpeditionTomb","Expedition.bank",39663,"","","","","","","","","","","","","","","","","","","","","",[],"",0
215,"UhtredBoss","Audio/Music/Expedition/UhtredBoss","Expedition.bank",31146,"","","","","","","","","","","","","","","","","","","","","",[],"",0
216,"Scourge","Audio/Music/Scourge/Scourge","Scourge.bank",55222,1,"Scourge","Scourge","Scourge","スカージ","스컬지","Scourge","Нашествие","Scourge","มิติอสูร","轉世災魘","","","","","","","","","","",[13],1,0
217,"Ritual","Audio/Music/Ritual/Ritual","Ritual.bank",61600,1,"Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","邪靈祭祀","","","","","","","","","","",[13],1,0
218,"OrionBoss","Audio/Music/AtlasRework/OrionBoss","AtlasReworkBoss.bank",16073,1,"The Awakener","L'Éveilleur","Der Erwecker","世界を覚醒させる者","각성자","O Precursor","Пробудитель","El Despertador","ผู้ทำให้โลกตื่น","喚醒者","","","","","","","","","","","[0,13]",1,0
219,"OrionAmbience","Audio/Music/AtlasRework/OrionAmbience","AtlasReworkAmbience.bank",18795,1,"Eye of the Storm","Œil du cyclone","Auge des Sturms","嵐の中心","태풍의 눈","Olho da Tempestade","Око Шторма","Ojo de la tormenta","ใจกลางพายุ","暴風之眼","","","","","","","","","","",[13],1,0
220,"EyrieBoss","Audio/Music/AtlasRework/EyrieBoss","AtlasReworkBoss.bank",63213,1,"The Redeemer","La Rédemptrice","Die Erlöserin","リディーマーの巣","대속자","O Redentor","Избавительница","La Redentora","ผู้พิชิตบาป","救贖者","","","","","","","","","","","[0,13]",1,0
221,"EyrieAmbience","Audio/Music/AtlasRework/EyrieAmbience","AtlasReworkAmbience.bank",23332,1,"Redeemer's Eyrie","Nid de la Rédemptrice","Nest der Erlöserin","リディーマーの巣","대속자의 고지","Eyrie Redentora","Гнездо Избавительницы","Nido de la Redentora","รังวิหคของผู้พิชิตบาป","救贖者的巢穴","","","","","","","","","","",[13],1,0
222,"CrusaderBoss","Audio/Music/AtlasRework/CrusaderBoss","AtlasReworkBoss.bank",34393,1,"The Crusader","Le Croisé","Der Kreuzritter","クルセイダーの聖所","십자군","O Cruzado","Крестоносец","El Cruzado","ผู้พิชิตอธรรม","聖戰軍王","","","","","","","","","","","[0,13]",1,0
223,"CrusaderAmbience","Audio/Music/AtlasRework/CrusaderAmbience","AtlasReworkAmbience.bank",28981,1,"Crusader's Sanctum","Sanctuaire du Croisé","Sanktum des Kreuzritters","クルセイダーの聖所","십자군의 성지","Santuário do Cruzado","Святилище Крестоносца","Santuario del Cruzado","สถานพำนักของผู้พิชิตอธรรม","聖戰軍王的聖所","","","","","","","","","","",[13],1,0
224,"BasiliskBoss","Audio/Music/AtlasRework/BasiliskBoss","AtlasReworkBoss.bank",41600,1,"The Hunter","Le Chasseur","Der Jäger","ハンター","사냥꾼","O Caçador","Охотник","El Cazador","ผู้พิชิตเหยื่อ","狩獵者","","","","","","","","","","","[0,13]",1,0
225,"BasiliskAmbience","Audio/Music/AtlasRework/BasiliskAmbience","AtlasReworkAmbience.bank",60284,1,"Hunter's Ambush","Embuscade du Chasseur","Hinterhalt des Jägers","ハンターの奇襲場所","사냥꾼의 매복지","Emboscada do Caçador","Засада Охотника","Emboscada del Cazador","ที่ซุ่มของผู้พิชิตเหยื่อ","狩獵者的埋伏","","","","","","","","","","",[13],1,0
226,"BasiliskResolve","Audio/Music/AtlasRework/BasiliskResolve","AtlasReworkResolve.bank",136,"","","","","","","","","","","","","","","","","","","","","",[],"",0
227,"AdjudicatorBoss","Audio/Music/AtlasRework/CrusaderBoss","AtlasReworkBoss.bank",1003,1,"The Warlord","Le Seigneur de guerre","Der Kriegsfürst","ウォーロード","전쟁군주","O Senhor da Guerra","Вождь","El Jefe de guerra","ผู้พิชิตศึก","總督軍","","","","","","","","","","","[0,13]","",0
228,"AdjudicatorAmbience","Audio/Music/AtlasRework/CrusaderAmbience","AtlasReworkAmbience.bank",47044,1,"Warlord's Keep","Donjon du Seigneur de guerre","Feste des Kriegsfürsten","ウォーロードの本拠地","전쟁군주의 성채","Fortaleza do Senhor da Guerra","Твердыня Вождя","Fortaleza del Jefe de guerra","คุ้มของผู้พิชิตศึก","總督軍的據點","","","","","","","","","","",[13],"",0
229,"CrusaderResolve","Audio/Music/AtlasRework/CrusaderResolve","AtlasReworkResolve.bank",809,"","","","","","","","","","","","","","","","","","","","","",[],"",0
230,"EyrieResolve","Audio/Music/AtlasRework/EyrieResolve","AtlasReworkResolve.bank",37785,"","","","","","","","","","","","","","","","","","","","","",[],"",0
231,"MavensKeep","Audio/Music/Maven/MavensKeep","Maven.bank",46429,1,"The Proving Ground","Le Terrain d'essai","Die Prüfung der Seherin","実験場","시험장","A Arena","Полигон","El terreno de pruebas","สถานพิสูจน์ฝีมือ","試煉場","","","","","","","","","","",[13],1,0
232,"MavenBoss","Audio/Music/Maven/MavenBoss","Maven.bank",32043,1,"Maven","La Prodige","Die Seherin","メイヴェン","메이븐","Maven","Мейвен","Especialista","เมเวน","釋界","","","","","","","","","","","[0,13]",1,0
233,"BossRush","Audio/Music/Maven/BossRush","Maven.bank",26087,1,"The Maven's Challenge","Le Défi de la Prodige","Die Herausforderung der Seherin","メイヴェンの挑戦状","메이븐의 도전과제","O Desafio de Maven","Испытание Мейвен","El desafío de la Especialista","การท้าทายของเมเวน","釋界的戰帖","","","","","","","","","","","[0,13]",1,0
234,"DarkStar","Audio/Music/AtlasScars/DarkStar","AtlasScars.bank",53980,1,"The Black Star","L'Astre noir","Der Schwarze Stern","黒き星","검은 별","A Estrela Negra","Чёрное солнце","La Estrella negra","ดวงดาวสีดำ","黯星","","","","","","","","","","","[0,13]",1,0
235,"CleansingFire","Audio/Music/AtlasScars/CleansingFire","AtlasScars.bank",55530,1,"The Searing Exarch","L'Exarque ardent","Der Brennende Exarch","灼熱の代行者","작열의 총주교","O Exarca Cauterizado","Пламенный экзарх","El Exarca abrasador","อุปราชอาบเพลิง","灼烙總督","","","","","","","","","","","[0,13]",1,0
236,"DoomPers","Audio/Music/AtlasScars/DoomPers","AtlasScars.bank",8948,1,"The Infinite Hunger","La Faim infinie","Der Unendliche Hunger","果てなき渇望","무한한 허기","A Fome Infinita","Неутолимый голод","El Hambre infinita","ความหิวโหยไม่รู้สิ้น","無盡渴望","","","","","","","","","","","[0,13]",1,0
237,"Tangle","Audio/Music/AtlasScars/Tangle","AtlasScars.bank",64740,1,"The Eater of Worlds","Le Mangeur de mondes","Der Weltenfresser","世界を喰らう者","세계 포식자","O Devorador de Mundos","Пожиратель миров","El Devorador de mundos","ผู้กลืนกินโลกา","吞噬天地","","","","","","","","","","","[0,13]",1,0
238,"AtlasBase","Audio/Music/AtlasScars/AtlasBase","AtlasScars.bank",61722,1,"The Last Outpost","Le Dernier avant-poste","Der letzte Außenposten","最後の前哨地","최후의 전초기지","O Último Posto Avançado","Последний аванпост","El Último puesto de avanzada","ด่านหน้าสุดท้าย","最後哨站","","","","","","","","","","","[13,1]",1,0
239,"Master_Track_01","Audio/Music/Masters/Trial.ogg","Music12.bank",2506,"","","","","","","","","","","","","","","","","","","","","",[],"",0
240,"Master_Track_02","Audio/Music/Masters/Trial_DriveLoop.ogg","Music12.bank",36331,"","","","","","","","","","","","","","","","","","","","","",[],"",0
241,"HallowedGroundUniqueMap","Audio/Music/HallowedGroundUniqueMap/HallowedGroundUniqueMap.ogg","Music16.bank",34133,"","","","","","","","","","","","","","","","","","","","","",[],"",0
242,"CaganMain","Audio/Music/Cagans_Map/Cagan_Main.ogg","Music11.bank",5548,"","","","","","","","","","","","","","","","","","","","","",[],"",0
243,"CaganBoss","Audio/Music/Cagans_Map/Cagan_Boss.ogg","Music11.bank",43877,"","","","","","","","","","","","","","","","","","","","","",[0],"",0
244,"Trailer_AngelsDemons","Audio/Music/MysteryBox/AngelsDemons","MysteryBox.bank",28899,1,"Angels & Demons","Anges & Démons","Engel & Dämonen","天使と悪魔","천사와 악마","Anjos e Demônios","Ангелы и демоны","Ángeles y demonios","Angels & Demons","天使惡魔","","","","","","","","","","",[16],1,0
245,"Trailer_Carnival","Audio/Music/MysteryBox/Carnival","MysteryBox.bank",14308,1,"Carnival","Carnaval","Nachtzirkus","カーニバル","카니발","Carnavel","Карнавал","Circense","Carnival","鬼島狂歡","","","","","","","","","","",[16],1,0
246,"Trailer_Frontier","Audio/Music/MysteryBox/Frontier","MysteryBox.bank",52543,1,"Frontier","Frontière","Grenzland","開拓地","개척자","Fronteira","Рубеж","Frontera","Frontier","失落邊境","","","","","","","","","","",[16],1,0
247,"Trailer_Polaris","Audio/Music/MysteryBox/Polaris","MysteryBox.bank",13648,1,"Polaris","Polaris","Polaris","北極星","폴라리스","Polar","Полярность","Polaris","โพลาริส","北極星辰","","","","","","","","","","",[16],1,0
248,"Trailer_Thaumaturgy","Audio/Music/MysteryBox/Thaumaturgy","MysteryBox.bank",32370,1,"Thaumaturgy","Thaumaturgie","Thaumaturgie","魔術","마석학","Taumaturgia","Техномант","Taumaturgia","Thaumaturgy","奇幻魔術","","","","","","","","","","",[16],1,0
249,"HallOfGrandmasters","Audio/Music/Masters/Trial.ogg","Music12.bank",5111,1,"Hall of Grandmasters","Assemblée des Grands-maîtres","Halle der Großmeister","グランドマスターの殿堂","명인의 전당(Hall of Grandmasters)","Salão dos Grão-Mestres","Зал великих мастеров","Salón de los Grandes Maestros","Hall of Grandmasters","元帥殿堂","","","","","","","","","","",[12],1,0
250,"EndGame_MusicBox","Audio/Music/EndGame_MusicBox/Music_Box_Level.ogg","Music9.bank",52832,1,"Acton's Nightmare","Cauchemar d'Acton","Actons Albtraum","アクトンの悪夢","액턴의 악몽(Acton's Nightmare)","Pesadelo de Acton","Кошмар Актоны","Pesadilla de Acton","Acton's Nightmare","輪迴的夢魘","","","","","","","","","","",[12],1,0
251,"PVPTrack1","Audio/Music/PVP/PVP_Track_1.ogg","Music10.bank",51202,1,"PvP","PvP","PvP","PvP","PvP","PvP","PvP","JcJ","PvP","PvP","","","","","","","","","","",[14],1,0
252,"Credits_Track_1","Audio/Music/Credits/Credits_01.ogg","Music9.bank",46745,"","","","","","","","","","","","","","","","","","","","","",[],"",0
253,"Credits_Track_2","Audio/Music/Credits/Credits_02.ogg","Music9.bank",25102,"","","","","","","","","","","","","","","","","","","","","",[],"",0
254,"Credits_Track_3","Audio/Music/Credits/Credits_03.ogg","Music10.bank",58192,"","","","","","","","","","","","","","","","","","","","","",[],"",0
255,"DeathResolve","Audio/Music/GeneralResolveSamples/DeathResolve","Music26.bank",24042,"","","","","","","","","","","","","","","","","","","","","",[],"",0
256,"HideoutForest","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",65379,1,"Lush Hideout","Repaire luxuriant","Versteckte Lichtung","緑豊かな隠れ家","우거진 은신처","Refúgio Exuberante","Лесное убежище","Guarida frondosa","ที่ซ่อน Lush","藏身處 - 富饒之地","","","","","","","","","","",[15],"",0
257,"HideoutArch","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",2401,1,"Robber's Trench Hideout","Repaire du fossé du voleur","Versteckter Graben","強盗の遺構の隠れ家","도둑의 참호 은신처","Refúgio Trincheira do Ladrão","Убежище на раскопках","Guarida escondite de ladrones","ที่ซ่อน Robber's Trench","藏身處 - 盜匪壕溝","","","","","","","","","","",[15],"",0
258,"HideoutBattleground","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",28470,1,"Battle-scarred Hideout","Repaire ravagé","Versteckter Übungsplatz","歴戦の隠れ家","전후 은신처","Refúgio de Batalha","Потрепанное убежище","Guarida arrasada por la guerra","ที่ซ่อน Battle-scarred","藏身處 - 槍痕彈域","","","","","","","","","","",[15],"",0
259,"HideoutBeach","Audio/Music/Act6_Encampment/Act6_Encampment.ogg","Music20.bank",33485,1,"Coastal Hideout","Repaire côtier","Versteckte Bucht","海岸の隠れ家","해안가 은신처","Refúgio Costal","Прибрежное убежище","Guarida costera","ที่ซ่อน Coastal","藏身處 - 濱海之岸","","","","","","","","","","",[15],"",0
260,"HideoutLibrary","Audio/Music/Act10_OriathDock/Act10_OriathDock.ogg","Music21.bank",8897,1,"Enlightened Hideout","Repaire spirituel","Versteckte Bibliothek","啓蒙された隠れ家","계몽의 은신처","Refúgio Iluminado","Убежище просвещения","Guarida iluminada","ที่ซ่อน Enlightened","藏身處 - 啟蒙館","","","","","","","","","","",[15],"",0
261,"HideoutGardens","Audio/Music/Labyrinth/dry_garden.ogg","Music15.bank",62863,1,"Overgrown Hideout","Repaire négligé","Versteckter Garten","鬱蒼とした隠れ家","무성한 은신처","Refúgio Coberto","Заросшее убежище","Guarida lozana","ที่ซ่อน Overgrown","藏身處 - 長草花園","","","","","","","","","","",[15],"",0
262,"HideoutSolaris","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",13485,1,"Immaculate Hideout","Repaire immaculé","Versteckter Tempel","純白の隠れ家","순백의 은신처","Refúgio Imaculado","Безупречное убежище","Guarida inmaculada","ที่ซ่อน Immaculate","藏身處 - 無瑕之殿","","","","","","","","","","",[15],"",0
263,"HideoutFellshrine","Audio/Music/Act7_Encampment/BridgeEncampment","Music26.bank",45200,1,"Unearthed Hideout","Repaire exhumé","Versteckte Ruine","掘り出された隠れ家","발굴된 은신처","Refúgio Desenterrado","Кладбищенское убежище","Guarida desenterrada","ที่ซ่อน Unearthed","藏身處 - 考古場","","","","","","","","","","",[15],"",0
264,"HideoutSlum","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",62635,1,"Backstreet Hideout","Repaire clandestin","Versteckter Hinterhof","裏通りの隠れ家","뒷골목 은신처","Refúgio Escondido","Убежище в подворотне","Guarida clandestina","ที่ซ่อน Backstreet","藏身處 - 羅雀後街","","","","","","","","","","",[15],"",0
265,"HideoutSewer","Audio/Music/Act10_OriathDock/Act10_OriathDock.ogg","Music21.bank",29226,1,"Undercity Hideout","Repaire souterrain","Versteckter Kanal","地下都市の隠れ家","지하도시 은신처","Refúgio da Cidade Subterrânea","Убежище под городом","Guarida subterránea","ที่ซ่อน Undercity","藏身處 - 地下城","","","","","","","","","","",[15],"",0
266,"HideoutMine","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",55535,1,"Excavated Hideout","Repaire creusé","Versteckte Mine","発掘された隠れ家","땅굴 은신처","Refúgio Escavado","Убежище в шахте","Guarida excavada","ที่ซ่อน Excavated","藏身處 - 礦坑","","","","","","","","","","",[15],"",0
267,"HideoutCourts","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",31968,1,"Stately Hideout","Repaire solennel","Versteckter Hof","堂々たる隠れ家","장엄한 은신처","Refúgio Imponente","Парадное убежище","Guarida majestuosa","ที่ซ่อน Stately","藏身處 - 莊嚴之室","","","","","","","","","","",[15],"",0
268,"HideoutCoral","Audio/Music/Act1_Encampment/Act1_Encampment.ogg","Music1.bank",18035,1,"Coral Hideout","Repaire corallien","Verstecktes Riff","サンゴの隠れ家","산호 은신처","Refúgio de Corais","Коралловое убежище","Guarida de coral","ที่ซ่อน Coral","藏身處 - 珊瑚礁岸","","","","","","","","","","",[15],"",0
269,"HideoutRuinedTemple","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",6122,1,"Baleful Hideout","Repaire maléfique","Versteckte Tempelruinen","悪意に満ちた隠れ家","사악한 은신처","Refúgio Sinisto","Мрачное убежище","Guarida siniestra","ที่ซ่อน Baleful","藏身處 - 凶宅","","","","","","","","","","",[15],"",0
270,"HideoutOasis","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",750,1,"Desert Hideout","Repaire désertique","Versteckte Oase","砂漠の隠れ家","사막 은신처","Refúgio do Deserto","Пустынное убежище","Guarida desértica","ที่ซ่อน Desert","藏身處 - 貧瘠之地","","","","","","","","","","",[15],"",0
271,"HideoutOssuary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",61235,1,"Skeletal Hideout","Repaire sépulcral","Verstecktes Ossuarium","骸骨の隠れ家","해골 은신처","Refúgio Esqueletal","Костяное убежище","Guarida ósea","ที่ซ่อน Skeletal","藏身處 - 骸骨墓場","","","","","","","","","","",[15],"",0
272,"HideoutBaths","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",55372,1,"Luxurious Hideout","Repaire luxueux","Verstecktes Badehaus","豪華な隠れ家","호화로운 은신처","Refúgio Luxuoso","Роскошное убежище","Guarida lujosa","ที่ซ่อน Luxurious Hideout","藏身處 - 奢華帝堡","","","","","","","","","","",[15],"",0
273,"HideoutTemplarLab","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",55414,1,"Cartographer's Hideout","Repaire du cartographe","Verstecktes Laboratorium","地図職人の隠れ家","지도제작자의 은신처","Refúgio do Cartógrafo","Убежище картографа","Guarida del cartógrafo","ที่ซ่อน Cartographer","藏身處 - 繪圖室","","","","","","","","","","",[15],"",0
274,"HideoutPillarsOfArun","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",65044,1,"Towering Hideout","Repaire surplombant","Versteckte Säulen","そびえ立つ隠れ家","높이 솟은 은신처","Refúgio da Torre","Убежище на возвышенности","Guarida encumbrada","ที่ซ่อน Towering","藏身處 - 高塔","","","","","","","","","","",[15],"",0
275,"HideoutAtziriArena","Audio/Music/Sacrifice/Atziri.ogg","Music11.bank",34352,1,"Corrupted Hideout","Repaire corrompu","Verstecktes Gewölbe","アトジリの隠れ家","타락한 은신처","Refúgio Corrompido","Осквернённое убежище","Guarida corrupta","ที่ซ่อน Corrupted","藏身處 - 腐化密殿","","","","","","","","","","",[15],"",0
276,"HideoutInnocenceArena","Audio/Music/Act5_OverseerTower/Act5_OverseerTower.ogg","Music18.bank",45610,1,"Innocent Hideout","Repaire innocent","Versteckte Halle","イノセンスの隠れ家","순수한 은신처","Refúgio da Inocência","Невинное убежище","Guarida inocente","ที่ซ่อน Innocent","藏身處 - 善淨神殿","","","","","","","","","","",[15],"",0
277,"HideoutShaperArena","Audio/Music/AtlasOfWorlds/AtlasShapersRealm.ogg","Music16.bank",41490,1,"Shaped Hideout","Repaire façonné","Versteckter Nexus","シェイパーの隠れ家","형성된 은신처","Refúgio Remodelado","Изменённое убежище","Guarida del Creador","ที่ซ่อน Shaped","藏身處 - 塑形幻域","","","","","","","","","","",[15],"",0
278,"HideoutKaomArena","Audio/Music/Act4_KaomsDream/Kaom_2.ogg","Music14.bank",26625,1,"Furious Hideout","Repaire volcanique","Versteckte Festung","カオムの隠れ家","분개한 은신처","Refúgio Furioso","Убежище ярости","Guarida furiosa","ที่ซ่อน Furious","藏身處 - 熔岩之所","","","","","","","","","","",[15],"",0
279,"HideoutDaressoArena","Audio/Music/Act4_Arena/DaressoArena.ogg","Music13.bank",49908,1,"Champion's Hideout","Repaire du Champion","Versteckte Arena","ダレッソの隠れ家","용사의 은신처","Refúgio do Campeão","Убежище чемпиона","Guarida del campeón","ที่ซ่อน Champion","藏身處 - 王者榮耀","","","","","","","","","","",[15],"",0
280,"HideoutDominusArena","Audio/Music/Act3_Sceptre/Sceptre_Of_God.ogg","Music8.bank",52081,1,"Indomitable Hideout","Repaire inexpugnable","Verstecktes Turmdach","ドミナスの隠れ家","불굴의 은신처","Refúgio Idomável","Убежище непокорности","Guarida indómita","ที่ซ่อน Indomitable","藏身處 - 神主之殿","","","","","","","","","","",[15],"",0
281,"HideoutPietyArena","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",41981,1,"Morbid Hideout","Repaire morbide","Verstecktes Versuchslabor","パイエティの隠れ家","소름 끼치는 은신처","Refúgio Mórbido","Ужасающее убежище","Guarida mórbida","ที่ซ่อน Morbid","藏身處 - 苦難之室","","","","","","","","","","",[15],"",0
282,"HideoutLunarisSolarisArena","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",37028,1,"Eclipsed Hideout (Twilight)","Repaire éclipsé (crépuscule)","Versteckter Altar (Zwielicht)","ソラリス・ルナリスの隠れ家 (黄昏)","그늘진 은신처 (황혼)","Refúgio Eclipsado (Crepúsculo)","Убежище затмения (сумерки)","Guarida eclipsada (atardecer)","ที่ซ่อน Eclipsed (พลบค่ำ)","藏身處 - 日月圓缺（暮光）","","","","","","","","","","",[15],"",0
