"rownum","MetamorphosisRewardTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32"
149,15,2,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
150,15,3,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
151,15,4,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
152,15,5,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
153,15,6,"Drops a Resonator","Cède un Résonateur","Lässt einen Resonator fallen","レゾネーターをドロップ","공명기를 떨어뜨림","Derruba um Ressonador","Бросает резонатор","Arroja un resonador","ดรอป ตัวสั่นพ้อง 1 ชิ้น","掉落一個鑄新儀",59711
154,16,0,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
155,16,1,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
156,16,2,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
157,16,3,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
158,16,4,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
159,16,5,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
160,16,6,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
161,16,7,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
162,16,8,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
163,16,9,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
164,16,10,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
165,16,11,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
166,16,12,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
167,16,13,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
168,16,14,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
169,16,15,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
170,16,16,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
171,16,17,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
172,16,18,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
173,16,19,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
174,16,20,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
175,16,21,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
176,17,0,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
177,17,1,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
178,17,2,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
179,17,3,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
180,17,4,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
181,17,5,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
182,17,6,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
183,17,7,"Drops additional Divination Cards","Cède des Cartes divinatoires supplémentaires","Lässt zusätzliche Weissagungskarten fallen","追加の占いカードをドロップ","점술 카드를 추가로 떨어뜨림","Derruba Cartas de Adivinhação adicionais","Бросает дополнительные гадальные карты","Arroja cartas de adivinación adicionales","ดรอป ไพ่พยากรณ์ เพิ่มเติม","掉落額外命運卡",56804
184,18,0,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
185,18,1,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
186,18,2,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
187,18,3,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
188,18,4,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨",46310
189,18,5,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
190,18,6,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
191,18,7,"Drops a Map Item","Cède un Objet cartographique","Lässt einen Kartengegenstand fallen","マップアイテムをドロップ","지도 아이템을 떨어뜨림","Derruba um Item Mapa","Бросает карту","Arroja un objeto de mapa","ดรอป ไอเทมแผนที่ 1 ชิ้น","掉落一張地圖",11032
192,18,8,"Drops additional Rare Jewellery","Cède des Accessoires rares supplémentaires","Lässt zusätzlichen seltenen Schmuck fallen","追加のレア宝飾品をドロップ","희귀 장신구를 추가로 떨어뜨림","Derruba Acessórios Raros adicionais","Бросает дополнительную редкую бижутерию","Arroja joyería rara adicional","ดรอป เครื่องประดับแรร์ เพิ่มเติม","掉落額外稀有飾品",24009
193,18,9,"Drops additional Rare Armour","Cède des Pièces d'armure rares supplémentaires","Lässt zusätzliche seltene Rüstungsgegenstände fallen","追加のレア防具をドロップ","희귀 방어구를 추가로 떨어뜨림","Derruba Armaduras Raras adicionais","Бросает дополнительные редкие доспехи","Arroja armaduras raras adicionales","ดรอป เกราะแรร์ เพิ่มเติม","掉落額外稀有護甲",17718
194,18,10,"Drops additional Rare Weapons","Cède des Armes rares supplémentaires","Lässt zusätzliche seltene Waffen fallen","追加のレア武器をドロップ","희귀 무기를 추가로 떨어뜨림","Derruba Armas Raras adicionais","Бросает дополнительное редкое оружие","Arroja armas raras adicionales","ดรอป อาวุธแรร์ เพิ่มเติม","掉落額外稀有武器",21643
195,18,11,"Drops additional Rare Weapons","Cède des Armes rares supplémentaires","Lässt zusätzliche seltene Waffen fallen","追加のレア武器をドロップ","희귀 무기를 추가로 떨어뜨림","Derruba Armas Raras adicionais","Бросает дополнительное редкое оружие","Arroja armas raras adicionales","ดรอป อาวุธแรร์ เพิ่มเติม","掉落額外稀有武器",21643
196,19,0,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
197,19,1,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
198,19,2,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
199,19,3,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
200,19,4,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
201,19,5,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
202,19,6,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
203,19,7,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
204,19,8,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
205,19,11,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
206,19,12,"Drops additional Rare Talismans","Cède des Talismans rares supplémentaires","Lässt zusätzliche seltene Talismane fallen","追加のレアタリスマンをドロップ","희귀 부적을 추가로 떨어뜨림","Derruba Talismãs Raros adicionais","Бросает дополнительные редкие талисманы","Arroja talismanes raros adicionales","ดรอป สร้อยเครื่องรางแรร์ เพิ่มเติม","掉落額外稀有魔符",61261
207,19,13,"Drops a Talisman Unique Item","Cède un Talisman unique","Lässt einen einzigartigen Talisman-Gegenstand fallen","タリスマンユニークアイテムをドロップ","부적 고유 아이템을 떨어뜨림","Derruba um item Talismã Único","Бросает уникальный талисман","Arroja un objeto único de Talisman","ดรอป สร้อยเครื่องรางยูนิค เพิ่มเติม","掉落一個傳奇魔符",28849
208,20,0,"Drops Enchanted Gloves","Cède des Gants enchantés","Lässt verzauberte Handschuhe fallen","エンチャントされた手袋をドロップ","인챈트된 장갑을 떨어뜨림","Derruba Luvas Encantadas","Бросает перчатки с зачарованием","Arroja guantes encantados","ดรอป ถุงมือที่มีเอนแชนท์ เพิ่มเติม","掉落附魔手套",33220
209,20,1,"Drops Enchanted Boots","Cède des Bottes enchantées","Lässt verzauberte Stiefel fallen","エンチャントされた靴をドロップ","인챈트된 장화를 떨어뜨림","Derruba Botas Encantadas","Бросает обувь с зачарованием","Arroja botas encantadas","ดรอป รองเท้าที่มีเอนแชนท์ เพิ่มเติม","掉落附魔鞋子",39486
210,20,2,"Drops an Enchanted Helmet","Cède un Casque enchanté","Lässt einen verzauberten Helm fallen","エンチャントされた兜をドロップ","인챈트된 투구를 떨어뜨림","Derruba um Elmo Encantado","Бросает шлем с зачарованием","Arroja un casco encantado","ดรอป หมวกที่มีเอนแชนท์ 1 ใบ","掉落一件附魔頭盔",45212
211,20,3,"Drops an Offering to the Goddess","Cède une Offrande à la déesse","Lässt eine Opfergabe an die Göttin fallen","女神への供物をドロップ","여신에게 바치는 공물을 떨어뜨림","Derruba uma Oferenda da Deusa","Бросает Подношение богине","Arroja una Ofrenda a la Diosa","ดรอป เครื่องเซ่นไหว้แด่เทพี 1 ชิ้น","掉落一個女神祭品",6531
212,20,4,"Drops an Enchanted Helmet","Cède un Casque enchanté","Lässt einen verzauberten Helm fallen","エンチャントされた兜をドロップ","인챈트된 투구를 떨어뜨림","Derruba um Elmo Encantado","Бросает шлем с зачарованием","Arroja un casco encantado","ดรอป หมวกที่มีเอนแชนท์ 1 ใบ","掉落一個附魔頭盔",45212
213,21,1,"Drops additional Legion Incubators","Cède des Incubateurs supplémentaires","Lässt zusätzliche Legion-Inkubatoren fallen","追加のリージョンインキュベーターをドロップ","군단 인큐베이터를 추가로 떨어뜨림","Derruba Incubadores Legion adicionais","Бросает дополнительные инкубаторы Легиона","Arroja incubadoras de Legion adicionales","ดรอป ตัวบ่มฟักกองพัน เพิ่มเติม","掉落額外戰亂培育器",3359
214,21,2,"Drops additional Legion Incubators","Cède des Incubateurs supplémentaires","Lässt zusätzliche Legion-Inkubatoren fallen","追加のリージョンインキュベーターをドロップ","군단 인큐베이터를 추가로 떨어뜨림","Derruba Incubadores Legion adicionais","Бросает дополнительные инкубаторы Легиона","Arroja incubadoras de Legion adicionales","ดรอป ตัวบ่มฟักกองพัน เพิ่มเติม","掉落額外戰亂培育器",3359
215,21,3,"Drops additional Legion Incubators","Cède des Incubateurs supplémentaires","Lässt zusätzliche Legion-Inkubatoren fallen","追加のリージョンインキュベーターをドロップ","군단 인큐베이터를 추가로 떨어뜨림","Derruba Incubadores Legion adicionais","Бросает дополнительные инкубаторы Легиона","Arroja incubadoras de Legion adicionales","ดรอป ตัวบ่มฟักกองพัน เพิ่มเติม","掉落額外戰亂培育器",3359
216,21,4,"Drops additional Legion Incubators","Cède des Incubateurs supplémentaires","Lässt zusätzliche Legion-Inkubatoren fallen","追加のリージョンインキュベーターをドロップ","군단 인큐베이터를 추가로 떨어뜨림","Derruba Incubadores Legion adicionais","Бросает дополнительные инкубаторы Легиона","Arroja incubadoras de Legion adicionales","ดรอป ตัวบ่มฟักกองพัน เพิ่มเติม","掉落額外戰亂培育器",3359
217,22,0,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
218,22,1,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
219,22,2,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
220,22,3,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
221,22,4,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
222,22,5,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
223,22,6,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
224,22,7,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
