"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
1146,"delve_antilight","",1,"","Darkness",[8118],"",3,"","","","",28,0,1,"",2,"",1,1,"",0,"","DelveAntiLightAura","","","","",4,"","",0,[],"","",[],"",[],[],[8118],[],"","","","","","",[],"",[]
1147,"herald_of_agony","You have additional chance to Poison and deal More Poison Damage.","",1,"Herald Of Agony","[3365,8124,8125]",1,3,"","","","",28,920,1,"",13,"",1,1,"",0,"","","",1,"","",4,"",1,0,[],"","",[],"",[],[8398],"[3365,8124,8125]",[],"","","","","","",[],"",[]
1148,"herald_of_agony_stack","Your Agony Crawler minion gains bonuses based on your Virulence. Virulence is lost over time.","","","Virulence","[8126,8127,8128,8129]",1,3,1,"","","",28,926,1,1,6,"",1,1,"",0,"","HeraldOfAgonyStack","","","","",4,"","",0,[],"","",[],"",[],[],"[8126,8127,8128,8129]",[],"","","","","","",[],"",[]
1149,"rain_of_spores_vines_aura","You're slowed and are taking Chaos Damage over time.","","","Toxic Rain Spore Pod","[8146,453]",1,1,1,"","","",28,773,"","",2,"",1,1,"",0,"","RainOfSporesAura",1,"","","",2,"","",0,[],"","",[],"",[],[],"[8146,453]",[],"","","","","","",[],"",[]
1150,"virulent_arrow_counter","You're charging an arrow with verdant energy.","","","Scourge Arrow",[8292],1,4,1,"","",1,28,933,1,1,6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8292],[],"","","","","","",[],"",[]
1151,"holy_relic_life_regen","You're regenerating life.","","","Holy Relic's Boon",[125],1,3,"","","","",28,919,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[125],[],"","","","","","",[],"",[]
1152,"unique_added_fire_damage_from_red_sockets","",1,"","","[43,44]",1,3,"","","","",28,940,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[43,44]",[],"","","","","","",[],"",[]
1153,"unique_added_cold_damage_from_green_sockets","",1,"","","[50,51]",1,3,"","","","",28,940,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[50,51]",[],"","","","","","",[],"",[]
1154,"unique_added_lightning_damage_from_blue_sockets","",1,"","","[57,58]",1,3,"","","","",28,940,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[57,58]",[],"","","","","","",[],"",[]
1155,"unique_added_chaos_damage_from_white_sockets","",1,"","","[64,65]",1,3,"","","","",28,940,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[64,65]",[],"","","","","","",[],"",[]
1156,"machinarium_fire_beam_damage","You are taking fire damage over time.","","","Doryani's Conflagration",[1975],1,3,"","","",1,28,670,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1157,"machinarium_fire_beam_debuff","You are taking increased fire damage the longer you are in the beam.","","","Doryani's Conflagration",[],1,1,"","","",1,28,669,1,"",2,"",1,1,"",0,"","AvariusBeamBuff","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1158,"reduced_enemy_fire_resistance_from_item","You have reduced Fire Resistance.","","","Fire Resistance Loss",[144],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[144],[],"","","","","","",[],"",[]
1159,"reduced_enemy_cold_resistance_from_item","You have reduced Cold Resistance.","","","Cold Resistance Loss",[146],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[146],[],"","","","","","",[],"",[]
1160,"reduced_enemy_lightning_resistance_from_item","You have reduced Lightning Resistance.","","","Lightning Resistance Loss",[148],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[148],[],"","","","","","",[],"",[]
1161,"reduced_enemy_chaos_resistance_from_item","You have reduced Chaos Resistance.","","","Chaos Resistance Loss",[150],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[150],[],"","","","","","",[],"",[]
1162,"increased_enemy_physical_damage_taken_from_item","You take increased Physical Damage.","","","Physical Damage Taken Increase",[545],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[545],[],"","","","","","",[],"",[]
1163,"reduced_enemy_fire_resistance_from_hellscape_item","You have reduced Fire Resistance.","","","Fire Resistance Loss",[144],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[144],[],"","","","","","",[],"",[]
1164,"reduced_enemy_cold_resistance_from_hellscape_item","You have reduced Cold Resistance.","","","Cold Resistance Loss",[146],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[146],[],"","","","","","",[],"",[]
1165,"reduced_enemy_lightning_resistance_from_hellscape_item","You have reduced Lightning Resistance.","","","Lightning Resistance Loss",[148],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[148],[],"","","","","","",[],"",[]
1166,"reduced_enemy_chaos_resistance_from_hellscape_item","You have reduced Chaos Resistance.","","","Chaos Resistance Loss",[150],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[150],[],"","","","","","",[],"",[]
1167,"increased_enemy_physical_damage_taken_from_hellscape_item","You take increased Physical Damage.","","","Physical Damage Taken Increase",[545],1,3,"","","","",28,938,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[545],[],"","","","","","",[],"",[]
1168,"unique_nearby_enemies_reduced_stun_recovery","You recover slower from being stunned.","","","Aul's Uprising",[221],1,3,"","","","",28,939,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[221],[],"","","","","","",[],"",[]
1169,"unique_nearby_enemies_increased_flask_charges","You provide extra flask charges when killed.","","","Aul's Uprising",[459],1,3,"","","","",28,939,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[459],[],"","","","","","",[],"",[]
1170,"unique_nearby_enemies_new_increased_chance_crit","Enemies have increased Critical Strike chance against you.","","","Aul's Uprising",[9040],1,3,"","","","",9,939,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9040],[],"","","","","","",[],"",[]
1171,"unique_nearby_enemies_increased_chance_crit","Enemies have increased Critical Strike chance against you.","","","Aul's Uprising",[9044],1,3,"","","","",9,939,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9044],[],"","","","","","",[],"",[]
1172,"unique_reduced_enemy_all_resistance","You have reduced Resistances.","","","Crown of the Tyrant",[7636],1,3,"","","","",28,939,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[7636],[],"","","","","","",[],"",[]
1173,"have_your_skills_crit_recently","",1,"","",[8275],"",9,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[8275],[],"","","","","","",[],"",[]
1174,"rain_of_spores_vines_aura_cap","",1,"","",[8293],1,3,"","","",1,28,0,"","",2,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8293],[],"","","","","","",[],"",[]
1175,"number_of_nearby_allies","",1,"","",[],1,3,"","","",1,28,0,"","",17,"",1,1,"",0,"","TrackNearbyTargets","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1176,"azurite_debuff","You are taking Cold Damage over time and have reduced Movement Speed.","","","Coated in Azurite","[1977,177]",1,4,1,8315,8314,1,28,937,1,"",2,"",1,1,"",0,"","AzuriteDebuff","","","","",2,"","",0,[],"","",[],"",[],[],"[1977,177]",[],"","","","","","",[],"",[]
1177,"delve_beast_buff","",1,"","","[10,11,477,177,24]",1,1,"","","","",28,614,"","",1,"",1,1,"",75,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[10,11,477,177,24]",[],"","","","","","",[],"",[]
1178,"gain_spirit_charges","",1,"","",[4931],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","GainSpiritCharges","","","","",4,"","",0,[],"","",[],"",[],[],[4931],[],"","","","","","",[],"",[]
1179,"delve_blackhole_aura","",1,"","Darkness",[8118],"",3,"","","","",28,0,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8118],[],"","","","","","",[],"",[]
1180,"life_regen_aura_from_ascendancy","",1,"","",[451],1,3,"","","","",28,0,1,"",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
1181,"delve_monster_no_darkness_immune","",1,"","",[8317],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8317],[],"","","","","","",[],"",[]
1182,"boss_life_multiplier","",1,"","",[8387],1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8387],[],"","","","","","",[],"",[]
1183,"lich_boss_obelisk_no_damage","",1,"","",[2970],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[2970],[],"","","","","","",[],"",[]
1184,"einhar_life_aura","Einhar is granting you life regeneration, life leech and life on kill.","","","Boon of the First Ones","[451,105,3308]",1,3,"","","","",28,944,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[451,105,3308]",[],"","","","","","",[],"",[]
1185,"bonechill","",1,"","","[8710,8402]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[8710,8402]",[],"","","","","","",[],"",[]
1186,"frost_fury_stage","Your Winter Orb has built up stages, letting you pelt nearby enemies with projectiles faster.","","","Winter Orb",[8407],1,3,1,"",8408,1,28,949,1,"",6,"",1,1,"",0,"","FrostFuryStage","","","","",4,"","",0,[],"","",[],"",[],[],[8407],[],"","","","","","",[],"",[]
1187,"impaled_debuff","You're impaled by a hit, and will take a portion of that reflected hit damage when you are hit again","","","Impaled",[8411],"",1,1,"","",1,28,942,1,1,2,"",1,1,"",0,"","ImpaledDebuff","","","","",3,"","",0,[],"","",[],"",[],[8683],[8411],[],"","","","","","",[],"",[]
1188,"conduit_sigil","You are Branded, firing beams which deal damage to you and those around you","","","Storm Brand","[477,17923]",1,1,1,"","",1,28,957,1,"",2,"",1,1,"",0,"","ActiveSigil","","","","",2,"","",0,[],"","",[],"",[],[],"[477,17923]",[],"","","","","","",[],"",[]
1189,"zana_player_bubble","You are protected by Zana. You will take no damage and cannot die.","","","Zana's Protection","[140,398]",1,3,"","","",1,28,943,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,398]",[],"","","","","","",[],"",[]
1190,"focus","You are focused. Item modifiers may provide bonuses based on this.","","","Focused",[8455],1,2,"","","",1,28,945,1,"",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[8455],[14553],"","","","","","",[],"",[]
1191,"bloodstained_banner_buff_aura","You have increased accuracy.","","","War Banner","[84,2603,1034,24,1903,451,18562]",1,3,"","","","",28,950,1,"",1,"",1,1,"",0,"","ActiveBanner","","","","",4,"","",0,[],"","",[],"",[],[],"[84,2603,1034,24,1903,451,18562]",[],"","","","","","",[],"",[]
1192,"bloodstained_banner_debuff_aura","Physical damage you take is increased.","","","War Banner",[545],1,3,"","","","",28,951,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[545],[],"","","","","","",[],"",[]
1193,"bloodstained_banner_stage","Your Banner is gaining stages while you carry it.","","","War Banner Stage",[],1,4,1,"",11786,1,28,956,1,"",17,"",1,1,"",50,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1194,"puresteel_banner_stage_cooldown","",1,"","",[],1,1,"","","",1,28,0,1,"",17,"","","","",5,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1195,"banner_add_stage_on_kill","",1,"","",[8463],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"",1,0,[],"","",[],"",[],[],[8463],[],"","","","","","",[],"",[]
1196,"puresteel_banner_buff_aura","Your attacks have a chance to impale enemies.","","","Dread Banner","[8413,8435,2603,1034,24,1903,451,18562]",1,3,"","","","",28,952,1,"",1,"",1,1,"",0,"","ActiveBanner","","","","",4,"","",0,[],"","",[],"",[],[],"[8413,8435,2603,1034,24,1903,451,18562]",[],"","","","","","",[],"",[]
1197,"puresteel_banner_debuff_aura","You are less accurate.","","","Dread Banner","[8475,12952]",1,3,"","","","",28,953,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[8475,12952]",[],"","","","","","",[],"",[]
1198,"puresteel_banner_stage","Your Banner is gaining stages while you carry it.","","","Dread Banner Stage",[],1,4,1,"",11787,1,28,956,1,"",17,"",1,1,"",50,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1199,"banner_add_stage_on_impale","",1,"","",[8464],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"",1,0,[],"","",[],"",[],[],[8464],[],"","","","","","",[],"",[]
1200,"arctic_breath_cold_damage_over_time","You are taking cold damage over time from Creeping Frost's chilling area","","","Creeping Frost","[1977,10877]",1,3,"","","","",28,975,"","",2,"",1,1,"",0,"","ArcticBreathDebuff","","","","",4,"","",0,[],"","",[],"",[],[],"[1977,10877]",[],"","","","","","",[],"",[]
1201,"shapers_presence","Effects on you and nearby allies expire slower.","",1,"Shaper's Presence",[8608],"",3,"","","","",28,961,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8608],[],"","","","","","",[],"",[]
1202,"have_used_a_shield_skill_recently","",1,"","",[8484],"",9,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[8484],[],"","","","","","",[],"",[]
1203,"trigger_skills_granted_by_item","",1,"","",[4931],"",1,"","","","",28,0,1,"",1,"",1,1,"",0,"","TriggerSkillsGrantedByItem","","","","",4,"","",0,[],"","",[],"",[],[],[4931],[],"","","","","","",[],"",[]
1204,"betrayal_zombie_enrage","",1,"","Enrage","[70,177,26,477]",1,3,"","","","",28,947,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,177,26,477]",[],"","","","","","",[],"",[]
1205,"secret_police_taser","You are being slowed by a charged net.","","","Charged Net",[346],"",3,"","","","",28,948,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[346],[],"","","","","","",[],"",[]
1206,"overpowered_reduced_block_chance","Your chance to block attack and spell hits is lowered.","","","Overpowered","[2089,1085]",1,1,"","","",1,28,971,"","",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[2089,1085]",[],"","","","","","",[],"",[]
1207,"cataclysm_sigil","You are Branded, causing fiery meteors to fall from the sky around you","","","Armageddon Brand","[477,17923]",1,1,1,"","",1,28,966,1,"",2,"",1,1,"",0,"","ActiveSigil","","","","",2,"","",0,[],"","",[],"",[],[],"[477,17923]",[],"","","","","","",[],"",[]
1208,"flask_life_leech_on_damage_taken","",1,"","",[8490],"",3,"","","","",28,0,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8490],[],"","","","","","",[],"",[]
1209,"betrayal_scientist_reflection_beam","You are taking Lightning Damage over Time","","","Scientist's Beam",[1979],1,3,"","","","",28,959,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1979],[],"","","","","","",[],"",[]
1210,"unique_life_regen_aura_from_block","You are regenerating Life","","","Life Regeneration Aura",[451],1,3,"","","","",28,979,1,"",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
1211,"have_rampaged_recently_buff","",1,"","",[8590],"",9,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[8590],[],"","","","","","",[],"",[]
1212,"increased_flask_charges_granted_while_bleeding","",1,"","",[459],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[459],[],"","","","","","",[],"",[]
1213,"summoned_spider_buff","Each of your Raised Spiders is granting you increased Attack Speed and increased Damage with Poison","","","Raised Spider","[70,3361]",1,1,"","","",1,28,963,1,"",1,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[70,3361]",[],"","","","","","",[],"",[]
1214,"unique_flask_vial_of_unlife","",1,"","Cinderswallow Urn","[8633,3308,6330,7123]",1,3,"","","","",28,0,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[8633,3308,6330,7123]",[],"","","","","","",[],"",[]
1215,"ignited_damage_increase","You take increased damage","","","Ignited Damage Increase",[477],"",3,"","","",1,28,965,"","",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
1216,"flask_bonus_life_regeneration_percent","You have additional Life Regeneration while this flask is in effect",1,"","Life Regeneration",[451],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
1217,"flask_bonus_stun_avoidance","You have a chance to Avoid being Stunned while this flask is in effect",1,"","Stun Avoidance",[6076],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[6076],[],"","","","","","",[],"",[]
1218,"flask_bonus_mana_cost","You have reduced Mana Cost of Skills while this flask is in effect",1,"","Mana Cost",[213],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[213],[],"","","","","","",[],"",[]
1219,"flask_bonus_critical_strike_chance","You have increased Critical Strike Chance while this flask is in effect",1,"","Critical Strike Chance",[554],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[554],[],"","","","","","",[],"",[]
1220,"scorched","Your elemental resistances are lowered.","","","Scorched",[141],"",13,"","","",1,17,976,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[141],[14546],"","",1,1,"","",[],"",[]
1221,"frostburn","Hits against you have additional critical strike chance","","","Brittle",[9041],"",13,"","","",1,20,977,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[9041],[14547],"","",1,1,"","",[],"",[]
1222,"sapped","You deal less damage.","","","Sapped",[8668],"",13,"","","",1,21,978,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[8668],[14548],"","",1,1,"","",[],"",[]
1223,"wither_nearby_enemies_every_second","",1,"","",[8682],"",3,"","","","",28,0,1,"",17,"","","","",0,"","WitherNearbyEnemies","","","","",4,"","",0,[],"","",[],"",[],[],[8682],[],"","","","","","",[],"",[]
1224,"freeze_nearby_chilled_enemies_every_4_seconds","",1,"","",[18718],"",3,"","","","",28,0,1,"",17,"","","","",0,"","FreezeNearbyChilledEnemies","","","","",4,"","",0,[],"","",[],"",[],[],[18718],[],"","","","","","",[],"",[]
1225,"armour_if_impaled_recently_aura","",1,"","",[116],1,3,"","","","",28,0,1,"",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[116],[],"","","","","","",[],"",[]
1226,"occultist_hit_damage_while_chilled","",1,"","",[8677],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8677],[],"","","","","","",[],"",[]
1227,"occultist_damage_over_time_dealt_while_hindered","",1,"","",[8678],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8678],[],"","","","","","",[],"",[]
1228,"champion_damage_against_impaled","You deal additional physical damage for each Impale on enemies you hit","","","Master of Metal","[8679,8680]",1,3,"","","",1,28,967,1,1,1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[8679,8680]",[],"","","","","","",[],"",[]
1229,"betrayal_banner_aura","",1,"","","[24,451,477]",1,3,"","","","",28,968,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[24,451,477]",[],"","","","","","",[],"",[]
1230,"betrayal_keema_enrage","",1,"","Enrage","[24,70,216]",1,3,"","","","",28,970,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[24,70,216]",[],"","","","","","",[],"",[]
1231,"ground_consecration_elreon","Grants Life Regeneration","","","Consecrated Ground","[451,745,6419,24,1034,13405,1277]",1,3,"","","","",28,972,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[451,745,6419,24,1034,13405,1277]",[3817],"","","","","","",[],"",[]
1232,"betrayal_hillock_buff","",1,"","","[24,477]","",3,"","","","",28,974,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[24,477]",[],"","","","","","",[],"",[]
1233,"catarina_graveyard_fire","You are taking fire damage","","","Ghostflame Graveyard",[1975],1,3,"","","","",28,981,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1234,"catarina_blackflame_ignite","Move to the active cemetery to complete the ritual to nullify Catarina's power.","","","Blackflame Ignite",[1975],1,11,"","","","",28,980,1,"",2,"",1,1,"",0,"","CatarinaBlackflameIgnite","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1235,"catarina_blackflame_aura","You are taking fire damage","","","Blackflame Ignite",[1975],1,3,"","","","",28,981,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1236,"critical_strike_multiplier_aura","You have additional Critical Strike Multiplier while near allies using Kingmaker",1,"","Kingmaker's Presence",[95],1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[95],[],"","","","","","",[],"",[]
1237,"catarina_ritual_aura","Stand in the cemetery with Blackflame Ignite to complete the ritual and nullify Catarina's power.","","","Ritual of Undeath",[],1,3,"","","","",28,982,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1238,"catarina_immunity","","","","",[140],1,3,"","","","",28,983,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[140],[],"","","","","","",[],"",[]
1239,"consecrated_ground_while_stationary","",1,"","",[],1,2,"","","",1,28,0,1,"",17,"",1,1,"",0,"","ConsecratedGroundWhileStationary","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1240,"double_damage_on_spell_cast","",1,"","",[8808],1,2,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8808],[],"","","","","","",[],"",[]
1241,"attack_and_cast_speed_on_attack","",1,"","",[1903],1,2,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1903],[],"","","","","","",[],"",[]
1242,"ground_consecration_enemy","You are on an enemy's Consecrated Ground.","","","Consecrated Ground","[9040,477]",1,3,"","","","",28,208,"","",2,"",1,1,"",0,"","RefreshWhenRemoved","","","","",4,"","",0,[],"","",[],"",[],[],"[9040,477]",[3817],"","","","","","",[],"",[]
1243,"soulrend","You are taking Chaos Damage over time.","","","Soulrend",[453],1,3,"","","",1,28,987,1,"",2,"",1,1,"",0,"","SoulrendDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
1244,"dark_ritual","You are taking Chaos Damage over time.","","","Bane","[453,12908]",1,3,"","","",1,28,990,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[453,12908]",[],"","","","","","",[],"",[]
1245,"storm_barrier_support_damage","You deal more Damage of types matching your Channelled Skill's Gem's tags","","","Infusion","[9852,8847,8846,8845,8848,11408,451]",1,2,"","","",1,28,991,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[9852,8847,8846,8845,8848,11408,451]",[],"","","","","","",[],"",[]
1246,"reduced_fire_resistance_from_skill","You have lowered Fire Resistance.","","","Fire Exposure",[144],1,13,"","","","",28,1002,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[144],[17431],"","","","","","",[],"",[]
1247,"reduced_cold_resistance_from_skill","You have lowered Cold Resistance.","","","Cold Exposure",[146],1,13,"","","","",28,1003,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[146],[17431],"","","","","","",[],"",[]
1248,"reduced_lightning_resistance_from_skill","You have lowered Lightning Resistance.","","","Lightning Exposure",[148],1,13,"","","","",28,1004,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[148],"[17431,18259]","","","","","","",[],"",[]
1249,"synthesis_camera_lens_debuff","You are slowed and taking Cold Damage over time","","","Void Lens","[1977,346]",1,3,"","","","",28,1025,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1977,346]",[],"","","","","","",[],"",[]
1250,"player_aura_spell_damage","Grants more spell damage, and increased spell critical strike chance. Create consecrated ground when you hit Rare or Unique enemies","",1,"Zealotry Aura","[8865,8866,556,7481,451,95,1034,24,1903,451,18562]",1,3,"","","","",28,993,1,"",1,"",1,1,"",0,"","","",1,"","",4,"",1,0,[],"","",[],"",[],[],"[8865,8866,556,7481,451,95,1034,24,1903,451,18562]",[],"","","","","","",[],"",[]
1251,"divine_tempest_stage","You're gathering energy from all around you, preparing to unleash it.","","","Divine Ire",[],1,4,1,"",8871,1,28,994,1,"",6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1252,"player_aura_damage_over_time","Grants more Damage over Time, and increased skill duration","",1,"Malevolence Aura","[8873,8872,18526,7565,1034,24,1903,451,18562]",1,3,"","","","",28,996,1,"",1,"",1,1,"",0,"","","",1,"","",4,"",1,0,[],"","",[],"",[],[],"[8873,8872,18526,7565,1034,24,1903,451,18562]",[],"","","","","","",[],"",[]
1253,"rapid_fire_charge","","","","[UNUSED] Not Currently Used",[],1,1,1,"","","",28,43,1,"",6,"",1,1,"",0,"","RapidFireCharge","","","","",1,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1254,"soulrend_cold","You are taking Cold Damage over time","","","Soulchill",[1977],1,3,"","","",1,28,998,1,"",2,"",1,1,"",0,"","SoulrendDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[1977],[],"","","","","","",[],"",[]
