"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
8776,"virtual_physical_damage_can_scorch","","","",4,"","","","","","","","","","","",1,"","","",-1175818054,[],"","","","",[20],[]
8777,"virtual_cold_damage_can_scorch","","","",4,"","","","","","","","","","","",1,"","","",-1675506829,[],"","","","",[20],[]
8778,"virtual_lightning_damage_can_scorch","","","",4,"","","","","","","","","","","",1,"","","",1279211033,[],"","","","",[20],[]
8779,"virtual_chaos_damage_can_scorch","","","",4,"","","","","","","","","","","",1,"","","",660246861,[],"","","","",[20],[]
8780,"virtual_physical_damage_can_inflict_brittle","","","",4,"","","","","","","","","","","",1,"","","",-263131098,[],"","","","",[20],[]
8781,"virtual_fire_damage_can_inflict_brittle","","","",4,"","","","","","","","","","","",1,"","","",-1103881575,[],"","","","",[20],[]
8782,"virtual_lightning_damage_can_inflict_brittle","","","",4,"","","","","","","","","","","",1,"","","",17477061,[],"","","","",[20],[]
8783,"virtual_chaos_damage_can_inflict_brittle","","","",4,"","","","","","","","","","","",1,"","","",1479243610,[],"","","","",[20],[]
8784,"virtual_physical_damage_can_sap","","","",4,"","","","","","","","","","","",1,"","","",-1859613561,[],"","","","",[20],[]
8785,"virtual_fire_damage_can_sap","","","",4,"","","","","","","","","","","",1,"","","",1951019748,[],"","","","",[20],[]
8786,"virtual_cold_damage_can_sap","","","",4,"","","","","","","","","","","",1,"","","",-1176754413,[],"","","","",[20],[]
8787,"virtual_chaos_damage_can_sap","","","",4,"","","","","","","","","","","",1,"","","",1627576724,[],"","","","",[20],[]
8788,"virtual_main_hand_accuracy_rating_+%","","","",1,"","","","","","","","","","","",1,"","","",2138997718,[],"","","",1,[35],[]
8789,"virtual_off_hand_accuracy_rating_+%","","","",1,"","","","","","","","","","","",1,"","","",261815558,[],"","","",1,[35],[]
8790,"non_ghost_minion_duration_+%",1,"","",1,"","","","","","","","","","","","","","",1,-581244180,[],"","","",1,[],[]
8791,"keystone_runebinder","","","",4,"","","","","","","","","","","","","","","",-534731460,[],"","","","",[],[]
8792,"brands_per_target_limit",1,"","",3,"","","","","","","","","","","",1,"","",1,-1122934811,[],"","","",1,[1],[]
8793,"play_debeons_dirge_sounds",1,"","",4,"","","","","","","","","","","","","","",1,771883923,[],"","","","",[],[]
8794,"virtual_total_main_hand_impale_on_hit_%_chance",1,"","",1,"","","","","","","","","","","",1,"","",1,786917456,[],"","","",1,[2],[]
8795,"virtual_total_off_hand_impale_on_hit_%_chance",1,"","",1,"","","","","","","","","","","",1,"","",1,1659292387,[],"","","",1,[2],[]
8796,"mirage_archer_art_variation","","","",3,"","","","","","","","","","","","","","","",-339212518,[],"","","","",[],[]
8797,"spell_rapid_fire_count",1,"","",3,"","","","","","","","","","",1,"","","",1,-950481678,[],"","","",1,[],[]
8798,"map_synthesis_league",1,"","",4,"","","","","","","","","","","","","","","",-809105879,[],"","","","",[],[]
8799,"mana_regeneration_rate_per_minute_while_on_consecrated_ground","","","",3,"","","","","","","","","","","","","","","",-463912474,[],"","","",1,[],[]
8800,"energy_shield_regeneration_rate_per_minute_while_on_consecrated_ground","","","",3,"","","","","","","","","","","","","","","",-1497489907,[],"","","",1,[],[]
8801,"consecrated_ground_additional_physical_damage_reduction_%","","","",1,"","","","","","","","","","","","","","","",-2106940815,[],"","","",1,[],[]
8802,"consecrated_ground_immune_to_status_ailments","","","",4,"","","","","","","","","","","","","","","",-1013662660,[],"","","","",[],[]
8803,"consecrated_ground_enemy_damage_taken_+%","","","",1,"","","","","","","","","","","","","","",1,-1824858950,[],"","","",1,[],[]
8804,"consecrated_ground_while_stationary_radius","","","",3,"","","","","","","","","","","","","","","",1029464813,[],"","","",1,[],[]
8805,"consecrated_ground_radius_on_hit_enemy_magic_rare_unique_every_3_seconds","","","",3,"","","","","","","","","","","","","","","",-1457910350,[],"","","",1,[],[]
8806,"consecrated_ground_on_hit_cooldown","","","",4,"","","","","","","","","","","","","","","",-1706517051,[],"","","","",[],[]
8807,"chance_to_deal_double_damage_for_3_seconds_on_spell_cast_every_9_seconds","","","",3,"","","","","","","","","","","","","","","",1999319220,[],"","","",1,[],[]
8808,"always_deal_double_damage","","","",4,"","","","","","","","","","","","","","","",1215714798,[],"","","","",[],[]
8809,"attack_and_cast_speed_+%_for_3_seconds_on_attack_every_9_seconds","","","",3,"","","","","","","","","","","","","","","",-564288720,[],"","","",1,[],[]
8810,"your_consecrated_ground_effect_lingers_for_ms_after_leaving_the_area","","","",3,"","","","","","","","","","","","","","","",1213210200,[],"","","",1,[],[]
8811,"spell_repeat_count_target_search_range","","","",3,"","","","","","","","","","",1,"","","",1,514000740,[],"","","",1,[],[]
8812,"arc_initial_distance",1,"","",3,"","","","","","","","","","",1,"","","",1,-1713626705,[],"","","",1,[],[]
8813,"arc_chain_distance",1,"","",3,"","","","","","","","","","",1,"","","",1,940859410,[],"","","",1,[],[]
8814,"virtual_maximum_energy_shield_leech_rate_permyriad_per_minute","","","",1,"","","","","","","","","","","",1,"","",1,-210062563,[],"","","",1,[0],[]
8815,"maximum_energy_shield_leech_rate_%_per_minute",1,"","",1,"","","","","","","","","","","","","","","",1285050135,[],9,"","",1,[],[]
8816,"base_energy_shield_leech_from_elemental_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,-437983370,[],9,"","",1,[],[]
8817,"virtual_energy_shield_leech_from_cold_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,-1232139021,[],"","","",1,[19],[]
8818,"base_energy_shield_leech_from_cold_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,511118041,[],9,"","",1,[],[]
8819,"virtual_energy_shield_leech_from_lightning_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,883549762,[],"","","",1,[19],[]
8820,"base_energy_shield_leech_from_lightning_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,188352913,[],9,"","",1,[],[]
8821,"virtual_energy_shield_leech_from_fire_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,-574768532,[],"","","",1,[19],[]
8822,"base_energy_shield_leech_from_fire_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,199539282,[],9,"","",1,[],[]
8823,"virtual_energy_shield_leech_from_spell_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,47401748,[],"","","",1,[3],[]
8824,"base_energy_shield_leech_from_spell_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,1376695428,[],9,"","",1,[],[]
8825,"cannot_have_energy_shield_leeched_from",1,"","",4,"Cannot be Energy Shield-Leeched","Immunité au Drain de Bouclier d'énergie","Monster können keinen Energieschild rauben","エナジーシールドリーチを受けることがない","에너지 보호막으로 흡수 불가능","Não pode ter seu Escudo de Energia Drenado","Иммунитет к похищению энергетического щита","No se puede absorber su Escudo de Energía","ไม่ถูก ดูดโล่พลังงาน","無法被偷取能量護盾","","","","","",-1660383011,[],"","","","",[],[]
8826,"cannot_leech_energy_shield",1,"","",4,"","","","","","","","","","","",1,"","",1,65079880,[],"","","","",[19],[]
8827,"resist_energy_shield_leech_%",1,"","",1,"","","","","","","","","","","","","","","",-1396162942,[],"","","",1,[],[]
8828,"base_energy_shield_leech_from_physical_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,-2064614227,[],9,"","",1,[],[]
8829,"base_energy_shield_leech_from_chaos_damage_permyriad","","","",1,"","","","","","","","","","","","","","",1,666992640,[],9,"","",1,[],[]
8830,"energy_shield_leech_on_any_damage_when_hit_permyriad",1,"","",3,"","","","","","","","","","","","","","",1,1570190330,[],9,"","",1,[],[]
8831,"virtual_energy_shield_leech_speed_+%",1,"","",1,"","","","","","","","","","","",1,"","",1,-1662246426,[],"","","",1,[0],[]
8832,"energy_shield_leech_speed_+%",1,"","",1,"Energy Shield Leech speed increase","Augmentation de vitesse de Drain de Bouclier d'énergie","Erhöhte Energieschildraub-Geschwindigkeit","エナジーシールドリーチスピード増加","에너지 보호막 흡수 속도 증가","Aumento da velocidade de Dreno de Escudo de Energia","Ускорение похищения энергетического щита","Aumento de velocidad de Absorción de Escudo de Energía","เพิ่มความเร็วในการ ดูดโล่พลังงาน","增加能量護盾偷取","","","","",1,907742633,[],9,"","",1,[],[]
8833,"map_monsters_energy_shield_leech_resistance_%",1,"","",1,"","","","","","","","","","","","","","","",-750365216,[],"","","",1,[],[]
8834,"dark_ritual_damage_+%_final_per_curse_applied","","","",1,"","","","","","","","","","","","","","",1,1958811373,[],"","","",1,[],[]
8835,"apply_linked_curses_with_dark_ritual","","","",4,"","","","","","","","","","","","","","",1,-1308819266,[],"",1,"","",[],[]
8836,"support_storm_barrier_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,194090773,[],"","","",1,[],[]
8837,"support_storm_barrier_fire_damage_taken_when_hit_+%_final","","","",1,"","","","","","","","","","","","","","",1,-2117514105,[],"","","",1,[],[]
8838,"support_storm_barrier_cold_damage_taken_when_hit_+%_final","","","",1,"","","","","","","","","","","","","","",1,-1020652061,[],"","","",1,[],[]
8839,"support_storm_barrier_chaos_damage_taken_when_hit_+%_final","","","",1,"","","","","","","","","","","","","","",1,2027250874,[],"","","",1,[],[]
8840,"support_storm_barrier_skill_type_damage_taken_when_hit_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,-1250241612,[],"","","",1,[],[]
8841,"support_storm_barrier_damage_buff_time_threshold_ms","","","",3,"","","","","","","","","","","","","","","",-2025890711,[],"","","",1,[],[]
8842,"support_storm_barrier_damage_buff_base_duration_ms","","","",3,"","","","","","","","","","","","","","","",-1482872004,[],"","","",1,[],[]
8843,"support_storm_barrier_damage_buff_duration_ms","","","",3,"","","","","","","","","","","",1,"","",1,-14145229,[],"","","",1,[34],[]
8844,"support_storm_barrier_skill_type_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,-1864022801,[],"","","",1,[],[]
8845,"support_storm_barrier_fire_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",-1384813985,[],"","","",1,[],[]
8846,"support_storm_barrier_cold_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",1653317761,[],"","","",1,[],[]
8847,"support_storm_barrier_lightning_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",2144434287,[],"","","",1,[],[]
8848,"support_storm_barrier_chaos_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",-1624740597,[],"","","",1,[],[]
8849,"sanctify_wave_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,1478298347,[],"","","",1,[],[]
8850,"additional_physical_damage_reduction_%_while_channelling","","","",1,"","","","","","","","","","","","","","","",-316811410,[],1,"","",1,[],[]
8851,"attack_and_cast_speed_+%_with_channelling_skills","","","",1,"","","","","","","","","","","","","","","",1634216974,[],1,"","",1,[],[]
8852,"avoid_stun_%_while_channelling","","","",1,"","","","","","","","","","","","","","","",-369235781,[],1,"","",1,[],[]
8853,"skill_mana_cost_+_with_channelling_skills","","","",3,"","","","","","","","","","","","","","","",-898763692,[],1,"","",1,[],[]
8854,"local_display_trigger_socketed_curses_on_casting_curse_%_chance","","","",1,"","","","","","","","","","","","","","","",546702913,[],"","","","",[],[]
8855,"energy_shield_leech_from_spell_damage_permyriad_per_curse_on_enemy","","","",1,"","","","","","","","","","","","","","",1,1104088189,[],"","","",1,[],[]
8856,"damage_+%_on_full_energy_shield","","","",1,"","","","","","","","","","","","","","",1,-1753693204,[],1,"","",1,[],[]
8857,"attack_and_cast_speed_+%_while_leeching_energy_shield","","","",1,"","","","","","","","","","","","","","","",1096637129,[],3,"","",1,[],[]
8858,"support_energy_shield_leech_damage_+%_while_leeching_energy_shield_final","","","",1,"","","","","","","","","","","","","","",1,1042013093,[],1,"","",1,[],[]
8859,"energy_shield_leech_from_any_damage_permyriad","","","",1,"Energy Shield Leech from any Damage","Drain de Bouclier d'énergie de n'importe quels Dégâts","Energieschildraub durch jeglichen Schaden","全てのダメージによるエナジーシールドリーチ","모든 피해를 에너지 보호막으로 흡수","Dreno de Escudo de Energia em qualquer tipo de Dano","Похищение энергетического щита от любого урона","Escudo de Energía Absorbido con cualquier Daño","ดูดโล่พลังงาน จากความเสียหาย ทุกชนิด","任何傷害偷取能量護盾","","","","",1,-1211633881,[],"","","",1,[],[]
8860,"support_energy_shield_leech_damage_+%_on_full_energy_shield_final","","","",1,"","","","","","","","","","","","","","",1,1929558811,[],"","","",1,[],[]
8861,"virtual_energy_shield_leech_from_physical_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,-1058565604,[],"","","",1,[19],[]
8862,"virtual_energy_shield_leech_from_chaos_damage_permyriad",1,"","",1,"","","","","","","","","","","",1,"","",1,-1969601246,[],"","","",1,[19],[]
8863,"mortar_projectile_scale_animation_speed_instead_of_projectile_speed","","","",4,"","","","","","","","","","",1,"","","",1,-479324378,[],"","","","",[],[]
8864,"create_consecrated_ground_on_kill_%","","","",1,"","","","","","","","","","","","","","","",-1881334932,[],"","","",1,[],[]
8865,"affected_by_spell_damage_aura","","","",4,"","","","","","","","","","","","","","","",-1844175332,[],"","","","",[],[]
8866,"spell_damage_aura_spell_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,-137642518,[],"","","",1,[],[]
8867,"hatred_aura_cold_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,402761413,[],"","","",1,[],[]
8868,"storm_burst_new_damage_+%_final_per_remaining_teleport_zap","","","",1,"","","","","","","","","","","","","","",1,1241890985,[],"","","",1,[],[]
8869,"divine_tempest_base_number_of_nearby_enemies_to_zap","","","",3,"","","","","","","","","","","","","","","",-49003594,[],"","","",1,[],[]
8870,"divine_tempest_hit_damage_+%_final_per_stage","","","",1,"","","","","","","","","","","","","","",1,1368875292,[],"","","",1,[],[]
8871,"divine_tempest_current_number_of_stages","","","",3,"","","","","","","","","","",1,"","","",1,-5839884,[],"",1,"",1,[],[]
8872,"delirium_aura_damage_over_time_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,-213131091,[],"","","",1,[],[]
8873,"affected_by_delirium","","","",4,"","","","","","","","","","","","","","","",-193411622,[],"","","","",[],[]
8874,"support_rapid_fire_repeat_count","","","",3,"","","","","","","","","","",1,"","","",1,-519560136,[],"","","",1,[],[]
8875,"is_rogue_exile",1,"","",4,"","","","","","","","","","","","","","","",-66401512,[],"","","","",[],[]
8876,"cast_speed_for_elemental_skills_+%","","","",1,"","","","","","","","","","","","","","","",-732637832,[],"","","",1,[],[]
8877,"fire_spell_physical_damage_%_to_convert_to_fire","","","",1,"","","","","","","","","","","","","","","",-536542147,[],1,"","",1,[],[]
8878,"lightning_spell_physical_damage_%_to_convert_to_lightning","","","",1,"","","","","","","","","","","","","","","",-1141034381,[],1,"","",1,[],[]
8879,"cold_spell_physical_damage_%_to_convert_to_cold","","","",1,"","","","","","","","","","","","","","","",2133764702,[],1,"","",1,[],[]
8880,"spell_physical_damage_%_to_convert_to_fire","","","",1,"","","","","","","","","","","","","","","",1933841460,[],1,"","",1,[],[]
8881,"energy_shield_leech_if_hit_is_at_least_25_%_fire_damage_permyriad","","","",1,"","","","","","","","","","","","","","","",1262430429,[],9,"","",1,[],[]
8882,"divine_tempest_stage_on_hitting_normal_magic_%_chance","","","",1,"","","","","","","","","","",1,"","","",1,-1592081024,[],"","","",1,[],[]
8883,"divine_tempest_stage_on_hitting_rare_unique","","","",4,"","","","","","","","","","",1,"","","",1,181432890,[],"","","","",[],[]
8884,"consecrated_ground_immune_to_curses","","","",4,"","","","","","","","","","","","","","",1,949159496,[],"","","","",[],[]
8885,"map_monster_chance_to_drop_item_creation_template_index","","","",3,"","","","","","","","","","","","","","","",-1457535710,[],"","","","",[],[]
8886,"support_rapid_fire_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,-965549350,[],"","","",1,[],[]
8887,"monster_chance_to_drop_item_creation_template_index",1,"","",4,"","","","","","","","","","","","","","","",298011947,[],"","","","",[],[]
8888,"map_synthesised_monster_chance_to_drop_item_creation_template_index",1,"","",3,"","","","","","","","","","","","","","","",1915999394,[],"","","","",[],[]
8889,"map_synthesised_rare_monster_chance_to_drop_item_creation_template_index",1,"","",3,"","","","","","","","","","","","","","","",1362141516,[],"","","","",[],[]
8890,"map_synthesised_magic_monster_chance_to_drop_item_creation_template_index",1,"","",3,"","","","","","","","","","","","","","","",-1250217385,[],"","","","",[],[]
8891,"curse_skill_effect_duration_+%","","","",1,"","","","","","","","","","","","","","","",-2033871094,[],6,"","",1,[],[]
8892,"dark_ritual_skill_effect_duration_+%_per_curse_applied","","","",1,"","","","","","","","","","","","","","",1,-626085296,[],"","","",1,[],[]
8893,"map_spawn_additional_chests_or_clusters_index","","","",3,"","","","","","","","","","","","","","","",1224728909,[],"","","","",[],[]
8894,"map_duplicate_x_rare_monsters",1,"","",3,"","","","","","","","","","","","","","","",-835925960,[],"","","",1,[],[]
8895,"map_additional_rare_in_rare_pack_%_chance",1,"","",1,"","","","","","","","","","","","","","","",-1900542753,[],"","","",1,[],[]
8896,"map_upgrade_pack_to_magic_%_chance",1,"","",1,"","","","","","","","","","","","","","","",1137983510,[],"","","",1,[],[]
8897,"map_upgrade_pack_to_rare_%_chance",1,"","",1,"","","","","","","","","","","","","","","",-385991635,[],"","","",1,[],[]
8898,"elemental_damage_%_to_add_as_chaos_per_shaper_item_equipped","","","",1,"","","","","","","","","","","","","","","",-1566201471,[],"","","",1,[],[]
8899,"hits_ignore_enemy_chaos_resistance_if_all_shaper_items_equipped","","","",4,"","","","","","","","","","","","","","","",1521807173,[],"","","","",[],[]
8900,"virtual_hits_ignore_enemy_chaos_resistance","","","",4,"","","","","","","","","","","",1,"","","",-361012439,[],"","","","",[18],[]
8901,"delirium_aura_effect_+%",1,"","",1,"","","","","","","","","","","","","","","",-1728054227,"[""damage_over_time_aura""]","","","",1,[],[]
8902,"delirium_mana_reservation_+%",1,"","",1,"","","","","","","","","","","","","","","",-1280429596,"[""damage_over_time_aura""]","","","",1,[],[]
8903,"delirium_reserves_no_mana",1,"","",4,"","","","","","","","","","","","","","","",1592693939,"[""damage_over_time_aura""]","","","","",[],[]
8904,"display_linked_curse_effect_+%","","","",1,"","","","","","","","","","","","","","",1,-1872693700,[],"","","",1,[],[]
8905,"local_unique_jewel_blight_applies_wither_for_ms_with_40_int_in_radius","",1,"",3,"","","","","","","","","","","","","","","",-626705319,[],"","","",1,[],[]
8906,"support_storm_barrier_fire_damage_+%_final_to_apply",1,"","",1,"","","","","","","","","","","",1,"","",1,-1031795865,[],"","","",1,[1],[]
8907,"support_storm_barrier_cold_damage_+%_final_to_apply",1,"","",1,"","","","","","","","","","","",1,"","",1,1733456220,[],"","","",1,[1],[]
8908,"support_storm_barrier_lightning_damage_+%_final_to_apply",1,"","",1,"","","","","","","","","","","",1,"","",1,-1055060306,[],"","","",1,[1],[]
8909,"support_storm_barrier_chaos_damage_+%_final_to_apply",1,"","",1,"","","","","","","","","","","",1,"","",1,695739326,[],"","","",1,[1],[]
8910,"support_storm_barrier_fire_damage_taken_+%_final_from_hits_while_channelling",1,"","",1,"","","","","","","","","","","",1,"","",1,-1691570428,[],"","","",1,[1],[]
8911,"support_storm_barrier_cold_damage_taken_+%_final_from_hits_while_channelling",1,"","",1,"","","","","","","","","","","",1,"","",1,1373225497,[],"","","",1,[1],[]
8912,"support_storm_barrier_lightning_damage_taken_+%_final_from_hits_while_channelling",1,"","",1,"","","","","","","","","","","",1,"","",1,-2037416972,[],"","","",1,[1],[]
8913,"support_storm_barrier_chaos_damage_taken_+%_final_from_hits_while_channelling",1,"","",1,"","","","","","","","","","","",1,"","",1,1735644971,[],"","","",1,[1],[]
8914,"damage_taken_per_250_strength_+%","","","",1,"","","","","","","","","","","","","","","",1065807730,[],"","","",1,[],[]
8915,"damage_taken_per_250_dexterity_+%","","","",1,"","","","","","","","","","","","","","","",928694776,[],"","","",1,[],[]
8916,"damage_taken_per_250_intelligence_+%","","","",1,"","","","","","","","","","","","","","","",1875878802,[],"","","",1,[],[]
8917,"enemies_explode_for_%_life_as_physical_damage","","","",1,"","","","","","","","","","","","","","","",-266748136,[],18,"","",1,[],[]
8918,"cold_damage_taken_+","","","",3,"","","","","","","","","","","","","","","",-537634910,[],"","","",1,[],[]
8919,"lightning_damage_taken_+","","","",3,"","","","","","","","","","","","","","","",-1484189800,[],"","","",1,[],[]
8920,"gain_power_or_frenzy_charge_for_each_second_channeling","","","",4,"","","","","","","","","","","","","","","",543994371,[],"","","","",[],[]
8921,"chance_to_evade_%_while_you_have_energy_shield","","","",1,"","","","","","","","","","","","","","","",239532950,[],"","","",1,[],[]
8922,"ghost_dance_current_stacks","","","",3,"","","","","","","","","","","","","","","",-1691791532,[],"","","",1,[],[]
8923,"ghost_dance_max_stacks","","","",3,"","","","","","","","","","","","","","","",754678431,[],"","","",1,[],[]
8924,"damage_taken_per_ghost_dance_stack_+%","","","",1,"","","","","","","","","","","","","","","",237395856,[],"","","",1,[],[]
8925,"attack_and_cast_speed_per_ghost_dance_stack_+%","","","",1,"","","","","","","","","","","","","","","",417216284,[],"","","",1,[],[]
8926,"cannot_be_stunned_if_you_have_ghost_dance","","","",4,"","","","","","","","","","","","","","","",1614196197,[],"","","","",[],[]
8927,"ghost_dance_restore_%_evasion_as_energy_shield_when_hit","","","",1,"","","","","","","","","","","","","","","",588410817,[],"","","",1,[],[]
8928,"cold_damage_+%_per_cold_resistance_above_75","","","",1,"","","","","","","","","","","","","","","",520525730,[],"","","",1,[],[]
8929,"lightning_damage_+%_per_lightning_resistance_above_75","","","",1,"","","","","","","","","","","","","","","",1735464706,[],"","","",1,[],[]
8930,"tertiary_skill_effect_duration","","","",3,"","","","","","","","","","",1,1,"","",1,-146316472,[],"","","",1,[34],[]
8931,"base_tertiary_skill_effect_duration",1,"","",3,"","","","","","","","","","","","","","","",388873363,[],"",1,"",1,[],[]
8932,"tertiary_skill_effect_duration_pluspercent","","","",3,"","","","","","","","","","","","","","","",-988273805,[],"","","",1,[],[]
8933,"support_spell_boost_area_damage_+%_final_per_charge","","","",1,"","","","","","","","","","","","","","",1,2001681206,[],"",1,"",1,[],[]
8934,"support_spell_boost_area_of_effect_+%_final_per_charge","","","",1,"","","","","","","","","","",1,"","","",1,-1443719657,[],"",1,"",1,[],[]
8935,"area_damage_+%_final_from_spell_boost_charges","","","",1,"","","","","","","","","","","","","","","",-1031548882,[],"","","",1,[],[]
8936,"map_synthesised_rare_monster_additional_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-840484553,[],"","","",1,[],[]
8937,"map_synthesised_magic_monster_additional_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-170336183,[],"","","",1,[],[]
8938,"map_synthesised_monster_additional_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-445306594,[],"","","",1,[],[]
8939,"map_synthesised_rare_monster_additional_quality_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-1814015587,[],"","","",1,[],[]
8940,"map_synthesised_magic_monster_additional_quality_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",2031405484,[],"","","",1,[],[]
8941,"map_synthesised_monster_additional_quality_currency_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-1871529109,[],"","","",1,[],[]
8942,"map_synthesised_rare_monster_fractured_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",-1007339593,[],"","","",1,[],[]
8943,"map_synthesised_magic_monster_fractured_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",-516967880,[],"","","",1,[],[]
8944,"map_synthesised_monster_fractured_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",488359760,[],"","","",1,[],[]
8945,"map_synthesised_rare_monster_items_drop_corrupted_%",1,"","",3,"","","","","","","","","","","","","","","",215220709,[],"","","",1,[],[]
8946,"map_synthesised_magic_monster_items_drop_corrupted_%",1,"","",3,"","","","","","","","","","","","","","","",742937022,[],"","","",1,[],[]
8947,"map_synthesised_monster_items_drop_corrupted_%",1,"","",3,"","","","","","","","","","","","","","","",791234372,[],"","","",1,[],[]
8948,"map_synthesised_rare_monster_map_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",-1298867922,[],"","","",1,[],[]
8949,"map_synthesised_magic_monster_map_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",-1124238154,[],"","","",1,[],[]
8950,"map_synthesised_monster_map_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",1526936741,[],"","","",1,[],[]
8951,"map_synthesised_rare_monster_additional_divination_card_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",41485596,[],"","","",1,[],[]
8952,"map_synthesised_magic_monster_additional_divination_card_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-260622402,[],"","","",1,[],[]
8953,"map_synthesised_monster_additional_divination_card_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",314293429,[],"","","",1,[],[]
8954,"map_synthesised_rare_monster_unique_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",350664808,[],"","","",1,[],[]
8955,"map_synthesised_magic_monster_unique_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",770863049,[],"","","",1,[],[]
8956,"map_synthesised_monster_unique_item_drop_chance_+%",1,"","",3,"","","","","","","","","","","","","","","",-339162444,[],"","","",1,[],[]
8957,"map_synthesised_rare_monster_dropped_item_quantity_+%",1,"","",3,"","","","","","","","","","","","","","","",-1751217452,[],"","","",1,[],[]
8958,"map_synthesised_magic_monster_dropped_item_quantity_+%",1,"","",3,"","","","","","","","","","","","","","","",1747616907,[],"","","",1,[],[]
8959,"map_synthesised_monster_dropped_item_quantity_+%",1,"","",3,"","","","","","","","","","","","","","","",-1248248255,[],"","","",1,[],[]
8960,"map_synthesised_rare_monster_dropped_item_rarity_+%",1,"","",3,"","","","","","","","","","","","","","","",-1381939739,[],"","","",1,[],[]
8961,"map_synthesised_magic_monster_dropped_item_rarity_+%",1,"","",3,"","","","","","","","","","","","","","","",-962447059,[],"","","",1,[],[]
8962,"map_synthesised_monster_dropped_item_rarity_+%",1,"","",3,"","","","","","","","","","","","","","","",306827788,[],"","","",1,[],[]
8963,"map_synthesised_rare_monster_slain_experience_+%",1,"","",3,"","","","","","","","","","","","","","","",771184672,[],"","","",1,[],[]
8964,"map_synthesised_magic_monster_slain_experience_+%",1,"","",3,"","","","","","","","","","","","","","","",962678886,[],"","","",1,[],[]
8965,"map_synthesised_monster_slain_experience_+%",1,"","",3,"","","","","","","","","","","","","","","",175104120,[],"","","",1,[],[]
8966,"map_synthesised_rare_monster_additional_currency_shard_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",1991179664,[],"","","",1,[],[]
8967,"map_synthesised_magic_monster_additional_currency_shard_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",1728242644,[],"","","",1,[],[]
8968,"map_synthesised_monster_additional_currency_shard_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-2110325399,[],"","","",1,[],[]
8969,"map_synthesised_rare_monster_additional_shaper_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",1308958024,[],"","","",1,[],[]
8970,"map_synthesised_magic_monster_additional_shaper_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",-817244338,[],"","","",1,[],[]
8971,"map_synthesised_monster_additional_shaper_item_drop_chance_%",1,"","",3,"","","","","","","","","","","","","","","",1409818813,[],"","","",1,[],[]
