"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid","NPCMasterKey","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
322,"Metadata/Monsters/KitavaBoss/InnocenceSin/Sin","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",11,[72],[73],18752,"","","",1,"","M",""
323,"Metadata/NPC/League/Betrayal/CadiroBetrayal","Cadiro Perandus","Cadiro Pérandus","Cadiro Perandus","カディーロ・ペランダス","카디로 페란두스","Cadiro Perandus","Кадиро Перандус","Cadiro Perandus","คาดิโร เพแรนดัส","卡迪羅．普蘭德斯","Metadata/NPC/NPC","","","Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",0,[55],[56],34902,"","","",1,22,"M",""
324,"Metadata/NPC/Info/TutorialNPC","Tutorial NPC","PNJ de tutoriel","Tutorial NSC","チュートリアルNPC","튜토리얼 NPC","NPC do Tutorial","Обучающие НИП","PNJ del Tutorial","NPC บทช่วยสอน","引導教學 NPC","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],48445,"","","",1,"","F",""
325,"Metadata/NPC/League/Incursion/TreasureHunterWild","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra Exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[77],[78],23273,"","","",1,"","F",""
326,"Metadata/NPC/League/Incursion/TreasureHunterHideout","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra Exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[77],[78],62719,"","",1,1,"","F",""
327,"Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra Exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","","","Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[],[],53693,"","","",1,"","F",""
328,"Metadata/Monsters/LeagueIncursion/Alva","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra Exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[],[],42745,"","","",1,"","F",""
329,"Metadata/NPC/League/Delve/DelveMiner","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",10695,"","",1,1,"","M",""
330,"Metadata/NPC/League/Delve/DelveMinerWildVein","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",4175,"","","",1,"","M",""
331,"Metadata/NPC/League/Delve/DelveMinerWildChest","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",13335,"","","",1,"","M",""
332,"Metadata/NPC/League/Delve/DelveMinerHub","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",25055,"","","",1,"","M",""
333,"Metadata/NPC/League/Delve/DelveMinerMine","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",42683,"","","",1,"","M",""
334,"Metadata/NPC/League/Delve/DelveMinerHideout","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las Profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",18545,"","",1,1,"","M",""
335,"Metadata/NPC/League/Betrayal/BetrayalNinjaCop","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de Encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],19427,"","",1,1,"","F",""
336,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopRaid","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de Encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],47887,"","","",1,"","F",""
337,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopHideout","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de Encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],39513,"","",1,1,"","F",""
338,"Metadata/NPC/Missions/HelenaClaim","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",0,[24],[25],230,"","","",1,"","F",""
339,"Metadata/NPC/Missions/Hideout/Helena","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",0,[24],[25],31707,"","",1,1,"","F",""
340,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCop","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de Encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],39471,"","","",1,"","F",""
341,"Metadata/NPC/League/Incursion/TreasureHunter","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra Exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[77],[78],40874,"","",1,1,"","F",""
342,"Metadata/Monsters/LeagueBetrayal/BetrayalCatarina1","Catarina, Master of Undeath","Catarina, Maîtresse de la Non-mort","Catarina, Meisterin der Untoten","不死の支配者、カタリナ","불사의 주인 카타리나","Catarina, Mestre dos Mortos","Катарина, Мастер бессмертия","Catarina, Maestra de los Muertos","คาทาริน่า มาสเตอร์ไร้วันตาย","永生大師卡塔莉娜","Metadata/Monsters/LeagueBetrayal/BetrayalCatarina","","","Catarina","Catarina","Catarina","カタリナ","카타리나","Catarina","Катарина","Catarina","คาทาริน่า","卡塔莉娜",0,[],[],23361,"","","",1,"","F",""
343,"Metadata/Monsters/LeagueBetrayal/BetrayalHaku","Haku, Warmaster","Haku, Maître de la Guerre","Haku, Kriegsmeister","戦争の達人、ハク","전쟁의 대가 하쿠","Haku, Mestre da Guerra","Хаку, Мастер войны","Haku, Maestro de Guerra","ฮาคู มาสเตอร์สงคราม","戰爭大師哈庫","Metadata/Monsters/LeagueBetrayal/BetrayalHaku","","","Haku","Haku","Haku","ハク","하쿠","Haku","Хаку","Haku","ฮาคู","哈庫",0,[],[],6012,"","","",1,"","M",""
344,"Metadata/Monsters/LeagueBetrayal/BetrayalElreon","Elreon, Light's Judge","Elréon, Juge de la Lumière","Elreon, Richter des Lichts","光の審判者、エルレオン","빛의 심판자 엘레온","Elreon, Juiz da Luz","Элреон, Судья Света","Elreon, Juez de la Luz","เอล์เรออน ตุลาการแสงสว่าง","光明判吏艾爾雷恩","Metadata/Monsters/LeagueBetrayal/BetrayalElreon","","","Elreon","Elréon","Elreon","エルレオン","엘레온","Elreon","Элреон","Elreon","เอล์เรออน","艾爾雷恩",0,[],[],11699,"","","",1,"","M",""
345,"Metadata/Monsters/LeagueBetrayal/BetrayalTora","Tora, the Culler","Tora, l'Hécatombe","Tora die Ausmerzerin","淘汰する者、トーラ","감별사 토라","Tora, a Finalizadora","Тора, Отстрельщик","Tora, la Cazadora","ทอร่า ผู้คัดสรรชีวี","撲殺者托菈","Metadata/Monsters/LeagueBetrayal/BetrayalTora","","","Tora","Tora","Tora","トーラ","토라","Tora","Тора","Tora","ทอร่า","托菈",0,[],[],39557,"","","",1,"","F",""
346,"Metadata/Monsters/LeagueBetrayal/BetrayalVagan","Vagan, Victory's Herald","Vagan, Héraut de la Victoire","Vagan, Herold des Sieges","勝利の先駆者、ヴェイガン","승리의 전령 베이건","Vagan, Arauto da Vitória","Ваган, Вестник победы","Vagan, Heraldo de Victoria","เวแกน ผู้นำสาส์นครองชัย","勝利之捷瓦甘","Metadata/Monsters/LeagueBetrayal/BetrayalVagan","","","Vagan","Vagan","Vagan","ヴェイガン","베이건","Vagan","Ваган","Vagan","เวแกน","瓦甘",0,[],[],63134,"","","",1,"","M",""
347,"Metadata/Monsters/LeagueBetrayal/BetrayalVorici","Vorici, Silent Brother","Vorici, Frère du Silence","Vorici, Bruder des Schweigens","沈黙の同胞、ヴォリーチ","침묵의 수사 보리치","Vorici, Irmão Silencioso","Воричи, Безмолвный брат","Vorici, Hermano Silencioso","วอรีชี ภราดรผู้เงียบงัน","靜默者瓦里西","Metadata/Monsters/LeagueBetrayal/BetrayalVorici","","","Vorici","Vorici","Vorici","ヴォリーチ","보리치","Vorici","Воричи","Vorici","วอรีชี","瓦里西",0,[],[],38575,"","","",1,"","M",""
348,"Metadata/Monsters/LeagueBetrayal/BetrayalHillock_","Hillock, the Blacksmith","Hillock, le Forgeron","Hillock der Schmied","鍛冶屋、ヒロック","대장장이 힐록","Hillock, o Ferreiro","Хиллок, Кузнец","Hillock, el Herrero","ฮิลล็อค ช่างตีเหล็ก","惡靈鐵匠西拉克","Metadata/Monsters/LeagueBetrayal/BetrayalHillock","","","Hillock","Hillock","Hillock","ヒロック","힐록","Hillock","Хиллок","Hillock","ฮิลล็อค","西拉克",0,[],[],5225,"","","",1,"","M",""
349,"Metadata/Monsters/LeagueBetrayal/BetrayalLeo","Leo, Wolf of the Pits","Léo, le Loup des Fosses","Leo, Wolf der Gruben","闘拳場の狼、リオ","구덩이의 늑대 레오","Leo, Lobo dos Fossos","Лео, Волк бойцовских ям","Leo, Lobo de loz Pozos","ลีโอ หมาป่าจ้าวสังเวียน","狼嚎里歐","Metadata/Monsters/LeagueBetrayal/BetrayalLeo","","","Leo","Léo","Leo","リオ","레오","Leo","Лео","Leo","ลีโอ","里歐",0,[],[],2887,"","","",1,"","M",""
350,"Metadata/Monsters/LeagueBetrayal/BetrayalGrenn","Guff \""Tiny\"" Grenn","Guff Grenn, « le Gringalet »","Guff \""Winzling\"" Grenn","ガフ「タイニー」グレン","\""조그만\"" 거프 그렌","Guff \""Pequeno\"" Grenn","Гафф \""Малыш\"" Гренн","Guff \""Pequeño\"" Grenn","กัฟ \""ไอ้จ้อย\"" เกรนน์","哥夫．泰尼．格林","Metadata/Monsters/LeagueBetrayal/BetrayalGrenn","","","Guff","Guff","Guff","ガフ","거프","Guff","Гафф","Guff","กัฟ","哥夫",0,[],[],18061,"","","",1,"","M",""
351,"Metadata/Monsters/LeagueBetrayal/BetrayalJanus","Janus Perandus","Janus Pérandus","Janus Perandus","ヤーネス・ペランダス","야누스 페란두스","Janus Perandus","Янус Перандус","Janus Perandus","ยานัส เพแรนดัส","傑納斯．普蘭德斯","Metadata/Monsters/LeagueBetrayal/BetrayalJanus","","","Janus","Janus","Janus","ヤーネス","야누스","Janus","Янус","Janus","ยานัส","傑納斯",0,[],[],40672,"","","",1,"","M",""
352,"Metadata/Monsters/LeagueBetrayal/BetrayalBreach","It That Fled","La Chose qui a fui","Es, das entkam","逃げたもの","달아난 그것","Coisa Fugitiva","То-Что-Сбежало","Eso que escapó","มันผู้หลบหนี","竄逃之彼","Metadata/Monsters/LeagueBetrayal/BetrayalBreach","","","It That Fled","La Chose","Es, das entkam","逃げたもの","달아난 그것","It That Fled","То-Что-Сбежало","Eso que escapó","มันผู้หลบหนี","竄逃之彼",0,[],[],54412,"","","",1,"","N",""
353,"Metadata/Monsters/LeagueBetrayal/BetrayalGravicius","Gravicius Reborn","Gravicius, le Ressuscité","Gravicius, Wiedergeborener","転生したグラヴィシウス","부활한 그라비시우스","Gravicius Renascido","Гравиций Возрождённый","Gravicius Renacido","กราวิเชียสผู้เกิดใหม่","重生者格拉維奇","Metadata/Monsters/LeagueBetrayal/BetrayalGravicius","","","Gravicius","Gravicius","Gravicius","グラヴィシウス","그라비시우스","Gravicius","Гравиций","Gravicius","กราวิเชียส","格拉維奇",0,[],[],44443,"","","",1,"","M",""
354,"Metadata/Monsters/LeagueBetrayal/BetrayalThane","Thane Jorgin the Banished","Thane Jorgin, le Banni","Thane Jorgin der Verstoßene","追放された族長、ジョーギン","추방자 테인 요르긴","Thane Jorgin, o Banido","Тан Йоргин Изгнанный","Thane Jorgin el Desterrado","เธน จอร์กิน ผู้ถูกขับไล่","放逐者領主喬恩","Metadata/Monsters/LeagueBetrayal/BetrayalThane","","","Jorgin","Jorgin","Jorgin","ジョーギン","요르긴","Jorgin","Йоргин","Jorgin","จอร์กิน","喬恩",0,[],[],11053,"","","",1,"","M",""
355,"Metadata/Monsters/LeagueBetrayal/BetrayalKeema","Korell Goya, Son of Stone","Korell Goya, Fils de la Pierre","Korell Goya, Sohn des Steins","石の息子、コレル・ゴイヤ","돌의 아들 코렐 고야","Korel Goya, Filho da Pedra","Корелл Гойя, Сын камня","Korell Goya, Hijo de Piedra","คอเรลล์ โกยา บุตรศิลา","石之子庫歐．果雅","Metadata/Monsters/LeagueBetrayal/BetrayalKeema","","","Korell","Korell","Korell","コレル","코렐","Korell","Корелл","Korell","คอเรลล์","庫歐",0,[],[],2070,"","","",1,"","M",""
356,"Metadata/Monsters/LeagueBetrayal/BetrayalRin","Rin Yuushu","Rin Yuushu","Rin Yuushu","リン・ユウシュ","린 유슈","Rin Yuushu","Рин Юушу","Rin Yuushu","ริน ยูชู","琳．依休","Metadata/Monsters/LeagueBetrayal/BetrayalRin","","","Rin","Rin","Rin","リン","린","Rin","Рин","Rin","ริน","琳",0,[],[],57950,"","","",1,"","M",""
357,"Metadata/Monsters/LeagueBetrayal/BetrayalCameria","Cameria the Coldblooded","Caméria, le Sans-pitié","Cameria der Kaltblütige","冷血のカミリア","냉혈한 카메리아","Cameria, o Sangue Frio","Камериа Хладнокровный","Cameria el Sangrefría","คามีเรียผู้เลือดเย็น","冷血卡麥歷亞","Metadata/Monsters/LeagueBetrayal/BetrayalCameria","","","Cameria","Caméria","Cameria","カミリア","카메리아","Cameria","Камериа","Cameria","คามีเรีย","卡麥歷亞",0,[],[],34330,"","","",1,"","M",""
358,"Metadata/Monsters/LeagueBetrayal/BetrayalAislin","Aisling Laffrey, The Silent Butcher","Aisling Laffrey, la Démembreuse furtive","Aisling Laffrey, die lautlose Schlächterin","静かな虐殺者、アシュリング・ラフリー","침묵의 도살자 아이슬링 라프리","Aisling Laffrey, o Açougueiro Silencioso","Ашлинг Лаффрей, Безмолвный палач","Aisling Laffrey, la Carnicera Silenciosa","แอชลิ่ง แลฟฟรีย์ นักเชือดผู้เงียบงัน","寂靜屠夫愛斯林．勞佛瑞","Metadata/Monsters/LeagueBetrayal/BetrayalAislin","","","Aisling","Aisling","Aisling","アシュリング","아이슬링","Aisling","Ашлинг","Aisling","แอชลิ่ง","愛斯林",0,[],[],51654,"","","",1,"","F",""
359,"Metadata/Monsters/LeagueBetrayal/BetrayalRiker","Riker Maloney, Midnight Tinkerer","Riker Maloney, l'Horloger de minuit","Riker Maloney, Mitternachtstüftler","真夜中\r\nの機械いじり屋、ライカー・マローニー","심야의 수선공 라이커 말로니","Riker Maloney, Faz-Tudo da Meia Noite","Райкер Мэлоуни, Полуночный изобретатель","Riker Maloney, el Artesano de Medianoche","ไรเกอร์ มาโลนีย์ นักประดิษฐ์ราตรี","午夜匠師萊可．馬隆尼","Metadata/Monsters/LeagueBetrayal/BetrayalRiker","","","Riker","Riker","Riker","ライカー","라이커","Riker","Райкер","Riker","ไรเกอร์","萊可",0,[],[],18044,"","","",1,"","M",""
360,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopVaultExterior","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra Encriptadora","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",9,[89],[90],53525,"","","",1,"","F",""
361,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopSafehouse","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra Encriptadora","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],50254,"","","",1,"","F",""
362,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopCatarina","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra Encriptadora","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],56763,"","","",1,"","F",""
363,"Metadata/Monsters/LeagueBetrayal/BetrayalCatarina2","Catarina, Master of Undeath","Catarina, Maîtresse de la Non-mort","Catarina, Meisterin der Untoten","不死の支配者、カタリナ","불사의 주인 카타리나","Catarina, Mestre dos Mortos","Катарина, Мастер бессмертия","Catarina, Maestra de la No-muerte","คาทาริน่า มาสเตอร์ไร้วันตาย","永生大師卡塔莉娜","Metadata/Monsters/LeagueBetrayal/BetrayalCatarinaFinal","","","Catarina","Catarina","Catarina","カタリナ","카타리나","Catarina","Катарина","Catarina","คาทาริน่า","卡塔莉娜",0,[],[],42961,"","","",1,"","F",""
364,"Metadata/NPC/Epilogue/Helena","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",11,[24],[25],28396,"","",1,1,"","F",""
365,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopSafehouse","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra Encriptadora","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],7906,"","","",1,"","F",""
366,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto1","Lifegiver's Manifesto 1","Manifeste de la Source de Vie I","Manifest des Lebensspenders, Teil 1","命を与える者の声明書 1","생명부여자의 성명서 1","Manifesto da Criadora da Vida 1","Манифест Жизнетворца 1","El Manifiesto del Dador de Vida 1","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 1","予生者之誓言1","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],19012,"","","",1,"","",""
367,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto2","Lifegiver's Manifesto 2","Manifeste de la Source de Vie II","Manifest des Lebensspenders, Teil 2","命を与える者の声明書 2","생명부여자의 성명서 2","Manifesto da Criadora da Vida 2","Манифест Жизнетворца 2","El Manifiesto del Dador de Vida 2","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 2","予生者之誓言2","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],46588,"","","",1,"","",""
368,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto3","Lifegiver's Manifesto 3","Manifeste de la Source de Vie III","Manifest des Lebensspenders, Teil 3","命を与える者の声明書 3","생명부여자의 성명서 3","Manifesto da Criadora da Vida 3","Манифест Жизнетворца 3","El Manifiesto del Dador de Vida 3","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 3","予生者之誓言3","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],39279,"","","",1,"","",""
369,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto4","Lifegiver's Manifesto 4","Manifeste de la Source de Vie IV","Manifest des Lebensspenders, Teil 4","命を与える者の声明書 4","생명부여자의 성명서 4","Manifesto da Criadora da Vida 4","Манифест Жизнетворца 4","El Manifiesto del Dador de Vida 4","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 4","予生者之誓言4","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],7855,"","","",1,"","",""
370,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto5","Lifegiver's Manifesto 5","Manifeste de la Source de Vie V","Manifest des Lebensspenders, Teil 5","命を与える者の声明書 5","생명부여자의 성명서 5","Manifesto da Criadora da Vida 5","Манифест Жизнетворца 5","El Manifiesto del Dador de Vida 5","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 5","予生者之誓言5","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],35072,"","","",1,"","",""
371,"Metadata/NPC/League/Synthesis/SynthesisVenarius","Cavas, Forgotten Spirit","Cavas, l'Esprit immémoré","Cavas, Vergessener Geist","忘れ去られた霊、カーヴァス","잊혀진 영혼 카바스","Cavas, Espírito Esquecido","Кавас, позабытый дух","Cavas, Espíritu Olvidado","คาวาส วิญญาณผู้ถูกลืม","被遺忘之魂卡維斯","Metadata/NPC/NPC","","","Cavas","Cavas","Cavas","カーヴァス","카바스","Cavas","Кавас","Cavas","คาวาส","卡維斯",0,[91],[92],6176,"","","",1,"","M",""
372,"Metadata/NPC/League/Synthesis/SynthesisVenariusWild","Cavas, Forgotten Spirit","Cavas, l'Esprit immémoré","Cavas, Vergessener Geist","忘れ去られた霊、カーヴァス","잊혀진 영혼 카바스","Cavas, Espírito Esquecido","Кавас, позабытый дух","Cavas, Espíritu Olvidado","คาวาส วิญญาณผู้ถูกลืม","被遺忘之魂卡維斯","Metadata/NPC/NPC","","","Cavas","Cavas","Cavas","カーヴァス","카바스","Cavas","Кавас","Cavas","คาวาส","卡維斯",0,[91],[92],49298,"","","",1,"","M",""
373,"Metadata/NPC/League/Synthesis/SynthesisVenariusHideout","Cavas, Forgotten Spirit","Cavas, l'Esprit immémoré","Cavas, Vergessener Geist","忘れ去られた霊、カーヴァス","잊혀진 영혼 카바스","Cavas, Espírito Esquecido","Кавас, позабытый дух","Cavas, Espíritu Olvidado","คาวาส วิญญาณผู้ถูกลืม","被遺忘之魂卡維斯","Metadata/NPC/NPC","","","Cavas","Cavas","Cavas","カーヴァス","카바스","Cavas","Кавас","Cavas","คาวาส","卡維斯",0,[91],[92],48826,"","","",1,"","M",""
