"rownum","Id","UITalkCategoriesKey","OGGFile","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","NPCTextAudio"
54,"Incursion_GemRoom3",51,"Audio/Dialogue/NPC/Alva/AV77.ogg","They should call that room Zalatl's jewellery box! Imagine what their value will be today!","On devrait baptiser cette salle « l'Écrin de Zalatl » ! Imaginez la valeur qu'auront toutes ces pierres précieuses de nos jours !","Sie sollten diesen Raum Zalatls Schatzkiste nennen! Stellt Euch vor, welche Schätze dort in der Gegenwart auf uns warten!","この部屋はザラトルの宝石箱と呼ばれているに違いないわ！その価値が現在どうなっているか想像してみて！","저 방을 잘라틀의 보석함이라 부르겠어! 현대에서 저게 얼마나 값이 나갈까?","Eles deveriam chamar aquilo de caixa de joiais de Zalatl! Imagine o valor que ela teria hoje!","Этот зал стоит назвать шкатулкой с каменьями Залатля! Ты хоть понимаешь, сколько они будут стоить в наше время?!","¡Deberían llamar a esa sala el joyero de Zalatl! ¡Imagina cuál será su valor hoy!","น่า​จะ​เรียก​ห้อง​นั้น​ว่า​เป็น​กล่องมณี​ของ​ซาลาทัล​นะ! คิด​ดู​สิ​ว่า​ทุก​วัน​นี้​มัน​จะ​ราคา​สูง​ขนาด​ไหน​กัน!","他們應該叫那個房間是札爾特的珠寶盒！想像一下它們現今的價值！",1,""
55,"Incursion_HealingRoom1",52,"Audio/Dialogue/NPC/Alva/AV78.ogg","Such beautiful streams run through that room. It will be a shame to see Guatelitzi sully them, but all for the greater good, I suppose.","De si jolies sources coulent dans cette salle. Quel dommage de savoir qu'elles seront souillées par Guatelitzi, mais la fin justifie les moyens, n'est-ce pas ?","Welch wunderschöne Ströme durch diesen Raum fließen. Was für eine Schande, dass Guatelitzi sie besudelt, doch alles geschieht zum Wohle der Allgemeinheit, nehme ich doch an.","あの部屋を流れる美しい流れ。それがグアテリッツィによって穢されるのを目にするのは残念だけど、すべては大いなる野望のためでしょ？","방에는 아름다운 시냇물이 흘러. 과텔리치가 저길 더럽히는 꼴을 보기는 싫지만, 나중에 돌아올 이익을 위해서 감수해야겠지.","Riachos tão lindos correm por aquele salão. Seria uma vergonha ver Guatelitzi sujá-los, mas tudo pelo bem maior, creio eu.","Какие благостные токи пронизывают этот зал. Ох и жалко будет, когда Гвателитзи их очернит. Но, пожалуй, что ни делается, всё к лучшему.","Por esa sala corren arroyos muy hermosos. Será una pena ver como Guatelitzi los mancilla, pero todo por un bien mayor, supongo.","สายน้ำ​ที่​ไหล​ผ่าน​ห้อง​นั้น​สวย​งาม​จริงๆ เสียดาย​นะ​ที่​จะ​ต้อง​เห็น​กวาทาลิตซี​ทำ​มัน​แปด​เปื้อน แต่​เพื่อ​ประโยชน์​ของ​คน​หมู่มาก​น่ะ ข้า​คิด​แบบ​นั้น​นะ","這美麗的溪流貫穿那個房間。我認為瓜特利斯玷污它將會是一種恥辱，但我認為所有的這些都是為了更大的利益。",1,""
56,"Incursion_HealingRoom2",53,"Audio/Dialogue/NPC/Alva/AV79.ogg","What a lovely room of drowning... Ah, the Vaal and their charm... Still, having the Architect of Flesh here shall prove interesting in the future.","Ah, la belle salle de noyade que voilà… et son légendaire charme vaal… Au moins, l'Architecte de la Chair pourra s'avérer intéressant pour plus tard.","Welch liebreizender Raum der Ertränkung ... Ah, die Vaal und ihr Charme ... Dennoch, den Architekten des Fleisches hier zu haben, wird sich in Zukunft als interessant erweisen.","なんて素敵な溺れの部屋なの...ああ、ヴァールとその魅力...しかし、肉体のアーキテクトがこの部屋にいることは、将来に興味深いものになるでしょうね。","예쁜 물의 방이네... 바알인들의 미적 감각이란... 뭐, 육신의 건축가가 이곳을 어떻게 바꿔놓을지 궁금한데.","Que adorável salão de pintura...Ah, os Vaal e seus charmes... Ainda assim, ter um Arquiteto da Carne aqui deverá ser interessante no futuro.","Это место купается в очаровании... Ах, эти замечательные ваал... И всё же Архитектор плоти может в будущем сыграть нам на руку.","Qué habitación tan bonita para ahogarse... Ah, los Vaal y su encanto... Aun así, tener al Arquitecto de Carne aquí será interesante en el futuro.","เป็น​ห้อง​ที่​น่า​จม​เสีย​จริง... อา พวก​วาล์​และ​เสน่ห์​ของ​พวก​นั้น... ยังไง​เสีย​มี​สถาปนิก​แห่ง​กายเนื้อ​อยู่ นี่​คงจะ​เป็น​เรื่อง​น่า​สนใจ​ใน​อนาคต","多麼可愛的溺水房間...啊，瓦爾和他們的魅力...儘管如此，在這裡的血汗建師將在未來證明他的價值。",1,""
57,"Incursion_HealingRoom3",54,"Audio/Dialogue/NPC/Alva/AV80.ogg","Guatelitzi has really made those pools his home. Let's hope this plays out well in the present day.","Guatelitzi a bien pris ces bassins pour domicile. Espérons que ça nous soit profitable dans le présent.","Guatelitzi hat sich diese Becken tatsächlich zu seinem Zuhause auserkoren. Hoffen wir, dass dies in der Gegenwart gut endet.","グアテリッツィは、あのプールを本当に自分の家にしているわ。これが現在になるまで続いていることを期待しましょ。","과텔리치가 저 웅덩이를 자기 집으로 삼아버렸잖아. 부디 현대까지 잘 이어지기를 바라보자고.","Guatelitzi realmente transformou aqueles fossos em uma casa. Vamos esperar que isso seja uma boa coisa nos dias atuais.","Гвателитзи определённо решил устроиться здесь надолго. Будем надеяться, что в наши дни это обернётся чем-нибудь хорошим.","Guatelitzi ha hecho de esas piscinas su hogar. Esperemos que esto salga bien en el presente.","กวาทาลิตซี​ทำให้​บ่อ​พวก​นี้​เป็น​บ้าน​ของ​เขา​เสีย​จริง หวัง​ว่า​ทุกอย่าง​จะ​ลงเอย​ด้วย​ดี​ใน​ยุค​ปัจจุบัน","瓜特利斯真的把這些池子當自己家。希望這對現今是有好處的。",1,""
58,"Incursion_PoisonRoom1",55,"Audio/Dialogue/NPC/Alva/AV81.ogg","Ugh, the Architect of Toxins - not my first choice to let thrive in this part of the temple...","Pouah, l'Architecte des Toxines — certainement pas le premier que j'aurais laissé prospérer dans cette partie du Temple…","Ugh, der Architekt der Toxine - nicht unbedingt meine erste Wahl, etwas in diesem Teil des Tempels gedeihen zu lassen ...","うっ、毒のアーキテクト - 寺院のこの部分に繁殖させるのは私の最初の選択では無いわね...","어, 독소의 건축가라. 내가 생각했던 후보는 아니었는데...","Ugh, o Arquiteto das Toxinas - não seria minha primeira escolha para deixar tomar esta parte do templo...","Архитектор токсинов. Фу! Я бы такому творцу эту часть храма не отдала…","Ugh, el Arquitecto de Toxinas... no es mi primera opción para que prospere en esta parte del templo...","เออะ สถาปนิก​แห่ง​พิษ ข้า​คง​ไม่​เลือก​ให้​เขา​รุ่งเรือง​เป็น​คน​แรกๆ ใน​วิหาร​นี้​แน่ๆ...","哦，毒物建師，不是我的首選，不希望他在神殿裡茁壯…",1,""
59,"Incursion_PoisonRoom2",56,"Audio/Dialogue/NPC/Alva/AV82.ogg","Sounds like Tacati's plants are growing out of control. I hope to the gods you know what you're doing...","On dirait que les plantes de Tacati sont en train d'envahir les lieux. Prions les dieux que vous sachiez ce que vous faites…","Klingt so, als würden Tacatis Pflanzen außer Kontrolle wuchern. Bei den Göttern, ich hoffe, dass Ihr wisst was Ihr vorhabt ...","タカティの植物は手に負えないくらい育っているようね。あなた自身が、何をしているのか分かっていると神に祈るわ...","타카티의 식물들이 통제를 벗어나고 있어. 네가 무슨 짓을 하고 있는 건지 알고는 그러는 거였으면 좋겠는데...","Parece que as plantas de Tacati estão crescendo fora de controle. Espero que nos deuses que você saiba o que faz...","Вижу, растения Такати совсем распоясались. Боги, надеюсь ты знаешь, что делаешь","Parece que las plantas de Tacati están creciendo fuera de control. Espero por los dioses que sepas lo que estás haciendo...","ดู​เหมือน​ว่า​ต้นไม้​ของ​ทาคาที​โต​ไว​จน​คุม​ไม่​อยู่​แล้ว ข้า​หวัง​ต่อ​เหล่า​ทวยเทพ​นะ​ว่า​เจ้า​จะ​รู้ตัว​ว่า​ทำ​อะไร​อยู่...","聽起來特卡蒂植物的成長已經失控了。我的老天鵝，希望你知道你自己在做什麼…",1,""
60,"Incursion_PoisonRoom3",57,"Audio/Dialogue/NPC/Alva/AV83.ogg","You've freed Tacati of opposition. Now he's free to fiddle with all his nasty poisons. All I'm saying is, this better not make me ill.","Vous avez libéré Tacati de toute forme d'opposition. Il a maintenant tout le loisir de jouer avec ses affreux poisons. J'espère ne pas tomber malade.","Ihr habt Tacati von seinem Widersacher befreit. Jetzt hat er sämtliche Freiheiten, mit seinen üblen Giften herumzuspielen. Ich bin nicht gerade wild darauf, mir etwas einzufangen.","タカティを敵から解放したみたいね。これで彼は厄介な毒を自由にまき散らすわ。私が言いたいのは、これで病気にはなりたく無いってこと。","타카티의 경쟁자를 처치했네. 이제 걔는 온갖 독물들을 마음대로 갖고 놀게 될 거야. 내 말은 그러니까... 혹시나 이번 일 때문에 내가 아프거나 그러진 않겠지?","Você libertou Tacati da oposição. Agora ele está livre para brincar com todos os seus malditos venenos. Tudo que estou dizendo é, é bom que eu não fique doente.","У Такати не осталось врагов. Теперь он может сколько угодно возиться с мерзкими ядами. Не хочется отравиться, знаешь ли.","Has liberado a Tacati de su competencia. Ahora es libre de jugar con todos sus horribles venenos. Solo digo que más vale que esto no me enferme.","เจ้า​ทำให้​ทาคาที​ปราศจาก​คู่แข่ง​แล้ว ตอนนี้​เจ้า​นั่น​ก็​พร้อม​เล่น​กับ​พิษ​โหดๆ พวกนั้น​เต็ม​ที่ ที่​ข้า​จะ​บอก​คือ อย่า​ให้​ข้า​ป่วย​ขึ้น​มา​ก็​แล้ว​กัน","你已經解放了特卡蒂。現在他可以隨意擺弄他所有的邪惡的毒藥。我要說的是，這最好不要害我生病。",1,""
61,"Incursion_QueenRoom1",58,"Audio/Dialogue/NPC/Alva/AV84.ogg","The Royal Architect has claimed that room for his Queen.","L'Architecte Royal a réquisitionné cette salle au nom de sa Reine.","Der königliche Architekt hat diesen Raum für seine Königin beansprucht.","王室のアーキテクトが、女王のための部屋を手に入れたわね。","왕궁의 건축가가 여왕께 바칠 공간을 차지한 모양이네.","O Arquiteto Real tomou este salão para sua Rainha.","Именем царицы её архитектор забрал этот зал себе.","El Arquitecto Real ha reclamado esa sala para su Reina.","สถาปนิก​ราชสำนัก​ได้​ยึด​ห้อง​นี้​ไว้​ให้​ราชินี​ของ​เขา​แล้ว","皇室建師為了他的女王接手了那個房間。",1,""
62,"Incursion_QueenRoom2",59,"Audio/Dialogue/NPC/Alva/AV85.ogg","Xipocado seems fixated on making that room some sort of regal chamber, and you've just made it easier for him.","Xipocado semble déterminé à faire de cette salle une sorte de chambre royale, et vous venez tout juste de lui faciliter la tâche.","Xipocado scheint darauf fixiert zu sein, diesen Raum zu einer Art königlicher Kammer umzugestalten, und Ihr habt es ihm gerade vereinfacht.","ジポカドは、どうやら謁見の間のようなものを作ることに心血を注ぎ、あなたはその手伝いをしたわけね。","지포카도는 거기를 일종의 제왕에게 걸맞은 방으로 바꾸려는 거 같아. 그리고 네가 방금 그걸 도와줬고 말이지.","Xipocado parece estar focado em fazer deste algum tipo de salão real, e você acabou de facilitar para ele.","Похоже, Шипокадо исполнен рвения превратить этот зал в царские покои, а ты ему в этом способствуешь.","Xipocado parece obsesionado con hacer de esa habitación una especie de cámara real, y tú se lo has puesto más fácil.","เหมือน​ว่า​จีโปคาโด​จดจ่อ​กับ​การ​ทำ​ห้อง​นั้น​ให้​เป็น​ห้อง​บรรทม​สำหรับ​เชื้อ​พระวงศ์ และ​เจ้า​กำลัง​ทำให้​ทุกอย่าง​ง่าย​ขึ้น​สำหรับ​เขา","賽匹卡托專注於讓房間更加的華麗，而你讓他更輕鬆達到他的目的了。",1,""
63,"Incursion_QueenRoom3",60,"Audio/Dialogue/NPC/Alva/AV86.ogg","Want to guess whose buttocks will grace the Throne Room you've let the Royal Architect establish?","Devinez quel fessier viendra honorer le trône que l'Architecte Royal a installé dans cette salle — grâce à vous ?","Möchtet Ihr raten, wessen Hinterteil den Thronsaal schmücken wird, den Ihr dem königlichen Architekten überlassen habt?","王室のアーキテクトに作らせた玉座の間が、誰のお尻で飾られるのか当ててみない？","왕궁의 건축가에게 네가 허락해준 그 옥좌의 방 있잖아. 과연 누가 엉덩이를 들이밀게 될지 궁금하지 않아?","Quer adivinhar qual a bunda que vai ocupar o Salão do trono que você deixou o Arquiteto Real estabelecer?","Угадай, чей зад примостится на троне в палатах, которые Царский архитектор обустроил благодаря тебе?","¿Quieres adivinar qué trasero honrará la Sala del Trono que dejaste que estableciera el Arquitecto Real?","อยาก​เดา​ไหม​ว่า​ก้น​ใคร​จะ​ได้​เข้าไป​อยู่​ใน​ห้อง​บัลลังก์​ที่​เจ้า​ปล่อย​ให้​สถาปนิก​ราชสำนัก​สร้าง​ขึ้น​มา?","想要猜猜你讓皇室建師建造的房間讓誰的屁股能坐上王位嗎？",1,""
64,"Incursion_SacrificeRoom1",61,"Audio/Dialogue/NPC/Alva/AV87.ogg","You've... let the Architect of Ceremonies, the man who led <italic>{countless} human sacrifices, take that chamber?","Vous avez laissé… l'Architecte des Cérémonies, celui qui a orchestré d'<italic>{innombrables} sacrifices humains, prendre cette salle ?","Ihr habt ... den Architekten der Zeremonien, den Mann, der <italic>{unzählige} Menschenopfer zu verantworten hat, diese Kammer einnehmen lassen?","あなたは、<italic>{数えきれない}人間の生贄を生み出した男、儀式のアーキテクトにあの部屋を与えたの？","너... 정말로 <italic>{그 많은} 사람을 희생시킨 의식의 건축가에게 그 방을 내어준 거야?","Você...deixou o Arquiteto das Cerimônias, o homem que liderou <italic>{incontáveis} sacrifícios humanos, tomar aquela câmara?","Ты... Из-за тебя зал достался Архитектору церемоний? Организатору жертвоприношений, которым несть числа?","¿Has... dejado que el Arquitecto de Ceremonias, el hombre que dirigió <italic>{incontables} sacrificios humanos, tome esa cámara?","เจ้า... ปล่อย​ให้​สถาปนิก​แห่ง​พิธีกรรม คน​ที่​บูชายัญ​มนุษย์​ไป<italic>{นับไม่ถ้วน} มายึด​ห้อง​นั้น​น่ะ​นะ?","你…讓儀式建師接管了那個房間？他讓<italic>{無數}的人們獻祭自己的性命。",1,""
65,"Incursion_SacrificeRoom2",62,"Audio/Dialogue/NPC/Alva/AV88.ogg","Ahuana's rival is dead, and now he's funnelling resources to even bloodier sacrifices in honour of his false gods and his silly Queen.","Maintenant que son rival est mort, Ahuana pourra canaliser ses ressources pour arranger des sacrifices encore plus sanglants, toujours en l'honneur de ses faux dieux et de sa Reine ridicule.","Ahuanas Rivale ist tot, und jetzt bringt er noch weitere Mittel für noch blutigere Opfer auf, um seine falschen Gottheiten und einfältige Königin zu ehren.","アフアナのライバルの死によって彼は今、偽りの神と愚かな女王に敬意を表するため、より血に染まった生贄を集めることに全身全霊を費やしているわ。","경쟁자가 죽고 나서 아후아나 그놈이 어쨌는지 알아? 자기네 거짓 신과 더불어, 멍청해 빠진 여왕을 위해서 훨씬 더 피비린내 나는 희생 제물을 바치겠다며 물자를 옮기기 시작했어.","O rival de Ahuana está morto, e agora ele afuniou os recursos para sacrifícios ainda mais sangrentos em honra aos seus deuses falsos e sua Rainha besta.","Соперник Ахваны мёртв. Теперь архитектор получит больше ресурсов на проведение кровавых жертвоприношений во славу ложных богов и своей глупой царицы.","El rival de Ahuana está muerto, y ahora está canalizando recursos para sacrificios aún más sangrientos en honor a sus falsos dioses y a su tonta Reina.","คู่แข่ง​ของ​อะฮัวนา​ตาย​แล้ว และ​ตอน​นี้​เจ้า​นั่น​ก็​ระดม​ทรัพยากร​มา​บูชายัญ​ให้​นองเลือด​หนัก​กว่า​เก่า​อีก เพื่อ​เทพ​จำแลง​และ​ราชินี​โง่ๆ ของ​เขา","阿呼阿娜的勁敵死了，現在他正在為了悼念他的偽神和他的愚蠢的女王而獻出了更多的資源。",1,""
66,"Incursion_SacrificeRoom3",63,"Audio/Dialogue/NPC/Alva/AV89.ogg","The blood of Ahuana's sacrifices is on your hands, Exile. And now there will be a lot of them.","Le sang des sacrifiés d'Ahuana est sur vos mains — et attendez-vous à ce qu'il s'en verse encore davantage.","Das Blut von Ahuanas Opfern klebt an Euren Händen. Und jetzt wird es viele von ihnen geben.","アフアナの生贄の血はあなたの手の中よ、エグザイル。そしてそれは膨大な量になるわ。","아후아나가 바친 희생 제물의 피가 네 손에 묻어 있는 셈이지, 유배자. 그리고 이제 더 많은 희생이 생겨날 것이고.","O sangue dos sacrifícios de Ahuana está em suas mãos, Exilado. E agora teremos muitos deles.","Кровь жертв Ахваны — на твоих руках. И этой крови будет много.","La sangre de los sacrificios de Ahuana está en tus manos, exiliado. Y ahora serán muchísimos.","มือ​เจ้า​เปื้อน​เลือด​เหยื่อ​บูชายัญ​ของ​อะฮัวนา​แล้ว เอ็กไซล์ บัดนี้​มัน​จะ​มี​เหยื่อ​อยู่​อีก​มากมาย","流亡者，阿呼阿娜的獻祭之血已在你手上。現在會有更多的他。",1,""
67,"Incursion_TempestRoom1",64,"Audio/Dialogue/NPC/Alva/AV90.ogg","A tempestuous character, Topotante. By all accounts. But if you want them in that room, who am I to disagree?","Il va sans dire que Topotante possède un tempérament orageux. Mais si c'est lui que vous voulez voir dans cette salle, qui suis-je pour le contester ?","Ein stürmisches Gemüt, dieser Topotante. Nach allem, was man sich so erzählt. Aber wenn Ihr ihn in diesem Raum haben möchtet, wer bin ich denn schon, dass ich da widersprechen könnte?","トポタンテ、誰に聞いたとしても彼は気性が荒いと答えるわ。でもあなたがあの部屋に彼を置きたいなら、私は反対しないでしょうね。","토포탄테는 성격이 좀 사납지 않나. 뭐 네가 걔한테 방을 넘긴다 해도... 내가 뭐라고 할 처지는 아니긴 하지.","Um peronsagem tempestuoso, Topotante. Com certeza. Mas se você os quer naquele salão, quem sou eu para discordar?","Этот Топотанте — бурный деятель. Во всех смыслах. Но если хочешь оставить зал ему, то что я могу возразить?","Un personaje tempestuoso, Topotante. En todos los sentidos. Pero si quieres que estén en esa sala, ¿quién soy yo para oponerme?","เจ้า​โทโปทันเท​นี่​โผงผาง​ดี​แท้ ทุกคน​ว่า​แบบ​นั้น แต่​ถ้า​เจ้า​อยาก​เอา​เขา​ไป​อยู่​ใน​ห้อง​นั้น ข้า​จะ​เถียง​ได้​ไง?","一個風暴者，塔普塔特。所有的建議都是不要讓他待在那個房間。但如果你想要，我能說不嗎？",1,""
68,"Incursion_TempestRoom2",65,"Audio/Dialogue/NPC/Alva/AV91.ogg","The winds of change billow through that room. The Architect of Storms will happily build on your fury.","Le vent du changement se déchaîne dans cette salle. L'Architecte des Tempêtes sera ravi de construire sur les fondations de votre fureur.","Frischer Wind weht durch diesen Raum. Der Architekt der Stürme wird sich Eure Wut sicher zunutze machen.","部屋には変化の風が吹き荒れる。嵐のアーキテクトは喜んであなたの怒りを高めるわ。","변화의 바람이 저 방에 휘몰아치고 있어. 태풍의 건축가는 네 분노에 기쁘게 얹혀가겠지.","Os ventos da mudança cantam por aquele salão. O arquiteto das tempestades com certeza construirá bastante em cima da sua fúria.","Это помещение продувают ветра перемен. Архитектор бурь будет только рад пользоваться плодами твоего гнева.","Los vientos del cambio soplan a través de esa sala. El Arquitecto de las Tormentas construirá con gusto sobre tu furia.","สายลม​แห่ง​การ​เปลี่ยนแปลง​พัด​ผ่าน​ห้อง​นั้น สถาปนิก​แห่ง​วายุ​จะ​สานต่อ​จาก​ความ​พิโรธ​ของ​เจ้า​ด้วย​ความ​ยินดี​ยิ่ง","改變之風襲捲那個房間。風暴建師會很高興的建立在你的痛苦上。",1,""
69,"Incursion_TempestRoom3",66,"Audio/Dialogue/NPC/Alva/AV92.ogg","The storm of the millennium was it? Let's hope it doesn't ruin anything for us in the future.","Serait-ce la tempête du millénaire ? En tous les cas, espérons qu'elle ne gâche pas tout.","Der Sturm des Jahrtausends? Hoffen wir, dass er uns in der Zukunft nichts kaputt macht.","千年の一度の嵐だったって？現在の寺院で何もかも破壊されていないことを祈りましょ。","천 년의 태풍이라고? 그게 우리 일을 망치지만 않기를 빌어야겠네.","A tempestade do milênio né? Esperemos que ela não estrague nada para nós no futuro.","Хочешь дождаться бури тысячелетия? Хоть бы в будущем она не обернулась катастрофой.","¿Fue la tormenta del milenio? Esperemos que no nos arruine nada en el futuro.","พายุ​แห่ง​สหัสวรรษ​เลย​ใช่​ไหม​ล่ะ? หวัง​ว่า​มัน​คง​ไม่​ทำลาย​อะไร​ใน​อนาคต​นะ","千年的風暴？希望它未來不會破壞任何東西。",1,""
70,"Incursion_TrapsRoom1",67,"Audio/Dialogue/NPC/Alva/AV93.ogg","You've gone and let the Architect of Fortifications take that chamber. You know what fortifications are, don't you? We're literally planning on <italic>{raiding} that temple.","Vous avez laissé l'Architecte des Fortifications prendre cette salle. Vous savez pourtant ce que sont des fortifications, non ? Je vous signale pour mémoire que nous comptons <italic>{dévaliser} ce Temple !","Ihr seid gegangen und habt dem Architekten der Befestigungen diese Kammer überlassen. Ihr wisst aber, was Befestigungen sind, nicht wahr? Wir planen buchstäblich einen <italic>{Angriff} auf diesen Tempel.","あなたはあの場を離れて、要塞のアーキテクトにその部屋を明け渡した。要塞が何か知らないわけが無いわよね？私たちは文字通りあの寺院を<italic>{襲撃}するつもりなんだけど。","요새의 건축가한테 방을 갖다 바쳤네. 너 요새가 뭔지는 아는 거 맞지? 우리 지금 사원을 <italic>{약탈}하려고 밑 작업하는 중인 거나 마찬가지야.","Você foi lá e deixou o Arquiteto das Fortificações tomar aquela câmara. Você sabe o que são fortificações, não sabe? Nós literalmentes planejamos <italic>{invadir} aquele templo.","С твоим уходом зал достался Архитектору укреплений. Ты ведь понимаешь, зачем нужны укрепления? Мы же собираемся штурмовать храм.","Has dejado que el Arquitecto de Fortificaciones tome esa cámara. Sabes lo que son las fortificaciones, ¿no? Nuestra idea es literalmente <italic>{asaltar} ese templo.","เจ้า​ปล่อย​ให้​สถาปนิก​แห่ง​ปราการ​ยึด​ห้อง​นั้น​รึ เจ้า​รู้​ใช่​ไหม​ว่า​คำ​ว่า \""ปราการ\"" คือ​อะไร? เรา​กำลัง​วางแผน<italic>{เข้าตี}วิหาร​นั่น​อยู่​นะ","你讓禦防建師接掌了那個房間。你知道禦防是什麼，對吧？我們是要計畫<italic>{進攻}那座神殿耶。",1,""
71,"Incursion_TrapsRoom2",68,"Audio/Dialogue/NPC/Alva/AV94.ogg","You've slain Matatl's rival. That's going to give him the resources he needs to fill the temple with traps. Traps we'll then need to avoid.","Vous avez éliminé le rival de Matatl. Cela lui donnera les moyens de truffer le Temple de pièges. Des pièges qu'il nous faudra ensuite éviter, vous savez !","Ihr habt Matatls Rivalen getötet. Das wird ihm die Ressourcen verschaffen, die er benötigt, um den Tempel mit Fallen zu bestücken. Fallen, die wir dann meiden müssen.","マタトルのライバルを倒したのね。彼が寺院の罠で満たすための手助けをしたことになるわ。罠、私たちは避けることが必要ね。","마타틀의 경쟁자를 처치했네. 저쪽 재료들이 전부 마타틀에게 갈 테니, 신전은 이제 덫으로 가득 차게 됐구만. 우리가 피해가야 할 덫들 말이야.","Você escravisou o rival de Matatl. Isso dará a ele recursos que ele precisa para encher o templo com armadilhas. Armadilhas que precisaremos evitar.","Соперник Мататля пал от твоей руки. Теперь архитектор получит все нужные материалы и доверху наполнит храм ловушками. Нам придётся их обходить.","Has matado al rival de Matatl. Eso le dará los recursos que necesita para llenar el templo con trampas. Trampas que tendremos que evitar.","เจ้า​สังหาร​คู่แข่ง​ของ​มาทาทัลไป​แล้ว จาก​นี้​เจ้า​นั่น​จะ​ได้​ทรัพยากร​เต็ม​ที่​ไว้​ใส่​กับดัก​ให้​เต็ม​วิหาร กับดัก​ที่​เรา​ต้อง​มา​คอย​หลบ​เอา​ทีหลัง","你已經殺了麥塔爾的勁敵。這給了他足夠的資源在神殿裡裝滿陷阱。陷阱是我們要避免碰到的。",1,""
72,"Incursion_TrapsRoom3",69,"Audio/Dialogue/NPC/Alva/AV95.ogg","You've allowed Matatl to live, and as thanks he's put traps everywhere. I'm not entirely sure you've thought this through...","Matatl vous a remercié de lui avoir laissé la vie sauve en semant des pièges absolument partout. Je commence à me demander si vous savez ce que vous faites…","Ihr habt ihm erlaubt zu leben, und als Dank hat er überall seine Fallen aufgestellt. Ich bin nicht ganz sicher, ob Ihr das bis zum Ende durchdacht habt ...","マタトルを生かしておいたお礼に、彼はそこかしこに罠を仕掛けたわ。あなたが考え抜いてしたこととは、私には思えない...","네가 마타틀을 살려주는 바람에 덫이 사방에 깔리게 생겼잖아. 이렇게 될 거라고 생각은 했는지 모르겠다만...","Você permitiu que Matatl vivesse, e como agradecimento ele colocou armadilhas pra todos os lados. Não tenho certeza se você pensou nisso com cuidado...","Мататль не погиб от твоей руки. В благодарность за сохранённую жизнь он всюду расставит ловушки. Мне кажется, твой план не до конца продуман…","Has permitido que Matatl viva, y como agradecimiento ha puesto trampas por todas partes. No estoy segura de que lo hayas pensado bien...","เจ้า​ปล่อย​ให้​มาทาทัล​อยู่ แล้ว​เขา​ก็​วาง​กับดัก​ไป​ทั่ว ข้า​ไม่​มั่นใจ​ว่า​เจ้า​คิด​เรื่อง​นี้​มา​ดิบดี​ไหม...","你讓麥塔爾活著，做為回報他在各處放置了陷阱。我不確定你有沒有大腦…",1,""
73,"Incursion_TrinketsRoom1",70,"Audio/Dialogue/NPC/Alva/AV96.ogg","The Architect of the Guild was a notoriously talented jeweller. With him around, Atzoatl is sure to glitter.","L'Architecte de la Guilde était un joaillier réputé pour son talent. Avec lui dans les parages, attendons-nous à ce que le Temple scintille de partout !","Der Architekt der Gilde war ein berüchtigter Goldschmied. Durch seine Präsenz wird Atzoatl sicher glitzern.","ギルドのアーキテクトは、悪名高い宝石商だったわ。彼がいれば、アッツォアトルはきっと輝くわね。","조합의 건축가는 재능있는 보석상으로 유명했어. 아즈카파 편을 들어주게 되면 앗조아틀이 반짝반짝하게 된다 이 말씀이야.","O Arquiteto da Guilda foi um joalheiro de talento notável. Com ele por aí, Atzoatl com certeza brilhará.","Архитектор гильдии был известным ювелиром. С таким Ацоатль наверняка засверкает.","El Arquitecto de la Hermandad era un joyero notoriamente talentoso. Con él por aquí, Atzoatl seguramente resplandecerá.","สถาปนิก​แห่ง​สมาคม​เป็น​ช่างมณี​ที่​มี​ฝีมือ​มาก มี​เขา​อยู่ แอ็ทโซแอทล์​ได้​ระยิบ​ระยับ​แน่","公會建造師是個惡名昭彰的珠寶商。有他再申旁，阿茲瓦特一定會金光閃閃。",1,""
74,"Incursion_TrinketsRoom2",71,"Audio/Dialogue/NPC/Alva/AV97.ogg","Azcapa's rival is dead? I can hear the jewels raining down from here. I cannot wait to find this temple!","Le rival d'Azcapa est mort ? J'entends les joyaux pleuvoir d'ici ! Il me tarde de trouver ce Temple !","Azcapas Rivale ist tot? Ich kann das Geschmeide von hier regnen hören. Ich kann es kaum erwarten, diesen Tempel zu finden!","アズカパのライバルは死んだの？宝石が雨のように降る音がここからでも聞こえるわ。寺院を見つけるのが待ち遠しい！","아즈카파의 경쟁자가 죽었다고? 이거, 보석이 비처럼 내리는 소리가 들려오는 거 같은데. 최대한 빨리 사원을 찾아내야겠어!","O rival de Azcapa morreu? Eu consigo ouvir as joias chovendo daqui. Mal posso esperar para encontrar este templo.","Противник Азкапы мёртв? Я уже слышу звон рассыпающихся по полу украшений. Скорее бы найти храм.","¿El rival de Azcapa está muerto? Puedo oír las joyas lloviendo desde aquí. ¡No puedo esperar a encontrar este templo!.","คู่แข่ง​ของ​แอซคาพา​ตาย​แล้ว​เหรอ? ข้า​ได้ยิน​เสียง​ฝน​มณี​มา​จาก​ตรง​นี้​เลย​นะ ข้า​รอ​หา​วิหาร​นี้​ไม่​ไหว​แล้ว!","艾斯卡巴的勁敵死了？我可以聽到珠寶掉落在這邊的聲音。我等不及找到那座神殿了。",1,""
