"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32","Text2 (English)","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection (English)","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
1522,1,"Profane","[116,63,65,66,68,0]","[1000,1000,1000,1000,1000,0]",338734880,"Profane","<if:MS>{ profane}<elif:FS>{ profane}<elif:NS>{NONEXISTENT}<elif:MP>{ profanes}<elif:FP>{ profanes}<elif:NP>{NONEXISTENT}","<if:MS>{Gotteslästerlicher }<elif:FS>{Gotteslästerliche }<elif:NS>{Gotteslästerliches }<elif:MP>{Gotteslästerliche }<elif:FP>{Gotteslästerliche }<elif:NP>{Gotteslästerliche }","冒涜された","부정한","<if:MS>{ Profano}<elif:FS>{ Profana}<elif:NS>{ Profano}<elif:MP>{ Profanos}<elif:FP>{ Profanas}<elif:NP>{ Profanos}","<if:MS>{Варварский}<elif:FS>{Варварская}<elif:NS>{Варварское}<elif:MP>{Варварские}<elif:FP>{Варварские}<elif:NP>{Варварские}","<if:MS>{ Profano}<elif:FS>{ Profana}<elif:MP>{ Profanos}<elif:FP>{ Profanas}","Profane","粗陋","","","","","","","","","",""
1523,1,"Putrid","[65,66,0]","[1000,1000,0]",-793298097,"Putrid","<if:MS>{ putride}<elif:FS>{ putride}<elif:NS>{NONEXISTENT}<elif:MP>{ putrides}<elif:FP>{ putrides}<elif:NP>{NONEXISTENT}","<if:MS>{Fauliger }<elif:FS>{Faulige }<elif:NS>{Fauliges }<elif:MP>{Faulige }<elif:FP>{Faulige }<elif:NP>{Faulige }","腐敗した","구역질 나는","<if:MS>{ Pútrido}<elif:FS>{ Pútrida}<elif:NS>{ Pútrido}<elif:MP>{ Pútridos}<elif:FP>{ Pútridas}<elif:NP>{ Pútridos}","<if:MS>{Мерзкий}<elif:FS>{Мерзкая}<elif:NS>{Мерзкое}<elif:MP>{Мерзкие}<elif:FP>{Мерзкие}<elif:NP>{Мерзкие}","<if:MS>{ Pútrido}<elif:FS>{ Pútrida}<elif:MP>{ Pútridos}<elif:FP>{ Pútridas}","Putrid","敗壞","","","","","","","","","",""
1524,1,"Remote","[727,62,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",962209328,"Remote","<if:MS>{ distant}<elif:FS>{ distante}<elif:NS>{NONEXISTENT}<elif:MP>{ distants}<elif:FP>{ distantes}<elif:NP>{NONEXISTENT}","<if:MS>{Abgelegener }<elif:FS>{Abgelegene }<elif:NS>{Abgelegenes }<elif:MP>{Abgelegene }<elif:FP>{Abgelegene }<elif:NP>{Abgelegene }","遠い","외딴","<if:MS>{ Remoto}<elif:FS>{ Remota}<elif:NS>{ Remoto}<elif:MP>{ Remotos}<elif:FP>{ Remotas}<elif:NP>{ Remotos}","<if:MS>{Отшельнический}<elif:FS>{Отшельническая}<elif:NS>{Отшельническое}<elif:MP>{Отшельнические}<elif:FP>{Отшельнические}<elif:NP>{Отшельнические}","<if:MS>{ Lejano}<elif:FS>{ Lejana}<elif:MP>{ Lejanos}<elif:FP>{ Lejanas}","Remote","遙望","","","","","","","","","",""
1525,1,"Rotting","[69,65,66,0]","[1000,1000,1000,0]",1813331275,"Rotting","<if:MS>{ pourrissant}<elif:FS>{ pourrissante}<elif:NS>{NONEXISTENT}<elif:MP>{ pourrissants}<elif:FP>{ pourrissantes}<elif:NP>{NONEXISTENT}","<if:MS>{Verwesender }<elif:FS>{Verwesende }<elif:NS>{Verwesendes }<elif:MP>{Verwesende }<elif:FP>{Verwesende }<elif:NP>{Verwesende }","朽ちた","썩어가는","<if:MS>{ Podre}<elif:FS>{ Podre}<elif:NS>{ Podre}<elif:MP>{ Podres}<elif:FP>{ Podres}<elif:NP>{ Podres}","<if:MS>{Гниющий}<elif:FS>{Гниющая}<elif:NS>{Гниющее}<elif:MP>{Гниющие}<elif:FP>{Гниющие}<elif:NP>{Гниющие}","<if:MS>{ Podrido}<elif:FS>{ Podrida}<elif:MP>{ Podridos}<elif:FP>{ Podridas}","Rotting","腐朽","","","","","","","","","",""
1526,1,"Rugged","[69,64,65,67,0]","[1000,1000,1000,1000,0]",551123782,"Rugged","<if:MS>{ accidenté}<elif:FS>{ accidentée}<elif:NS>{NONEXISTENT}<elif:MP>{ accidentés}<elif:FP>{ accidentées}<elif:NP>{NONEXISTENT}","<if:MS>{Schroffer }<elif:FS>{Schroffe }<elif:NS>{Schroffes }<elif:MP>{Schroffe }<elif:FP>{Schroffe }<elif:NP>{Schroffe }","起伏の多い","너덜해진","<if:MS>{ Tosco}<elif:FS>{ Tosca}<elif:NS>{ Tosco}<elif:MP>{ Toscos}<elif:FP>{ Toscas}<elif:NP>{ Toscos}","<if:MS>{Ненастный}<elif:FS>{Ненастная}<elif:NS>{Ненастное}<elif:MP>{Ненастные}<elif:FP>{Ненастные}<elif:NP>{Ненастные}","<if:MS>{ Escabroso}<elif:FS>{ Escabrosa}<elif:MP>{ Escabrosos}<elif:FP>{ Escabrosas}","Rugged","峭寒","","","","","","","","","",""
1527,1,"Secluded","[727,62,64,65,66,68,0]","[1000,1000,1000,1000,1000,1000,0]",-293963913,"Secluded","<if:MS>{ isolé}<elif:FS>{ isolée}<elif:NS>{NONEXISTENT}<elif:MP>{ isolés}<elif:FP>{ isolées}<elif:NP>{NONEXISTENT}","<if:MS>{Abgeschiedener }<elif:FS>{Abgeschiedene }<elif:NS>{Abgeschiedenes }<elif:MP>{Abgeschiedene }<elif:FP>{Abgeschiedene }<elif:NP>{Abgeschiedene }","隔絶された","고립된","<if:MS>{ Solitário}<elif:FS>{ Solitária}<elif:NS>{ Solitário}<elif:MP>{ Solitários}<elif:FP>{ Solitárias}<elif:NP>{ Solitários}","<if:MS>{Уединённый}<elif:FS>{Уединённная}<elif:NS>{Уединённое}<elif:MP>{Уединённые}<elif:FP>{Уединённые}<elif:NP>{Уединённые}","<if:MS>{ Aislado}<elif:FS>{ Aislada}<elif:MP>{ Aislados}<elif:FP>{ Aisladas}","Secluded","靜嵐","","","","","","","","","",""
1528,1,"Spectre","[62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",-255373680,"Spectre","<if:MS>{ spectral}<elif:FS>{ spectrale}<elif:NS>{NONEXISTENT}<elif:MP>{ spectraux}<elif:FP>{ spectrales}<elif:NP>{NONEXISTENT}","<if:MS>{Schemenhafter }<elif:FS>{Schemenhafte }<elif:NS>{Schemenhaftes }<elif:MP>{Schemenhafte }<elif:FP>{Schemenhafte }<elif:NP>{Schemenhafte }","悪霊の","망령의"," do Espectro","<if:MS>{Иллюзорный}<elif:FS>{Иллюзорная}<elif:NS>{Иллюзорное}<elif:MP>{Иллюзорные}<elif:FP>{Иллюзорные}<elif:NP>{Иллюзорные}","<if:MS>{ del Espectro}<elif:FS>{ del Espectro}<elif:MP>{ del Espectro}<elif:FP>{ del Espectro}","Spectre","幽魂","","","","","","","","","",""
1529,1,"Stained","[69,62,63,64,65,66,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",-1836772715,"Stained","<if:MS>{ taché}<elif:FS>{ tachée}<elif:NS>{NONEXISTENT}<elif:MP>{ tachés}<elif:FP>{ tachées}<elif:NP>{NONEXISTENT}","<if:MS>{Besudelter }<elif:FS>{Besudelte }<elif:NS>{Besudeltes }<elif:MP>{Besudelte }<elif:FP>{Besudelte }<elif:NP>{Besudelte }","汚れた","얼룩진","<if:MS>{ Manchado}<elif:FS>{ Manchada}<elif:NS>{ Manchado}<elif:MP>{ Manchados}<elif:FP>{ Manchadas}<elif:NP>{ Manchados}","<if:MS>{Осквернённый}<elif:FS>{Осквернённая}<elif:NS>{Осквернённое}<elif:MP>{Осквернённые}<elif:FP>{Осквернённые}<elif:NP>{Осквернённые}","<if:MS>{ Manchado}<elif:FS>{ Manchada}<elif:MP>{ Manchados}<elif:FP>{ Manchadas}","Stained","汙濁","","","","","","","","","",""
1530,1,"Torture","[63,66,68,0]","[1000,1000,1000,0]",1304436849,"Torture","<if:MS>{ torturé}<elif:FS>{ torturée}<elif:NS>{NONEXISTENT}<elif:MP>{ torturés}<elif:FP>{ torturées}<elif:NP>{NONEXISTENT}","<if:MS>{Marter-}<elif:FS>{Marter-}<elif:NS>{Marter-}<elif:MP>{Marter-}<elif:FP>{Marter-}<elif:NP>{Marter-}","拷問用の","고통스러운"," da Tortura","<if:MS>{Истязаемый}<elif:FS>{Истязаемая}<elif:NS>{Истязаемое}<elif:MP>{Истязаемые}<elif:FP>{Истязаемые}<elif:NP>{Истязаемые}","<if:MS>{ de Tortura}<elif:FS>{ de Tortura}<elif:MP>{ de Tortura}<elif:FP>{ de Tortura}","Torture","暴虐","","","","","","","","","",""
1531,1,"Tranquil","[69,62,64,65,66,68,0]","[1000,1000,1000,1000,1000,1000,0]",1269765597,"Tranquil","<if:MS>{ tranquille}<elif:FS>{ tranquille}<elif:NS>{NONEXISTENT}<elif:MP>{ tranquilles}<elif:FP>{ tranquilles}<elif:NP>{NONEXISTENT}","<if:MS>{Ruhiger }<elif:FS>{Ruhige }<elif:NS>{Ruhiges }<elif:MP>{Ruhige }<elif:FP>{Ruhige }<elif:NP>{Ruhige }","穏やかな","고요한","<if:MS>{ Tranquilo}<elif:FS>{ Tranquila}<elif:NS>{ Tranquilo}<elif:MP>{ Tranquilos}<elif:FP>{ Tranquilas}<elif:NP>{ Tranquilos}","<if:MS>{Умиротворённый}<elif:FS>{Умиротворённая}<elif:NS>{Умиротворённое}<elif:MP>{Умиротворённые}<elif:FP>{Умиротворённые}<elif:NP>{Умиротворённые}","<if:MS>{ Tranquilo}<elif:FS>{ Tranquila}<elif:MP>{ Tranquilos}<elif:FP>{ Tranquilas}","Tranquil","寧靜","","","","","","","","","",""
1532,1,"Twisted","[116,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1582816504,"Twisted","<if:MS>{ tordu}<elif:FS>{ tordue}<elif:NS>{NONEXISTENT}<elif:MP>{ tordus}<elif:FP>{ tordues}<elif:NP>{NONEXISTENT}","<if:MS>{Schauriger }<elif:FS>{Schaurige }<elif:NS>{Schauriges }<elif:MP>{Schaurige }<elif:FP>{Schaurige }<elif:NP>{Schaurige }","歪んだ","뒤틀린","<if:MS>{ Retorcido}<elif:FS>{ Retorcida}<elif:NS>{ Retorcido}<elif:MP>{ Retorcidos}<elif:FP>{ Retorcidas}<elif:NP>{ Retorcidos}","<if:MS>{Изменённый}<elif:FS>{Изменённая}<elif:NS>{Изменённое}<elif:MP>{Изменённые}<elif:FP>{Изменённые}<elif:NP>{Изменённые}","<if:MS>{ Retorcido}<elif:FS>{ Retorcida}<elif:MP>{ Retorcidos}<elif:FP>{ Retorcidas}","Twisted","災變","","","","","","","","","",""
1533,1,"Unholy","[116,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1631645185,"Unholy","<if:MS>{ impie}<elif:FS>{ impie}<elif:NS>{NONEXISTENT}<elif:MP>{ impies}<elif:FP>{ impies}<elif:NP>{NONEXISTENT}","<if:MS>{Unheiliger }<elif:FS>{Unheilige }<elif:NS>{Unheiliges }<elif:MP>{Unheilige }<elif:FP>{Unheilige }<elif:NP>{Unheilige }","不浄な","불경한"," do Descrente","<if:MS>{Нечестивый}<elif:FS>{Нечестивая}<elif:NS>{Нечестивое}<elif:MP>{Нечестивые}<elif:FP>{Нечестивые}<elif:NP>{Нечестивые}","<if:MS>{ Impío}<elif:FS>{ Impía}<elif:MP>{ Impíos}<elif:FP>{ Impías}","Unholy","邪靈","","","","","","","","","",""
1534,1,"Vortex","[62,64,65,66,67,645,3,2,656,26,21,8,7,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-420856834,"Vortex","<if:MS>{ tourbillonnant}<elif:FS>{ tourbillonnante}<elif:NS>{NONEXISTENT}<elif:MP>{ tourbillonnants}<elif:FP>{ tourbillonnantes}<elif:NP>{NONEXISTENT}","<if:MS>{Strudel-}<elif:FS>{Strudel-}<elif:NS>{Strudel-}<elif:MP>{Strudel-}<elif:FP>{Strudel-}<elif:NP>{Strudel-}","巻き込む","소용돌이의"," do Vórtice","<if:MS>{Вихревой}<elif:FS>{Вихревая}<elif:NS>{Вихревое}<elif:MP>{Вихревые}<elif:FP>{Вихревые}<elif:NP>{Вихревые}","<if:MS>{ del Vórtice}<elif:FS>{ del Vórtice}<elif:MP>{ del Vórtice}<elif:FP>{ del Vórtice}","Vortex","旋渦","","","","","","","","","",""
1535,1,"Warped","[69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,0]",-865443345,"Warped","<if:MS>{ perverti}<elif:FS>{ pervertie}<elif:NS>{NONEXISTENT}<elif:MP>{ pervertis}<elif:FP>{ perverties}<elif:NP>{NONEXISTENT}","<if:MS>{Verwundener }<elif:FS>{Verwundene }<elif:NS>{Verwundenes }<elif:MP>{Verwundene }<elif:FP>{Verwundene }<elif:NP>{Verwundene }","いびつな","휘어진","<if:MS>{ Distorcido}<elif:FS>{ Distorcida}<elif:NS>{ Distorcido}<elif:MP>{ Distorcidos}<elif:FP>{ Distorcidas}<elif:NP>{ Distorcidos}","<if:MS>{Искажённый}<elif:FS>{Искажённая}<elif:NS>{Искажённое}<elif:MP>{Искажённые}<elif:FP>{Искажённые}<elif:NP>{Искажённые}","<if:MS>{ Torcido}<elif:FS>{ Torcida}<elif:MP>{ Torcidos}<elif:FP>{ Torcidas}","Warped","曲空","","","","","","","","","",""
1536,1,"Wraith","[69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,0]",-1905838267,"Wraith","<if:MS>{ ectoplasmique}<elif:FS>{ ectoplasmique}<elif:NS>{NONEXISTENT}<elif:MP>{ ectoplasmiques}<elif:FP>{ ectoplasmiques}<elif:NP>{NONEXISTENT}","<if:MS>{Gespenstischer }<elif:FS>{Gespenstisches }<elif:NS>{Gespenstische }<elif:MP>{Gespenstische }<elif:FP>{Gespenstische }<elif:NP>{Gespenstische }","生霊の","악령의"," da Aparição","<if:MS>{Призрачный}<elif:FS>{Призрачная}<elif:NS>{Призрачное}<elif:MP>{Призрачные}<elif:FP>{Призрачные}<elif:NP>{Призрачные}","<if:MS>{ del Tumulario}<elif:FS>{ del Tumulario}<elif:MP>{ del Tumulario}<elif:FP>{ del Tumulario}","Wraith","惡靈","","","","","","","","","",""
1537,2," Abyss","[116,63,64,0]","[1000,1000,1000,0]",1222507149," Abyss","Abîme","Abgrund","深淵"," 심연","Abismo","бездна","Abismo"," Abyss"," 深淵","","M","M","","","M","FS","M","",""
1538,2," Apex","[116,67,68,0]","[1000,1000,1000,0]",-1987016611," Apex","Sommet","Spitze","頂点"," 정점","Ápice","вершина","Cúspide"," Apex"," 絕境","","M","F","","","M","FS","F","",""
1539,2," Bind","[116,26,63,66,68,0]","[1000,1000,1000,1000,1000,0]",-1919340327," Bind","Entrave","Bindung","束縛"," 묶음","Amarras","связь","Retén"," Bind"," 羈絆","","F","F","","","FP","FS","M","",""
1540,2," Cage","[63,0]","[1000,0]",2112814609," Cage","Cage","Käfig","檻"," 창살","Jaula","клетка","Jaula"," Cage"," 囚籠","","F","M","","","F","FS","F","",""
1541,2," Chambers","[116,63,64,0]","[1000,1000,1000,0]",1555001146," Chambers","Anfractuosité","Kammern","独房"," 방","Câmaras","зал","Cámaras"," Chambers"," 密室","","F","FP","","","FP","MS","FP","",""
1542,2," Coffers","[63,0]","[1000,0]",-772604192," Coffers","Cachot","Nischen","鉄格子"," 궤짝","Cofres","закрома","Cofres"," Coffers"," 冥棺","","M","FP","","","MP","MP","MP","",""
1543,2," Core","[1057,63,64,67,68,0]","[1000,1000,1000,1000,1000,0]",1280313164," Core","Cœur","Kern","中心部"," 중심부","Núcleo","чистилище","Núcleo"," Core"," 星核","","M","M","","","M","NS","M","",""
1544,2," Court","[69,68,0]","[1000,1000,0]",523738363," Court","Cour","Hof","中庭"," 법정","Pátio","покои","Patio"," Court"," 靜院","","F","M","","","M","MP","M","",""
1545,2," Cradle","[727,64,65,66,68,0]","[1000,1000,1000,1000,1000,0]",975660129," Cradle","Berceau","Wiege","揺籃の地"," 받침대","Berço","колыбель","Cuna"," Cradle"," 搖籃","","M","F","","","M","FS","F","",""
1546,2," Crag","[67,0]","[1000,0]",-2069076999," Crag","Piton","Klippe","岩山"," 바위","Penhasco","утёс","Risco"," Crag"," 絕壁","","M","F","","","M","MS","M","",""
1547,2," Cramp","[69,63,64,0]","[1000,1000,1000,0]",-1199121102," Cramp","Goulet","Zwinge","牢屋"," 경련","Grampo","проход","Estrecho"," Cramp"," 劇痛之境","","M","F","","","M","MS","M","",""
1548,2," Crate","[63,64,0]","[1000,1000,0]",1335401489," Crate","Caveau","Kiste","篭"," 나무상자","Caixote","склад","Caja"," Crate"," 堅籠","","M","F","","","M","MS","F","",""
1549,2," Crest","[25,67,68,0]","[1000,1000,1000,0]",-460903482," Crest","Crête","Wappen","頂き"," 문양","Crista","гребень","Punta"," Crest"," 桂冠","","F","N","","","F","MS","F","",""
1550,2," Depths","[63,64,66,0]","[1000,1000,1000,0]",1486843782," Depths","Tréfonds","Tiefen","深部"," 심연","Profundezas","глубина","Profundidades"," Depths"," 黑淵","","MP","FP","","","FP","FS","FP","",""
1551,2," Dregs","[64,66,0]","[1000,1000,0]",1559041962," Dregs","Fange","Neige","淀み"," 찌꺼기","Borras","морось","Posos"," Dregs"," 沉積物","","F","F","","","FP","FS","MP","",""
1552,2," Edge","[727,15,12,13,14,9,62,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",964221783," Edge","Tranchant","Saum","エッジ"," 칼날","Extremidade","грань","Filo"," Edge"," 刀鋒","","M","M","","","F","FS","M","",""
1553,2," Frontier","[727,62,65,67,0]","[1000,1000,1000,1000,0]",1614820225," Frontier","Frontière","Grenze","辺境"," 개척지","Fronteira","рубеж","Frontera"," Frontier"," 壁壘","","F","F","","","F","MS","F","",""
1554,2," Haven","[69,65,68,0]","[1000,1000,1000,0]",186301312," Haven","Havre","Zuflucht","安息地"," 안식처","Refúgio","приют","Albergue"," Haven"," 庇蔭","","M","F","","","M","MS","M","",""
1555,2," Keep","[69,25,16,63,0]","[1000,1000,1000,1000,0]",-393299924," Keep","Forteresse","Verlies","堅塁"," 감옥","Manter","бастион","Fortaleza"," Keep"," 堅城","","F","N","","","M","MS","F","",""
1556,2," Nexus","[116,68,0]","[1000,1000,0]",-541141589," Nexus","Nexus","Geflecht","中核"," 연결부","Nexo","исток","Nexo"," Nexus"," 聖域","","M","N","","","M","MS","M","",""
1557,2," Oubliette","[116,63,64,66,0]","[1000,1000,1000,1000,0]",-1876552698," Oubliette","Oubliettes","Kerker","土牢"," 지하 감옥","Oubliette","темница","Calabozo"," Oubliette"," 窖間","","FP","M","","","M","FS","M","",""
1558,2," Panorama","[727,62,65,66,67,0]","[1000,1000,1000,1000,1000,0]",-2021384569," Panorama","Panorama","Panorama","全景"," 전경","Panorama","панорама","Panorama"," Panorama"," 望景","","M","N","","","M","FS","M","",""
1559,2," Pit","[63,64,66,0]","[1000,1000,1000,0]",144722731," Pit","Fosse","Grube","底"," 구덩이","Fosso","яма","Pozo"," Pit"," 巨坑","","F","F","","","M","FS","M","",""
1560,2," Point","[67,0]","[1000,0]",768902940," Point","Saillie","Punkt","頂上"," 끝","Ponto","пик","Cima"," Point"," 巔峰","","F","M","","","M","MS","F","",""
1561,2," Reaches","[727,65,66,67,0]","[1000,1000,1000,1000,0]",1082573631," Reaches","Confins","Reiche","最果て"," 역량","Culminâncias","озеро","Tramo"," Reaches"," 驛站","","MP","NP","","","FP","NS","M","",""
1562,2," Refuge","[727,45,1,62,65,68,69,644,0]","[1000,0,1000,1000,1000,1000,1000,1000,0]",-1904905524," Refuge","Refuge","Refugium","避難所"," 피난처","Refugio","пристанище","Refugio"," Refuge"," 庇護所","","M","N","","","M","NS","M","",""
1563,2," Refuse","[64,65,66,0]","[1000,1000,1000,0]",-1311474424," Refuse","Rebuts","Unrat","跡地"," 거절","Refugo","отбросы","Basura"," Refuse"," 凶兆","","MP","M","","","M","MP","F","",""
1564,2," Remains","[116,727,69,63,68,0]","[1000,1000,1000,1000,1000,0]",2102137753," Remains","Décombres","Ruinen","遺跡"," 유물","Sobras","останки","Restos"," Remains"," 殘跡","","MP","FP","","","FP","MP","MP","",""
1565,2," Remnant","[116,727,69,63,68,656,0]","[1000,1000,1000,1000,1000,1000,0]",-531497359," Remnant","Vestiges","Überreste","名残"," 유물","Restos","реликвия","Rastros"," Remnant"," 遺地","","MP","MP","","","MP","FS","MP","",""
1566,2," Rupture","[64,0]","[1000,0]",-353078148," Rupture","Cavité","Eruption","亀裂"," 파열","Ruptura","разлом","Ruptura"," Rupture"," 破裂之境","","F","F","","","F","MS","F","",""
1567,2," Sanctum","[116,63,68,0]","[1000,1000,1000,0]",711359285," Sanctum","Asile","Allerheiligstes","聖所"," 지성소","Altar","святилище","Santuario"," Sanctum"," 聖地","","M","N","","","M","NS","M","",""
1568,2," Scum","[66,0]","[1000,0]",832406966," Scum","Bourbier","Schlacken","汚水"," 쓰레기","Escória","бочаг","Suciedad"," Scum"," 泥潭","","M","FP","","","F","MS","F","",""
1569,2," Secrets","[116,727,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1663681149," Secrets","Secrets","Geheimnisse","秘所"," 비밀","Segredos","тайник","Secretos"," Secrets"," 密境","","MP","NP","","","MP","MS","MP","",""
1570,2," Sepulcher","[116,63,68,0]","[1000,1000,1000,0]",-416281438," Sepulchre","Sépulcre","Grabstätte","墓所"," 매장소","Sepulcro","захоронение","Sepulcro"," Sepulcher"," 墓場","","M","F","","","M","NS","M","",""
1571,2," Shadows","[116,727,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1905849040," Shadows","Ombres","Schatten","暗部"," 그림자","Sombras","покров","Sombras"," Shadows"," 影域","","FP","MP","","","FP","MS","FP","",""
1572,2," Shard","[134,680,67,0]","[1000,1000,1000,0]",-317956279," Shard","Éclat","Scherbe","破片"," 파편","Caco","монолит","Esquirla"," Shard"," 破碎之地","","M","F","","","M","MS","F","",""
1573,2," Slag","[64,66,67,0]","[1000,1000,1000,0]",952872307," Slag","Sentines","Schlacke","鉱滓"," 용재","Jorra","прииск","Escoria"," Slag"," 殘石","","FP","F","","","F","MS","F","",""
1574,2," Solitude","[727,62,63,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",723614688," Solitude","Solitude","Einöde","孤独"," 고독","Solidão","захолустье","Soledad"," Solitude"," 孤獨之境","","F","F","","","F","NS","F","",""
1575,2," Spires","[65,67,68,0]","[1000,1000,1000,0]",1281380443," Spires","Cimes","Spitzen","先端"," 첨탑","Cumes","виток","Agujas"," Spires"," 尖塔","","FP","FP","","","MP","MS","FP","",""
1576,2," Trap","[26,63,64,65,66,68,0]","[1000,1000,1000,1000,1000,1000,0]",424501404," Trap","Piège","Falle","悪所"," 덫","Cilada","ловушка","Trampa"," Trap"," 陷阱","","M","F","","","F","FS","F","",""
1577,2," Vault","[69,63,68,0]","[1000,1000,1000,0]",1961885347," Vault","Voûtes","Gewölbe","貯蔵所"," 금고","Cofre","погреб","Bóveda"," Vault"," 寶庫","","FP","N","","","M","MS","F","",""
1578,2," View","[69,62,65,67,0]","[1000,1000,1000,1000,0]",1115538280," View","Horizon","Aussicht","眺望"," 관점","Visualizar","пейзаж","Vista"," View"," 美景","","M","F","","","M","MS","F","",""
1579,2," Vine","[65,66,0]","[1000,1000,0]",1851006750," Vine","Lianes","Rebe","蔓"," 덩굴","Videira","лианы","Vid"," Vine"," 藤壁","","FP","F","","","F","FP","F","",""
1580,2," Waste","[727,62,64,66,0]","[1000,1000,1000,1000,0]",614820232," Waste","Néant","Verlust","廃棄場"," 황무지","Lixo","свалка","Desecho"," Waste"," 荒原","","M","M","","","M","FS","M","",""
1581,2," Ziggurat","[116,69,63,68,0]","[1000,1000,1000,1000,0]",-823895369," Ziggurat","Ziggourat","Zikkurat","ジグラート"," 지구라트","Zigurate","зиккурат","Zigurat"," Ziggurat"," 靈間","","F","F","","","M","MS","M","",""
1582,2," Abode","[116,69,0]","[1000,1000,0]",2087585239," Abode","Demeure","Heimstatt","住居"," 거처","Morada","жилище","Morada"," Abode"," 居所","","F","F","","","F","NS","F","",""
1583,2," Quarters","[116,63,69,0]","[1000,1000,1000,0]",490779091," Quarters","Quartiers","Quartier","地区"," 구역","Alojamentos","квартал","Cuarteles"," Quarters"," 戒哨","","MP","N","","","MP","MS","MP","",""
1584,2," Roost","[64,69,0]","[1000,1000,0]",8987238," Roost","Perchoir","Obdach","ねぐら"," 보금자리","Pousada","толчея","Nido"," Roost"," 棲地","","M","N","","","F","FS","M","",""
1585,2," Sector","[69,0]","[1000,0]",-1937154358," Sector","Secteur","Sektor","区域"," 영역","Setor","район","Sector"," Sector"," 轄域","","M","M","","","M","MS","M","",""
1586,2," Zone","[69,0]","[1000,0]",-15251040," Zone","Périmètre","Zone","地帯"," 지역","Zona","площадь","Zona"," Zone"," 管區","","M","F","","","F","FS","F","",""
1587,2," Precinct","[69,0]","[1000,0]",-821966901," Precinct","District","Bezirk","管区"," 구획","Precinto","двор","Recinto"," Precinct","苦行之域","","M","M","","","M","MS","M","",""
1588,2," Dwelling","[63,66,67,69,0]","[1000,1000,1000,1000,0]",2121450468," Dwelling","Antre","Unterkunft","居所"," 거주지","Habitação","обитель","Vivienda"," Dwelling"," 住處","","M","F","","","F","FS","F","",""
1589,2," Aegis","[45,1,0]","[0,1000,0]",-1782320361," Aegis","Égide","Obhut","イージス"," 비호","Égide","эгида","Égida"," Aegis"," 神盾","","F","F","","","F","FS","F","",""
1590,2," Anthem","[45,0]","[1000,0]",1710354389," Anthem","Hymne","Hymne","賛歌"," 찬가","Hino","гимн","Himno"," Anthem"," 聖曲","","M","F","","","M","MS","M","",""
1591,2," Arbiter","[238,0]","[1000,0]",376950426," Arbiter","Juge","Gebieter","調停者"," 중재자","Árbitro","судья","Árbitro"," Arbiter","仲裁者","","M","M","","","M","MS","M","",""
1592,2," Arch","[5,0]","[1000,0]",65972952," Arch","Arche","Bogen","アーチ"," 활","Arco","дуга","Bóveda"," Arch"," 之弦","","F","M","","","M","FS","F","",""
1593,2," Arrow","[21,0]","[1000,0]",234744802," Arrow","Flèches","Pfeil","矢"," 화살","Flecha","стрела","Flecha"," Arrow"," 箭矢","","FP","M","","","F","FS","F","",""
1594,2," Badge","[45,1,0]","[0,1000,0]",-104134860," Badge","Insigne","Abzeichen","記章"," 배지","Distintivo","символ","Insignia"," Badge"," 之徽","","M","N","","","M","MS","F","",""
1595,2," Band","[2,0]","[1000,0]",-251699053," Band","Chevalière","Streifen","指環"," 띠","Faixa","кайма","Banda"," Band"," 靈環","","F","M","","","F","FS","F","",""
1596,2," Bane","[15,12,10,37,5,14,13,9,11,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-2028099905," Bane","Fléau","Bann","破滅"," 파멸","Perdição","проклятие","Ruina"," Bane"," 禁域","","M","M","","","F","NS","F","",""
1597,2," Barb","[80,12,21,14,13,9,0]","[1000,1000,1000,1000,1000,1000,0]",-645552816," Barb","Pointe","Stachel","棘"," 가시","Agudo","шип","Púa"," Barb"," 利勾","","F","M","","","M","MS","F","",""
