"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
1548,173,13,"Purchase Items",[],[],[],"","",23,"","",[],"","","",[],[],1,[],1308,"","","","","",1,"",49,[],49,""
1549,173,14,"Sell Items",[],[],[],"","",24,"","",[],"","","",[],[],1,[],1308,"","","","","",0,"",49,[],49,""
1550,341,0,"Introduction",[],[],[644],"",644,3,"",644,[2829],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1551,341,1,"The Temple of Atzoatl",[],"[651,0,0]",[1961],"",1961,5,"",71,[2830],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1552,341,2,"The Temple of Atzoatl",[1273],"[651,0]",[1961],"",1961,5,"",71,[2831],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1553,341,3,"Alva's Past",[651],[],[365],"","",3,"",365,[2004],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1554,341,4,"Atzoatl",[651],[],[372],"","",3,"",372,[2005],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1555,341,5,"Oriath",[651],[],[379],"","",3,"",379,[2006],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1556,341,6,"View Temple",[651],[],[],"triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );","",13,"",71,[],"","","",[],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1557,341,7,"Hideout",[],[],[],"","",5,"",71,[1985],"","","",[5],"[200,606]",1308,[5],5,"","","","","","","",49,[],49,""
1558,341,8,"Invite to Hideout",[],[],[],"","",38,"",71,[1986],"","","",[],"[200,606]",1308,[],1308,"","","","","","","",49,[],49,""
1559,341,9,"Enter Temple","[1953,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(open_incursion_temple); triggerer.FinishNPCChat();","",15,"",71,[],"","","",[],[],1308,[],1308,"","","","","",5,"",49,[],49,""
1560,341,10,"Take Temple Chronicle","[1953,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(itemise_incursion_temple); triggerer.FinishNPCChat();\r\ntriggerer.SendOpenScreen( InventoryScreen );","",16,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1561,341,11,"Kirac",[59],[],[],"","",3,"","",[13664],"","","",[1275],[],1275,[],1308,"","","","","","","",49,[],49,""
1562,325,0,"Talk to Alva",[],[1953],[],"triggerer.FinishNPCChat();",71,3,"",71,[1984],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1563,325,1,"Introduction",[1953],[],[644],"",644,3,"",644,[2829],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1564,325,2,"The Temple of Atzoatl",[1953],[651],[1961],"",1961,5,"",71,[2832],"","","",[],[],1308,[],1308,"","","","","","",114,49,[],49,""
1565,325,3,"The Temple of Atzoatl",[1953],[651],[1961],"",1961,5,"",71,[2833],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,114
1566,325,4,"Alva's Past",[1953],[],[365],"","",3,"",365,[2004],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1567,325,5,"Atzoatl",[1953],[],[372],"","",3,"",372,[2005],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1568,325,6,"Oriath",[1953],[],[379],"","",3,"",379,[2006],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1569,325,7,"Time Loop","[1953,0]",[1958],[961],"",961,5,"",961,[1982],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1570,325,8,"View Temple",[1953],"[1958,0]","[1962,0]","triggerer.DispatchRulesetEvent(view_next_incursion);",1956,13,"",71,[],"","","",[],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1571,325,9,"View Temple","[1953,0]",[1958],[1962],"triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );","",13,"",71,[],"","","",[],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1572,325,10,"Enter Incursion",[1953],"[1958,0,0]",[1962],"triggerer.DispatchRulesetEvent(open_incursion_portal); triggerer.FinishNPCChat();","",14,"",71,[],"","","",[],[],1308,[],1308,"","","","","",5,"",49,[],49,""
1573,325,11,"Congratulations","[1953,0]","[1958,0]",[1957],"triggerer.DispatchRulesetEvent(check_temple_start); triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );",1957,5,"",1957,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1574,325,12,"View Temple","[1953,0]",[1955],"[1962,0]","triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );",1956,13,"",71,[],"","","",[],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1575,325,13,"Enter Temple","[1953,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(open_incursion_temple); triggerer.FinishNPCChat();","",15,"",71,[],"","","",[],[],1308,[],1308,"","","","","",5,"",49,[],49,""
1576,325,14,"Take Temple Chronicle","[1953,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(itemise_incursion_temple); triggerer.FinishNPCChat();\r\ntriggerer.SendOpenScreen( InventoryScreen );","",16,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1577,325,15,"Hideout",[1953],[],[],"","",5,"",71,[1985],"","","",[5],"[200,606]",1308,[5],5,"","","","","","","",49,[],49,""
1578,325,16,"Invite to Hideout",[1953],[],[],"","",38,"",71,[1986],"","","",[],"[200,606]",1308,[],1308,"","","","","","","",49,[],49,""
1579,326,0,"Talk to Alva",[],[717],[],"","",3,"",71,[1984],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1580,326,1,"Introduction",[717],[],[644],"",644,3,"",644,[1973],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1581,326,2,"Alva's Past","[717,0,0]",[],[365],"","",3,"",365,[2004],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1582,326,3,"Atzoatl","[717,0,0]",[],[372],"","",3,"",372,[2005],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1583,326,4,"Oriath","[717,0,0]",[],[379],"","",3,"",379,[2006],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1584,326,5,"Einhar",[717],[],[1982],"","",3,"",1982,[2846],"","","",[],[69],1308,[],1308,"","","","","","","",49,[],49,""
1585,326,6,"Niko",[717],[],[1983],"","",3,"",1983,[2845],"","","",[],[9],1308,[],1308,"","","","","","","",49,[],49,""
1586,326,7,"Zana",[717],[],[1984],"","",3,"",1984,[2849],"","","",[],[1],1308,[],1308,"","","","","","","",49,[],49,""
1587,326,8,"Jun",[717],[],[1985],"","",3,"",1985,[2850],"","","",[],[592],1308,[],1308,"","","","","","","",49,[],49,""
1588,326,9,"Helena","[717,0]",[],[1986],"","",3,"",1986,[2848],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1589,326,10,"Order of the Djinn",[717],[],[1988],"","",3,"",1988,[2851],"","","",[],[595],1308,[],1308,"","","","","","","",49,[],49,""
1590,326,11,"View Temple","[717,0,0]",[1958],[],"triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );","",13,"",71,[],"","","",[5],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1591,326,12,"View Temple","[717,0,0,0]",[1955],[1956],"triggerer.SendOpenScreen( IncursionTempleBlueprintWindow, 0 );",1956,13,"",71,[],"","","",[5],[],1308,[],1308,"","",1,"","",4,"",49,[],49,""
1592,326,13,"Enter Temple","[717,0,0,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(open_incursion_temple); triggerer.FinishNPCChat();","",15,"",71,[],"","","",[],[],1308,[],1308,"","","","","",5,"",49,[],49,""
1593,326,14,"Take Temple Chronicle","[717,0,0,0]","[1955,0]",[],"triggerer.DispatchRulesetEvent(itemise_incursion_temple); triggerer.FinishNPCChat();\r\ntriggerer.SendOpenScreen( InventoryScreen );","",16,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1594,326,15,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
1595,326,16,"Atlas Mission","[717,0]",[],[],"","",1,"","",[],"","","",[],[599],1,[],1308,"","","","","","","",49,[],49,""
1596,326,17,"Memory of Ransacked Relics",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineAnarchy2\"" );","",5,"","",[13658],"","","",[1245],[1225],1,[],1308,"","","",1,"","","",49,[],49,""
1597,326,18,"Memory of Formidable Shrines",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineDomination1\"" );","",5,"","",[13659],"","","",[1246],[1226],1,[],1308,"","","",1,"","","",49,[],49,""
1598,326,19,"Memory of Cascading Fortunes",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineAmbush1\"" );","",5,"","",[13660],"","","",[1250],[1230],1,[],1308,"","","",1,"","","",49,[],49,""
1599,326,20,"Memory of Hidden Behemoths",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineAmbush2\"" );","",5,"","",[13661],"","","",[1251],[1231],1,[],1308,"","","",1,"","","",49,[],49,""
1600,326,21,"Memory of Reverse Incursion",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineIncursion1\"" );","",5,"","",[13662],"","","",[1260],[1240],1,[],1308,"","","",1,"","","",49,[],49,""
1601,326,22,"Memory of Bounty Hunters",[717],[],[],"triggerer.FinishNPCChat(); triggerer.DispatchRulesetEvent( \""open_memory_line MemoryLineBetrayal1\"" );","",5,"","",[13663],"","","",[1261],[1241],1,[],1308,"","","",1,"","","",49,[],49,""
1602,326,23,"Kirac",[59],[],[],"","",3,"","",[13664],"","","",[1275],[],1275,[],1308,"","","","","","","",49,[],49,""
1603,329,0,"View Subterranean Chart",[],[],[],"triggerer.SendOpenScreen( DelveMapScreen, 1 ); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","",1,"","Subterranean Chart",4,"",49,[],49,""
1604,329,1,"Introduction",[],[1501],[],"","",3,"","",[2030],"","","",[22],[],22,[24],22,"","","","","","","",49,[],49,""
1605,329,2,"Introduction",[1501],[],[],"","",3,"","",[2232],"","","",[501],[],501,[24],1308,"","","","","","","",49,[],49,""
1606,329,3,"Introduction",[1501],[],[],"","",3,"","",[2233],"","","",[502],[24],502,[25],1308,"","","","","","","",49,[],49,""
1607,329,4,"Introduction",[1501],[],[],"","",3,"","",[2234],"","","",[503],[25],503,[26],1308,"","","","","","","",49,[],49,""
1608,329,5,"Introduction",[1501],[],[],"","",3,"","",[2235],"","","",[504],[26],504,[27],1308,"","","","","","","",49,[],49,""
1609,329,6,"Introduction",[1501],[],[],"","",3,"","",[2236],"","","",[505],[27],505,[],1308,"","","","","","","",49,[],49,""
1610,329,7,"Voltaxic Sulphite",[667],[989],[],"","",5,"","",[2230],"","","",[8],[],1,[23],8,"","","","","","","",49,[],49,""
1611,329,8,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[9],[],1,[9],9,"","","","","","","",49,[],49,""
1612,329,9,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[],[],1,[68],1308,"","","","","","","",49,[],49,""
1613,329,10,"Visit Mine Encampment",[2028],[],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[],1,[],1308,"","","","","",5,"",49,[],49,""
1614,329,11,"Visit Mine Encampment",[],[2028],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[23],1,[],1308,"","","","","",5,"",49,[],49,""
1615,329,12,"Fractured Walls",[],[],[],"","",5,"","",[2038],"","","",[65],"[10,18]",1,[65],65,"","","","","","","",49,[],49,""
1616,329,13,"The Azurite Mine",[],[],[],"","",3,"","",[2037],"","","",[33],[10],33,[24],1308,"","","","","","","",49,[],49,""
1617,329,14,"The Azurite Mine",[],[],[],"","",3,"","",[2055],"","","",[34],"[10,24]",34,[25],1308,"","","","","","","",49,[],49,""
1618,329,15,"The Azurite Mine",[],[],[],"","",3,"","",[2073],"","","",[35],"[10,25]",35,[26],1308,"","","","","","","",49,[],49,""
1619,329,16,"The Azurite Mine",[],[],[],"","",3,"","",[2090],"","","",[36],"[10,26]",36,[27],1308,"","","","","","","",49,[],49,""
1620,329,17,"The Azurite Mine",[],[],[],"","",3,"","",[2106],"","","",[37],"[10,27]",37,[],1308,"","","","","","","",49,[],49,""
1621,329,18,"The Darkness",[],[],[],"","",3,"","",[2047],"","","",[38],[10],38,[24],1308,"","","","","","","",49,[],49,""
1622,329,19,"The Darkness",[],[],[],"","",3,"","",[2065],"","","",[39],"[10,24]",39,[25],1308,"","","","","","","",49,[],49,""
1623,329,20,"The Darkness",[],[],[],"","",3,"","",[2082],"","","",[40],"[10,25]",40,[26],1308,"","","","","","","",49,[],49,""
1624,329,21,"The Darkness",[],[],[],"","",3,"","",[2098],"","","",[41],"[10,26]",41,[27],1308,"","","","","","","",49,[],49,""
1625,329,22,"The Darkness",[],[],[],"","",3,"","",[2115],"","","",[42],"[10,27]",42,[],1308,"","","","","","","",49,[],49,""
1626,329,23,"Voltaxic Generator",[],[],[],"","",3,"","",[2050],"","","",[43],[10],43,[24],1308,"","","","","","","",49,[],49,""
1627,329,24,"Voltaxic Generator",[],[],[],"","",3,"","",[2067],"","","",[44],"[10,24]",44,[25],1308,"","","","","","","",49,[],49,""
1628,329,25,"Voltaxic Generator",[],[],[],"","",3,"","",[2084],"","","",[45],"[10,25]",45,[26],1308,"","","","","","","",49,[],49,""
1629,329,26,"Voltaxic Generator",[],[],[],"","",3,"","",[2100],"","","",[46],"[10,26]",46,[27],1308,"","","","","","","",49,[],49,""
1630,329,27,"Voltaxic Generator",[],[],[],"","",3,"","",[2117],"","","",[47],"[10,27]",47,[],1308,"","","","","","","",49,[],49,""
1631,329,28,"Underground Cities",[],[],[],"","",3,"","",[2051],"","","",[48],"[10,53]",48,[24],1308,"","","","","","","",49,[],49,""
1632,329,29,"Underground Cities",[],[],[],"","",3,"","",[2069],"","","",[49],"[10,53,24]",49,[25],1308,"","","","","","","",49,[],49,""
1633,329,30,"Underground Cities",[],[],[],"","",3,"","",[2086],"","","",[50],"[10,53,25]",50,[26],1308,"","","","","","","",49,[],49,""
1634,329,31,"Underground Cities",[],[],[],"","",3,"","",[2102],"","","",[51],"[10,53,26]",51,[27],1308,"","","","","","","",49,[],49,""
1635,329,32,"Underground Cities",[],[],[],"","",3,"","",[2119],"","","",[52],"[10,53,27]",52,[],1308,"","","","","","","",49,[],49,""
1636,329,33,"Prospero",[],[],[],"","",3,"","",[2052],"","","",[60],"[10,54]",60,[24],1308,"","","","","","","",49,[],49,""
1637,329,34,"Prospero",[],[],[],"","",3,"","",[2070],"","","",[61],"[10,54,24]",61,[25],1308,"","","","","","","",49,[],49,""
1638,329,35,"Prospero",[],[],[],"","",3,"","",[2087],"","","",[62],"[10,54,25]",62,[26],1308,"","","","","","","",49,[],49,""
1639,329,36,"Prospero",[],[],[],"","",3,"","",[2103],"","","",[63],"[10,54,26]",63,[27],1308,"","","","","","","",49,[],49,""
1640,329,37,"Prospero",[],[],[],"","",3,"","",[2120],"","","",[64],"[10,54,27]",64,[],1308,"","","","","","","",49,[],49,""
1641,329,38,"Oriath",[],[],[],"","",3,"","",[2049],"","","",[55],[10],55,[24],1308,"","","","","","","",49,[],49,""
1642,329,39,"Oriath",[],[],[],"","",3,"","",[2068],"","","",[56],"[10,24]",56,[25],1308,"","","","","","","",49,[],49,""
1643,329,40,"Oriath",[],[],[],"","",3,"","",[2085],"","","",[57],"[10,25]",57,[26],1308,"","","","","","","",49,[],49,""
1644,329,41,"Oriath",[],[],[],"","",3,"","",[2101],"","","",[58],"[10,26]",58,[27],1308,"","","","","","","",49,[],49,""
1645,329,42,"Oriath",[],[],[],"","",3,"","",[2118],"","","",[59],"[10,27]",59,[],1308,"","","","","","","",49,[],49,""
1646,329,43,"Invite to Hideout",[],[],[],"","",38,"","",[2041],"","","",[],"[68,200]",1,[],1308,"","","","","","","",49,[],37,""
1647,329,44,"The Mines",[],[667],[],"","",3,"","",[2228],"","","",[215],[],215,[23],1308,"","","","","","","",49,[],49,""
1648,329,45,"Kirac",[59],[],[],"","",3,"","",[13671],"","","",[1272],[],1273,[27],1308,"","","","","","","",49,[],49,""
1649,329,46,"Kirac",[59],[],[],"","",3,"","",[13672],"","","",[1272],[27],1273,[],1308,"","","","","","","",49,[],49,""
1650,330,0,"View Subterranean Chart",[1934],[],[],"triggerer.SendOpenScreen( DelveMapScreen, 1 ); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","",1,"","Subterranean Chart",4,"",49,[],49,""
1651,330,1,"Introduction",[],[],[],"","",3,"","",[2030],"","","",[22],[],22,[24],22,"","","","","","","",49,[],49,""
1652,330,2,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[9],[],1,[9],9,"","","","","","","",49,[],49,""
1653,330,3,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[],[],1,[68],1308,"","","","","","","",49,[],49,""
1654,330,4,"Visit Mine Encampment",[1934],[],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[],1,[68],1308,"","","",1,"",5,"",49,[],49,""
1655,330,5,"Visit Mine Encampment",[1934],[],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","","","","",5,"",49,[],49,""
1656,330,6,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2048],"","","",[28],[68],28,[24],1308,"","","","","","","",49,[],49,""
1657,330,7,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2066],"","","",[29],"[68,24]",29,[25],1308,"","","","","","","",49,[],49,""
1658,330,8,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2083],"","","",[30],"[68,25]",30,[26],1308,"","","","","","","",49,[],49,""
1659,330,9,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2099],"","","",[31],"[68,26]",31,[27],1308,"","","","","","","",49,[],49,""
1660,330,10,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2116],"","","",[32],"[68,27]",32,[],1308,"","","","","","","",49,[],49,""
1661,330,11,"Oriath",[],[],[],"","",3,"","",[2049],"","","",[55],[68],55,[24],1308,"","","","","","","",49,[],49,""
1662,330,12,"Oriath",[],[],[],"","",3,"","",[2068],"","","",[56],"[68,24]",56,[25],1308,"","","","","","","",49,[],49,""
1663,330,13,"Oriath",[],[],[],"","",3,"","",[2085],"","","",[57],"[68,25]",57,[26],1308,"","","","","","","",49,[],49,""
1664,330,14,"Oriath",[],[],[],"","",3,"","",[2101],"","","",[58],"[68,26]",58,[27],1308,"","","","","","","",49,[],49,""
1665,330,15,"Oriath",[],[],[],"","",3,"","",[2118],"","","",[59],"[68,27]",59,[],1308,"","","","","","","",49,[],49,""
1666,330,16,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2053,2054]","","","",[],[68],1308,[24],1308,"","","","","","","",49,[],49,""
1667,330,17,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2071,2072]","","","",[],"[68,24]",1308,[25],1308,"","","","","","","",49,[],49,""
1668,330,18,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2088,2089]","","","",[],"[68,25]",1308,[26],1308,"","","","","","","",49,[],49,""
1669,330,19,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2104,2105]","","","",[],"[68,26]",1308,[27],1308,"","","","","","","",49,[],49,""
1670,330,20,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2121,2122]","","","",[],"[68,27]",1308,[],1308,"","","","","","","",49,[],49,""
1671,331,0,"View Subterranean Chart",[1934],[],[],"triggerer.SendOpenScreen( DelveMapScreen, 1 ); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","",1,"","Subterranean Chart",4,"",49,[],49,""
1672,331,1,"Introduction",[],[],[],"","",3,"","",[2030],"","","",[22],[],22,[24],22,"","","","","","","",49,[],49,""
1673,331,2,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[9],[],1,[9],9,"","","","","","","",49,[],49,""
1674,331,3,"Voltaxic Sulphite",[2028],[],[],"","",5,"","",[2032],"","","",[],[],1,[68],1308,"","","","","","","",49,[],49,""
1675,331,4,"Visit Mine Encampment",[1934],[],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[23],1,[68],1308,"","","",1,"",5,"",49,[],49,""
1676,331,5,"Visit Mine Encampment",[1934],[],[],"triggerer.BeginDelve(); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","","","","",5,"",49,[],49,""
1677,331,6,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2048],"","","",[28],[68],28,[24],1308,"","","","","","","",49,[],49,""
1678,331,7,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2066],"","","",[29],"[68,24]",29,[25],1308,"","","","","","","",49,[],49,""
1679,331,8,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2083],"","","",[30],"[68,25]",30,[26],1308,"","","","","","","",49,[],49,""
1680,331,9,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2099],"","","",[31],"[68,26]",31,[27],1308,"","","","","","","",49,[],49,""
1681,331,10,"Voltaxic Sulphite",[],[],[],"","",3,"","",[2116],"","","",[32],"[68,27]",32,[],1308,"","","","","","","",49,[],49,""
1682,331,11,"Oriath",[],[],[],"","",3,"","",[2049],"","","",[55],[68],55,[24],1308,"","","","","","","",49,[],49,""
1683,331,12,"Oriath",[],[],[],"","",3,"","",[2068],"","","",[56],"[68,24]",56,[25],1308,"","","","","","","",49,[],49,""
1684,331,13,"Oriath",[],[],[],"","",3,"","",[2085],"","","",[57],"[68,25]",57,[26],1308,"","","","","","","",49,[],49,""
1685,331,14,"Oriath",[],[],[],"","",3,"","",[2101],"","","",[58],"[68,26]",58,[27],1308,"","","","","","","",49,[],49,""
1686,331,15,"Oriath",[],[],[],"","",3,"","",[2118],"","","",[59],"[68,27]",59,[],1308,"","","","","","","",49,[],49,""
1687,331,16,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2053,2054]","","","",[],[68],1308,[24],1308,"","","","","","","",49,[],49,""
1688,331,17,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2071,2072]","","","",[],"[68,24]",1308,[25],1308,"","","","","","","",49,[],49,""
1689,331,18,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2088,2089]","","","",[],"[68,25]",1308,[26],1308,"","","","","","","",49,[],49,""
1690,331,19,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2104,2105]","","","",[],"[68,26]",1308,[27],1308,"","","","","","","",49,[],49,""
1691,331,20,"Voltaxic Generator",[2034],[],[2035],"",2035,5,"",71,"[2121,2122]","","","",[],"[68,27]",1308,[],1308,"","","","","","","",49,[],49,""
1692,333,0,"Talk to Niko",[],[963],[],"triggerer.FinishNPCChat();",71,3,"",71,"[2126,2127,2128]","","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1693,333,1,"The Crawler",[963],[2029],[2029],"triggerer.FinishNPCChat();",2029,5,"",71,[2034],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1694,333,2,"The Crawler","[963,0]",[],[],"triggerer.FinishNPCChat(); DispatchRulesetEvent( set_delve_owner );",71,5,"",71,[2034],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1695,332,0,"Talk to Niko",[],[963],[],"","",3,"",71,"[2126,2127,2128]","","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1696,332,1,"View Subterranean Chart",[963],[],[],"triggerer.SendOpenScreen( DelveMapScreen, 1 ); triggerer.FinishNPCChat();","",5,"","",[],"","","",[],[68],1,[],1308,"","",1,"","Subterranean Chart",4,"",49,[],37,""
1697,332,2,"Introduction",[963],[],[],"","",3,"","",[2030],"","","",[22],[],22,[24],1308,"","","","","","","",49,[],49,""
1698,332,3,"The Azurite Mine",[963],[],[],"","",5,"","",[2033],"","","",[11],[],1,[68],11,"","","","","","","",49,[],37,""
1699,332,4,"The Azurite Mine",[963],[2027],[],"","",5,"","",[2125],"","","",[],[68],1,"[18,21]",1308,"","","","","","","",49,[],37,""
1700,332,5,"Flares and Dynamite","[963,0]",[],[],"","",5,"","",[2035],"","","","[11,17]",[68],1,"[18,21]",17,"","","","","","","",49,[],37,""
1701,332,6,"Fractured Walls",[963],[],[],"","",5,"","",[2036],"","","",[21],"[19,20]",1,[18],21,"","","","","","","",49,[],37,""
1702,332,7,"Fractured Walls",[963],[],[],"","",5,"","",[2038],"","","",[65],[18],1,[65],65,"","","","","","","",49,[],37,""
1703,332,8,"The Azurite Mine",[963],[],[],"","",3,"","",[2037],"","","",[33],[21],33,[24],1308,"","","","","","","",49,[],49,""
1704,332,9,"The Azurite Mine",[963],[],[],"","",3,"","",[2055],"","","",[34],"[21,24]",34,[25],1308,"","","","","","","",49,[],49,""
1705,332,10,"The Azurite Mine",[963],[],[],"","",3,"","",[2073],"","","",[35],"[21,25]",35,[26],1308,"","","","","","","",49,[],49,""
1706,332,11,"The Azurite Mine",[963],[],[],"","",3,"","",[2090],"","","",[36],"[21,26]",36,[27],1308,"","","","","","","",49,[],49,""
1707,332,12,"The Azurite Mine",[963],[],[],"","",3,"","",[2106],"","","",[37],"[21,27]",37,[],1308,"","","","","","","",49,[],49,""
1708,332,13,"The Darkness",[963],[],[],"","",3,"","",[2047],"","","",[38],[],38,[24],1308,"","","","","","","",49,[],49,""
1709,332,14,"The Darkness",[963],[],[],"","",3,"","",[2065],"","","",[39],[24],39,[25],1308,"","","","","","","",49,[],49,""
1710,332,15,"The Darkness",[963],[],[],"","",3,"","",[2082],"","","",[40],[25],40,[26],1308,"","","","","","","",49,[],49,""
1711,332,16,"The Darkness",[963],[],[],"","",3,"","",[2098],"","","",[41],[26],41,[27],1308,"","","","","","","",49,[],49,""
1712,332,17,"The Darkness",[963],[],[],"","",3,"","",[2115],"","","",[42],[27],42,[],1308,"","","","","","","",49,[],49,""
1713,332,18,"Voltaxic Generator",[963],[],[],"","",3,"","",[2050],"","","",[43],[],43,[24],1308,"","","","","","","",49,[],49,""
1714,332,19,"Voltaxic Generator",[963],[],[],"","",3,"","",[2067],"","","",[44],[24],44,[25],1308,"","","","","","","",49,[],49,""
1715,332,20,"Voltaxic Generator",[963],[],[],"","",3,"","",[2084],"","","",[45],[25],45,[26],1308,"","","","","","","",49,[],49,""
1716,332,21,"Voltaxic Generator",[963],[],[],"","",3,"","",[2100],"","","",[46],[26],46,[27],1308,"","","","","","","",49,[],49,""
1717,332,22,"Voltaxic Generator",[963],[],[],"","",3,"","",[2117],"","","",[47],[27],47,[],1308,"","","","","","","",49,[],49,""
1718,332,23,"Underground Cities",[963],[],[],"","",3,"","",[2051],"","","",[48],[53],48,[24],1308,"","","","","","","",49,[],49,""
1719,332,24,"Underground Cities",[963],[],[],"","",3,"","",[2069],"","","",[49],"[53,24]",49,[25],1308,"","","","","","","",49,[],49,""
