"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName","Description","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
59,"StormRainRanger",3,"https://www.pathofexile.com/passive-skill-tree/3.15.0/AAAABQIBeQBeBS0FtQbnBx4ILgiJDY0OSBGBEZYWvxcmGY4Z1x9BI_YknST9JpUqCyvnMFswcTB8Mfo2PTnUOkI8vj7PP1VAoEHQQzFJUUp9S3hM_02STipRR1VLVYVaGluvXWhdj13yX3Bh4mHrYlpirGOnZ6BsjG1scFJ07Xb3elN6hHrvfXV_K3_Gg22HdonTjAuMNo19jbmNv49glQWVLphTmvGbJpuNnaqgn6OKpAWly6fUrTOxfLVIuXy7473mwzPD5sSiyqnPetCt037UI9jV2sHdRt2o4GnmKedU53To1uyw7YPuDu968NX8xf1u_rr-yP_eAA==","Raider: Storm Rain","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Rain","http://down.qq.com/poe/videos/archetype/StormRain.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/RainBG",1,"","Art/2DArt/UIImages/Common/Archetypes/StormRainClass","",1
60,"EnergyBladeAssassin",5,"https://www.pathofexile.com/passive-skill-tree/AAAABgYBeQQHBL8GIAaiBucHHgj0D6sQkhFQEYETnhXwFr8XsBfcGdcdTx9BH0wgbiL0IzYj9iaVJ6kqCysYLR8wfDIyNj094kcGSO5JUUmxSotMs02SUDBTEFVLVcZd8mHiYetirGLBY0Njp2YkakNqk2sXbAhsC2yMbRltbHBScG50oHiuejt6U3sUfXV9sH_Gg9uJt4nTjAuMNo19j_qSgJKckyeU8ZUglS6bJp2qo4qkBacrqM-tM7Q4tMW5fLvjvjrBAMHFxKLPetDQ037UUtfP2-fdRuUZ53To1utj7BjssO-I8NXxivVL-Jf5N_lj-_X-uv_4AActFSsYlhcEv2-Zkpz7fWLBx8tmJN7y__gfUno7","Assassin: Energy Blade","Transform your energy shield into a lightning blade and cover the screen in spinning copies of it.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Stormblade","http://down.qq.com/poe/videos/archetype/StormbladeShadow.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/StormbladeBG",1,"","Art/2DArt/UIImages/Common/Archetypes/StormbladeShadowClass","",1
61,"PoisonousConcotionPathfinder",3,"https://www.pathofexile.com/passive-skill-tree/AAAABgIDeQBeAO4DhwS1BbUGcAahCC4KmwviDHMNjRIwFSAWvxjvGY4ZtBxfH0Ei4iLqI_YknSaVKk0r5yzpLYMwfDIBNZI2PTdMOuE_Jz9sQNpH4klSSn1KyE2STeNOn1AAUPpRR1VLVslbmWHiYlpirGSmZU1sjG6qcOdzDnaCen99W311f4B_loAihrOHdow2jX2Nv5KAk5mWs5hTm42dqp9toLGjiqQFpDmkeKxHshm0xbTRtUi18rZJtqm5ArvjvTa-p8HVwuzHncgMz3rTfti93vjo1una6xTtg-4O73ryRfUY9qP3E_zF_QH-Cv6P_rr_EP_4AAj1sXDny5gEtT-IlrPkT1D63vL_-Pt9C-IuXbZJ6gK2qQ==","Pathfinder: Poisonous Concotion","Poisons enemies with chaos filled bottles melting their life pools away.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/PoisRang","http://down.qq.com/poe/videos/archetype/PoisonConcRanger.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/PoisRangBG",1,"","Art/2DArt/UIImages/Common/Archetypes/PoisonConcRangerClass","",1
62,"TornadoAscendant",2,"https://www.pathofexile.com/passive-skill-tree/AAAABgABgAMEA-4EswVCBkAG5whnCPQQWBEPES0Wvxg8GFYaOBu0HNwdvh7uIAYgbiaVJy8o-ioLLJww-DGeMtEzbDOHNZI2PTlJOlg62DrhPEtBckGHQZZFR0WdSi5Ms03jUDBTUlVLVcZYF1nzXfJh4mZUaPJqQ2u3bIxwUnGFdhF7X3yDfq9-_YKbgseFe4V9idOMNo0ZjxqQVZM6lPGa4JtRnIudqqIAojKiPqQFpfWmMqelqHKpSKsqq7qsmK0KrrOu_7EFsVu1SLc-uJO40LkCvOq9J8BmxHDQ9dLo1YvVpti92V_aOtq5217djOAS5cDr7uw48B_yRfJ1-Jf56P4K_o8ABc825cBFvKIy58-tCvt9qyrG2n79","Ascendant: Tornado","Uses Spark to turn Tornado into a lightning storm that mows down enemies.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Tornado","http://down.qq.com/poe/videos/archetype/TornadoScion.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/TornadoBG",1,"","Art/2DArt/UIImages/Common/Archetypes/TornadoScionClass","",1
63,"SparkElementalist",1,"https://www.pathofexile.com/passive-skill-tree/AAAABgMCeQDwBAcEswj0C2EQWBEPES0TNRZvFy8XpBo4GmwbNxu0G_EdTx2DHwIkqiSwJNgnLyycL10wWzNsNZI2xTbpOUk6WDrhOz88LUSrRUdG_kwtTItMs03PTeNVrlXGVdZWSFnzXyphKGTnZlRmnmjyahtqQ20ZcAhxhXYRffF-r37HgKSCEIKbg1-DzIPbhW2Fe4bKjRmPppBVkPqdrqEjogCnCKyXrJiu_69stz64XbzqwGbEcMaKxq7PxNQH1YHVptgk2L3ZX9m_2rncjd2M323fsOAS42rkIuWL5cDr5Ow470vwH_JF9S_2ovrS_gr-j_6zAAf68QDwuhovXcbacAiGT7hd-3198QtWz8THMeXA","Elementalist: Spark","Channel the power of lightning to pulverize your foes.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Elementalist","http://down.qq.com/poe/videos/archetype/ElementalistS18.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ElementalistBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ElementalistClass","",1
64,"FirestormInquisitor",6,"https://www.pathofexile.com/passive-skill-tree/AAAABgUBeQKWBAcEswVCCPQLYRBYFHEWbxbzFy8aOB0UHU8i9CSqJjwnLymLKo0snC-dMPgyNDNsNZI22DbpOlg62DrhPC1BlkPISRtJsU3jTwRVxlXWWfNboF8qZOdmnmjyahtqQ2wLbRlxhXKpdqx5sXwOffGAMICkggeCm4Nfg8yD24dljHaOZI9GkFWTJ5tum6Gce50EoSOhx6IAp1WsmKyqrTuu_69sr7e2-rcxtz64XbzqwGbEcMauz37Q9dJ81abXz9i92Xzaud-G42rkvOoY6-TsOOxV7WHviPAf8WzyRfcy96b31_jr-Tf60vuW_gr-j_6zAAW6Gn3xhk-4Xft9ocfqIPuWW6-dBA==","Inquisitor: Firestorm","Call upon holy flames from the heavens to smite your foes.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Inquisitor","http://down.qq.com/poe/videos/archetype/InquisitorS18.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/InquisitorBG.pn",1,"","Art/2DArt/UIImages/Common/Archetypes/InquisitorClass","",1
65,"IceShotDeadeye",3,"https://www.pathofexile.com/passive-skill-tree/AAAABgICeQHRA4cFLQW1CIkKmwxzDY0RgRIwE1AT2hR1FUMV8BkbGYoZtBqPG28j9ichLyQyAUHTQzFHfkkPSVJKfUz_TZJOKlFHVvpbr11oYRBh62JaYqxjp2SKZU1lkmXTZ6BsjHMOdO11y3fXelN67311fyuE74d2jX2NuY2_j2CSgJUFlciXBprxmyadqqOKpHikwqfUrRyv67F8shm0xbp_u-O9Nr6nwdXC7MPmxKLIzMqpzwrPXs960UbRb9N-2sHbRt1G3vjfb9-Y45_jvujW6b3p2upi7g7vj_C79Hz1GPUn9tr3E_iE-wn9bv4J_rr-yP_4AAiGT9FvuhqtHArw9Sf7ffR83ncZG8fL477e8v_4M9Mbbw==","Deadeye: Ice Shot","Concentrate the essence of winter into your arrow tips.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Deadeye","http://down.qq.com/poe/videos/archetype/DeadeyeS18.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/DeadeyeBG",1,"","Art/2DArt/UIImages/Common/Archetypes/DeadeyeClass","",1
66,"IceTrapSaboteur",5,"https://www.pathofexile.com/passive-skill-tree/AAAABgYDeQEkA2UDhwWTBbUGQAceCpsMcw5IEZYT3xmKGo8b4B7wIuoj9iT9JikmlSi9KgswfDIBNxdCLEXyRwZJE0lRSVJLV00NTZJRR1FMUXRTMVVLV9hd8l4DX7Bh4mHrYqxsjG06b3dvnnBRcFJzDnZvelN7DXtffXV-sIP3hMWJt4nTjDaNfY2_jumP-pANkoCS8JTxlS6btZ2qoHmjiqaZpzSsR60cshm0xbd1uZO748DjwWvC7MMJwzrII8pKzerPetDQ0W_TftSN1r7b5-dU6KTo1ejW6_Xw1fGz8h3ydfUY9p_22vb89xP4l_sJ_Ur-uv_eAAi6GgEk-32tHKQe1I2GT9FvS95NDQL7kvAzySi9IGpF8g==","Saboteur: Ice Trap","Surprise your foes with deadly shards of ice.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19IceTrap","http://down.qq.com/poe/videos/archetype/S19IceTrap.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19IceTrap",1,"","Art/2DArt/UIImages/Common/Archetypes/S19IceTrap","",1
67,"PoisonSkeletonsNecromancer",1,"https://www.pathofexile.com/passive-skill-tree/AAAABgMDcgQHBLMI9AthDR8RDxEtFLAVJxZvFy8aHRo4GmwbNxzcHggkmiSqJLAlsicvKpgsnDLRNuk5CzpYOsY66TwoPC1FR0WdRv5HhUqfTC1Ms025Tc9TUlXGVdZWLlnzWpFg-GKGYvRk52ZUZp5ncWf8aPJqQ2qsa9ttGXGycsV8g30YgKSCHoNfg9uFYIV7iECMsY8akDOQVZrgm6Gcvp69oOaiAKasqH2qqarErJitSK1Kr2y7TbzqwGbGisauzLzQH9OP0_vZXtsL3V_fiuNq6QLr7uw47IPv6_Af9S_2ovfX-tL-gQAA","Necromancer: Poison Skeletons","Summon an army of toxic skeletons, corroding everything in your path.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20Necro","http://down.qq.com/poe/videos/archetype/S20Necromancer.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20NecroBG",1,"","Art/2DArt/UIImages/Common/Archetypes/S20PoisonNecro","",1
68,"SunderChieftain",0,"https://www.pathofexile.com/passive-skill-tree/AAAABgEDcQHcA9YFLQU8B3UNzRLhE6UUIBRNFTYXjBebGJEZLho4HM4gBiFVIq8m8ycvJ-0rUC3SLlMw-DNsNmI26DgwOFM6UjrYPFs9_Ed-UEdYY1ivWfNfP2EhYVJiUGS1ZU1mVGebcYVyqXTtdqx253fjd-V5aHmxeu982X35gpuE2YTvhXuGYIidjM-NaJBVkc6fy6IAqW6sqq07r42vp7l-u-28n702vqfApsEExKTE9sVTxYrGBMaqxtjPZ89-02_audrB3DLcPeRR5FXqGOp_7DjvDvCi9jP2SPcy-Ov8S_5U_lgAAA==","Chieftain: Sunder","Bend the earth to your will, churning the ground to engulf your foes.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20Sunder","http://down.qq.com/poe/videos/archetype/S20Chieftain.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20SunderBG",1,"","Art/2DArt/UIImages/Common/Archetypes/S20Sunder","",1
69,"LightningConduitTrickster",5,"https://www.pathofexile.com/passive-skill-tree/AAAABgYCbQQHBUIFkwW1BkAHHgj0DkgQWBEPEZYWvxbzGGogbiLqIvQmKSY8JpUsnC19L50yATOjOlhBlkcGSRNJUUlSSbFMg0yzUDBQQlM1VUtVxlgHWrld8l4DXyph4mKsY0NknWpDbAhsC2yMbRlwUnMOdIF2EXgve1985X6vg9uD94m3idOLDow2jb-P-pMnlPGVLp2qo6Ous7IZtMW1hbzqwWvBtMHFwuzII8y3z3rQ0ND11XXXz9o7217b5-M45Fbo1uvk6_XsGO9Q74jw1fGK8h3ydfUY9xP4l_k3AAA=","Trickster: Lightning Conduit","Channel lightning from the heavens itself, devastating all that is around you.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20LightningConduitBG","http://down.qq.com/poe/videos/archetype/S20Trickster.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S20LightningConduitBG",1,"","Art/2DArt/UIImages/Common/Archetypes/S20LightningConduit","",1
70,"IceCrashFrozenLegionInquisitor",6,"https://www.pathofexile.com/passive-skill-tree/AAAABgUBeQKWBLMHdQirCLEOPBArE3EUIBRNFHEWbxcvF5sYXRiRGjgabCFVJKonCycvKYsw-DHhMfs2YjboNuk4MDpSOtg__EFyRUdL2VBHVdZYrlivWfNepV8_YVJktWTncql2Xnasd-V5aH7Hf-OApIIHgpuDtoSDhmCG0YkuiZWLjJBVkm6SfZMHkw-XCJhvm1Gbbp2un8uhx6IApwinpai5qW6sqq2NrfG5Q7xWvJq8n762wGbApsEExKTJZ89-0nzSxdl82t3cI9w93IzjauQi5FHkVeWL5c_mfehm6hjqf-8O7yHyQfcy-Ov52_nd-tL8S_5YAAT7faHHuhoQKwZaiS7Hy4mV?","Inquisitor: Frozen Legion","Conjour statues that sweeps away all foes with a deadly and swift frozen slash.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21FrozenLegionBG","http://down.qq.com/poe/videos/archetype/S21FrozenLegion.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21FrozenLegionBG",1,1,"Art/2DArt/UIImages/Common/Archetypes/S21FrozenLegion","",""
71,"VolcanicFissureBerserker",0,"https://www.pathofexile.com/passive-skill-tree/AAAABgECeQHcBS0NjRArE1AUIBRNFHEUdRU2F5sYkRkuGwAhkCGsIq8nCyftMHcx4TH7MgkyfjWSNug4UzpSPfxDMUd-SQ9KfUz_TipQR1hjWK9Z_luvXqBfP1_QYSFiUGRSZU1nm2egagRqpWq9bEZvO3JsdO12rHbnd-N4DXloeu982X37f-OCB4N5g7aE2YTvhmCG0Ydqh3aInYyJjM-PYJ_LonukwqdtqW6plK2NtfK8i7yfvTa-p8AawQTBo8NoxKTG2M8Kz37Yvdlh2XzaweDY4mHjn-RR5MPqEOoY6n_vDvR89jP2SPcy-F_46_uW_Ev9MP94AAlL3oN5-330fAAlvIu6GhAr6iD7lgrw5MM3foyJBlobACOAXqA=?","Berserker: Volcanic Fissure","Crack open the lands and releash its pent up fury, engulfing enemies in an explosion of magma.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21VolcanicFissureBG","http://down.qq.com/poe/videos/archetype/S21VolcanicFissure.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21VolcanicFissureBG",1,1,"Art/2DArt/UIImages/Common/Archetypes/S21VolcanicFissure","",""
72,"WinterVortexOccultistNew",1,"https://www.pathofexile.com/passive-skill-tree/AAAABgMBeQFvBZMHHguPEK4RDxEtEVARlhZvFy8XVBpsGnIdTx8CH8ci9CSqK3grmiycLYsvby_WNsU26TeBPmVCekcGSRNJUUmxTC1RdFKXUrJTjVPUVK5V1lgxXPRfKmTnZXJmnmnYahtqq2sXbAttGXC7dFV2uXpwfPB9sH3Sfll-oX_GgKSESIWxhneHH4t6i5KMdo2CjumPRo_6kQeTJ5Uum6Gdrp33nwGfSKVnppmnCKcrqOqsmLQftzG6Drv2w23II82vzxrQ0NHk1mfXz9gk2MPZE9rd23rfiuNW42rkIusK62PsGO-I8NX31_k3-tL7Y_6zAAhontZnUJZSl0bSXPRMJ-sKtlCd9-6p2MNzkmqrR312uQ==?","Occultist: Winter Vortex","Chill enemies to their bones with the new Winter Brand skill. Conjure deadly vortexes to slow enemies while your Brands batter foes to their death.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21WinterVortexBG","http://down.qq.com/poe/videos/archetype/S21WinterVortex.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S21WinterVortexBG",1,1,"Art/2DArt/UIImages/Common/Archetypes/S21WinterVortex","",""
