"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect","row"
809,77,38,"[1857,0,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
810,77,39,"[1857,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Help Silk to access the second level of the Chamber of Sins and the Den.","","Help Silk to access the Chamber of Sins Level 2",[94],0,"[""Help Silk to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
811,77,40,"[1857,0,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
812,77,41,"[1857,0,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
813,77,42,"[1857,0,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
814,77,43,"[1857,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Defeat Maligaro to lower the barrier to the second level of the Chamber of Sins and the Den.","","Defeat Maligaro to access the Chamber of Sins Level 2",[93],0,"[""Defeat Maligaro to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
815,77,44,"[1857,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
816,77,45,"[1857,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
817,77,46,"[1857,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
818,77,47,[1857],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Talk to Sin about how to lower the barrier to the second level of the Chamber of Sins and the Den.","","Talk to Sin",[89],0,"[""Talk to Sin about how to access the Chamber of Sins Level 2 and reach the Den""]",[],[],"",[],[],10,"",216
819,77,48,"[1271,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],[],10,"",216
820,77,49,"[1271,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],[],10,"",216
821,77,50,"[1271,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],[],10,"",216
822,77,51,[1271],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked, but there is another way through the Den. Find a way to access the Den.","","Find a way into the Den",[94],0,"[""Find a way into the Den""]",[],[],"",[],[],10,"",216
823,77,52,"[1270,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],[],10,"",216
824,77,53,"[1270,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],[],10,"",216
825,77,54,"[1270,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],[],10,"",216
826,77,55,[1270],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. The path from the Crossroads is blocked. Talk to Helena to find another way around.","","Talk to Helena",[89],0,"[""Talk to Helena about how to reach the old Forest Encampment""]",[],[],"",[],[],10,"",216
827,77,56,"[1269,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],[],10,"",216
828,77,57,"[1269,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],[],10,"",216
829,77,58,"[1269,0]",[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],[],10,"",216
830,77,59,[1269],[],"The god Ralakesh has possessed Greust and taken over the old Forest Encampment. Kill Greust to defeat Ralakesh.","","Travel to the old Forest Encampment and kill Greust",[97],0,"[""Travel to the old Forest Encampment\nKill Greust to defeat Ralakesh""]",[],[],"",[],[],10,"",216
831,78,0,[1278],[],"Quest Complete - You have killed Maligaro. Helena has rewarded you.",1,"",[],0,[],[],[],"",[],[],10,"",216
832,78,1,[1279],[],"Quest Complete - You have killed Maligaro. Talk to Helena for your reward.","","Quest Complete",[89],0,[],[],[],"",[],[],10,"",216
833,78,2,[1280],[],"You have killed Maligaro and Sin has harvested his soul. Talk to Helena for your reward.","","Talk to Helena for your reward",[89],0,"[""Talk to Helena for your reward""]",[],[],"",[],[],10,"",216
834,78,3,[1281],[],"Sin wants you to kill Maligaro, so he can harvest his soul. You have found him in his Sanctum, now you must fight him and kill him.","","Kill Maligaro",[95],0,"[""Kill Maligaro""]",[95],[],"",[],[],10,"",216
835,78,4,[1261],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have entered Maligaro's Sanctum, search for him and kill him.","","Find Maligaro",[95],0,"[""Find Maligaro and kill him""]",[],[],"",[],[],10,"",216
836,78,5,[1282],[],"Sin wants you to kill Maligaro, so he can harvest his soul. You have opened the portals using his Map, now enter Maligaro's Sanctum.","","Enter Maligaro's Sanctum",[95],0,"[""Enter Maligaro's Sanctum""]",[],[],"",[],[],10,"",216
837,78,6,"[1283,0]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","",[94],0,"[""Use Maligaro's Map in his Map Device""]",[94],[],"",[],[],10,"",216
838,78,7,"[1283,0,0]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","",[94],0,"[""Use Maligaro's Map in his Map Device""]",[94],[],"",[],[],10,"",216
839,78,8,"[1283,0]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have Maligaro's Map, you can search for him in the Chamber of Sins.","","",[94],0,"[""Find Maligaro""]",[94],[],"",[],[],10,"",216
840,78,9,"[1283,0]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Use Maligaro's Map in the Reverie Device in the Chamber of Sins to find him.","","Use Maligaro's Map in his Map Device",[94],0,"[""Travel to the Chamber of Sins\nUse Maligaro's Map in his Map Device""]",[],[],"",[],[],10,"",216
841,78,10,[1283],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Now that you have Maligaro's Map, you can search for him in the Chamber of Sins.","","Find Maligaro in the Chamber of Sins",[94],0,"[""Travel to the Chamber of Sins\nFind Maligaro""]",[],[],"",[],[],10,"",216
842,78,11,"[1285,0]",[],"Sin wants you to kill Maligaro, so he can harvest his soul. Search the Crypt beneath the Fellshrine for Maligaro's Map, which will lead you to him.","","Find Maligaro's Map",[93],0,"[""Find Maligaro's Map""]",[93],[],"",[],[],10,"",216
843,78,12,[1285],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Travel to the Crypt beneath the Fellshrine and search for Maligaro's Map, which will lead you to him.","","Find Maligaro's Map in the Fellshrine Crypt",[93],0,"[""Travel to the Fellshrine Crypt\nFind Maligaro's Map""]",[],[],"",[],[],10,"",216
844,78,13,[1286],[],"Sin wants you to kill Maligaro, so he can harvest his soul. Talk to Helena about how to reach him.","","Talk to Helena",[89],0,"[""Talk to Helena to find out how to reach Maligaro""]",[],[],"",[],[],10,"",216
845,78,14,[1254],[],"Talk to Sin in town about Maligaro.","","",[89],0,"[""Talk to Sin""]",[],[],"",[],[],10,"",216
846,79,0,[1287],[],"Quest Complete - You have delivered the Black Venom to Silk and he has rewarded you with the Obsidian Key.",1,"",[],0,[],[],[],"",[],[],10,"",216
847,79,1,[1288],[],"Quest Complete - You have delivered the Black Venom to Silk and he has rewarded you with the Obsidian Key.",1,"",[],0,[],[],[],"",[],[],10,"",216
848,79,2,[1290],[],"You have delivered the Black Venom to Silk. Talk to him for your reward.","","",[94],0,"[""Talk to Silk for your reward""]",[94],[],"",[],[],10,"",216
849,79,3,[1291],[],"You have killed Maligaro and his pet spider, Black Death. Deliver the Black Venom to Silk in the Chamber of Sins for your reward.","","Bring the Black Venom to Silk",[94],0,"[""Bring the Black Venom to Silk""]",[],[],"",[],[],10,"",216
850,79,4,[1280],[],"You have killed Maligaro and his pet spider, Black Death. Take the Black Venom and deliver it to Silk.","","Take the Black Venom",[95],0,"[""Take the Black Venom""]",[95],[],"",[],[],10,"",216
851,79,5,[1281],[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider. Kill it and Maligaro to obtain some Black Venom.","","",[95],0,"[""Kill Maligaro and Black Death""]",[95],[],"",[],[],10,"",216
852,79,6,"[1292,0]",[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider. Search for it in Maligaro's Sanctum.","","",[95],0,"[""Search Maligaro's Sanctum for the Black Venom""]",[],[],"",[],[],10,"",216
853,79,7,[1292],[],"Silk has asked to you to retrieve some venom from Black Death, Maligaro's pet spider.","","Open Maligaro's Map and find the Black Venom",[95],0,"[""Open Maligaro's Map and find the Black Venom""]",[],[],"",[],[],10,"",216
854,80,0,[1373],[],"Quest Complete - You have killed Arakaali and gained access to Act 8.",1,"",[],0,[],[],[],"",[],[],10,"",216
855,80,1,[1294],[],"You have killed Arakaali and gained access to Act 8, but failed to save Silk.","","The exit to Act 8 is now open",[102],0,"[""The exit to Act 8 is now open""]",[102],[],"",[],[],10,"",216
856,80,2,[1295],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Kill Arakaali at the heart of the Temple of Decay to save Silk.","","Kill Arakaali",[102],0,"[""Kill Arakaali""]",[102],[],"",[],[],10,"",216
857,80,3,[1268],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Search the Temple of Decay for Silk and save him from Arakaali.","","",[102],0,"[""Find Silk and Arakaali""]",[102],[],"",[],[],10,"",216
858,80,4,[1298],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Enter Arakaali's temple and save him.","","Enter Arakaali's temple and save Silk",[102],0,"[""Enter Arakaali's temple and save Silk""]",[],[],"",[],[],10,"",216
859,80,5,[1296],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find a way to get past the webs blocking the entrance to Arakaali's temple.","","Find a way into the Arakaali's temple",[102],0,"[""Find a way into the Arakaali's temple""]",[],[],"",[],[],10,"",216
860,80,6,"[1297,0,0]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him in Arakaali's temple and save him.","","",[102],0,"[""Find Arakaali's temple and save Silk""]",[],[],"",[],[],10,"",216
861,80,7,"[1297,0]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him and save him from Arakaali.","","",[102],0,"[""Find Silk and save him from Arakaali""]",[],[],"",[],[],10,"",216
862,80,8,"[1297,0]",[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him in Arakaali's temple and save him.","","Find Arakaali's temple and save Silk",[94],0,"[""Find Arakaali's temple and save Silk""]",[],[],"",[],[],10,"",216
863,80,9,[1297],[],"Silk is consorting with Arakaali, an ancient Vaal goddess. Find him and save him from Arakaali.","","Find Silk and save him from Arakaali",[94],0,"[""Find Silk and save him from Arakaali""]",[],[],"",[],[],10,"",216
864,83,0,[1298],[],"Quest Complete - You have delivered the Fireflies to Yeena. She has burned open the entrance to the Temple of Decay.",1,"",[],0,[],[],[],"",[],[],10,"",216
865,83,1,"[1300,0,0,0,1301,0,0,0]",[],"Yeena needs seven Fireflies to burn open the entrance to Arakaali's temple. Deliver them to her at the entrance to the temple.","","Deliver the Fireflies to Yeena at Arakaali's temple",[102],0,"[""Deliver the Fireflies to Yeena at Arakaali's temple""]",[],[],"",[],[],10,"",216
866,83,2,"[1300,0,0,0,1301,0,0,0]",[],"Yeena needs seven Fireflies to burn open the entrance to Arakaali's temple. Deliver them to her at the entrance to the temple.","","Deliver the Fireflies to Yeena at Arakaali's temple",[102],0,"[""Deliver the Fireflies to Yeena at Arakaali's temple""]",[],[],"",[],[],10,"",216
867,83,3,"[1300,0,0,0,1301,0,0]",[],"Bring the Fireflies to Yeena in town.","","Deliver the Fireflies to Yeena",[89],0,"[""Deliver the Fireflies to Yeena""]",[],[],"",[],[],10,"",216
868,83,4,[1300],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
869,83,5,[1301],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
870,83,6,[1302],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
871,83,7,[1303],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
872,83,8,[1304],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
873,83,9,[1305],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
874,83,10,[1306],[],"Search for the Fireflies in the Dread Thicket, then deliver them to Yeena.","","",[99],0,"[""Search the Dread Thicket for the remaining Fireflies""]",[99],[],"",[],[],10,"",216
875,83,11,[1307],[],"Yeena needs seven Fireflies to burn open the entrance to Arakaali's temple. Search for them in the Dread Thicket.","","Search the Dread Thicket for Fireflies",[99],0,"[""Search the Dread Thicket for Fireflies""]",[],[],"",[],[],10,"",216
876,81,0,[1308],[],"Quest Complete - You have delivered the Silver Locket to Weylam. He has rewarded you.",1,"",[],0,[],[],[],"",[],[],10,"",216
877,81,1,[1309],[],"Quest Complete - You have delivered the Silver Locket to Weylam. Talk to him for a reward.","","Quest Complete",[89],0,[],[],[],"",[],[],10,"",216
878,81,2,[1310],[],"You have delivered the Silver Locket to Weylam. Talk to him for a reward.","","",[89],0,"[""Talk to Weylam for your reward""]",[],[],"",[],[],10,"",216
879,81,3,[1311],[],"You have found Weylam's Silver Locket. Deliver it to him for a reward.","","Deliver the Silver Locket to Weylam",[89],0,"[""Deliver the Silver Locket to Weylam""]",[],[],"",[],[],10,"",216
880,81,4,[1312],[],"Weylam has asked you to find his Silver Locket, buried near the Broken Bridge.","","Find Weylam's Silver Locket",[90],0,"[""Find Weylam's Silver Locket""]",[],[],"",[],[],10,"",216
881,82,0,[1313],[],"Quest Complete - You have found Kishara's Star and delivered it to Weylam. He has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
882,82,1,[1314],[],"You have found Kishara's Star and delivered it to Weylam. He has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
883,82,2,[1316],[],"You have found Kishara's Star and delivered it to Weylam. Talk to him for your reward.","","",[89],0,"[""Talk to Weylam for your reward""]",[],[],"",[],[],10,"",216
884,82,3,[1317],[],"You have found Kishara's Star. Deliver it to Weylam for a reward.","","Deliver Kishara's Star to Weylam",[89],0,"[""Deliver Kishara's Star to Weylam""]",[],[],"",[],[],10,"",216
885,82,4,"[1318,0]",[],"Weylam has asked you to find Kishara's Star, an ancient Vaal relic that he wants to gift to his granddaughter, Lilly. Its last known location is the Causeway.","","Find Kishara's Star",[100],0,"[""Find Kishara's Star""]",[100],[],"",[],[],10,"",216
886,82,5,[1318],[],"Weylam has asked you to find Kishara's Star, an ancient Vaal relic that he wants to gift to his granddaughter, Lilly. Its last known location is the Causeway.","","",[100],0,"[""Travel to the Causeway\nFind Kishara's Star""]",[],[],"",[],[],10,"",216
887,84,0,[1376],[],"Quest Complete - You have placed Greust's Necklace on the Azmeri shrine and put his spirit to rest. Helena has rewarded you.",1,"",[],0,[],[],[],"",[],[],10,"",216
888,84,1,[1377],[],"Quest Complete - You have placed Greust's Necklace on the Azmeri shrine and put his spirit to rest. Talk to Helena for your reward.","","Quest Complete",[89],0,[],[],[],"",[],[],10,"",216
889,84,2,[1379],[],"You have placed Greust's Necklace on the Azmeri shrine and put his spirit to rest. Talk to Helena for your reward.","","Talk to Helena",[89],0,"[""Talk to Helena for your reward""]",[],[],"",[],[],10,"",216
890,84,3,"[1380,0]",[],"You have found the Azmeri shrine in the Northern Forest. Place Greust's Necklace on the shrine for Helena.","","Place Greust's Necklace on the Azmeri shrine",[98],0,"[""Place Greust's Necklace on the Azmeri shrine""]",[98],[],"",[],[],10,"",216
891,84,4,[1380],[],"You have received Greust's Necklace from Helena. Take it to the Azmeri shrine in the Northern Forest.","","Take Greust's Necklace to the shrine in the Northern Forest",[98],0,"[""Take Greust's Necklace to the shrine in the Northern Forest""]",[],[],"",[],[],10,"",216
892,84,5,[1382],[],"Helena has asked you to deliver Greust's Necklace to the Azmeri shrine in the Northern Forest. Take it from her and bring it there.","","Take Greust's Necklace",[89],0,"[""Take Greust's Necklace from Helena""]",[],[],"",[],[],10,"",216
893,84,6,[161],[],"You have found an ancient Azmeri shrine in the Northern Forest. Ask Helena about it in town.","","Ask Helena about the Azmeri Shrine",[89],0,"[""Ask Helena about the Azmeri Shrine""]",[],[],"",[],[],10,"",216
894,85,0,[1383],[],"Quest Complete - You have killed Gruthkul, the Mother of Despair. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
895,85,1,[1384],[],"Quest Complete - You have killed Gruthkul, the Mother of Despair. Eramir has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
896,85,2,[1386],[],"You have killed Gruthkul, the Mother of Despair. Talk to Eramir for your reward.","","Talk to Eramir",[89],0,"[""Talk to Eramir for your reward""]",[],[],"",[],[],10,"",216
897,85,3,[1387],[],"Sin has asked you to kill Gruthkul, the Mother of Despair. You have found her in the Dread Thicket, now kill her.","","Kill Gruthkul",[99],0,"[""Kill Gruthkul""]",[99],[],"",[],[],10,"",216
898,85,4,"[1388,0]",[],"Sin has asked you to kill Gruthkul, the Mother of Despair. She can be found in the Dread Thicket.","","",[99],0,"[""Kill Gruthkul""]",[99],[],"",[],[],10,"",216
899,85,5,[1388],[],"Sin has asked you to kill Gruthkul, the Mother of Despair. She can be found in the Dread Thicket.","","Kill Gruthkul",[99],0,"[""Travel to the Dread Thicket\nKill Gruthkul""]",[],[],"",[],[],10,"",216
900,86,0,[1421],[],"Quest Complete - You have killed Doedre and Sin has harvested her soul. Hargan has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
901,86,1,[1422],[],"Quest Complete - You have killed Doedre and Sin has harvested her soul. Talk to Hargan in town for a reward.","","",[104],0,[],[],[],"",[],[],10,"",216
902,86,2,[1423],[],"You have killed Doedre and Sin has harvested her soul. Talk to Hargan in town for a reward.","","Talk to Hargan for your reward",[104],0,"[""Talk to Hargan for your reward""]",[],[],"",[],[],10,"",216
903,86,3,[1424],[],"Sin wants you to kill Doedre, so he can harvest her soul. She is in the Sewers next to town. Kill her.","","Kill Doedre",[105],0,"[""Kill Doedre""]",[105],[],"",[],[],10,"",216
904,86,4,"[1425,0]",[],"Sin wants you to kill Doedre, so he can harvest her soul. Find her in the Sewers next to town and kill her.","","",[105],0,"[""Kill Doedre""]",[105],[],"",[],[],10,"",216
905,86,5,[1472],[],"Sin wants you to kill Doedre, so he can harvest her soul. Find her in the Sewers next to town and kill her.","","Kill Doedre in the Sewers",[105],0,"[""Travel to the Sewers\nKill Doedre""]",[],[],"",[],[],10,"",216
906,86,6,[1425],[],"Sin wants you to kill Doedre, so he can harvest her soul. Find someone in town who knows where she is.","","Find and kill Doedre",[104],0,"[""Find and kill Doedre""]",[],[],"",[],[],10,"",216
907,86,7,[1373],[],"Find Sin at the Sarn Encampment and talk to him about Doedre Darktongue.","","Meet Sin at the Sarn Encampment",[104],0,"[""Meet Sin at the Sarn Encampment""]",[],[],"",[],[],10,"",216
908,87,0,[1500],[],"Quest Complete - You have killed Lunaris and gained access to Act 9.",1,"",[],0,[],[],[],"",[],[],10,"",216
909,87,1,[1426],[],"Quest Complete - You have killed Lunaris and gained access to Act 9.","","The exit to Act 9 is now open",[116],0,"[""The exit to Act 9 is now open""]",[116],[],"",[],[],10,"",216
910,87,2,[1427],[],"You have used the Moon Orb to summon Lunaris. Kill her.","","Kill Solaris and Lunaris",[116],0,"[""Kill Solaris and Lunaris""]",[116],[],"",[],[],10,"",216
911,87,3,"[1428,0]",[],"Take the Moon Orb to the Harbour Bridge and summon Lunaris.","","Take the Sun and Moon Orbs to the Harbour Bridge",[116],0,"[""Take the Moon Orb to the Harbour Bridge""]",[],[],"",[],[],10,"",216
912,87,4,[1428],[],"You also need to find the Sun Orb in order to summon Lunaris.","","Find the Sun Orb",[115],0,"[""Find the Sun Orb""]",[],[],"",[],[],10,"",216
913,87,5,[1429],[],"You have killed Dusk. Take the Moon Orb.","","Take the Moon Orb",[110],0,"[""Take the Moon Orb""]",[110],[],"",[],[],10,"",216
914,87,6,[1430],[],"Kill Dusk, who is guarding the Moon Orb.","","Kill Dusk",[110],0,"[""Kill Dusk""]",[110],[],"",[],[],10,"",216
915,87,7,"[1485,0]",[],"Search the Lunaris Temple for the Moon Orb and use it to summon Lunaris herself.","","",[110],0,"[""Find the Moon Orb""]",[110],[],"",[],[],10,"",216
916,87,8,[1485],[],"Search the Lunaris Temple for the Moon Orb and use it to summon Lunaris herself.","","Find the Moon Orb",[110],0,"[""Travel to the Lunaris Temple\nFind the Moon Orb""]",[],[],"",[],[],10,"",216
917,87,9,[1423],[],"You have found a way through the Sewers. Talk to Maramoa about the location of the Moon Orb.","","",[104],0,"[""Talk to Maramoa""]",[],[],"",[],[],10,"",216
918,87,10,[1431],[],"Find a way through the Sewers so you can search for the Moon Orb.","","Find a way through the Sewers",[105],0,"[""Find a way through the Sewers""]",[],[],"",[],[],10,"",216
919,88,0,[1426],[],"Quest Complete - You have killed Solaris.",1,"",[],0,[],[],[],"",[],[],10,"",216
920,88,1,[1427],[],"You have used the Sun Orb to summon Solaris. Kill her.","","",[116],0,"[""Kill Solaris and Lunaris""]",[116],[],"",[],[],10,"",216
921,88,2,"[1432,0]",[],"Take the Sun Orb to the Harbour Bridge and summon Solaris.","","",[116],0,"[""Take the Sun Orb to the Harbour Bridge""]",[],[],"",[],[],10,"",216
922,88,3,[1432],[],"You also need to find the Moon Orb in order to summon Solaris.","","Find the Moon Orb",[110],0,"[""Find the Moon Orb""]",[],[],"",[],[],10,"",216
923,88,4,[1433],[],"You have killed Dawn. Take the Sun Orb.","","Take the Sun Orb",[115],0,"[""Take the Sun Orb""]",[115],[],"",[],[],10,"",216
924,88,5,[1434],[],"Kill Dawn, who is guarding the Sun Orb.","","Kill Dawn",[115],0,"[""Kill Dawn""]",[115],[],"",[],[],10,"",216
925,88,6,"[1484,0]",[],"Search the Solaris Temple for the Sun Orb and use it to summon Solaris herself.","","",[115],0,"[""Find the Sun Orb""]",[115],[],"",[],[],10,"",216
926,88,7,[1484],[],"Search the Solaris Temple for the Sun Orb and use it to summon Solaris herself.","","Find the Sun Orb",[115],0,"[""Travel to the Solaris Temple\nFind the Sun Orb""]",[],[],"",[],[],10,"",216
927,88,8,[1423],[],"You have found a way through the Sewers. Talk to Maramoa about the location of the Sun Orb.","","",[104],0,"[""Talk to Maramoa""]",[],[],"",[],[],10,"",216
928,88,9,[1431],[],"Find a way through the Sewers so you can search for the Sun Orb.","","Find a way through the Sewers",[105],0,"[""Find a way through the Sewers""]",[],[],"",[],[],10,"",216
929,89,0,[1435],[],"Quest Complete - You have killed Yugul, Reflection of Terror. Hargan has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
930,89,1,[1436],[],"Quest Complete - You have killed Yugul, Reflection of Terror. Hargan has rewarded you with a Book of Skill. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
931,89,2,[1438],[],"You have killed Yugul, Reflection of Terror. Talk to Hargan for a reward.","","Talk to Hargan for your reward",[104],0,"[""Talk to Hargan for your reward""]",[],[],"",[],[],10,"",216
932,89,3,[1439],[],"Sin wants you to kill Yugul, Reflection of Terror, who can be found in the High Gardens.","","Kill Yugul",[107],0,"[""Kill Yugul""]",[107],[],"",[],[],10,"",216
933,89,4,"[1440,0]",[],"Sin wants you to kill Yugul, Reflection of Terror, who can be found in the High Gardens.","","",[107],0,"[""Kill Yugul""]",[107],[],"",[],[],10,"",216
934,89,5,[1440],[],"Sin wants you to kill Yugul, Reflection of Terror, who can be found in the High Gardens.","","Kill Yugul",[107],0,"[""Travel to the High Gardens\nKill Yugul""]",[],[],"",[],[],10,"",216
935,90,0,[1441],[],"Quest Complete - You have delivered the Wings of Vastiri to Hargan. He has rewarded you.",1,"",[],0,[],[],[],"",[],[],10,"",216
936,90,1,[1443],[],"Quest Complete - You have delivered the Wings of Vastiri to Hargan. Talk to him for a reward.","","Quest Complete",[104],0,[],[],[],"",[],[],10,"",216
937,90,2,[1444],[],"Deliver the Wings of Vastiri to Hargan in town for a reward.","","Deliver the Wings of Vastiri to Hargan",[104],0,"[""Deliver the Wings of Vastiri to Hargan""]",[],[],"",[],[],10,"",216
