"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
1282,"blood_stance","You are in Blood Stance, deal more area damage with melee attacks, and have less area of effect with melee attacks.","",1,"Blood Stance","[9316,9384,9383,4943,12925]",1,2,"","","","",10,1048,1,"",1,"",1,1,"",0,"","","","","","",4,"",1,0,[],"","",[],"",[],[],"[9316,9384,9383,4943,12925]",[],"","","","","","",[],"",[]
1283,"sand_stance","You are in Sand Stance, deal less area damage with melee attacks, and have more area of effect with melee attacks.","",1,"Sand Stance","[9317,9384,9383,175,9212]",1,2,"","","","",10,1047,1,"",1,"",1,1,"",0,"","","","","","",4,"",1,0,[],"","",[],"",[],[],"[9317,9384,9383,175,9212]",[],"","","","","","",[],"",[]
1284,"berserk","You deal more damage, have more attack speed, more movement speed and take less damage.","","","Berserk","[9323,9326,9327,9324,9851,9566,717,2603,646]",1,2,"","","",1,28,1054,1,"",1,"",1,1,"",0,"","BerserkBuff","","","","",4,"","",0,[],"","",[],"",[],[],"[9323,9326,9327,9324,9851,9566,717,2603,646]",[],"","","","","","",[],"",[]
1285,"frozen_in_time","","","","","[9333,477]","",2,"","","","",28,1051,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],"[9325,978,1303]","[9333,477]",[],"","","","","","",[],"",[]
1286,"shrine_resonating","You have a chance to gain a Power, Frenzy or Endurance Charge on Hit and on Kill, and gain extra bonuses from Charges.","",1,"Charged Shrine","[7477,3943,555,364,500,6453,446,142,9545,5701]",1,3,"","","","",28,1052,1,"",7,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[7477,3943,555,364,500,6453,446,142,9545,5701]",[17391],"","","","","","",[],"",[]
1287,"shrine_gloom","You gain a portion of Non-Chaos Damage as extra Chaos Damage and Enemies you Kill have a chance to Explode, dealing a portion of their Maximum Life as Chaos Damage. ","",1,"Gloom Shrine","[7119,4471,5701]",1,3,"","","","",28,1053,1,"",7,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[7119,4471,5701]",[17391],"","","","","","",[],"",[]
1288,"support_slashing_movement_skill_buff","Your next Travel skill will be faster. Doesn't apply to skills supported by Close Combat Support.","","","Combat Rush",[9341],1,2,"","","","",28,1090,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9341],[],"","","","","","",[],"",[]
1289,"tormented_spirit_tether","",1,"","",[],1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1290,"magnetic_charge_aura","",1,"","",[9394],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9394],[],"","","","","","",[],"",[]
1291,"legion_banner_aura","You are dealing increased Damage, have increased Attack and Cast speed and take reduced Damage.","","","Eternal Empire Aura","[24,717,1903,477]",1,3,"","","","",28,1058,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[24,717,1903,477]",[],"","","","","","",[],"",[]
1292,"remove_when_aura_removed","",1,"","",[],1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","RemoveWhenAuraRemoved","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1293,"blood_armour","You are in Blood Stance, nearby enemies are maimed and take increased physical damage.","",1,"Flesh","[9316,1074,13026]",1,2,"","","","",11,1061,1,"",1,"",1,1,"",0,"","BloodSandArmour","","","","",4,"",1,0,[],"","",[],"",[],[],"[9316,1074,13026]",[],"","","","","","",[],"",[]
1294,"sand_armour","You are in Sand Stance, nearby enemies are blinded and you take less damage from enemies which are not nearby.","",1,"Stone","[9317,9525,1074,13026]",1,2,"","","","",11,1060,1,"",1,"",1,1,"",0,"","BloodSandArmour","","","","",4,"",1,0,[],"","",[],"",[],[],"[9317,9525,1074,13026]",[],"","","","","","",[],"",[]
1295,"sand_armour_debuff","",1,"","",[9524],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9524],[],"","","","","","",[],"",[]
1296,"legion_reward_display","",1,"","","[2442,9859,17579]",1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","LegionRewardDisplay","","","","",4,"","",0,[],"","",[],"",[],[],"[2442,9859,17579]",[],"","","","","","",[],"",[]
1297,"life_recoup","",1,"","",[17796],1,1,"","","","",28,0,1,1,17,"",1,"","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[17796],[],"","","","","","",[],"",[]
1298,"negative_life_recoup","",1,"","",[17797],1,1,"","","","",28,0,1,1,17,"",1,"","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[17797],[],"","","","","","",[],"",[]
1299,"player_physical_damage_aura","You will take more physical damage from all sources. This effect will become more powerful as you stay in this aura longer.","","","Pride","[9752,1034,5223]",1,3,"","","","",28,1067,1,"",2,"",1,1,"",0,"","PhysicalDamageAura","",1,"","",4,"",1,0,[],"","",[],"",[],[],"[9752,1034,5223]",[],"","","","","","",[],"",[]
1300,"flask_draining_lasso","You are being slowed by Aukuna's Lasso and are losing flask charges! Run away to break the tether.","","","Aukuna's Lasso","[9575,9574]",1,3,"","","","",28,1084,1,"",2,"",1,1,"",0,"","FlaskDrainingDebuff","","","","",4,"","",0,[],"","",[],"",[],[],"[9575,9574]",[],"","","","","","",[],"",[]
1301,"attached_retract_arrow","You have been punctured by Lioneye's Arrows. It will cause Bleeding and Maim when he retracts them out of you.","","","Lioneye's Arrows",[],1,4,1,"",9578,"",28,1073,1,"",2,"",1,1,"",0,"","AttachedRetractArrow","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1302,"soulrend_physical","You are taking Physical Damage over time","","","Soulrend",[354],1,3,"","","",1,28,999,1,"",2,"",1,1,"",0,"","SoulrendDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
1303,"generic_monster_enrage_invisible","",1,"","Enrage","[177,70,24,477,216]",1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,70,24,477,216]",[],"","","","","","",[],"",[]
1304,"elemental_ailments_go_to_owner","",1,"","",[9610],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9610],[],"","","","","","",[],"",[]
1305,"necromancer_skeleton_buff","",1,"","","[177,70]",1,3,"","","","",28,1076,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,70]",[],"","","","","","",[],"",[]
1306,"champion_planted_banner_regen_aura","",1,"","",[451],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
1307,"number_of_endurance_charges_lost_recently","",1,"","",[],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"ActionRecentlyCounterBuff","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1308,"berserker_warcry","",1,"","","[24,70]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[24,70]",[],"","","","","","",[],"",[]
1309,"bane_of_legends_movement_speed","",1,"","",[177],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
1310,"bane_of_legends_attack_speed","",1,"","",[70],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[70],[],"","","","","","",[],"",[]
1311,"slayer_crit_multi_aura","Your critical strike multiplier is lower while near a Slayer.","","","Overwhelm",[95],"",3,"","","","",28,1081,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[95],[],"","","","","","",[],"",[]
1312,"flicker_strike_speed_boost","You have increased Movement Speed","",1,"Flicker Strike",[177],1,2,"","","","",28,1082,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
1313,"fidelitas_lightning_charged","",1,"","","[659,56]","",3,"","","","",28,1083,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[659,56]",[],"","","","","","",[],"",[]
1314,"screech_snipe_debuff","You are affected by Aukuna's Hunt. Aukuna will fire additional projectiles at you. Keep moving!","","","Aukuna's Hunt",[],1,4,1,"","","",28,1085,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1315,"prevent_incubator_completion","",1,"","",[9768],"",3,"","","","",28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9768],[],"","","","","","",[],"",[]
1316,"asenath_curse_explodey_aura","",1,"","",[9641],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9641],[],"","","","","","",[],"",[]
1317,"korea_pc_bang","You are currently receiving some Stash Tabs and Cosmetic Microtransactions because you are playing from a PC Bang.\n\nOnce the league's Mystery Box has been released, you will receive a free Mystery Box every six hours. There is a maximum of 10 free boxes.","","","PC Bang Entitlements",[],"",3,"","","","",28,1086,1,"",17,"",1,"","",0,1,"KoreaPCBang","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1318,"player_physical_damage_aura_self","",1,"","Pride",[9793],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","",1,"","",4,"",1,0,[],"","",[],"",[],[],[9793],[],"","","","","","",[],"",[]
1319,"oozeback_trigger_buff","",1,"","",[],1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1320,"shield_charge_movement_speed_while_charging","",1,"","",[177],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[10137],[],"[177,10137]",[],"","","","","","",[],"",[]
1321,"yugul_pool_chilled","You are slowed","","","Chilled",[8405],1,3,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[8405],[14544],"","",1,1,"","",[],"",[]
1322,"ascent_warming_up","You are warming yourself by the fire.","","","Warm Campfire",[1975],1,1,"","","",1,28,975,1,"",2,"",1,1,"",10,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1323,"flame_dash_cooldown","",1,"","",[],1,2,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1324,"mine_mana_reservation","",1,"","",[],1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1325,"bone_golem_buff","Your Carrion Golem is granting additional Physical Damage for Non-Golem Minions ","","","Carrion Golem","[10352,10353]",1,3,"","","","",28,1139,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10352,10353]",[],"","","","","","",[],"",[]
1326,"enchantment_mana_regen_rate","",1,"","",[130],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[130],[],"","","","","","",[],"",[]
1327,"number_of_nearby_non_golem_minions","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","TrackNearbyTargets","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1328,"slither","You have Phasing, and Withering Step's cooldown does not recover. This buff will be removed when you use a skill or lose Elusive.","","","Withering Step","[1852,5817,10363]",1,2,"","","","",28,1101,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1852,5817,10363]",[],"","","","","","",[],"",[]
1329,"guardian_damage_speed_area_intimidate","You have increased Attack, Cast and Movement Speed, have increased Area of Effect and Intimidate and Unnerve Enemies on Hit","","","Unwavering Crusade","[9928,434,8169,10303]",1,3,"","","","",28,1104,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[9928,434,8169,10303]",[],"","","","","","",[],"",[]
1330,"guardian_damage_final","You deal more Damage","","","Radiant Crusade",[9925],1,3,"","","","",28,1103,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9925],[],"","","","","","",[],"",[]
1331,"number_of_nearby_corpses","",1,"","",[],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","TrackNearbyTargets","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1332,"necromancer_damage_final","You deal more Damage","","","Plaguebringer",[9934],1,3,"","","","",28,1113,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[9934],[],"","","","","","",[],"",[]
1333,"necromancer_enemy_damage","You deal reduced Damage","","","Plaguebringer",[24],1,3,"","","","",28,1112,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
1334,"necromancer_regen_aura_from_nearby_corpses","You have Mana and Energy Shield Regeneration per nearby corpse","","","Essence Glutton","[131,1409]",1,3,1,"","","",28,1111,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[131,1409]",[],"","","","","","",[],"",[]
1335,"necromancer_area_for_you_and_minions","",1,"","","[434,9935]",1,3,"","","","",28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[434,9935]",[],"","","","","","",[],"",[]
1336,"necromancer_regen_from_consuming_corpse","",1,"","","[129,1409]",1,3,"","","","",28,1110,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[129,1409]",[],"","","","","","",[],"",[]
1337,"necromancer_corpse_shock_chill_aura","",1,"","",[],"",3,"","","","",28,0,"","",17,"",1,1,"",0,1,"CorpseShockChillAura","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1338,"corrosive_shroud_buff","While Incubating, deal less Damage with Poison and add to the Plague Value when you inflict Poison.\nWhile Infecting, deplete the Plague Value and deal Chaos Damage over Time to surrounding Enemies.","",1,"Plague Bearer",[9945],1,2,1,"","","",28,1105,1,"",1,"",1,1,"",0,1,"CorrosiveShroudBuff","","","","",4,"","",0,[],"","",[],"",[],[],[9945],[],"","","","","","",[],"",[]
1339,"bone_armour","A percentage of all Damage from Hits is taken from this buff before your Life or Energy Shield. You are Immune to Bleeding.","",1,"Bone Armour",[1034],1,3,1,"",9843,"",28,1037,1,"",1,"",1,1,"",0,"","BoneArmourBuff","","","","",4,"","",0,[],"","",[],"",[10278],[2637],"[1034,10278]",[9955],"","","","","","",[],"",[]
1340,"puppet_master","Your Minions deal more Damage and have increased Attack, Cast and Movement Speed","","","Feeding Frenzy","[9961,617,2090,2091,9960]",1,2,"","","","",28,1109,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[9961,617,2090,2091,9960]",[],"","","","","","",[],"",[]
1341,"have_impaled_recently","",1,"","",[9965],"",9,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[9965],[],"","","","","","",[],"",[]
1342,"elusive","You have increased Movement Speed, and additional chance to avoid damage. This buff's effects are reduced over time.","","","Elusive","[177,7387,10333]",1,11,"","","","",28,1107,1,"",1,"",1,1,"",0,1,"ElusiveBuff","","","","",4,"","",0,[],1,"",[],"",[],[],"[177,7387,10333]",[9980],"","","",1,"","",[],"",[]
1343,"gain_mana_flask_charges_every_3_seconds","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","ManaFlaskChargesEvery3Seconds","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1344,"minion_focussed_fire_target","You have been signalled to be prey, causing an enemy's predator minions to target you.","","","Signalled Prey",[7637],1,3,"","","",1,28,1117,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[7637],[],"","","","","","",[],"",[]
1345,"mine_damage_and_damage_taken_aura","",1,"","","[10358,10359]",1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10358,10359]",[],"","","","","","",[],"",[]
1346,"righteous_charge","Your skills supported by Inspiration Support gain bonuses.","","","Inspiration Charge",[],1,4,1,10053,10048,1,28,47,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1347,"remove_righteous_charges_mana_spent","",1,"","",[],"",1,"","","","",28,0,1,"",17,"",1,1,"",0,"","RemoveRighteousChargesManaSpent","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1348,"lightning_explosion_mine_aura","Nearby Enemy Mines are increasing the Damage you take","","","Stormblast Mines",[10056],1,1,"","","","",28,1119,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[10056],[],"","","","","","",[],"",[]
1349,"corrosive_shroud_accumulating_damage","",1,"","","[10058,3421]",1,3,"","","","",28,1125,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10058,3421]",[],"","","","","","",[],"",[]
1350,"corrosive_shroud_aura","You are taking damage from an enemy Infecting with Plague Bearer","","","Plague Bearer",[453],1,3,"","","","",28,1126,"","",2,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
1351,"flask_bonus_life_leech_from_attacks","",1,"","",[2691],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[2691],[],"","","","","","",[],"",[]
1352,"flask_bonus_energy_shield_leech_from_spells","",1,"","",[8827],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8827],[],"","","","","","",[],"",[]
1353,"flask_bonus_attack_speed","",1,"","",[70],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[70],[],"","","","","","",[],"",[]
1354,"flask_bonus_cast_speed","",1,"","",[216],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[216],[],"","","","","","",[],"",[]
1355,"flask_bonus_chance_to_freeze_shock_ignite","",1,"","",[1872],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1872],[],"","","","","","",[],"",[]
1356,"flask_instant_mana_recovery_at_end_of_effect","",1,"","",[10088],1,3,"","","","",28,0,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[10088],[],"","","","","","",[],"",[]
1357,"flask_effect_mana_not_removed_when_full","",1,"","",[7691],1,3,"","","","",15,0,1,"",4,"",1,"",1,0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[7691],[],"","","","","","",[],"",[]
1358,"skitterbots_buff","Your Skitterbots are granting you more Trap and Mine Damage.","",1,"Skitterbots",[10089],1,3,"","","","",28,1120,1,"",1,"",1,1,"",0,"","","","","","",4,"",1,0,[],"","",[],"",[],[],[10089],[],"","","","","","",[],"",[]
1359,"skitterbots_shock_chill_aura","",1,"","",[],1,3,"","","","",28,0,"","",17,"",1,1,"",0,"","CorpseShockChillAura","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1360,"blight_tower_aura_buff_players","You have increased Attack, Cast and Movement Speed.","","","Tower Imbuement","[1903,177,554,24,1749]",1,3,"","","","",28,1136,1,"",1,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[1903,177,554,24,1749]",[],"","","","","","",[],"",[]
1361,"blight_tower_aura_buff_players_buff1","You have increased Attack, Cast and Movement Speed, and increased Damage.","","","Tower Imbuement","[1903,177,554,24,1749]",1,3,"","","","",28,1136,1,"",1,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[1903,177,554,24,1749]",[],"","","","","","",[],"",[]
1362,"blight_tower_aura_buff_players_buff2","You have increased Attack, Cast and Movement Speed, increased Damage and increased Critical Strike Chance.","","","Tower Imbuement","[1903,177,554,24,1749]",1,3,"","","","",28,1136,1,"",1,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[1903,177,554,24,1749]",[],"","","","","","",[],"",[]
1363,"blight_tower_aura_buff_players_buff3","You have increased Attack, Cast and Movement Speed, increased Damage, increased Critical Strike Chance and increased Life Regeneration.","","","Tower Imbuement","[1903,177,554,24,451,1749]",1,3,"","","","",28,1136,1,"",1,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[1903,177,554,24,451,1749]",[],"","","","","","",[],"",[]
1364,"blight_tower_aura_debuff_enemies","",1,"","","[477,177,24,12171]",1,3,"","","","",28,1137,1,"",2,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[477,177,24,12171]",[],"","","","","","",[],"",[]
1365,"blight_tower_aura_debuff_enemies_buff1","",1,"","","[477,177,24,12171]",1,3,"","","","",28,1137,1,"",2,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[477,177,24,12171]",[],"","","","","","",[],"",[]
1366,"blight_tower_aura_debuff_enemies_buff2","",1,"","","[477,177,24,141,12171]",1,3,"","","","",28,1137,1,"",2,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[477,177,24,141,12171]",[],"","","","","","",[],"",[]
1367,"blight_tower_aura_debuff_enemies_buff3","",1,"","","[477,177,24,141,346,12171]",1,3,"","","","",28,1137,1,"",2,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[477,177,24,141,346,12171]",[],"","","","","","",[],"",[]
1368,"cold_projectile_mine_aura","Nearby Enemy Mines are increasing the Critical Strike Chance of Hits against you.","","","Icicle Mines",[10297],1,1,"","","","",28,1128,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[10297],[],"","","","","","",[],"",[]
1369,"mortar_barrage_mine_aura","Nearby Enemy Mines are adding Fire Damage to Hits against you.","","","Pyroclast Mines","[10293,10294]",1,1,"","","","",28,1129,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[10293,10294]",[],"","","","","","",[],"",[]
1370,"remote_mine_2_aura","Nearby Enemy Mines are giving Hits against you a chance to deal Double Damage.","","","High-Impact Mines",[10106],1,1,"","","","",28,1127,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[10106],[],"","","","","","",[],"",[]
1371,"minion_instability_support_aura_burn","","","","",[1975],1,3,"","","","",28,1133,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
1372,"minion_instability_support_self_burn","","","","",[10116],1,2,"","","","",28,1132,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[10116],[],"","","","","","",[],"",[]
1373,"lose_power_charges_if_not_detonated_mines_recently","",1,"","",[],1,2,"","","","",28,0,1,"",17,"","","","",0,"","LosePowerChargesIfNotDetonatedMines","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1374,"blight_tower_aura_buff_towers","",1,"","","[24,216,10384,5808]",1,3,"","","",1,28,1135,1,"",1,"",1,1,"",0,"","BlightTowerAura","","","","",4,"",1,0,[],"","",[],"",[],[],"[24,216,10384,5808]",[],"","","","","","",[],"",[]
1375,"mamba_strike_initial_debuff","If you die under the effect of this buff, surrounding targets will take chaos damage over time based on the Poisons on you.","","","Pestilent Strike",[],1,2,"","","",1,28,1130,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1376,"mamba_strike_damage","You are taking chaos damage over time from Pestilent Strike.","","","Pestilent Strike Damage",[453],1,3,"","","","",28,1131,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
1377,"blight_wolf_ice_armour","",1,"","",[477],1,2,"","","","",28,1134,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
1378,"snapping_adder_projectile","You have Venom Gyre blades ready to be thrown with Whirling Blades","","","Venom Gyre Blades",[],1,4,1,"",10291,"",28,1138,1,"",6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1379,"mortar_barrage_mine_limit_aura","",1,"","","[10295,10296]",1,3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"",1,[],"",[],[],"[10295,10296]",[],"","","","","","",[],"",[]
1380,"unnerved","You are Unnerved, increasing Spell Damage taken.","","","Unnerve",[10302],1,2,"","","","",28,1205,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[10302],[],"","","","","","",[],"",[]
1381,"fungal_ground","You deal less Damage due to enemy Fungal Ground.","","","Fungal Ground","[10315,10342]",1,3,"","","","",28,1146,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10315,10342]",[],"","","","","","",[],"",[]
1382,"fungal_ground_while_stationary","",1,"","",[],1,2,"","","",1,28,0,1,"",17,"","","","",0,"","FungalGroundWhileStationary","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1383,"fungal_ground_allies","You gain a percentage of Non-Chaos Damage as extra Chaos Damage while on allied Fungal Ground.","","","Fungal Ground","[10315,7119]",1,3,"","","","",28,1146,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10315,7119]",[],"","","","","","",[],"",[]
1384,"blight_npc_tower_buff","",1,"","",[24],1,3,"","","","",28,1147,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
1385,"corrosive_shroud_at_max_damage","",1,"","",[],1,2,"","","","",28,0,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
1386,"corrosive_shroud_poison_dot_multiplier_when_aura_active","",1,"","",[10191],1,3,"","","","",28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[10191],[],"","","","","","",[],"",[]
1387,"raider_enemy_accuracy_aura","",1,"","",[10403],"",3,"","","","",28,0,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[10403],[],"","","","","","",[],"",[]
1388,"have_hit_cursed_enemy_recently","",1,"","",[10407],"",9,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[10407],[],"","","","","","",[],"",[]
