"rownum","string","[rid]","[i32]","string","string","rid","i32","bool","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]","i32","i32","i32","i32"
103,"AfflictionAfflictionOnUseFountain",[17385],[1],"Poisoned Water","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePoisonedWaterIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePoisonedWater","","Gain a random Minor Affliction when you use a Fountain","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
104,"AfflictionLoseResolveOnFlaskUse",[17504],[10],"Liquid Cowardice","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseLiquidCowardiceIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseLiquidCowardice","","Lose 10 Resolve when you use a Flask","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
105,"AfflictionMonstersBindingChainsOnHit",[17550],[2],"Chains of Binding","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChainOfBindingIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChainOfBinding","","Monsters inflict Binding Chains on Hit","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
106,"AfflictionMonstersVolatileOnDeath",[17556],[1],"Concealed Anomaly","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseConcealedAnomalyIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseConcealedAnomaly","","Guards release a Volatile Anomaly on Death","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
107,"AfflictionMonstersResolveVulnerabilityOnHit",[17551],[4],"Mark of Terror","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMarkOfTerrorIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMarkOfTerror","","Monsters inflict Resolve Weakness on Hit","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
108,"AfflictionMonstersKnockback",[17548],[1],"Rusted Mallet","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRustedMalletIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRustedMallet","","Monsters always Knockback\r\nMonsters have increased Knockback Distance","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
109,"AfflictionReducedMaximumResolve",[],[],"Weakened Flesh","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseWeakenedFleshIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseWeakenedFlesh","","-100 to Maximum Resolve","","",0,3,-100,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,3,100
110,"AfflictionMonsterSpeed",[5650],[30],"Fiendish Wings","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFiendishWingsIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFiendishWings","","Monsters' Action Speed cannot be slowed below base\r\nMonsters have 30% increased Attack, Cast and Movement Speed","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
111,"AfflictionGuardsHavePet",[17554],[1],"Gargoyle Totem","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGargoyleTotemIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGargoyleTotem","","Guards are accompanied by a Gargoyle","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
112,"AfflictionEveryRoomIsAfflicted",[],[],"Phantom Illusion","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseNameIllusionIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseNameIllusion","","Every room grants a random Minor Affliction\r\n(Afflictions granted this way are removed on room completion)","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
113,"AfflictionChestsExplodeWhenOpened",[17555],[1],"Corrupted Lockpick","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCorruptedLockpickIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCorruptedLockpick","","Chests in rooms explode when opened","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
114,"AfflictionReducedMovementSpeed",[5754],[-40],"Worn Sandals","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseWornSandalsIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseWornSandals","","40% reduced Movement Speed","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
115,"AfflictionRelicsHaveNoEffect",[17430],[1],"Orb of Negation","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseOrbOfNegationIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseOrbOfNegation","","Non-Unique Relics have no Effect","","",0,5,0,"",[9308],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
116,"AfflictionMerchantOneItem",[17460],[1],"Rusted Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRustedCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRustedCoin","","The Merchant only offers one choice","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
117,"AfflictionMonsterPetrifyOnHit",[17549],[4],"Chiselled Stone","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChiselledStoneIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChiselledStone","","Monsters Petrify on Hit","","",0,5,0,"",[9309],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
118,"AfflictionBoonConveretedToMinorAffliction",[17381],[1],"Glass Shard","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGlassShardIcon",6,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGlassShard","","The next Boon you gain is converted into a random Minor Affliction","","",0,5,0,"",[9310],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
119,"PactRecoveryFromMaxResolve","[17260,17261]","[1,50]","Pyrrhic Pact","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/PersistentResolveRecoveryDoubledIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ResolveRecoveredDoubleds","Resolve recovered is doubled","Maximum Resolve is lowered by 50% of recovered Resolve","","",0,5,0,"",[9173],[],-16843010,-16843010,5,0
120,"PactTwinnedGuards",[17262],[1],"Doubling Pact","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/PersistentGuardsTwinnedIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GuardsAreTwinned","Guards are Twinned","Guards are Twinned","","",0,5,0,"",[9174],[],-16843010,-16843010,5,0
121,"PactDamageInBossEncounters","[17263,17264]","[100,-50]","Apex Pact","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/PersistentLessResolveLostIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LessResolveLostInBossRooms","50% less Resolve lost in Boss Rooms","100% more Resolve lost in non-Boss Rooms","","",0,5,0,"",[9175],[],-16843010,-16843010,5,0
122,"PactNoGoldGainReducedPrices","[17087,17075]","[-50,1]","Austerity Pact","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/PersistentMerchantPricesReducedIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/MerchantPricesReduced","Merchant prices are reduced by 50%","Monsters do not drop Aureus coins","","",0,5,0,"",[9176],[],-16843010,-16843010,5,0
123,"PactShieldEveryRoom","[17098,17099]","[1,30]","Indomitable Pact","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/PersistentGainInspirationStartOfRoomIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainInspirationStartEveryRoom","Gain 30 Inspiration at the start of every room","Inspiration resets every room","","",0,5,0,"",[9177],[],-16843010,-16843010,5,0
124,"DeferredRewardFloorCurrencyOrbofAlteration5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",11,0,5,5,0,"",[],[],-16843010,-16843010,5,0
125,"DeferredRewardFloorCurrencyOrbofAlteration7",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",11,0,7,5,0,"",[],[],-16843010,-16843010,5,0
126,"DeferredRewardFloorCurrencyOrbofAlteration9",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",11,0,9,5,0,"",[],[],-16843010,-16843010,5,0
127,"DeferredRewardFloorCurrencyOrbofAlteration12",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",11,0,12,5,0,"",[],[],-16843010,-16843010,5,0
128,"DeferredRewardFloorCurrencyOrbofAlteration20",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",11,0,20,5,0,"",[],[],-16843010,-16843010,5,0
129,"DeferredRewardFloorCurrencyOrbofChance5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",7,1,5,5,0,"",[],[],-16843010,-16843010,5,0
130,"DeferredRewardFloorCurrencyOrbofChance7",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",7,1,7,5,0,"",[],[],-16843010,-16843010,5,0
131,"DeferredRewardFloorCurrencyOrbofChance9",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",7,1,9,5,0,"",[],[],-16843010,-16843010,5,0
132,"DeferredRewardFloorCurrencyOrbofChance12",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",7,1,12,5,0,"",[],[],-16843010,-16843010,5,0
133,"DeferredRewardFloorCurrencyOrbofChance20",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",7,1,20,5,0,"",[],[],-16843010,-16843010,5,0
134,"DeferredRewardFloorCurrencyGlassblowersBauble5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",17,2,5,5,0,"",[],[],-16843010,-16843010,5,0
135,"DeferredRewardFloorCurrencyGlassblowersBauble7",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",17,2,7,5,0,"",[],[],-16843010,-16843010,5,0
136,"DeferredRewardFloorCurrencyGlassblowersBauble9",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",17,2,9,5,0,"",[],[],-16843010,-16843010,5,0
137,"DeferredRewardFloorCurrencyGlassblowersBauble12",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",17,2,12,5,0,"",[],[],-16843010,-16843010,5,0
138,"DeferredRewardFloorCurrencyGlassblowersBauble20",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",17,2,20,5,0,"",[],[],-16843010,-16843010,5,0
139,"DeferredRewardFloorCurrencyChromaticOrb5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",19,3,5,5,0,"",[],[],-16843010,-16843010,5,0
140,"DeferredRewardFloorCurrencyChromaticOrb7",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",19,3,7,5,0,"",[],[],-16843010,-16843010,5,0
141,"DeferredRewardFloorCurrencyChromaticOrb9",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",19,3,9,5,0,"",[],[],-16843010,-16843010,5,0
142,"DeferredRewardFloorCurrencyChromaticOrb12",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",19,3,12,5,0,"",[],[],-16843010,-16843010,5,0
143,"DeferredRewardFloorCurrencyChromaticOrb20",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",19,3,20,5,0,"",[],[],-16843010,-16843010,5,0
144,"DeferredRewardFloorCurrencyJewellersOrb5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",21,4,5,5,0,"",[],[],-16843010,-16843010,5,0
145,"DeferredRewardFloorCurrencyJewellersOrb7",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",21,4,7,5,0,"",[],[],-16843010,-16843010,5,0
146,"DeferredRewardFloorCurrencyJewellersOrb9",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",21,4,9,5,0,"",[],[],-16843010,-16843010,5,0
147,"DeferredRewardFloorCurrencyJewellersOrb12",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",21,4,12,5,0,"",[],[],-16843010,-16843010,5,0
148,"DeferredRewardFloorCurrencyJewellersOrb20",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",21,4,20,5,0,"",[],[],-16843010,-16843010,5,0
149,"DeferredRewardFloorCurrencyOrbofAlchemy3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",6,5,3,5,0,"",[],[],-16843010,-16843010,5,0
150,"DeferredRewardFloorCurrencyOrbofAlchemy5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",6,5,5,5,0,"",[],[],-16843010,-16843010,5,0
151,"DeferredRewardFloorCurrencyOrbofAlchemy6",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",6,5,6,5,0,"",[],[],-16843010,-16843010,5,0
152,"DeferredRewardFloorCurrencyOrbofAlchemy8",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",6,5,8,5,0,"",[],[],-16843010,-16843010,5,0
153,"DeferredRewardFloorCurrencyOrbofAlchemy14",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",6,5,14,5,0,"",[],[],-16843010,-16843010,5,0
154,"DeferredRewardFloorCurrencyOrbofFusing3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",20,6,3,5,0,"",[],[],-16843010,-16843010,5,0
155,"DeferredRewardFloorCurrencyOrbofFusing5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",20,6,5,5,0,"",[],[],-16843010,-16843010,5,0
156,"DeferredRewardFloorCurrencyOrbofFusing6",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",20,6,6,5,0,"",[],[],-16843010,-16843010,5,0
157,"DeferredRewardFloorCurrencyOrbofFusing8",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",20,6,8,5,0,"",[],[],-16843010,-16843010,5,0
158,"DeferredRewardFloorCurrencyOrbofFusing14",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",20,6,14,5,0,"",[],[],-16843010,-16843010,5,0
159,"DeferredRewardFloorCurrencyOrbofScouring2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",12,7,2,5,0,"",[],[],-16843010,-16843010,5,0
160,"DeferredRewardFloorCurrencyOrbofScouring3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",12,7,3,5,0,"",[],[],-16843010,-16843010,5,0
161,"DeferredRewardFloorCurrencyOrbofScouring4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",12,7,4,5,0,"",[],[],-16843010,-16843010,5,0
162,"DeferredRewardFloorCurrencyOrbofScouring5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",12,7,5,5,0,"",[],[],-16843010,-16843010,5,0
163,"DeferredRewardFloorCurrencyOrbofScouring10",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",12,7,10,5,0,"",[],[],-16843010,-16843010,5,0
164,"DeferredRewardFloorCurrencyCartographersChisel3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",25,8,3,5,0,"",[],[],-16843010,-16843010,5,0
165,"DeferredRewardFloorCurrencyCartographersChisel5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",25,8,5,5,0,"",[],[],-16843010,-16843010,5,0
166,"DeferredRewardFloorCurrencyCartographersChisel10",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",25,8,10,5,0,"",[],[],-16843010,-16843010,5,0
167,"DeferredRewardFloorCurrencyChaosOrb2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",2,9,2,5,0,"",[],[],-16843010,-16843010,5,0
168,"DeferredRewardFloorCurrencyChaosOrb3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",2,9,3,5,0,"",[],[],-16843010,-16843010,5,0
169,"DeferredRewardFloorCurrencyChaosOrb4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",2,9,4,5,0,"",[],[],-16843010,-16843010,5,0
170,"DeferredRewardFloorCurrencyChaosOrb5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",2,9,5,5,0,"",[],[],-16843010,-16843010,5,0
171,"DeferredRewardFloorCurrencyChaosOrb10",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",2,9,10,5,0,"",[],[],-16843010,-16843010,5,0
172,"DeferredRewardFloorCurrencyOrbofBinding2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",204,10,2,5,0,"",[],[],-16843010,-16843010,5,0
173,"DeferredRewardFloorCurrencyOrbofBinding3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",204,10,3,5,0,"",[],[],-16843010,-16843010,5,0
174,"DeferredRewardFloorCurrencyOrbofBinding4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",204,10,4,5,0,"",[],[],-16843010,-16843010,5,0
175,"DeferredRewardFloorCurrencyOrbofBinding5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",204,10,5,5,0,"",[],[],-16843010,-16843010,5,0
176,"DeferredRewardFloorCurrencyOrbofBinding10",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",204,10,10,5,0,"",[],[],-16843010,-16843010,5,0
177,"DeferredRewardFloorCurrencyOrbofRegret2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",8,11,2,5,0,"",[],[],-16843010,-16843010,5,0
178,"DeferredRewardFloorCurrencyOrbofRegret3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",8,11,3,5,0,"",[],[],-16843010,-16843010,5,0
179,"DeferredRewardFloorCurrencyOrbofRegret4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",8,11,4,5,0,"",[],[],-16843010,-16843010,5,0
180,"DeferredRewardFloorCurrencyOrbofRegret5",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",8,11,5,5,0,"",[],[],-16843010,-16843010,5,0
181,"DeferredRewardFloorCurrencyOrbofRegret10",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",8,11,10,5,0,"",[],[],-16843010,-16843010,5,0
182,"DeferredRewardFloorCurrencyGemcuttersPrism2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",18,12,2,5,0,"",[],[],-16843010,-16843010,5,0
183,"DeferredRewardFloorCurrencyGemcuttersPrism3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",18,12,3,5,0,"",[],[],-16843010,-16843010,5,0
184,"DeferredRewardFloorCurrencyGemcuttersPrism4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",18,12,4,5,0,"",[],[],-16843010,-16843010,5,0
185,"DeferredRewardFloorCurrencyGemcuttersPrism8",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",18,12,8,5,0,"",[],[],-16843010,-16843010,5,0
186,"DeferredRewardFloorCurrencyBlessedOrb2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",23,13,2,5,0,"",[],[],-16843010,-16843010,5,0
187,"DeferredRewardFloorCurrencyBlessedOrb3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",23,13,3,5,0,"",[],[],-16843010,-16843010,5,0
188,"DeferredRewardFloorCurrencyBlessedOrb4",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",23,13,4,5,0,"",[],[],-16843010,-16843010,5,0
189,"DeferredRewardFloorCurrencyBlessedOrb8",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",23,13,8,5,0,"",[],[],-16843010,-16843010,5,0
190,"DeferredRewardFloorCurrencyVaalOrb2",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",33,14,2,5,0,"",[],[],-16843010,-16843010,5,0
191,"DeferredRewardFloorCurrencyVaalOrb3",[],[],"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/DeferralEndOfFloorMapIcon",11,0,"",-16843010,-16843010,"","","",33,14,3,5,0,"",[],[],-16843010,-16843010,5,0
