"rownum","GroundEffectTypesKey","i32_16","i32_20","rid_24","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","rid_101","rid_117","rid_133","rid_149","rid_165","bool_181","bool_182","bool_183","rid_184","rid_200","bool_216","bool_217","bool_218","rid_219"
236,8,14,2,"",385,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
237,8,15,2,"",358,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Delve/general/wetas/cold_snap/crystal_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"","",""
238,8,16,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/deathly_vortex/maelstrom.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
239,8,1001,2,"",190,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/TrenchHag/WaterVortex.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"","",""
240,8,1002,2,2048,450,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
241,8,1003,1,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Siren/WaterGeyserGroundEffect.ao""]","[""merv_geyser_loop""]","merv_geyser_end","","","","","","","","","","",1,"","",""
242,8,1004,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
243,8,1005,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
244,8,1006,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
245,8,1007,2,2048,400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
246,8,1008,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/ScreecherMiniboss/teleport_cold_degen.ao""]","[""startLoop""]","end","","","","","","","","","","","","","",""
247,8,1009,2,"",150,[],"","[""Metadata/Effects/Spells/cold_frozen_vortex/frozen_vortex_01.ao""]","[""loop_01""]","fadeout_01","","","","","","","","","","","","","",""
248,8,1010,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/BitterGuy_Boss/ice_skill.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"","",""
249,8,1011,2,"",385,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/ice/chilled_ground/ao/calamity_of_frost_instant.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
250,26,0,2,"",800,[],1,"[""Metadata/Effects/Spells/ground_effects/vaal_cold_snap/VaalColdSnapGroundEffect.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
251,18,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_boss/final/crown_of_thorns/anger_ground.ao""]","[""loop""]","fadeout","",63,"","","","","","","","","","","",""
252,18,1000,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/corruption_grd.ao""]","[""idle""]","end",2129,147,"","","","","","","","","","","",""
253,18,1001,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/RootedGuys/RootedGuy05/RootPrison/degen_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
254,27,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/torch/oil_ground.ao""]","[""loop""]","fadeout","",71,"","","","",1,"",1424,"","","","",""
255,27,1,2,1425,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/tar_zombie_oil_ground.ao""]",[],"fadeout_fire","","","","","","",1,"",1426,"","","","",""
256,27,1000,2,1425,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGuardBombThrower/oil_ground.ao""]",[],"fadeout_fire","",390,"","","","",1,"",1426,"","","","",""
257,27,2000,2,"",180,[],1,"[""Metadata/Effects/Spells/crossbow_oilgrenade/grd_Oil.ao""]","[""loop""]","fadeout","",389,"","","","",1,"",1424,"","","","",""
258,27,2001,2,"",230,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/RudjaDreadEngineer/tar_GRDZONE.ao""]","[""loop""]","fadeout","",390,"","","",1,1,"",1424,"","",1,"",""
259,27,2002,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGuardBombThrower/grd_Oil.ao""]","[""loop""]","fadeout","",391,"","","","",1,"",1424,"","","","",""
260,28,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/scorched/scorched_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
261,29,0,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/brain/void_zone/rig.ao""]","[""loop""]","fadeout","",42,"","","","",1,"","","","","","",""
262,30,0,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
263,30,1,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1694,"","","","","","","","","","","","",""
264,30,2,2,"",135,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Touching_Tentacle_Orb/lightning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
265,31,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/brittle/brittle_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
266,32,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/sapping/sapping_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
267,33,0,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","",111,"","","","","","","","","","",""
268,33,1000,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/WormsKing/ao/MaggotGround.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
269,34,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/LyciaBoss/ao/degen_area.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"",1,""
270,34,1,2,"",180,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheSentinels/bloodpool1.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",1,""
271,35,0,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_flames.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
272,36,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_plagues.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
273,37,0,2,"",145,[],"","[""Metadata/Effects/Spells/monsters_effects/Gallows/Act1/LivingBlood/LivingBlood.ao""]","[""idle""]","fadeout","","","","","","","","","","","","","",""
274,38,0,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/FungalArtillery/ao/fungal_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","",1,"",""
275,40,0,2,"",200,[],"","[""Metadata/Effects/Spells/grd_Zones/grd_Jagged01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
276,40,14,2,"",200,[],"","[""Metadata/Effects/Microtransactions/Spells/Earthquake/kitava/grd_Jagged01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
277,41,0,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","",380,"","","","","","","",1,1,"",""
278,41,1,2,2072,150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/SulphurBoss/ao/gas_degen.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
279,41,1000,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/RootedGuys/RootedGuy01/spores_degen.ao""]","[""idle""]","fadeout",2190,"","","","","","","","","","","","",""
280,41,1001,2,2049,350,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/MutantBird/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
281,41,1002,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd_instant.ao""]","[""idle""]","fadeout",2261,"",385,"","","","","","","","",1,"",""
282,41,1003,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FountainStatue/black_goop_grd.ao""]","[""idle""]","fadeout",2261,"",385,"","","","","","","",1,1,"",""
283,42,0,2,2176,160,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/corrupting_blood.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
284,43,0,2,"",200,[],"","[""Metadata/Effects/Spells/crossbow_toxic_grenade/toxic_cloud.ao""]","[""toxic_cloud""]","end","","","","","","","","","","","","","",8102
285,44,1000,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/BlackStrider/webbed_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
286,45,1000,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/shocking/shocking_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
287,46,1024,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout",2588,"","","","","",1,"","","","","","",""
