"rownum","Id","AlternateTreeVersionsKey","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","PassiveType","StatsKeys","Stat1Min","Stat1Max","Stat2Min","Stat2Max","i32","i32","i32","i32","i32","i32","i32","i32","SpawnWeight","i32","RandomMin","RandomMax","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","DDSIcon","AchievementItemsKeys","i32","i32"
107,"eternal_keystone_3",5,"Supreme Ego","Égo suprême","Überlegener Stolz","スプリームエゴ","자만의 정점","Ego Supremo","Величайшее эго","Ego supremo","Supreme Ego","至高．自我",[4],[9729],1,1,0,0,0,0,0,0,0,0,0,0,100,3,0,0,"You are the heart of the empire, shining bright so that all are lifted up by your light.\r\nLet none tell you otherwise.","Vous êtes le cœur de l'Empire, brillant de mille feux pour que tous puissent tirer parti de votre lumière.\r\nNe laissez personne vous dire le contraire.","Ihr seid die Sonne des Kaiserreichs, die allen den Weg erhellt. \r\nLasst Euch von niemandem etwas anderes erzählen.","其方は帝国の心だ。その輝きで皆を持ち上げる。\r\n他の者が何と言おうともな。","제국의 심장이며 그 빛으로 여타의 모든 것을 지탱하는 이여.\r\n말에 있어 한치의 여지도 두지 말지어다.","Você é o coração do império, brilhando para que todos sejam enaltecidos por sua luz. Não deixe que ninguém diga o contrário.","Ты - сердце империи, сияющее так ярко, что твой свет возвышает всё. Никому не позволяй говорить иначе.","Tú eres el corazón del imperio, resplandeciente para que todos sean iluminados por tu luz.\r\nNo dejes que nadie te diga lo contrario.","เจ้าคือหัวใจของจักรวรรดิ สว่างไสวช่วยเหลือทุกคนที่ได้รับแสงนำ อย่าให้ใครได้บอกเจ้าเป็นอื่น","你是帝國的核心，閃耀著光芒，所有人都被你的光芒啟發。別讓人引導你。","Art/2DArt/SkillIcons/passives/SupremeEgo.dds",[],0,0
108,"eternal_keystone_3_v2",5,"Supreme Ostentation","Ostentation suprême","Überlegene Prahlerei","スプリームオステンテイション","허영의 정점","Ostentação Suprema","Величайшее хвастовство","Ostentación suprema","Supreme Ostentation","至高．炫耀",[4],[11811],1,1,0,0,0,0,0,0,0,0,0,0,100,3,0,0,"Displays of power are not just for show. If you are never truly tested,\r\nyou may divert those resources elsewhere.","Faire étalage de sa puissance ne sert pas qu'à épater la galerie.\r\nEt si personne n'ose jamais vous défier,\r\nce seront toujours des ressources que vous pourrez réattribuer ailleurs.","Machtdemonstrationen dienen nicht nur zur Schau. Wenn Ihr nie auf die Probe gestellt werdet, \r\nkönnt Ihr diese Ressourcen anderweitig einsetzen.","力を誇示するのは見せるためだけではない。真に試されることがないのであれば、その資源は他所に当てられる。","힘을 드러내는 것은 그저 과시하기 위함이 아니다. 그대에게 진정한 시련이 없다면\r\n그 여력을 다른 곳에 써도 된다.","Demonstração de poder não serve só para demonstrações. Se você nunca foi testado realmente, pode ser que desvie tais recursos para outro lugar.","Силу демонстрируют не только ради бахвальства. Если вас никогда не испытывали по-настоящему, направьте этот потенциал в другое русло.","Las demostraciones de poder no se hacen solo para aparentar. Si nunca te pones a prueba de verdad,\r\npodrías desviar esos recursos a otra parte.","การแสดงพลังไม่ใช่เพื่ออวดเบ่งเท่านั้น หากไม่มีใครประลองสู้เจ้าได้จริงๆ จงนำพลังนั้นไปทำอย่างอื่น","展示力量不光是炫耀。若你從未真的試驗過，或許你會將這力量轉化至其他地方。","Art/2DArt/SkillIcons/passives/SupremeProdigy.dds",[],1,100
109,"eternal_small_blank",5,"Price of Glory","Le Prix de la gloire","Preis des Ruhms","栄光の代償","영광의 대가","Preço da Glória","Цена славы","Precio de la gloria","Price of Glory","榮耀代價","[1,2]",[],0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireBlank.dds",[],0,100
110,"eternal_notable_crit_1",5,"Flawless Execution","Exécution parfaite","Einwandfreie Ausführung","完璧な処刑","결함 없는 처형","Execução Impecável","Безупречное исполнение","Ejecución impoluta","Flawless Execution","完美行動",[3],[554],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
111,"eternal_notable_crit_2",5,"Brutal Execution","Exécution brutale","Brutale Ausführung","残虐な処刑","잔인한 처형","Execução Brutal","Жестокое исполнение","Ejecución brutal","Brutal Execution","殘暴行動",[3],[95],40,40,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
112,"eternal_notable_endurance_1",5,"Eternal Resilience","Ténacité éternelle","Ewige Ausdauer","永遠の丈夫さ","영원한 회복력","Resiliência Eterna","Вечная стойкость","Resiliencia eterna","Eternal Resilience","永恆韌性",[3],[7490],1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
113,"eternal_notable_endurance_2",5,"Eternal Fortitude","Longanimité éternelle","Ewige Standhaftigkeit","永遠の頑強さ","영원한 강건함","Fortitude Eterna","Вечная храбрость","Fortaleza eterna","Eternal Fortitude","永恆剛毅",[3],[8209],8,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
114,"eternal_notable_endurance_3",5,"Eternal Dominance","Prédominance éternelle","Ewige Überlegenheit","永遠の優越","영원한 지배","Dominância Eterna","Вечное господство","Dominancia eterna","Eternal Dominance","永恆統御",[3],[3387],10,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
115,"eternal_notable_frenzy_1",5,"Eternal Fervour","Zèle éternel","Ewiger Eifer","永遠の熱血","영원한 열정","Fervor Eterno","Вечное рвение","Fervor eterno","Eternal Fervour","永恆熱情",[3],[186],10,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
116,"eternal_notable_frenzy_2",5,"Eternal Adaptiveness","Adaptabilité éternelle","Ewige Anpassungsfähigkeit","永遠の適応力","영원한 순응","Adaptação Eterna","Вечная приспособляемость","Flexibilidad eterna","Eternal Adaptiveness","永恆適性",[3],[122],8,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
117,"eternal_notable_frenzy_3",5,"Eternal Bloodlust","Soif de sang éternelle","Ewige Blutlust","永遠の渇き","영원한 유혈 충동","Sede de Sangue Eterna","Вечная кровожадность","Sed de sangre eterna","Eternal Bloodlust","永恆嗜血",[3],[1653],10,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
118,"eternal_notable_power_1",5,"Eternal Subjugation","Soumission éternelle","Ewige Unterwerfung","永遠の征服","영원한 예속","Subjugação Eterna","Вечное покорение","Subyugación eterna","Eternal Subjugation","永恆抑制",[3],[1250],15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
119,"eternal_notable_power_2",5,"Eternal Separation","Séparation éternelle","Ewige Trennung","永遠の分離","영원한 이별","Separação Eterna","Вечное разделение","Separación eterna","Eternal Separation","永恆隔離",[3],[8210],4,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
120,"eternal_notable_power_3",5,"Eternal Exploitation","Exploitation éternelle","Ewige Ausbeutung","永遠の搾取","영원한 착취","Exploração Eterna","Вечное присвоение","Explotación eterna","Eternal Exploitation","永恆開發",[3],[6128],10,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
121,"eternal_notable_chill_1",5,"Rites of Lunaris","Rites de Lunaris","Ritual von Lunaris","ルナリスの儀式","루나리스의 의식","Ritos de Lunaris","Обряды Лунарис","Ritos de Lunaris","Rites of Lunaris","月影儀式",[3],[3558],30,30,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
122,"eternal_notable_chill_2",5,"Rites of Solaris","Rites de Solaris","Ritual von Solaris","ソラリスの儀式","솔라리스의 의식","Ritos de Solaris","Обряды Солярис","Ritos de Solaris","Rites of Solaris","日耀儀式",[3],[190],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
123,"eternal_notable_shock_1",5,"Virtue Gem Surgery","Chirurgie des Gemmes de vertu","Tugendgemmenschmiede","ヴァーチュージェムの手術","힘의 마석 수술","Cirurgia da Gema Virtuosa","Вживление камня добродетели","Cirugía de gemas de virtud","Virtue Gem Surgery","古靈寶石手術",[3],[3559],30,30,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
124,"eternal_notable_shock_2",5,"Rural Life","Vie rurale","Landleben","田舎の生活","전원 생활","Vida Rural","Сельская жизнь","Vida rural","Rural Life","鄉村生活",[3],[193],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
125,"eternal_notable_block_1",5,"City Walls","Murailles","Stadtmauern","都市の外壁","도시 성벽","Muros da Cidade","Городские стены","Muros de ciudad","City Walls","古城之牆",[3],[1081],8,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
126,"eternal_notable_block_2",5,"Sceptre Pinnacle","Cime du Sceptre","Turmspitze","王笏の頂点","셉터의 정점","Ápice do Cetro","Вершина перста","Pináculo del cetro","Sceptre Pinnacle","王權之巔",[3],[2089],8,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
127,"eternal_notable_dodge_1",5,"Secret Tunnels","Tunnels secrets","Geheime Tunnel","秘密のトンネル","비밀 터널","Túneis Secretos","Тайные тоннели","Túneles secretos","Secret Tunnels","秘密通道",[3],[620],20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
128,"eternal_notable_dodge_2",5,"Purity Rebel","Rebelle de la Pureté","Rebell der Reinheit","ピュリティの反乱者","정화 반란자","Pureza Rebelde","Повстанец Очищения","Rebelde de pureza","Purity Rebel","純淨反叛",[3],[14755],12,12,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
129,"eternal_notable_aura_1",5,"Superiority","Supériorité","Erhabenheit","優勢","우월성","Superioridade","Превосходство","Superioridad","Superiority","優越",[3],[3835],12,12,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
130,"eternal_notable_minion_1",5,"Slum Lord","Seigneur des taudis","Gebieter","スラムの主","빈민가 군주","Lorde da Favela","Лорд трущоб","Señor de los tugurios","Slum Lord","貧民君主",[3],[488],80,80,0,0,0,0,0,0,0,0,0,0,40,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
131,"eternal_notable_minion_2",5,"Axiom Warden","Geôlier d'Axiom","Axiom-Wächter","アクシオムの守り人","액시옴 간수","Carcereiro de Axiom","Смотритель Аксиомы","Guardián de Axiom","Axiom Warden","典獄長格言",[3],[159],80,80,0,0,0,0,0,0,0,0,0,0,40,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
132,"eternal_notable_spell_1",5,"Gemling Inquisition","Inquisition des Sertis","Inquisition der Gemmlinge","ジェムリングの審問","마석병의 이단 심문","Inquisição Gemante","Инквизиция каменитов","Inquisición gemita","Gemling Inquisition","古靈審判所",[3],[25],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
133,"eternal_notable_spell_2",5,"Gemling Ambush","Embuscade des Sertis","Überfall der Gemmlinge","ジェムリングの不意打ち","마석병의 매복","Emboscada Gemante","Засада каменитов","Emboscada gemita","Gemling Ambush","古靈伏擊",[3],[556],80,80,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
134,"eternal_notable_fire_attack_1",5,"Night of a Thousand Ribbons","Nuit des Mille Rubans","Nacht der Tausend Schleifen","千のリボンの夜","천 개의 리본의 밤","Noite das Mil Fitas","Ночь тысячи лент","Noche de las mil cintas","Night of a Thousand Ribbons","千縷絲之夜",[3],[6040],80,80,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
135,"eternal_notable_cold_attack_1",5,"Bloody Flowers' Rebellion","Rébellion des Fleurs ensanglantées","Rebellion der Blutigen Blüten","血染めの花の反乱","핏빛 꽃송이 봉기","Rebelião das Flores Sangrentas","Восстание Кровавых цветов","Rebelión de las flores sangrientas","Bloody Flowers' Rebellion","太腥花之亂",[3],[6041],80,80,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
136,"eternal_notable_lightning_attack_1",5,"Chitus' Heart","Cœur de Chitus","Chitus' Herz","チタスの心","치투스의 심장","Coração de Chitus","Сердце Титуса","Corazón de Chitus","Chitus' Heart","切特斯之心",[3],[6042],80,80,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
137,"eternal_notable_physical_damage_1",5,"Gemling Training","Entraînement des Sertis","Gemmling-Training","ジェムリングの訓練","마석병 훈련","Treinamento Gemante","Выучка каменита","Entrenamiento Gemita","Gemling Training","古靈訓練",[3],[26],80,80,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
138,"eternal_notable_physical_damage_2",5,"Rigwald's Might","Puissance de Rigwald","Rigwalds Macht","リグワルドの精力","리그월드의 완력","Força de Rigwald","Мощь Ригвальда","El poder de Rigwald","Rigwald's Might","瑞佛之力",[3],[490],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
139,"eternal_notable_bleed_damage_1",5,"Geofri's End","Dénouement de Geofri","Geofris Untergang","ジェフリの最後","조프리의 끝","Fim de Geofri","Конец Джофри","El fin de Geofri","Geofri's End","吉爾菲的結局",[3],"[6034,9080]",50,50,10,10,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
140,"eternal_notable_projectile_attack_damage_1",5,"Lioneye's Focus","Visée d'Œil de Lion","Löwenauges Fokus","ライオンアイのフォーカス","라이온아이의 집중","Foco de Lioneye","Меткость Львиного глаза","La concentración de Lioneye","Lioneye's Focus","獅眼的專注",[3],[4942],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
141,"eternal_notable_attack_speed_1",5,"Voll's Coup","Coup d'État de Voll","Volls Putsch","ヴォールの政変","볼의 봉기","Golpe de Voll","Ход Волла","La revuelta de Voll","Voll's Coup","福爾的妙計",[3],[70],15,15,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
142,"eternal_notable_cast_speed_1",5,"Dialla's Wit","Esprit de Dialla","Diallas Scharfsinn","ディアーラの理知","디알라의 재치","Sabedoria de Diala","Ум Диаллы","El intelecto de Dialla","Dialla's Wit","達拉的智慧",[3],[216],15,15,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
143,"eternal_notable_rarity_1",5,"Discerning Taste","Goûts raffinés","Guter Geschmack","洗練された審美眼","안목의 소유자","Gosto Discernente","Придирчивый вкус","Sabor discernido","Discerning Taste","鑑賞之味",[3],[153],40,40,0,0,0,0,0,0,0,0,0,0,25,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
144,"eternal_notable_armour_1",5,"Gleaming Legion","Légion étincelante","Glänzende Legion","輝く軍団","번뜩이는 군단","Legião Reluzente","Сверкающий легион","Legión resplandeciente","Gleaming Legion","閃耀軍閥",[3],[117],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
145,"eternal_notable_evasion_1",5,"Shadowy Streets","Ruelles sombres","Finstere Gassen","暗い路地裏","아련한 거리","Ruas Escuras","Тёмные улицы","Calles ensombrecidas","Shadowy Streets","陰暗巷道",[3],[120],80,80,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
146,"eternal_notable_fire_resistance_1",5,"Crematorium Worker","Crémateur","Einäscherer","火葬場の労働者","화장터 일꾼","Trabalhador do Crematório","Рабочий крематория","Trabajador de crematorio","Crematorium Worker","火葬場之徒",[3],[144],50,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
147,"eternal_notable_cold_resistance_1",5,"Street Urchin","Enfant de la rue","Straßenkind","浮浪児","거리의 악동","Garoto de Rua","Уличный оборванец","Erizo callejero","Street Urchin","街邊頑童",[3],[146],50,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
148,"eternal_notable_lightning_resistance_1",5,"Baleful Augmentation","Accroissement maléfique","Schmerzvolle Verstärkung","悪意に満ちた強化","사악한 강화","Aumento Maligno","Зловещее усиление","Mejora nefasta","Baleful Augmentation","險惡增幅",[3],[148],50,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
149,"eternal_notable_chaos_resistance_1",5,"With Eyes Open","Face à la vérité","Mit geöffneten Augen","開いた目で","트인 눈","Com Olhos Abertos","С открытыми глазами","Con los ojos abiertos","With Eyes Open","睜大雙眼",[3],[150],37,37,0,0,0,0,0,0,0,0,0,0,40,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
150,"eternal_notable_life_1",5,"Robust Diet","Diète vigoureuse","Stramme Diät","健全な食事","보양식","Dieta Robusta","Строгая диета","Dieta robusta","Robust Diet","生酮飲食",[3],[124],10,10,0,0,0,0,0,0,0,0,0,0,40,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
151,"eternal_notable_mana_1",5,"Pooled Resources","Ressources accumulées","Gebündelte Ressourcen","集結された資源","물자 산더미","Recursos Agregados","Накопленные запасы","Recursos agrupados","Pooled Resources","集資",[3],[128],30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
152,"eternal_notable_mana_regen_1",5,"Laureate","Lauréat","Laureat","名誉ある者","계관인","Louvado","Придворный поэт","Galardonado","Laureate","桂冠",[3],[130],50,50,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
153,"eternal_notable_accuracy_1",5,"War Games","Exercices de guerre","Kriegsspiele","ウォーゲーム","워 게임","Jogos de Guerra","Военные игры","Juegos de guerra","War Games","戰爭遊戲",[3],[84],25,25,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireOffensiveNotable.dds",[],0,100
154,"eternal_notable_flask_duration_1",5,"Freshly Brewed","Décoction fraîche","Frisch gebraut","淹れたて","신선한 한 잔","Recém Fermentado","Свежий отвар","Recién preparado","Freshly Brewed","鮮釀",[3],[739],20,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/EternalEmpireDefensiveNotable.dds",[],0,100
