"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]","[string]","i32","[rid]"
265,"broken_armour_debuff","[2004,2007]",[],[250],[],"[""Default""]",[603],[18079],[],18511,[],[],[],[],1000,[]
266,"armour_fully_broken_consumed",[2010],[],[],[],"[""Default""]",[],[18079],[],18515,[],[],[],[],1000,[]
267,"resonating_slam","[2013,2014]",[],[],[],"[""Default""]",[],[18079],[],339,[],[694],[],[],1000,[]
268,"sniper_gas_shot","[2230,2131,2231,2232]",[],[],[],"[""Default""]",[],[18079],[334],339,[],[696],[],[],1000,[]
269,"death_storm",[2015],[],[],[],"[""Default""]",[],[18079],[],339,[],[697],[],[],1000,[]
270,"bombadier_destructive_link","[2016,2035]",[],[298],[],"[""Default""]",[],[18079],[],339,[],[699],[],[],1000,[]
271,"ice_bind",[],[138],[],[],"[""Default""]",[],[18079],[],339,[],[698],[],[],1000,[]
272,"wind_palm","[2018,2019,2020]",[],[],[],"[""Default""]",[606],[18079],[],339,[],[701],[],[],1000,[]
273,"wind_palm_projectile",[2239],[],[],[],"[""Default""]",[],[18079],[339],339,[],"[702,703]",[],[],1000,[]
274,"command_minion",[2021],[],[],[],"[""Default""]",[],[18079],[],339,[],[693],[],[],1000,[]
275,"charged_staff",[2025],[],[],[],"[""Default""]",[],[18079],[],339,[],"[704,705]",[],[],1000,[]
276,"rolling_magma","[2026,2030]",[],[],[],"[""Default"",""Concoction"",""Harbinger""]",[],"[18079,15756,41619]",[335],339,[],[706],[],[],1000,[]
277,"charged_strike","[2036,2037,2038]",[],[257],[],"[""Default""]",[],[18079],[],339,[],[707],[],[],1000,[]
278,"tempest_bell","[2041,2042]",[142],[],[33],"[""Default""]","[607,608,609]",[18079],[],339,[],[708],[],[],1000,[]
279,"generic_minion_command",[2021],[],[],[],"[""Default""]",[],[18079],[],339,[],[709],[],[],1000,[]
280,"ice_ambush","[2043,2044,2045]",[],[],[34],"[""Default""]",[],[18079],[],339,[],"[710,711]",[],[],1000,[]
281,"bone_spike",[2244],[],[305],[],"[""Default""]",[],[18079],[340],339,[],[712],[],[],1000,[]
282,"ring_of_bone",[],[],[],[],"[""Default""]",[629],[18079],[],339,[],[713],[],[],1000,[]
283,"contagion","[2046,2052]",[],"[278,0,0]",[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[610,616]","[18079,47901,27572,52008,64816,55295]",[],339,[],[228],[],[],1000,[]
284,"consume_corpse",[2058],[],[259],[],"[""Default""]",[],[18079],[],339,[],[714],[],[],1000,[]
285,"bone_cone",[2057],[],[258],[],"[""Default""]",[],[18079],[],339,[20],[715],[],[],1000,[]
286,"poison_burst_arrow",[2061],[],[],[],"[""Default""]",[],[18079],[341],339,[],[717],[],[],1000,[]
287,"power_siphon","[2034,2059,2060]",[],[260],[],[],[],[],[],339,[],[92],[],[],1000,[]
288,"shocking_arrow","[2062,2063]",[],[],[49],"[""Default""]",[],[18079],[342],339,[],[719],[],[],1000,[]
289,"ripwire_arrow",[2080],[],[],[],"[""Default""]",[],[18079],[346],339,[],[720],[],[],1000,[]
290,"lightning_rod_rain","[2064,2065]",[],[],[35],"[""Default""]",[],[18079],[343],339,[],[721],[],[],1000,[]
291,"gas_cloud_arrow","[1994,2127,1998,1999]",[],[],[],"[""Default""]",[],[18079],[358],339,[],[722],[],[],1000,[]
292,"greater_fireball",[2075],[],[],[],"[""Default""]",[],[18079],"[344,345]",339,[],[725],[],[],1000,[]
293,"solar_orb","[2076,2077]",[],[],[41],"[""Default""]",[628],[18079],[],339,[],[724],[],[],1000,[]
294,"plague_bearer_nova",[2078],[],[277],[],"[""Default""]",[],[18079],[],339,[],[727],[],[],1000,[]
295,"channel_shield_charge","[2195,2196,2197,2198]",[],[275],[],"[""Default""]",[],[18079],[],339,[],[10],[],[],1000,[]
296,"electrocuting_arrow",[],[],[],[],"[""Default""]",[641],[18079],[348],339,[],[728],[],[],1000,[]
297,"shatter","[2079,2238]",[],[],[],"[""Default""]",[],[18079],[],339,[],[729],[],[],1000,[]
298,"rain_of_arrows_new","[1271,2114,1290]",[],[],[],"[""Default""]",[],[18079],[349],339,[],[723],[],[],1000,[]
299,"perfect_strike","[2191,2193,2194,2192]",[],[274],[],"[""Default""]",[],[18079],[],339,[],[730],[],[],1000,[]
300,"channelled_snipe",[2414],[],[361],[],"[""Default""]",[],[18079],[347],339,[],[433],[],[],1000,[]
301,"lightning_warp","[2081,2099,2087,2093,2116,2105]",[],[],[],"[""Default""]",[],[18079],[],339,[],[73],[],[],1000,[]
302,"empower_barrage",[2119],[],[],[],"[""Default""]","[622,623]",[18079],[],339,[],[156],[],[],1000,[]
303,"shield_block",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[731],[],[],1000,[]
304,"detonating_arrow","[2111,2112]",[],[],[],"[""Default""]",[],[18079],[],339,[],[716],[],[],1000,[]
305,"shield_drum",[2113],[],[],[],"[""Default""]",[],[18079],[],339,[],[732],[],[],1000,[]
306,"mana_remnants",[2115],[141],[301],[],"[""Default""]",[624],[18079],[],339,[],[733],[],[],1000,[]
307,"poisonbloom_arrow",[2117],[],[],[36],[],[],[],[350],339,[],[718],[],[],1000,[]
308,"summon_meta_totem_slams","[2469,2468,2470]",[],[],[],"[""Default""]",[],[18079],[],339,[21],[468],[],[],1000,[]
309,"summon_meta_totem_axes","[2469,2468,2470]",[],[],[],"[""Default""]",[],[18079],[],339,[21],[469],[],[],1000,[]
310,"igneous_shield",[],[],[],[],"[""Default""]","[625,626,627]",[18079],[],339,[],[734],[],[],1000,[]
311,"igneous_shield_explosion",[2132],[],[],[],[],[],[],[],339,[],[735],[],[],1000,[]
312,"flameblast","[2133,2180,2134,2135,2136]",[],[262],[],"[""Default""]",[],[18079],[],339,[],"[149,150,152,151,153,154,165,166]",[],[],1000,[]
313,"greater_frostbolt",[2181],[],[],[],"[""Default""]",[],[18079],[351],339,[],[239],[],[],1000,[]
314,"totem_shockwave","[2469,2468,2470]",[],[],[],"[""Default""]",[],[18079],[],339,[],[758],[],[],1000,[]
315,"totem_shockwave_quake","[2188,2189,2190]",[],[],[],"[""Default""]",[],[18079],[],339,[],[760],[],[],1000,[]
316,"freezing_shards",[],[],[],[],"[""Default""]",[],[18079],[356],339,[],[759],[],[],1000,[]
317,"poison_vine_arrow","[1271,2199,1290]",[140],[276],[37],"[""Default""]",[],[18079],[357],339,[],[761],[],[],1000,[]
318,"summon_rhoa_mount",[],[],[],[],"[""Default""]",[],[18079],[],339,[22],[762],[],[],1000,[]
319,"plague_burst",[2200],[],[],[],"[""Default""]",[],[18079],[],339,[],[763],[],[],1000,[]
320,"detonate_dead","[2204,2207,2201,2210]",[],[296],[],"[""Default""]",[],[18079],[],339,[],"[25,26]",[],[],1000,[]
321,"corpse_cloud","[1994,2127,1998,1999]",[],[297],[],"[""Default""]",[],[18079],[],339,[],[764],[],[],1000,[]
322,"raging_spirits",[],[],[],[],"[""Default""]",[],[18079],[],339,[1],[765],[],[],1000,[]
323,"skeleton_mage_minion_frostbolt","[2213,2214]",[],[],[],"[""Default""]",[],[18079],[300],339,[],[766],[],[],1000,[]
324,"triggered_elemental_discharge","[2215,2216,2217]",[],[],[],"[""Default""]",[],[18079],[],339,[],[767],[],[],1000,[]
325,"triggered_fiery_death",[2226],[],[302],[],"[""Default""]",[],[18079],[],339,[],[768],[],[],1000,[]
326,"spear_storm",[2218],[],[],[39],"[""Default"",""Celestial""]",[],"[18079,27572]",[],339,[],[770],[],[],1000,[]
327,"raise_zombie",[],[],[299],[],"[""Default""]",[],[18079],[],339,[],[39],[],[],1000,[]
328,"hex_blast","[2222,2223]",[],[300],[],"[""Default""]",[],[18079],[],339,[],[457],[],[],1000,[]
329,"remote_spear_mine","[2224,2225]",[],[],[],"[""Default""]",[],[18079],[],339,[],[771],[],[],1000,[]
330,"knockback_wave",[2227],[],[],[],"[""Default""]",[],[18079],[],339,[],[772],[],[],1000,[]
331,"lightning_bolt",[2228],[],[],[],"[""Default""]",[],[18079],[],339,[],"[646,274,647]",[],[],1000,[]
332,"spear_wind_vortex",[2240],[],[],[],"[""Default""]",[],[18079],[],339,[],[773],[],[],1000,[]
333,"spear_infusing_strike",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[774],[],[],1000,[]
334,"spear_lightning_warp","[2233,2234,2235]",[],[],[],"[""Default""]",[],[18079],[],339,[],[775],[],[],1000,[]
335,"infused_spear_mine",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[776],[],[],1000,[]
336,"pinned",[],[155],[],[],"[""Default"",""RingOfBones"",""RipWire"",""Jade""]",[629],"[18079,56326,3564,49578]",[],19064,[],[],[],[],1000,[]
337,"wind_dancer",[2236],[],[],[],"[""Default""]",[],[18079],[],339,[],"[777,778]",[],[],1000,[]
338,"triggered_mana_flare",[2237],[],[],[],"[""Default""]",[],[18079],[],339,[],[779],[],[],1000,[]
339,"ritual_of_power",[2241],[143],[303],[],"[""Default""]",[633],[18079],[],339,[],[780],[],[],1000,[]
340,"oshabi_orb_projectile",[],[],[],[],"[""Default"",""CarnivorousPlant""]",[],"[18079,44924]","[359,361]",339,[],[447],[],[],1000,[]
341,"power_offering","[2242,2243]",[144],"[304,0]",[],"[""Default""]",[656],[18079],[],339,[25],[781],[],[],1000,[]
342,"dark_effigy_projectile","[2247,2248]",[],[307],[],"[""Default""]",[],[18079],"[363,364]",339,[],[783],[],[],1000,[]
343,"soul_offering",[2000],[],[253],[],"[""Default""]",[],[18079],[],339,[23],[690],[],[],1000,[]
344,"dark_offering",[2000],[],[253],[],"[""Default""]",[],[18079],[],339,[23],[691],[],[],1000,[]
345,"grave_offering",[2000],[],[253],[],"[""Default""]",[],[18079],[],339,[23],[692],[],[],1000,[]
346,"ice_bomb","[2245,2246]",[],[],[],"[""Default""]",[],[18079],[],339,[],[785],[],[],1000,[]
347,"grim_feast","[2249,2250]",[],"[328,0,0]",[],"[""Default""]",[636],[18079],[],339,[],[786],[],[],1000,[]
348,"create_illusion",[],[],"[331,0]",[],"[""Default""]",[],[18079],[],339,[],[671],[],[],1000,[]
349,"cast_on_minion_death","[2251,2252]",[],[332],[],"[""Default""]",[],[18079],[],339,[],[788],[],[],1000,[]
350,"brutus_ground_slam","[2253,2259]",[],[],[],"[""Default"",""Molten"",""Lightning"",""Acolyte"",""Mastodon"",""BitterGuy""]",[],"[18079,19877,41050,31443,45872,30428]",[],339,[],[172],[],[],1000,[]
351,"scavenged_plate",[],[],[333],[],"[""Default""]","[637,638]",[18079],[],339,[],[789],[],[],1000,[]
352,"dash_attack_to_target",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[790],[],[],1000,[]
353,"mana_drain",[],[145],"[346,0]",[],"[""Default""]",[],[18079],[],339,[],[792],[],[],1000,[]
354,"bone_blast",[2265],[],[359],[],"[""Default""]",[],[18079],[],339,[],[793],[],[],1000,[]
355,"blink_reservation",[],[],[],[],"[""Default""]",[639],[18079],[],339,[],[794],[],[],1000,[]
356,"blink",[],[],"[358,0]",[],"[""Default""]",[],[18079],[],339,[],[795],[],[],1000,[]
357,"incinerate_player",[2266],[],[],[],"[""Default""]",[],[18079],[],339,[],[796],[],[],1000,[]
358,"molten_blast","[2267,2268]",[],[],[],"[""Default""]",[],[18079],"[365,366]",339,[],[797],[],[],1000,[]
359,"cast_aura_crit_against_enemy","[2295,2296]",[],[],[],"[""Default""]",[],[18079],[],339,[],[798],[],[],1000,[]
360,"volatile_dead","[2269,2275]",[],[334],[],"[""Default"",""Monster"",""Stygian"",""Chaos"",""Void"",""Darkwood""]",[],"[18079,1567,39541,38322,9203,12926]",[],339,[26],"[305,306]",[],[],1000,[]
361,"hydra",[],[],[],[],"[""Default""]",[640],[18079],[],339,[32],[799],[],[],1000,[]
362,"hammer_of_the_gods","[2281,2282,2283,2385,2386]",[],[],[],"[""Default""]",[],[18079],[],339,[],[800],[],[],1000,[]
363,"living_bomb_player","[2284,2285,2286]",[],[],[],"[""Default""]",[],[18079],[],339,[],[801],[],[],1000,[]
364,"channel_stampede","[2287,2288,2384,2466]",[],[],[],"[""Default""]",[],[18079],[],339,[],[802],[],[],1000,[]
365,"shield_barricade","[2387,2388]",[],[],[40],"[""Default""]",[],[18079],[],339,[],[803],[],[],1000,[]
366,"shielding_cry","[2289,2290]",[],[348],[],"[""Default""]",[646],[18079],[],339,[],[804],[],[],1000,[]
367,"shielding_cry_shockwave",[2291],[],[],[],"[""Default""]",[],[18079],[],339,[],[805],[],[],1000,[]
368,"blazing_cluster",[2292],[],[402],[],"[""Default""]",[],[18079],[367],339,[],"[806,807]",[],[],1000,[]
369,"discipline","[2293,2294]",[],[],[],"[""Default""]",[],[18079],[],339,[],[99],[],[],1000,[]
370,"purity","[2297,2298]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[141,142,143,97,376]",[],[],1000,[]
371,"ancestral_cry","[2372,2380,1898]",[146],[349],[],"[""Default"",""Celestial"",""CryWolf""]",[642],"[18079,27572,26782]",[303],339,[],"[442,443]",[],[],1000,[]
372,"power_shot",[],[],[],[],"[""Default""]",[],[18079],[310],339,[],"[537,754]",[],[],1000,[]
373,"burst_shot",[],[],[],[],"[""Default"",""Incendiary"",""ArmourPiercing"",""Freezing"",""Stormblast""]",[],"[18079,33755,4999,41369,51008]",[],339,[],[600],[],[],1000,[]
374,"siege_cascade",[1985],[],[],[],"[""Default""]",[],[18079],[315],339,[],[546],[],[],1000,[]
375,"rapid_shot",[],[],[],[],"[""Default""]",[],[18079],[320],339,[],[591],[],[],1000,[]
376,"power_shot_incendiary",[2389],[],[],[],"[""Default""]",[],[18079],[311],339,[],[538],[],[],1000,[]
377,"power_shot_piercing",[2390],[],[],[],"[""Default""]",[],[18079],[312],339,[],[540],[],[],1000,[]
378,"power_shot_permafrost","[2391,2392]",[],[],[32],"[""Default""]",[],[18079],[313],339,[],[542],[],[],1000,[]
379,"power_shot_stormblast","[2393,2394]",[],[],[],"[""Default""]",[],[18079],[314],339,[],[544],[],[],1000,[]
380,"burst_shot_incendiary",[],[],[],[],"[""Default""]",[],"[18079,23384]",[369],339,[],[601],[],"[""IncendiaryMonster""]",1000,[]
381,"burst_shot_piercing",[2395],[],[],[],"[""Default""]",[],"[18079,21234]",[371],339,[],[603],[],"[""ArmourPiercingMonster""]",1000,[]
382,"burst_shot_permafrost",[],[],[],[],"[""Default""]",[],[18079],[373],339,[],[605],[],[],1000,[]
383,"burst_shot_stormblast",[],[136],[],[],"[""Default""]",[],[18079],[374],339,[],[607],[],[],1000,[]
384,"siege_cascade_incendiary",[2396],[],[],[],"[""Default""]",[],[18079],[316],339,[],[547],[],[],1000,[]
385,"siege_cascade_piercing","[2402,2396,2400]",[],[],[],"[""Default""]",[],[18079],[316],339,[],"[549,428]",[],[],1000,[]
386,"siege_cascade_permafrost",[2398],[],[],[],"[""Default""]",[],[18079],[318],339,[],[551],[],[],1000,[]
387,"siege_cascade_stormblast","[2399,2405]",[],[],[47],"[""Default""]",[],[18079],[319],339,[],[553],[],[],1000,[]
388,"rapid_shot_incendiary",[],[],[255],[],"[""Default""]",[],[18079],[321],339,[],[592],[],[],1000,[]
389,"rapid_shot_piercing",[],[],[],[],"[""Default""]",[],[18079],[323],339,[],[594],[],[],1000,[]
390,"rapid_shot_permafrost","[1983,1984]",[],[],[],"[""Default""]",[],[18079],[324],339,[],[596],[],[],1000,[]
391,"rapid_shot_stormblast",[2404],[],[],[],"[""Default""]",[],[18079],[325],339,[],[598],[],[],1000,[]
392,"armour_explosion",[2406],[],[],[],"[""Default""]",[],[18079],[],339,[],[809],[],[],1000,[]
393,"ice_strike","[2407,2408]",[150],"[353,0,0,0,354]",[],"[""Default""]",[],[18079],[],339,[],[610],[],[],1000,[]
394,"stomping_ground_shockwave",[2409],[],[],[],"[""Default""]",[],[18079],[],339,[],[811],[],[],1000,[]
395,"life_remnants",[2412],[151],[360],[],"[""Default""]",[647],[18079],[],339,[],[812],[],[],1000,[]
396,"trick_shot",[2413],[153],[],[],"[""Default""]",[],[18079],[375],339,[],[813],[],[],1000,[]
397,"sigil_of_power",[],[],[],[42],"[""Default"",""Divine""]",[648],"[18079,29263]",[],339,[],[450],[],[],1000,[]
398,"summon_mercenary_companion",[],[],[],[],"[""Default""]",[],[18079],[],339,[33],[679],[],[],1000,[]
399,"summon_meta_demon_caster",[],[],[],[],"[""Default""]",[],[18079],[],339,[34],[533],[],[],1000,[]
400,"soulbreaker",[2415],[],[],[],"[""Default""]",[],[18079],[],339,[],[818],[],[],1000,[]
401,"vaulting_impact",[2416],[],[],[],"[""Default""]",[],[18079],[],339,[],[814],[],[],1000,[]
402,"storm_wave",[2417],[],[],[],[],[],[],[],339,[],[815],[],[],1000,[]
403,"viper_napuatzi_lightning_spear",[],[],[],[],[],[],[],"[376,377]",339,[],[825],[],[],1000,[]
404,"mantra_of_destruction",[2456],[154],"[362,0,0]",[],"[""Default""]",[],[18079],[],339,[],[816],[],[],1000,[]
405,"war_banner","[2425,2428]",[],[],[44],"[""Default""]",[],[18079],[],339,[],[826],[],[],1000,[]
406,"defiance_banner","[2426,2429]",[],[],[45],"[""Default""]",[],[18079],[],339,[],[827],[],[],1000,[]
407,"dread_banner","[2427,2430]",[],[],[46],"[""Default""]",[],[18079],[],339,[],[828],[],[],1000,[]
408,"snipers_mark",[],[],[],[],"[""Default""]",[650],[18079],[],339,[],[70],[],[],1000,[]
409,"freezing_mark",[2419],[],[],[],"[""Default""]",[651],[18079],[],339,[],"[829,830]",[],[],1000,[]
410,"thaumaturgist_mark",[2420],[],[],[],"[""Default""]",[652],[18079],[],339,[],"[831,832]",[],[],1000,[]
411,"dazed",[],[],[365],[],"[""Default""]",[653],[18079],[],19924,[],[],[],[],1000,[]
412,"hand_of_chayula","[2421,2422]",[],[],[],"[""Default""]",[],[18079],[],339,[],[834],[],[],1000,[]
413,"summon_infernal_familiar",[],[],[],[],"[""Default""]",[],[18079],[],339,[35],[536],[],[],1000,[]
414,"plague_bearer","[912,915,918,921]",[],[261],[],"[""Default"",""Stygian""]","[384,388,392,396]","[18079,39541]",[],339,[],[726],[],[],1000,[]
415,"advancing_strike",[2424],[],[],[],"[""Default""]",[],[18079],[],339,[],[527],[],[],1000,[]
416,"war_banner_reservation",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[840],[],[],1000,[]
417,"defiance_banner_reservation",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[841],[],[],1000,[]
418,"dread_banner_reservation",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[842],[],[],1000,[]
419,"time_of_need",[],[],"[367,0,0]",[],"[""Default""]",[],[18079],[],339,[],[843],[],[],1000,[]
420,"elemental_invocation","[1969,1970]",[],[244],[],"[""Default""]",[595],[18079],[],339,[],[846],[],[],1000,[]
421,"attrition","[2443,2444]",[],[388],[],"[""Default""]",[],[18079],[],339,[],[848],[],[],1000,[]
422,"elemental_conflux","[2436,2437,2438]",[],[373],[],"[""Default""]",[],[18079],[],339,[],[849],[],[],1000,[]
423,"breach_walk","[2431,2432,2433,2457]",[],"[370,0,0]",[],"[""Default""]",[],[18079],[],339,[],[847],[],[],1000,[]
424,"emergency_reload",[],[],"[386,0]",[],"[""Default""]",[],[18079],[],339,[],[850],[],[],1000,[]
425,"time_stop",[2439],[],[],[],"[""Default""]",[],[18079],[],339,[],[838],[],[],1000,[]
426,"cluster_grenade","[2440,2441,2442]",[],[],[],"[""Default""]",[],[18079],"[379,380]",339,[],"[851,852]",[],[],1000,[]
427,"charge_mastery",[],[],[375],[],"[""Default""]",[],[18079],[],339,[],[855],[],[],1000,[]
428,"shard_despoiler",[2455],[],"[381,0]",[],"[""Default""]",[],[18079],[],339,[],[856],[],[],1000,[]
429,"summon_totem_defender",[],[152],[],[],"[""Default""]",[],[18079],[],339,[],[845],[],[],1000,[]
430,"affliction_split",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[857],[],[],1000,[]
431,"overwhelming_pressure",[],[],[382],[],"[""Default""]",[],[18079],[],339,[],[860],[],[],1000,[]
432,"alchemist_boon",[],[],"[383,0,0]",[],"[""Default""]",[],[18079],[],339,[],[861],[],[],1000,[]
433,"melee_kill_invocation","[1971,1972]",[],[245],[],"[""Default""]",[596],[18079],[],339,[],[862],[],[],1000,[]
434,"harvester",[],[],[389],[],"[""Default""]",[],[18079],[],339,[],[863],[],[],1000,[]
435,"archmage",[],[],[390],[],"[""Default""]",[],[18079],[],339,[],[864],[],[],1000,[]
436,"magnetic_salvo","[2458,2459]",[],[],[],"[""Default""]",[],[18079],[381],339,[],[866],[],[],1000,[]
437,"freezing_salvo",[2460],[],[],[],"[""Default""]",[],[18079],[382],339,[],[867],[],[],1000,[]
438,"triggered_gas_cloud","[1994,2127,1998,1999]",[],[],[],"[""Default""]",[],[18079],[],339,[],[868],[],[],1000,[]
439,"triggered_detonation",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[869],[],[],1000,[]
440,"berserk",[],[],[397],[],"[""Default""]",[],[18079],[],339,[],[870],[],[],1000,[]
441,"herald_of_agony",[],[],[399],[],"[""Default""]",[],[18079],[],339,[],[871],[],[],1000,[]
442,"herald_of_blood",[],[],[398],[],"[""Default""]",[],[18079],[],339,[],[872],[],[],1000,[]
443,"withering_presence",[],[],[396],[],"[""Default""]",[],[18079],[],339,[],[873],[],[],1000,[]
444,"combat_frenzy",[],[],[393],[],"[""Default""]",[],[18079],[],339,[],[874],[],[],1000,[]
445,"cast_on_block","[2461,2462]",[],[394],[],"[""Default""]",[],[18079],[],339,[],[875],[],[],1000,[]
446,"gathering_storm","[2463,2464]",[],[395],[],"[""Default""]",[],[18079],[],339,[],[876],[],[],1000,[]
447,"ghost_dance",[],[],[400],[],"[""Default""]",[655],[18079],[],339,[],[672],[],[],1000,[]
448,"unique_delirium_flask",[2467],[],[401],[],"[""Default""]",[],[18079],[],339,[],[],[],[],1000,[]
449,"aegis","[2471,2478,2485]",[],[],[],"[""Fire"",""Cold"",""Elemental"",""Lightning"",""Physical"",""Primal"",""SorceryWard""]",[],"[45142,13381,47704,41050,5926,30792,48628]",[],339,[],[810],[],[],1000,[]
