"rownum","Id","Description","SetId","Objective","HASH16","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string","string","string"
602,"LegionCompleteTheseQuests","Complete these Quests",28,"Complete each of the following quests.",-7082,1,"","",0,"","","","","","","","",""
603,"LegionDefeatTheseActBossesI","Defeat these Act Bosses",28,"Defeat each of the following Unique Act Bosses.",6310,1,"","",0,"","","","","","","","",""
604,"LegionCompleteEncountersI","Complete these Encounters I",28,"Complete each of the following Encounters.",17650,"","","",0,"","","","","","","","",""
605,"LegionCompleteInvasionEachFaction","Complete Legion Encounters II",28,"Complete Legion encounters which involve each of the following Factions.",18887,"","","",0,"","","","","","","","",""
606,"LegionDefeatTheseUniqueBosses","Defeat these Unique Bosses",28,"Defeat each of the following Unique Bosses.",-25496,"","","",0,"","","","","","","","",""
607,"LegionUseQualityCurrency","Use these Quality Currency Items",28,"Use the following currency items to upgrade items and strongboxes to their maximum quality.",31517,"","","",0,1,"","","","","","","",""
608,"LegionDefeatLegionMonsters","Defeat these Legion Monsters",28,"Defeat the following Rare Legion monsters.",-6247,1,"","",0,1,"","","","","","","",""
609,"LegionDefeatElderGuardiansAndElder","Defeat Elder and Elder Guardians",28,"Defeat The Elder and each of his Guardians.",24448,"","","",0,"","","","","","","","",""
610,"LegionObtainCraftingRecipes","Obtain these Crafting Recipes",28,"Obtain the following crafting recipes.",-2276,"","","",0,"","","","","","","","",""
611,"LegionCompletePantheon","Complete the Pantheon",28,"Fully upgrade the Pantheon.",-27240,1,"","",0,1,"","","","","","","",""
612,"LegionCompleteEncountersII","Complete these Encounters II",28,"Complete each of the following Encounters.",12841,1,"","",0,"","","","","","","","",""
613,"LegionDefeatLegionGenerals","Defeat these Legion Generals",28,"Defeat each of the following Legion Generals.",31711,1,"","",0,"","","","","","","","",""
614,"LegionCompleteElderOrShaperInfluencedMaps","Complete Elder or Shaper Influenced Maps",28,"Complete fifty Maps that are influenced by The Shaper or The Elder.",-32310,"",1,"",0,1,"","","","","","","",""
615,"LegionCompleteTwinnedMaps","Complete Twinned Maps",28,"Complete the following Maps while they have the Twinned modifier. These Maps are completed by killing their Unique Bosses.",23117,1,"","",0,1,"","","","","","","",""
616,"LegionOpenLegionChests","Open Legion Chests",28,"Open the following number of Legion Chests and Legion War Hoards.",-10360,"","","",0,1,1,"","","","","","",""
617,"LegionCompleteUnidentifiedMaps","Complete Unided Rare Maps",28,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",4689,"","","",10,1,"","","","","","","",""
618,"LegionAchieveAscension","Achieve Ascension",28,"Use the Ascendancy Device in all 4 Labyrinths.",-27934,"",1,"",0,1,"","","","","","","",""
619,"LegionUseLegionIncubators","Use Legion Incubators",28,"Obtain item rewards from 18 of the following 23 Incubators. Item rewards are given on completing the Incubation process. ",16301,1,"","",18,"","","","","","","","",""
620,"LegionCompleteEncountersIII_","Complete these Encounters III",28,"Complete each of the following Encounters.",10591,"","","",0,"",1,"","","","","","",""
621,"LegionCompleteLegionEncountersIII","Complete Legion Encounters III",28,"Defeat the following Legion monsters the specified number of times. Monster Targets have specific symbols above them which indicate what reward they will drop on death.",-7631,"","","",0,"",1,"","","","","","",""
622,"LegionAllocatePassives","Allocate Legion Passives",28,"Allocate Keystone and Notable passive skills which have been transformed by the Legion.",-25185,1,"","",0,1,"","","","","","","",""
623,"LegionCompleteMapsWithSextantMods","Complete Maps with Sextants",28,"Complete Maps that are affected by 9 of the following 11 Sextant modifiers.",-10207,1,"","",9,"","","","","","","","",""
624,"LegionCompleteCorruptionOutcomes","Embrace Corruption",28,"Complete each of the following encounters.",-5110,1,"","",0,"","","","","","","","",""
625,"LegionCompleteEncountersIV","Complete these Encounters IV",28,"Complete each of the following Encounters.",-22760,1,"","",0,"","","","","","","","",""
626,"LegionCompleteLegionEncountersIV","Complete Legion Encounters IV",28,"Defeat Legion Monsters or open Legion Chests marked with symbols, which drop the following rewards.",-25024,1,"","",0,1,"","","","","","","",""
627,"LegionLevel90","Reach Level 90",28,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-13915,"",1,"",0,1,"","","","","","","",""
628,"LegionOpenUniqueStrongboxes","Open these Unique Strongboxes",28,"Open seven of the following eleven Unique Strongboxes. Strongboxes do not need to be identified to complete the challenge. The ambushers must be defeated before it is counted as open.",-3021,1,"","",7,1,"","","","","","","",""
629,"LegionCompleteEncountersV","Complete these Encounters V",28,"Complete each of the following Encounters.",-27187,1,"","",0,"","","","","","","","",""
630,"LegionCompleteBossWorldsI","Complete Timeless Conflict I",28,"Complete the Domain of Timeless Conflict while it contains the following number of Legion factions.",17678,"","","",0,"","","","","","","","",""
631,"LegionCompleteEightModMaps","Complete Maps with Eight Mods",28,"Complete 30 Red Tier Rare Maps while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextants, Scarabs and Zana mods do not count towards the mod count of this challenge.",20237,"",1,"",0,1,"","","","","","","",""
632,"LegionCompleteLegionEncountersV","Complete Legion Encounters V",28,"Release all Monsters and Chests of the following Legion Factions in a single encounter. This cannot be completed in the Domain of Timeless Conflict.",-8122,"","","",0,"","","","","","","","",""
633,"LegionMapGrind","Complete Map Tiers",28,"Complete 10,000 map tiers. Completing a tier 1 map gives 1 tier, completing a tier 2 map gives 2 tiers, and so on.",-29999,"",1,"",0,1,"","","","","","","",""
634,"LegionCompleteUniqueMaps","Complete Unique Maps",28,"Complete any 15 of the following 19 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",10651,1,"","",15,"","","","","","","","",""
635,"LegionCompleteEncountersVI","Complete these Encounters VI",28,"Complete each of the following Encounters.",-15344,1,"","",0,"",1,"","","","","","",""
636,"LegionCompleteBossWorldsII","Complete Timeless Conflict II",28,"Complete the following encounters in the Domain of Timeless Conflict.",9228,1,"","",0,"",1,"","","","","","",""
637,"LegionCompleteDeadlyEncounters","Complete Deadly Encounters",28,"Complete each of the following deadly encounters.",-4290,1,"","",0,"","","","","","","","",""
638,"LegionUberElderUnlock","Complete Zana's Questline",28,"Complete the entire questline given by Zana.",19826,"",1,"",0,1,"","","","","","","",""
639,"LegionEndgameGrind","Complete Endgame Grinds",28,"Complete any 4 of these encounters the specified number of times.",-9713,"","","",4,"",1,"","","","","","",""
640,"BlightIdentifyRareItems","Identify Rare Items",29,"Identify Rare items of each of the following item types. These can be identified by using a Scroll of Wisdom.",-22872,1,"","",0,1,"","","","","","","",""
641,"BlightCompleteBlightEncountersI","Complete Blight Encounters I",29,"Complete each of the following tasks during Blight Encounters.",25350,"","","",0,"","","","","","","","",""
642,"BlightCompleteTheseQuests","Complete these Quests",29,"Complete each of the following quests.",-3565,"","","",0,"","","","","","","","",""
643,"BlightDefeatActBossesI","Defeat these Act Bosses I",29,"Defeat each of the following Unique Act Bosses.",-1772,"","","",0,"","","","","","","","",""
644,"BlightCompleteEncountersI","Complete these Encounters I",29,"Complete each of the following Encounters.",25107,"","","",0,"","","","","","","","",""
645,"BlightBuildBlightTowersI","Build Blight Towers I",29,"Build each of the following Blight Towers.",-445,1,"","",0,"","","","","","","","",""
646,"BlightVendorRecipes","Complete Vendor Recipes",29,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-25409,1,"","",0,"","","","","","","","",""
647,"BlightDefeatActBossesII","Defeat these Act Bosses II",29,"Defeat each of the following Unique Act Bosses.",30646,"","","",0,"","","","","","","","",""
648,"BlightDefeatBlightRareMonsters","Defeat Blight Rare Monsters",29,"Defeat each of the following Rare Blight Monsters.",-29375,1,"","",0,1,"","","","","","","",""
649,"BlightDefeatElderGuardiansAndElder","Defeat Elder Guardians and Elder",29,"Defeat The Elder and each of his Guardians.",18581,"","","",0,"","","","","","","","",""
650,"BlightDefeatRogueExiles","Defeat Rogue Exiles",29,"Defeat each of the following Rogue Exiles.",-20562,"","","",0,1,"","","","","","","",""
651,"BlightCraftModifiers","Craft Modifiers",29,"Use the Crafting Bench to craft a modifier on the following item slots.",3344,1,"","",0,1,"","","","","","","",""
652,"BlightTurnInDivinationCards","Turn in Divination Cards",29,"Turn in Divination Cards which specifically grant each of the following reward types.",-23292,1,"","",0,1,"","","","","","","",""
653,"BlightCompleteEncountersII","Complete these Encounters II",29,"Complete each of the following Encounters.",-29996,"","","",0,"","","","","","","","",""
654,"BlightCompleteBlightEncountersII","Complete Blight Encounters II",29,"Complete Blight Encounters while each of the following conditions are true.",-844,"","","",0,"","","","","","","","",""
655,"BlightAnointItems","Anoint Items",29,"Anoint the following items by using Blight Oils.",7278,"","","",0,1,"","","","","","","",""
656,"BlightCompleteTwinnedMaps","Complete Twinned Maps",29,"Complete 10 of the following 15 Map Tiers while they have the Twinned modifier. Maps are completed by killing their Unique Bosses.",-27497,"","","",10,1,"","","","","","","",""
657,"BlightOpenBlightChests","Open Blight Chests",29,"Open the following Blight chests the specified number of times.",1303,"","","",0,"",1,"","","","","","",""
658,"BlightCompleteUnidMaps","Complete Unidentified Maps",29,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",-10035,"","","",10,1,"","","","","","","",""
659,"BlightAchieveAscension","Achieve Ascension",29,"Use the Ascendancy Device in all 4 Labyrinths.",5912,"","","",0,"","","","","","","","",""
660,"BlightDefeatBlightUniqueMonsters","Defeat Blight Unique Monsters",29,"Defeat each of the following Unique Blight Monsters.",-15193,1,"","",0,"","","","","","","","",""
661,"BlightCompleteEncountersIII","Complete these Encounters III",29,"Complete each of the following Encounters.",23542,"","","",0,"",1,"","","","","","",""
662,"BlightCompleteSynthesisUniqueMap","Complete Synthesis Unique Map",29,"Complete one of the following Synthesis Unique Maps.",31792,"","","",1,"","","","","","","","",""
663,"BlightBuildBlightTowersII","Build Blight Towers II",29,"Build each of the following Blight Towers.",24107,1,"","",0,1,"","","","","","","",""
664,"BlightObtainBlightRewards","Obtain rewards from Blight Chests",29,"Obtain 19 of the following 23 reward types from Blight Chests.",-13137,1,"","",19,1,"","","","","","","",""
665,"BlightCompleteLegionEncounters","Complete Legion Encounters",29,"Complete each of the following Legion encounters.",-16345,"","","",0,"","","","","","","","",""
666,"BlightUseBlightOils","Use Blight Oils to Modify items",29,"Use each of the following Blight Oils to modify items.",13205,"","","",0,1,"","","","","","","",""
667,"BlightSpendBlightResource","Spend Blight Resources",29,"Spend Blight Resources on each of the following Tower Types.",-5351,"","","",0,1,1,"","","","","","",""
668,"BlightLevel90","Reach level 90",29,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-30533,"",1,"",0,1,"","","","","","","",""
669,"BlightCompleteEncountersIV","Complete these Encounters IV",29,"Complete each of the following Encounters.",11987,"","","",0,"","","","","","","","",""
670,"BlightDefeatBlightLanes","Defeat Blight Lanes",29,"Complete Blight Encounters that have at least the following number of lanes while receiving a reward from all spawned lanes. This cannot be completed in a Blighted Map.",-4245,"","","",0,1,"","","","","","","",""
671,"BlightCompleteBlightedMapsI","Complete Blighted Maps I",29,"Complete Blighted Maps that are affected by each of the following modifiers with at least the specified magnitudes.",13429,"","","",0,"","","","","","","","",""
672,"BlightCompleteEncountersV","Complete these Encounters V",29,"Complete each of the following Encounters.",-19645,"","","",0,"","","","","","","","",""
673,"BlightMapGrind","Complete Atlas Missions",29,"Complete 525 Atlas Missions.",-15225,"",1,"",0,"","","","","","","","",""
674,"BlightCompleteUniqueMaps","Complete Unique Maps",29,"Complete any 15 of the following 19 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-16421,1,"","",15,"","","","","","","","",""
675,"BlightCompleteEncountersVI","Complete these Encounters VI",29,"Complete each of the following Encounters.",8645,"","","",0,"","","","","","","","",""
676,"BlightCompleteBlightedMapsII","Complete Blighted Maps II",29,"Complete Rare Blighted Maps in each of the following tiers.",30138,"","","",0,1,"","","","","","","",""
677,"BlightCompleteDeadlyEncounters","Complete Deadly Encounters",29,"Complete each of the following deadly encounters.",10000,"","","",0,"","","","","","","","",""
678,"BlightUberElderUnlock","Complete Zana's Questline",29,"Complete the entire questline given by Zana.",-27611,"",1,"",0,1,"","","","","","","",""
679,"BlightEndgameGrind","Complete Endgame Grinds",29,"Complete any 4 of these encounters the specified number of times.",2234,"","","",4,"",1,"","","","","","",""
680,"MetamorphUseCurrency","Use Currency",30,"Use each of the following currency items.",-9813,1,"","",0,1,"","","","","","","",""
681,"MetamorphCompleteMetamorphEncountersI","Complete Metamorph Encounters I",30,"Complete each of the following tasks during Metamorph Encounters.",-13979,"","","",0,"","","","","","","","",""
682,"MetamorphCompleteTheseQuests","Complete these Quests",30,"Complete each of the following quests.",-1602,"","","",0,"","","","","","","","",""
683,"MetamorphDefeatActBossesI","Defeat these Act Bosses I",30,"Defeat each of the following Unique Act Bosses.",-14986,"","","",0,"","","","","","","","",""
684,"MetamorphCompleteEncountersI","Complete these Encounters I",30,"Complete each of the following Encounters.",-28621,"","","",0,"","","","","","","","",""
685,"MetamorphCompleteMetamorphEncountersII","Complete Metamorph Encounters II",30,"Complete each of the following tasks during Metamorph Encounters.",-10593,"","","",0,"","","","","","","","",""
686,"MetamorphVendorRecipes","Complete Vendor Recipes",30,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",17692,1,"","",0,1,"","","","","","","",""
687,"MetamorphDefeatActBossesII","Defeat these Act Bosses II",30,"Defeat each of the following Unique Act Bosses.",15084,"","","",0,"","","","","","","","",""
688,"MetamorphUnlockMapDevice","Build a Map Device",30,"Build a Map Device in your Hideout by completing the quest \""Picking Up the Pieces\"" during the Epilogue.",18201,"",1,"",0,1,"","","","","","","",""
689,"MetamorphCompleteEncountersII","Complete these Encounters II",30,"Complete each of the following Encounters.",-16923,"","","",0,"","","","","","","","",""
690,"MetamorphOpenMaps","Modify Maps",30,"Complete each of the following objectives.",31440,"","","",0,"","","","","","","","",""
691,"MetamorphCraftModifiers","Craft Modifiers",30,"Use the Crafting Bench to craft a modifier on the following item slots.",-1733,1,"","",0,1,"","","","","","","",""
692,"MetamorphTurnInDivinationCards","Turn in Divination Cards",30,"Turn in Divination Cards which specifically grant each of the following reward types.",-12157,1,"","",0,1,"","","","","","","",""
693,"MetamorphCompleteEncountersIII","Complete these Encounters III",30,"Complete each of the following Encounters.",28315,"","","",0,"","","","","","","","",""
694,"MetamorphObtainItemisedSamples","Obtain Itemised Samples",30,"Obtain each of the following Itemised Samples.",7823,"","","",0,"","","","","","","","",""
695,"MetamorphCompleteEncountersIV","Complete these Encounters IV",30,"Complete each of the following Encounters.",24050,"","","",0,"","","","","","","","",""
696,"MetamorphCompleteTwinnedMaps","Complete Twinned Maps",30,"Complete 10 of the following 16 Map Tiers while they have the Twinned modifier. Maps are completed by killing their Unique Bosses.",-3381,"","","",10,1,"","","","","","","",""
697,"MetamorphCompleteMetamorphEncountersIII","Complete Metamorph Encounters III",30,"Defeat Metamorphs that contain the following rarities of monsters the listed number of times.",31388,"","","",0,"",1,"","","","","","",""
698,"MetamorphCompleteUnidentifiedMaps","Complete Unidentified Maps",30,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",21461,"","","",10,1,"","","","","","","",""
699,"MetamorphAchieveAscension","Achieve Ascension",30,"Use the Ascendancy Device in all 4 Labyrinths.",12059,"","","",0,"","","","","","","","",""
700,"MetamorphUseCatalysts","Use Catalysts",30,"Use the following Catalysts to add quality to any jewellery item. Jewellery items include Rings, Amulets and Belts.",11628,1,"","",0,"","","","","","","","",""
701,"MetamorphCompleteEncountersV","Complete these Encounters V",30,"Complete each of the following Encounters.",-21327,"","","",0,"",1,"","","","","","",""
702,"MetamorphCompleteBlightEncounters","Complete Blight Encounters",30,"Complete each of the following tasks during Blight Encounters.",-13916,"","","",0,"","","","","","","","",""
703,"MetamorphReachLevel90","Reach level 90",30,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-29406,"",1,"",0,1,"","","","","","","",""
704,"MetamorphObtainRewardsFromMetamorphs","Obtain Rewards from Metamorphs",30,"Obtain 19 of the following 23 reward types from Metamorphs.",-26494,1,"","",19,1,"","","","","","","",""
705,"MetamorphIdentifyInfluencedItems","Identify Influenced Items",30,"Identify Rare Items that have the following Influence types.",-10779,"","","",0,1,"","","","","","","",""
706,"MetamorphDefeatShaperAndElderGuardians","Defeat Shaper & Elder Guardians",30,"Defeat each of the following Shaper & Elder Guardians.",-2394,1,"","",0,"","","","","","","","",""
707,"MetamorphCompleteMetamorphEncountersIV","Complete Metamorph Encounters IV",30,"Combine and defeat each of the following Itemised Map Bosses in Tane's Laboratory.",-25869,1,"","",0,"","","","","","","","",""
708,"MetamorphCompleteUniqueMaps","Complete Unique Maps",30,"Complete any 15 of the following 19 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-2598,1,"","",15,1,"","","","","","","",""
709,"MetamorphUpgradeAtlas","Awaken the Atlas",30,"Socket Watchstones into your Atlas and Awaken all regions of the Atlas. A region is Awakened while it has four Watchstones socketed into it.",-11313,"",1,"",0,"","","","","","","","",""
710,"MetamorphCompleteEncountersVI","Defeat Awakened Bosses",30,"Defeat each of the following unique bosses at Awakening Level 8.",8548,"","","",0,"","","","","","","","",""
711,"MetamorphDefeatConquerorsOfTheAtlas","Defeat Conquerors of the Atlas",30,"Defeat each of the following Conquerors of the Atlas.",-24540,"","","",0,"","","","","","","","",""
712,"MetamorphDefeatShaperAndElder","Defeat Shaper and Elder",30,"Defeat each of the following endgame bosses.",-13759,"","","",0,"","","","","","","","",""
713,"MetamorphMapGrind","Defeat Map Bosses",30,"Defeat 1,500 Map Bosses.",8014,"",1,"",0,"","","","","","","","",""
714,"MetamorphDefeatConquerorsConditionally","Defeat Conquerors Conditionally",30,"Defeat each of the following Conquerors of the Atlas under the specified conditions.",-23301,"","","",0,"","","","","","","","",""
715,"MetamorphCompleteEncountersVII","Complete these Encounters VI",30,"Complete each of the following Encounters.",8677,"","","",0,"","","","","","","","",""
716,"MetamorphDefeatOrionConditionally","Defeat Sirus Conditionally",30,"Defeat Sirus, Awakener of Worlds under each of the following conditions.",29247,"","","",0,"","","","","","","","",""
717,"MetamorphCompleteDeadlyEncounters","Complete Deadly Encounters",30,"Complete each of the following deadly encounters.",-16426,"","","",0,"","","","","","","","",""
718,"MetamorphCompleteZanaQuestline","Complete the Epilogue Questline",30,"Complete every quest in the Epilogue.",25,"","","",0,"","","","","","","","",""
719,"MetamorphCompleteEndgameGrind","Complete Endgame Grinds",30,"Complete any 4 of these encounters the specified number of times.",-24762,"","","",4,"",1,"","","","","","",""
720,"DeliriumGearUp","Gear Up",31,"Complete each of the following requirements.",10025,"","","",0,"","","","","","","","",""
721,"DeliriumCompleteDeliriumEncountersI","Complete Delirium Encounters I",31,"Complete each of the following Encounters.",-13194,"","","",0,"","","","","","","","",""
722,"DeliriumCompleteTheseQuestsI","Complete these Quests",31,"Complete each of the following quests.",-24865,"","","",0,"","","","","","","","",""
723,"DeliriumDefeatActBossesI","Defeat these Act Bosses I",31,"Defeat each of the following Unique Act Bosses.",-5974,"","","",0,"","","","","","","","",""
724,"DeliriumCompleteEncountersI","Complete Encounters I",31,"Complete each of the following Encounters.",18038,"","","",0,"","","","","","","","",""
725,"DeliriumCompleteEncountersII","Complete Encounters II",31,"Complete each of the following Encounters.",18287,"","","",0,"","","","","","","","",""
726,"DeliriumUseEssences","Use Essences",31,"Use Essences on each of the following item slots.",-28343,"","","",0,1,"","","","","","","",""
727,"DeliriumDefeatActBosses2","Defeat these Act Bosses II",31,"Defeat each of the following Unique Act Bosses.",26266,"","","",0,"","","","","","","","",""
728,"DeliriumDefeatDeliriumMonsters","Defeat Delirium Monsters",31,"Defeat Rage, Spite, Disgust, Malice, Fury and Turmoil Delirium monsters at each of the following rarities.",16656,"","","",0,"",1,"","","","","","",""
729,"DeliriumDefeatConquerorsAndSirus","Defeat the Conquerors of the Atlas",31,"Defeat each of the following Conquerors of the Atlas.",1612,"","","",0,"","","","","","","","",""
730,"DeliriumVendorRecipes","Complete Vendor Recipes",31,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",11673,"","","",0,"","","","","","","","",""
731,"DeliriumCraftItemsUsingCurrency","Craft items using Currency",31,"Use each of the following currencies to add or modify modifiers on items.",27796,"","","",0,1,"","","","","","","",""
732,"DeliriumTurnInDivinationCards","Turn in Divination Cards",31,"Turn in Divination Cards which specifically grant each of the following reward types.",26061,1,"","",0,1,"","","","","","","",""
733,"DeliriumCompleteEncountersIII","Complete Encounters III",31,"Complete each of the following Encounters.",-31442,"","","",0,"","","","","","","","",""
734,"DeliriumDeliriumEncountersII","Complete Delirium Encounters II",31,"Complete each of the following Encounters.",-6396,"","","",0,"","","","","","","","",""
735,"DeliriumUseBetrayalBenches","Use Betrayal Benches",31,"Use Benches in Betrayal Safehouses to modify items in the following ways.",28671,"","","",0,"","","","","","","","",""
736,"DeliriumCompleteTwinnedMaps","Complete Twinned Maps",31,"Complete 12 of the following 16 Map Tiers while they have the Twinned modifier. Maps are completed by killing their Unique Bosses.",21910,"","","",12,1,"","","","","","","",""
737,"DeliriumDeliriumEncountersIII","Complete Delirium Encounters III",31,"Defeat monsters that have each of the following Delirium modifiers.",-15421,1,"","",0,1,"","","","","","","",""
738,"DeliriumCompleteUnidentifiedMaps","Complete Unidentified Maps",31,"Complete Rare Maps in 12 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",7654,"","","",12,1,"","","","","","","",""
739,"DeliriumAchieveAscension","Achieve Ascension",31,"Use the Ascendancy Device in all 4 Labyrinths.",-16358,"","","",0,"","","","","","","","",""
740,"DeliriumExperimentWithClusterJewels","Experiment with Cluster Jewels",31,"Socket the following Cluster Jewels into your passive tree.",-4979,"","","",0,"","","","","","","","",""
741,"DeliriumCompleteEncountersIV","Complete Encounters IV",31,"Complete each of the following Encounters.",-11252,"","","",0,"",1,"","","","","","",""
742,"DeliriumCompleteMetamorphEncounters","Complete Metamorph Encounters",31,"Complete each of the following Metamorph Encounters.",-24470,"","","",0,"","","","","","","","",""
743,"DeliriumCompleteVaalSideAreas","Obtain Rewards from Vaal Side Areas",31,"Obtain seven of the following nine rewards from Vaal Vessels in Vaal Side Areas in Maps.",22407,"","","",7,"","","","","","","","",""
744,"DeliriumObtainRewards","Obtain Rewards from Delirium Encounters",31,"Obtain 19 of the following 22 rewards from Delirium Encounters.",-3333,1,"","",19,1,"","","","","","","",""
745,"DeliriumCompleteEncountersWhileMisted","Complete Encounters while in Mist",31,"Complete each of the following Encounters while under the effects of Delirium's mist.",-28575,"","","",0,"","","","","","","","",""
746,"DeliriumDeliriumEncountersIV","Complete Delirium Encounters IV",31,"Complete Maps that have maximum Delirium applied.",-11902,"","","",0,"","","","","","","","",""
747,"DeliriumExploreTheAtlas","Explore the Atlas",31,"Complete the following number of Bonus Objectives and Awakening Bonus Objectives.",7788,"","","",0,"",1,"","","","","","",""
748,"DeliriumReachLevel90","Reach Level 90",31,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-11173,"",1,"",0,"","","","","","","","",""
749,"DeliriumCompleteEncountersV","Complete Encounters V",31,"Complete each of the following Encounters.",-27773,"","","",0,"","","","","","","","",""
750,"DeliriumCompleteSimulacrumI","Complete Simulacrum I",31,"Complete each of the following Encounters in the Simulacrum.",28126,"","","",0,"","","","","","","","",""
751,"DeliriumCuriousCorruption","Curious Corruption",31,"Obtain 12 of the following 15 Corruption outcomes by using Vaal Orbs, the Blood Altar or the Altar of Corruption in the Temple of Atzoatl.",3795,"","","",12,"","","","","","","","",""
752,"DeliriumCompleteEncountersVI","Complete Encounters VI",31,"Complete each of the following Encounters.",20775,"","","",0,"",1,"","","","","","",""
753,"DeliriumMapGrind","Defeat Map Bosses",31,"Defeat Map Bosses while they are under the effects of Delirium.",-26192,"",1,"",0,"","","","","","","","",""
754,"DeliriumCompleteUniqueMaps","Complete Unique Maps",31,"Complete any 15 of the following 19 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-2938,1,"","",15,"","","","","","","","",""
755,"DeliriumCompleteZanaQuestline","Complete the Epilogue Questline",31,"Complete every quest in the Epilogue.",-25416,"","","",0,1,"","","","","","","",""
756,"DeliriumCompleteSimulacrumII","Complete Simulacrum II",31,"Complete each of the following Encounters in the Simulacrum.",8167,"","","",0,"",1,"","","","","","",""
757,"DeliriumDeadlyEncounters","Complete Deadly Encounters",31,"Complete each of the following deadly Encounters.",10300,"","","",0,"","","","","","","","",""
758,"DeliriumLeaveToChance","Leave to Chance",31,"Use Orbs of Chance resulting in 10 of the following 12 outcomes.",5457,"","","",10,1,"","","","","","","",""
759,"DeliriumEndgameGrinds","Complete Endgame Grinds",31,"Complete any 4 of these Encounters the specified number of times.",-9024,"","","",4,"",1,"","","","","","",""
760,"HarvestPreparation","Preparation",32,"Complete each of the following requirements.",-6668,"","","",0,"",1,"","","","","","",""
761,"HarvestCompleteHarvestEncountersI","Complete Harvest Encounters I",32,"Complete each of the following Encounters.",-17193,"","","",0,"","","","","","","","",""
762,"HarvestCompleteTheseQuests","Complete these Quests",32,"Complete each of the following quests.",-12156,"","","",0,"","","","","","","","",""
763,"HarvestDefeatActBossesI","Defeat these Act Bosses I",32,"Defeat each of the following Unique Act Bosses.",-32689,"","","",0,"","","","","","","","",""
764,"HarvestCompleteTheseEncountersI","Complete Encounters I",32,"Complete each of the following Encounters.",9819,"","","",0,"","","","","","","","",""
765,"HarvestPlaceHarvestBuildings","Place Harvest Infrastructure",32,"Place each of the following constructions in the Sacred Grove.",-6046,"","","",0,"","","","","","","","",""
766,"HarvestCompleteTheseEncountersII","Complete Encounters II",32,"Complete each of the following Encounters.",-2697,"","","",0,"","","","","","","","",""
767,"HarvestDefeatActBossesII","Defeat these Act Bosses II",32,"Defeat each of the following Unique Act Bosses.",-8118,"","","",0,"","","","","","","","",""
768,"HarvestCompleteHarvestEncountersII","Complete Harvest Encounters II",32,"Complete each of the following Encounters.",-11662,"","","",0,"",1,"","","","","","",""
769,"HarvestDefeatConquerorsAndSirus","Defeat the Conquerors of the Atlas",32,"Defeat each of the following Conquerors of the Atlas.",16864,"","","",0,"","","","","","","","",""
770,"HarvestCompleteVendorRecipes","Complete Vendor Recipes",32,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",604,1,"","",0,1,"","","","","","","",""
771,"HarvestModifyMaps_","Modify Maps",32,"Use the following currency items to modify Maps or in addition when opening a Map.",-30109,1,"","",0,1,"","","","","","","",""
772,"HarvestTurnInDivinationCards","Turn in Divination Cards",32,"Turn in Divination Cards which specifically grant each of the following reward types.",-24052,1,"","",0,"","","","","","","","",""
773,"HarvestCompleteTheseEncountersIII","Complete Encounters III",32,"Complete each of the following Encounters.",-27797,"","","",0,"","","","","","","","",""
774,"HarvestCompleteHarvestEncountersIII_","Complete Harvest Encounters III",32,"Complete each of the following Encounters.",-25671,1,"","",0,"","","","","","","","",""
775,"HarvestUpgradeUniqueItems","Upgrade Unique Items",32,"Use each of the following methods to upgrade or create a Unique Item",-6561,"","","",0,"","","","","","","","",""
