"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
7260,"HeistDefeatConquerorsOfTheAtlas1_2",1,59,"Veritania, The Redeemer","Véritania, la Rédemptrice","Veritania die Erlöserin","リディーマー、ヴェリタニア","대속자 베리타니아","Veritania, A Redentora","Веритания, Избавительница","Veritania, la Redentora","สยบ Veritania, The Redeemer","救贖者．維羅提尼亞",1,934,"",1,"",1
7261,"HeistDefeatConquerorsOfTheAtlas1_3",1,60,"Al-Hezmin, The Hunter","Al-Hezmin, le Chasseur","Al-Hezmin der Jäger","ハンター、アルヘズミン","사냥꾼 알-헤즈민","Al-Hezmin, O Caçador","Аль-Хезмин, Охотник","Al-Hezmin, el Cazador","สยบ Al-Hezmin, The Hunter","狩獵者．奧赫茲明",1,934,"",1,"",1
7262,"HeistDefeatConquerorsOfTheAtlas1_4",1,61,"Drox, The Warlord","Drox, le Seigneur de guerre","Drox der Kriegsfürst","ウォーロード、ドロクス","전쟁군주 드록스","Drox, O Senhor da Guerra","Дрокс, Вождь","Drox, el Jefe de Guerra","สยบ Drox, The Warlord","總督軍．圖拉克斯",1,934,"",1,"",1
7263,"HeistDefeatConquerorsOfTheAtlas1_5",1,62,"Sirus, Awakener of Worlds","Sirus, l'Éveilleur de Mondes","Sirus, Erwecker der Welten","Sirus, Awakener of Worlds","세계의 각성자 사이러스","Sirus, Precursor de Mundos","Сирус, Пробудитель миров","Sirus, Despertador de Mundos","สยบ Sirus, Awakener of Worlds","喚世者．賽勒斯",1,934,"",1,"",1
7264,"HeistDefeatHeistUniqueBosses1_1",1,63,"Head Enforcer","Agent en chef","Oberster Vollstrecker","Head Enforcer","수석 집행자","Executor Principal","Главный блюститель","Jefe de seguridad","สยบ Head Enforcer","首席執法官",1,935,"",1,"",1
7265,"HeistDefeatHeistUniqueBosses1_2",1,64,"Security Specialist","Spécialiste de la sécurité","Sicherheitsspezialist","Security Specialist","경비 전문가","Especialista em Segurança","Специалист по безопасности","Especialista de seguridad","สยบ Security Specialist","安全專家",1,935,"",1,"",1
7266,"HeistDefeatHeistUniqueBosses1_3",1,65,"Flesh Sculptor","Sculpteur de chair","Fleischskulpteur","Flesh Sculptor","살점 조각가","Escultor de Carne","Скульптор плоти","Escultor de carne","สยบ Flesh Sculptor","肉體刻劃屍",1,935,"",1,"",1
7267,"HeistDefeatHeistUniqueBosses1_4",1,66,"Corpse Stitcher","Rapiéceuse de cadavres","Leichennäherin","Corpse Stitcher","시신 봉합자","Costureiro de Cadáveres","Сшиватель трупов","Suturadora de cadáveres","สยบ Corpse Stitcher","縫屍者",1,935,"",1,"",1
7268,"HeistDefeatHeistUniqueBosses1_5",1,67,"Backbreaker","Brise-dos","Rückenbrecher","Backbreaker","등골 분쇄자","Quebra-espinha","Хребтолом","Quiebraespaldas","สยบ Backbreaker","破背者",1,935,"",1,"",1
7269,"HeistDefeatHeistUniqueBosses1_6",1,68,"Tormentor","Tourmenteur","Peiniger","Tormentor","고문자","Atormentador","Мучитель","Atormentador","สยบ Tormentor","折磨者",1,935,"",1,"",1
7270,"HeistDefeatHeistUniqueBosses1_7",1,69,"Loyalguard Mk 4","Garde loyal Mk 4","Loyaler Wächter","Loyalguard Mk 4","충직한 경비 Mk 4","Guarleal Mk4","ВерныйСтраж Mk 4","Guardia leal Mk 4","สยบ Loyalguard Mk 4","忠誠守衛 Mk 4",1,935,"",1,"",1
7271,"HeistDefeatHeistUniqueBosses1_8",1,70,"GR8B0-Y","BR4VB3T-E","GR8B0-Y","GR8B0-Y","GR8B0-Y","GR8B0-Y","СЛ8НЫЙ-МЛ4К","GR4NCH1C-0","สยบ GR8B0-Y","GR8B0-Y",1,935,"",1,"",1
7272,"HeistCompleteEncountersIII_1",1,71,"Defeat Leif, the Swift-Handed in Castle Ruins Map while you are Blinded","Tuez Leif, la Main leste (dans une Carte Château en ruines) alors que vous êtes Aveuglé","Vernichtet Leif, Flinker Klingenführer in der 'Burgruinen'-Karte, während Ihr geblendet seid","Defeat Leif, the Swift-Handed in Castle Ruins Map while you are Blinded","성곽 유적 지도에서 실명 상태로 빠른 손의 레이프 처치하기","Derrote Leif, o Mão Rápida no Mapa: Ruídas do Castelo enquanto você estiver Cego","Победите Лейфа, Быстрорукого на карте развалин замка, будучи ослеплёнными","Derrota a Leif, el Veloz en el Mapa de Ruinas del Castillo estando cegado","สยบ Leif, the Swift-Handed ในแผนที่ Castle Ruins ในขณะที่คุณมีสถานะตาบอด","在你被致盲的狀態下擊敗遺跡廢墟中的快手利夫。",1,936,"",1,"",1
7273,"HeistCompleteEncountersIII_2",1,72,"Defeat The High Templar in Villa Map without being affected by Cold Beam","Tuez le Haut Templier (dans une Carte Villa) sans jamais être affecté par ses Rayons de givre","Vernichtet den Hohen Templer in der 'Villa'-Karte, ohne von dem Kältestrahl betroffen zu sein","Defeat The High Templar in Villa Map without being affected by Cold Beam","빌라 지도에서 냉기 광선의 영향을 받지 않고 고위 템플러 처치하기","Derrote o Alto Templário no Mapa: Vila sem ser afetado pelo Raio Gélido.","Победите Верховного жреца на карте поместья, не попав под луч холода","Derrota al Alto Templario en el Mapa de Villa sin que te afecte el haz de hielo","สยบ The High Templar ในแผนที่ Villa ในขณะที่ได้รับผลของ Cold Beam","在沒有被寒冰射線影響過的狀態下擊敗魅影別墅中的神主之靈。",1,936,"",1,"",1
7274,"HeistCompleteEncountersIII_3",1,73,"Defeat Oak the Mighty in Mesa Map while you are Taunted","Tuez Orme le Puissant (dans une Carte Mesa) alors que vous êtes Provoqué","Vernichtet Oak den Mächtigen in der 'Hochebene'-Karte, während Ihr verspottet seid","Defeat Oak the Mighty in Mesa Map while you are Taunted","메사 지도에서 도발 상태로 완력의 오크 처치하기","Derrote Oak, o Poderoso no Mapa: Mesa enquanto você estiver Provocado","Победите Дуба, Могучего на карте плоского холма, будучи спровоцированными","Derrota a Oak el Poderoso en el Mapa de Mesa cuando estás siendo provocado","สยบ Oak the Mighty ในแผนที่ Mesa ในขณะที่คุณได้รับสถานะยั่วยุ","在你被嘲諷的狀態下擊敗平頂荒漠的巨力歐克。",1,936,"",1,"",1
7275,"HeistCompleteEncountersIII_4",1,74,"Defeat Jorus, Sky's Edge in Temple Map while he is channelling Scorching Ray","Tuez Jorus, l'Orée du ciel (dans une Carte Temple) alors qu'il canalise son Rayon calcinant","Vernichtet Jorus, Himmelsrand in der 'Tempel'-Karte, während er Sengender Strahl kanalisiert","Defeat Jorus, Sky's Edge in Temple Map while he is channelling Scorching Ray","사원 지도에서 하늘의 끝 조러스가 작열 광선을 집중 유지하는 동안 처치하기","Derrote Jorus, Lâmina Celeste em um Mapa: Templo enquanto ele estiver canalizando Raio Escaldante","Победите Хоруса, Небесная грань на карте храма, пока он поддерживает Опаляющий луч","Derrota a Jorus, el Filo del Cielo en el Mapa de Templo cuando esté canalizando Haz abrasador","สยบ Jorus, Sky's Edge ในแผนที่ Temple ในขณะที่กำลังร่ายสกิล Scorching Ray","於奪魂之殿，擊敗正在引導施放熾灼奔流中的天際朱力斯。",1,936,"",1,"",1
7276,"HeistCompleteHeistBlueprints1_1",1,75,"Reveal a Room or Wing on a Heist Blueprint","Révélez une Salle ou une Aile sur un Plan","Deckt einen Raum oder einen Trakt in einem Grundriss auf.","Reveal a Room or Wing on a Heist Blueprint","강탈 도면에서 방 또는 부속 건물 드러내기","Revele um Salão ou Ala em uma Planta Heist","Разведайте комнату или крыло на чертеже Кражи","Revela una sala o un ala en un plano de Heist","สำรวจห้องหรือส่วนขยายในแบบแปลน Heist ","在一份劫盜藍圖中揭露一間房間或側廂",1,937,"",1,"",1
7277,"HeistCompleteHeistBlueprints1_2",1,76,"Complete a Grand Heist which has at least three Wings revealed","Terminez un Casse du siècle dans lequel se trouvent au moins 3 Ailes révélées","Schließt einen Großen Coup ab, bei dem mindestens drei Trakte aufgedeckt wurden.","Complete a Grand Heist which has at least three Wings revealed","부속 건물이 3개 이상 드러난 대강탈 완료하기","Complete um Grande Golpe que possua ao menos três Alas reveladas","Завершите Большое Ограбление, раскрыв на чертеже как минимум три крыла","Completa un Golpe que tenga al menos tres alas reveladas","ผ่านภารกิจ การโจรกรรมครั้งยิ่งใหญ่ โดยสำรวจส่วนขยาย 3 แห่ง","完成一份至少含有三監側廂的劫盜藍圖",1,937,"",1,"",1
7278,"HeistCompleteHeistBlueprints1_3",1,77,"Complete a Grand Heist while at least six Rogues are recruited","Terminez un Casse du siècle pour lequel vous avez recruté au moins 6 Malfaiteurs","Schließt einen Großen Coup ab, für den mindestens sechs Abtrünnige rekrutiert wurden.","Complete a Grand Heist while at least six Rogues are recruited","도둑을 6명 이상 고용한 상태로 대강탈 완료하기","Complete um Grande Golpe enquanto com ao menos seis Renegados recrutados","Завершите Большое Ограбление, взяв на задание как минимум шестерых наёмников","Completa un Golpe con al menos seis renegados reclutados","ผ่านภารกิจ การโจรกรรมครั้งยิ่งใหญ่ โดยพาสมาชิกโจรไปด้วยอย่างต่ำ 6 คน","完成一份至少招募了六名盜賊的劫盜藍圖",1,937,"",1,"",1
7279,"HeistCompleteTwinnedMaps1_1",1,78,"Tier 1","Palier 1","Level 1","Tier 1","1등급","Tier 1","Уровень 1","Grado 1","ระดับแผนที่ 1","1",1,938,"",1,"",1
7280,"HeistCompleteTwinnedMaps1_2",1,79,"Tier 2","Palier 2","Level 2","Tier 2","2등급","Tier 2","Уровень 2","Grado 2","ระดับแผนที่ 2","2",1,938,"",1,"",1
7281,"HeistCompleteTwinnedMaps1_3",1,80,"Tier 3","Palier 3","Level 3","Tier 3","3등급","Tier 3","Уровень 3","Grado 3","ระดับแผนที่ 3","3",1,938,"",1,"",1
7282,"HeistCompleteTwinnedMaps1_4",1,81,"Tier 4","Palier 4","Level 4","Tier 4","4등급","Tier 4","Уровень 4","Grado 4","ระดับแผนที่ 4","4",1,938,"",1,"",1
7283,"HeistCompleteTwinnedMaps1_5",1,82,"Tier 5","Palier 5","Level 5","Tier 5","5등급","Tier 5","Уровень 5","Grado 5","ระดับแผนที่ 5","5",1,938,"",1,"",1
7284,"HeistCompleteTwinnedMaps1_6",1,83,"Tier 6","Palier 6","Level 6","Tier 6","6등급","Tier 6","Уровень 6","Grado 6","ระดับแผนที่ 6","6",1,938,"",1,"",1
7285,"HeistCompleteTwinnedMaps1_7",1,84,"Tier 7","Palier 7","Level 7","Tier 7","7등급","Tier 7","Уровень 7","Grado 7","ระดับแผนที่ 7","7",1,938,"",1,"",1
7286,"HeistCompleteTwinnedMaps1_8",1,85,"Tier 8","Palier 8","Level 8","Tier 8","8등급","Tier 8","Уровень 8","Grado 8","ระดับแผนที่ 8","8",1,938,"",1,"",1
7287,"HeistCompleteTwinnedMaps1_9",1,86,"Tier 9","Palier 9","Level 9","Tier 9","9등급","Tier 9","Уровень 9","Grado 9","ระดับแผนที่ 9","9",1,938,"",1,"",1
7288,"HeistCompleteTwinnedMaps1_10",1,87,"Tier 10","Palier 10","Level 10","Tier 10","10등급","Tier 10","Уровень 10","Grado 10","ระดับแผนที่ 10","10",1,938,"",1,"",1
7289,"HeistCompleteTwinnedMaps1_11",1,88,"Tier 11","Palier 11","Level 11","Tier 11","11등급","Tier 11","Уровень 11","Grado 11","ระดับแผนที่ 11","11",1,938,"",1,"",1
7290,"HeistCompleteTwinnedMaps1_12",1,89,"Tier 12","Palier 12","Level 12","Tier 12","12등급","Tier 12","Уровень 12","Grado 12","ระดับแผนที่ 12","12",1,938,"",1,"",1
7291,"HeistCompleteTwinnedMaps1_13",1,90,"Tier 13","Palier 13","Level 13","Tier 13","13등급","Tier 13","Уровень 13","Grado 13","ระดับแผนที่ 13","13",1,938,"",1,"",1
7292,"HeistCompleteTwinnedMaps1_14",1,91,"Tier 14","Palier 14","Level 14","Tier 14","14등급","Tier 14","Уровень 14","Grado 14","ระดับแผนที่ 14","14",1,938,"",1,"",1
7293,"HeistCompleteTwinnedMaps1_15",1,92,"Tier 15","Palier 15","Level 15","Tier 15","15등급","Tier 15","Уровень 15","Grado 15","ระดับแผนที่ 15","15",1,938,"",1,"",1
7294,"HeistCompleteTwinnedMaps1_16",1,93,"Tier 16","Palier 16","Level 16","Tier 16","16등급","Tier 16","Уровень 16","Grado 16","ระดับแผนที่ 16","16",1,938,"",1,"",1
7295,"HeistObtainHeistRewards1_1",1,94,"Currency","un Objet monétaire","Währung","Currency","화폐","Item Monetário","Валюта","Objetos monetarios","ได้รับเงินตรา","通貨",1,939,"",1,"",1
7296,"HeistObtainHeistRewards1_2",1,95,"Armour","une Pièce d'armure","Rüstung","Armour","방어구","Armadura","Доспехи","Armadura","ได้รับชุด","護甲",1,939,"",1,"",1
7297,"HeistObtainHeistRewards1_3",1,96,"Weapons","une Arme","Waffen","Weapons","무기","Armas","Оружие","Armas","ได้รับอาวุธ","武器",1,939,"",1,"",1
7298,"HeistObtainHeistRewards1_4",1,97,"Jewellery","un Accessoire","Schmuck","Jewellery","장신구","Acessórios","Бижутерия","Joyería","ได้รับเครื่องประดับ","珠寶",1,939,"",1,"",1
7299,"HeistObtainHeistRewards1_5",1,98,"Maps","une Carte","Karten","Maps","지도","Mapas","Карты","Mapas","ได้รับแผนที่","地圖",1,939,"",1,"",1
7300,"HeistObtainHeistRewards1_6",1,99,"Divination Cards","une Carte divinatoire","Weissagungskarten","Divination Cards","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ได้รับการ์ดพยากรณ์","命運卡",1,939,"",1,"",1
7301,"HeistObtainHeistRewards1_7",1,100,"Stacked Decks","une Bonne pioche","Kartenstapel","Stacked Decks","카드 묶음","Decks Empilhado","Колоды","Barajas apiladas","ได้รับ Stacked Deck","豐裕牌組",1,939,"",1,"",1
7302,"HeistObtainHeistRewards1_8",1,101,"Gems","une Gemme","Gemmen","Gems","젬","Gemas","Камни","Gemas","ได้รับสกิลเจม","寶石",1,939,"",1,"",1
7303,"HeistObtainHeistRewards1_9",1,102,"Unique Items","un Objet unique","Einzigartige Gegenstände","Unique Items","고유 아이템","Itens Únicos","Уникальные предметы","Objetos únicos","ได้รับไอเทมยูนิค","傳奇物品",1,939,"",1,"",1
7304,"HeistObtainHeistRewards1_10",1,103,"Prophecies","une Prophétie","Prophezeiungen","Prophecies","예언","Profecias","Пророчества","Profecías","ได้รับคำทำนาย","預言",1,939,"",1,"",1
7305,"HeistObtainHeistRewards1_11",1,104,"Essences","une Essence","Essenzen","Essences","에센스","Essências","Сущности","Esencias","ได้รับ Essence","精髓",1,939,"",1,"",1
7306,"HeistApplyHeistEnchantments1_1",1,105,"Life","Vie","Leben","Life","생명력","Vida","Здоровье","Vida","ม็อดพลังชีวิต","生命",1,940,"",1,"",1
7307,"HeistApplyHeistEnchantments1_2",1,106,"Defence","Défense","Defensive","Defence","방어","Defesa","Защита","Defensa","ม็อดป้องกัน","防禦",1,940,"",1,"",1
7308,"HeistApplyHeistEnchantments1_3",1,107,"Mana","Mana","Mana","Mana","마나","Mana","Мана","Maná","ม็อดมานา","魔力",1,940,"",1,"",1
7309,"HeistApplyHeistEnchantments1_4",1,108,"Resistance","Résistance","Widerstand","Resistance","저항","Resistência","Сопротивление","Resistencia","ม็อดต้านทาน","抗性",1,940,"",1,"",1
7310,"HeistApplyHeistEnchantments1_5",1,109,"Attribute","Attribut","Attribut","Attribute","능력치","Atributo","Характеристика","Atributo","ม็อดค่าสถานะ","能力值",1,940,"",1,"",1
7311,"HeistApplyHeistEnchantments1_6",1,110,"Physical","Physique","Physisch","Physical","물리","Físico","Физический","Físico","ม็อดกายภาพ","物理",1,940,"",1,"",1
7312,"HeistApplyHeistEnchantments1_7",1,111,"Fire","Feu","Feuer","Fire","화염","Fogo","Огонь","Fuego","ม็อดไฟ","火焰",1,940,"",1,"",1
7313,"HeistApplyHeistEnchantments1_8",1,112,"Lightning","Foudre","Blitz","Lightning","번개","Raio","Молния","Rayo","ม็อดสายฟ้า","閃電",1,940,"",1,"",1
7314,"HeistApplyHeistEnchantments1_9",1,113,"Cold","Froid","Kälte","Cold","냉기","Gelo","Холод","Hielo","ม็อดน้ำแข็ง","冰冷",1,940,"",1,"",1
7315,"HeistApplyHeistEnchantments1_10",1,114,"Chaos","Chaos","Chaos","Chaos","카오스","Caos","Хаос","Caos","ม็อดค่าออส","混沌",1,940,"",1,"",1
7316,"HeistApplyHeistEnchantments1_11",1,115,"Caster Damage","Dégâts des sorts","Zauberschaden","Caster Damage","시전 피해","Dano de Conjuração","Урон чарами","Daño de lanzador de hechizos","ม็อดความเสียหายเวท","法術傷害",1,940,"",1,"",1
7317,"HeistApplyHeistEnchantments1_12",1,116,"Speed","Vitesse","Geschwindigkeit","Speed","속도","Velocidade","Скорость","Velocidad","ม็อดความเร็ว","速度",1,940,"",1,"",1
7318,"HeistApplyHeistEnchantments1_13",1,117,"Critical","Critique","Kritisch","Critical","치명타","Crítico","Критический","Crítico","ม็อดคริตอคอล","爆擊",1,940,"",1,"",1
7319,"HeistApplyHeistEnchantments1_14",1,118,"Ailment","Altération","Beeinträchtigung","Ailment","상태 이상","Afecção","Состояние","Achaque","ม็อดเจ็บป่วย","異常狀態",1,940,"",1,"",1
7320,"HeistEquipExperimentedBaseTypes1_1",1,119,"Weapon","Arme","Waffe","Weapon","무기","Arma","Оружие","Arma","สวมใส่อาวุธ","武器",1,941,"",1,"",1
7321,"HeistEquipExperimentedBaseTypes1_2",1,120,"Shield","Bouclier","Schild","Shield","방패","Escudo","Щит","Escudo","สวมใส่โล่","盾",1,941,"",1,"",1
7322,"HeistEquipExperimentedBaseTypes1_7",1,121,"Ring","Bague","Ring","Ring","반지","Anel","Кольцо","Anillo","สวมใส่แหวน","戒指",1,941,"",1,"",1
7323,"HeistEquipExperimentedBaseTypes1_8",1,122,"Amulet","Amulette","Amulett","Amulet","목걸이","Amuleto","Амулет","Amuleto","สวมใส่สร้อย","項鍊",1,941,"",1,"",1
7324,"HeistEquipExperimentedBaseTypes1_9",1,123,"Belt","Ceinture","Gürtel","Belt","허리띠","Cinto","Пояс","Cinturón","สวมใส่เข็มขัด","腰帶",1,941,"",1,"",1
7325,"HeistEquipHeistRogues1_1",1,124,"Karst, the Lockpick","Karst, le Crocheteur","Faustus der Hehler","ロックピック、カースト","자물쇠 따기 장인 카르스트","Karst, o Arrombador","Карст Взломщик","Karst, el Ganzúa","สวมใส่ให้กับ Karst, the Lockpick","開鎖專家．卡司特",1,942,"",1,"",1
7326,"HeistEquipHeistRogues1_2",1,125,"Niles, the Interrogator","Niles, l'Interrogateur","Niles der Vernehmer","尋問者、ナイルズ","심문관 나일스","Niles, o Interrogador","Найлс Дознаватель","Niles, el Interrogador","สวมใส่ให้กับ Niles, the Interrogator","審訊專家．奈爾斯",1,942,"",1,"",1
7327,"HeistEquipHeistRogues1_3",1,126,"Huck, the Soldier","Huck, le Soldat","Huck der Soldat","Huck, the Soldier","병사 허크","Huck, o Soldado","Хак Боец","Huck, el Soldado","สวมใส่ให้กับ Huck, the Soldier","大頭兵．哈克",1,942,"",1,"",1
7328,"HeistEquipHeistRogues1_4",1,127,"Tibbs, the Giant","Tibbs, le Géant","Tibbs der Riese","Tibbs, the Giant","거인 팁스","Tibbs, o Gigante","Тиббс Великан","Tibbs, el Gigante","สวมใส่ให้กับ Tibbs, the Giant","巨人族．堤布斯",1,942,"",1,"",1
7329,"HeistEquipHeistRogues1_5",1,128,"Nenet, the Scout","Nenet, l'Éclaireuse","Nenet die Kundschafterin","偵察者、ネネット","정찰병 네넷","Nenet, a Batedora","Ненет Разведчица","Nenet, la Exploradora","สวมใส่ให้กับ Nenet, the Scout","偵查員．能內特",1,942,"",1,"",1
7330,"HeistEquipHeistRogues1_6",1,129,"Vinderi, the Dismantler","Vindéri, le Désamorceur","Vinderi der Entschärfer","Vinderi, the Dismantler","해체전문가 빈데리","Vinderi, o Desmontador","Виндери Разборщик","Vinderi, el Experto en explosivos","สวมใส่ให้กับ Vinderi, the Dismantler","拆除專家．溫德利",1,942,"",1,"",1
7331,"HeistEquipHeistRogues1_7",1,130,"Tullina, the Catburglar","Tullina, la Cambrioleuse","Tullina die Fassadenkletterin","Tullina, the Catburglar","밤도둑 툴리나","Tullina, a Ladina","Туллина Ловкачка","Tullina, la Ladrona","สวมใส่ให้กับ Tullina, the Catburglar","邪偷大盜．圖利納",1,942,"",1,"",1
7332,"HeistEquipHeistRogues1_8",1,131,"Gianna, the Master of Disguise","Gianna, la Reine du déguisement","Gianna die Verkleidungskünstlerin","Gianna, the Master of Disguise","변장의 달인 지아나","Gianna, a Mestre dos Disfarces","Джианна, мастер маскировки","Gianna, la Maestra del disfraz","สวมใส่ให้กับ Gianna, the Master of Disguise","偽裝大師．吉安娜",1,942,"",1,"",1
7333,"HeistEquipHeistRogues1_9",1,132,"Isla, the Engineer","Isla, l'Ingénieur","Isla die Ingenieurin","エンジニア、アイラ","기술자 아이슬라","Isla, a Engenheira","Айла Инженер","Isla, la Ingeniera","สวมใส่ให้กับ Isla, the Engineer","工程師．伊絲菈",1,942,"",1,"",1
7334,"HeistTurnInDivinationCards1_1",1,133,"1","1 Carte","1","1","1","1","1","1","1 ใบ","1",1,943,"",1,"",1
7335,"HeistTurnInDivinationCards1_2",1,134,"2 or 3","2 ou 3 Cartes","2 oder 3","2 or 3","2 또는 3","2 ou 3","2 или 3","2 o 3","2 ถึง 3 ใบ","2 或 3",1,943,"",1,"",1
7336,"HeistTurnInDivinationCards1_3",1,135,"4 or 5","4 ou 5 Cartes","4 oder 5","4 or 5","4 또는 5","4 ou 5","4 или 5","4 o 5","4 ถึง 5 ใบ","4 或 5",1,943,"",1,"",1
7337,"HeistTurnInDivinationCards1_4",1,136,"6 or 7","6 ou 7 Cartes","6 oder 7","6 or 7","6 또는 7","6 ou 7","6 или 7","6 o 7","6 ถึง 7 ใบ","6 或 7",1,943,"",1,"",1
7338,"HeistTurnInDivinationCards1_5",1,137,"8 or 9","8 ou 9 Cartes","8 oder 9","8 or 9","8 또는 9","8 ou 9","8 или 9","8 o 9","8 ถึง 9 ใบ","8 或 9",1,943,"",1,"",1
7339,"HeistTurnInDivinationCards1_6",1,138,"10 or more","10 Cartes ou plus","10 oder mehr","10 or more","10 이상","10 ou mais","10 или больше","10 o más","10 ใบหรือมากกว่า","10 以上",1,943,"",1,"",1
7340,"HeistCompleteEncountersIV_1",6,139,"Complete Abysses","Terminez des Abysses","Schließt Abgründe ab","Complete Abysses","심연 완료하기","Complete Abismos","Завершите Бездны","Completa abismos","ผ่านหลุม Abyss","完成深淵",50,944,"",1,"",1
7341,"HeistCompleteEncountersIV_2",8,145,"Interact with Shrines","Touchez des Autels","Interagiert mit Schreinen","Interact with Shrines","성소와 상호작용하기","Interaja com Altares","Коснитесь алтарей","Interactúa con Santuarios","ได้รับผลของแท่นบูชา","開啟神殿",150,944,"",1,"",1
7342,"HeistCompleteEncountersIV_3",6,153,"Successfully complete Blight encounters","Réussissez des rencontres avec l'Infestation","Schließt Blight-Begegnungen ab","Successfully complete Blight encounters","역병 인카운터 성공적으로 완료하기","Complete encontros Blight com sucesso","Успешно зачистите очаги Скверны","Completa encuentros de Blight con éxito","ป้องกัน Blight สำเร็จ","成功完成凋落事件",50,944,"",1,"",1
7343,"HeistCompleteEncountersIV_4",6,159,"Pass through Delirium Mirrors","Franchissez des Miroirs du Délire","Tretet durch Spiegel des Deliriums","Pass through Delirium Mirrors","환영 거울 통과하기","Passe por Espelhos do Delírio","Пройдите сквозь зеркала Делириума","Pasa a través de Espejos de delirio","วิ่งผ่านกระจกเดลิเรียม","穿過譫妄之鏡",50,944,"",1,"",1
7344,"HeistCompleteEncountersIV_5",5,165,"Open Maps with Fortune Favours the Brave","Ouvrez des Cartes avec « La Fortune sourit aux Audacieux »","Öffnet Karten mit \""Dem Mutigen gehört die Welt\""","Open Maps with Fortune Favours the Brave","\""행운은 용기 있는 사람에게 찾아온다\""가 부여된 지도 열기","Abra mapas com Sorte Favorece os Corajosos","Откройте карты со свойством \""Удача благоволит смелым\""","Abre mapas con La fortuna favorece a los valientes","เปิดแผนที่โดยใช้ Fortune Favours the Brave","以天佑勇者詞綴開啟一張地圖",30,944,"",1,"",1
7345,"HeistAchieveAscension1_1",1,170,"The Labyrinth","Le Labyrinthe","Das Labyrinth","The Labyrinth","미궁","O Labirinto","Лабиринт","El Laberinto","The Labyrinth","帝王迷宮",1,945,"",1,"",1
7346,"HeistAchieveAscension1_2",1,171,"The Cruel Labyrinth","Le Labyrinthe Cruel","Das grausame Labyrinth","The Cruel Labyrinth","잔혹한 미궁","O Labirinto Cruel","Жестокий Лабиринт","El Laberinto Cruel","The Cruel Labyrinth","殘酷帝王迷宮",1,945,"",1,"",1
7347,"HeistAchieveAscension1_3",1,172,"The Merciless Labyrinth","Le Labyrinthe Impitoyable","Das gnadenlose Labyrinth","The Merciless Labyrinth","무자비한 미궁","O Labirinto Impiedoso","Безжалостный Лабиринт","El Laberinto Despiadado","The Merciless Labyrinth","無情帝王迷宮",1,945,"",1,"",1
7348,"HeistAchieveAscension1_4",1,173,"The Eternal Labyrinth","Le Labyrinthe Éternel","Das ewige Labyrinth","The Eternal Labyrinth","영원의 미궁","O Labirinto Eterno","Вечный Лабиринт","El Laberinto Eterno","The Eternal Labyrinth","永恆帝王迷宮",1,945,"",1,"",1
7349,"HeistComplete8ModMaps_",5,174,"","","","","","","","","","",30,946,"",1,"",1
7350,"HeistLevelHeistJobs1_1",1,179,"Lockpicking","Crochetage","Schlossknacken","Lockpicking","자물쇠 따기","Arrombamento","Взлом","Forzar cerraduras","สะเดาะกุญแจ","開鎖",1,947,"",1,"",1
7351,"HeistLevelHeistJobs1_2",1,180,"Brute Force","Force brute","Brachialgewalt","Brute Force","완력","Força Bruta","Грубая сила","Fuerza bruta","เอากำลังเข้าแลก","蠻力",1,947,"",1,"",1
7352,"HeistLevelHeistJobs1_3",1,181,"Perception","Perception","Wahrnehmung","Perception","통찰력","Percepção","Восприятие","Percepción","การรับรู้","洞察力",1,947,"",1,"",1
7353,"HeistLevelHeistJobs1_4",1,182,"Demolition","Démolition","Sprengung","Demolition","파괴 공작","Demolição","Взрывное дело","Demolición","รื้อถอน","拆除",1,947,"",1,"",1
7354,"HeistLevelHeistJobs1_5",1,183,"Counter-Thaumaturgy","Anti-thaumaturgie","Thaumaturgie-Abwehr","Counter-Thaumaturgy","반-마석학","Contra-Taumaturgia","Контрмагия","Antitaumaturgia","โต้มนต์ดำ","解咒師",1,947,"",1,"",1
7355,"HeistLevelHeistJobs1_6",1,184,"Trap Disarmament","Désamorçage de pièges","Fallenentschärfung","Trap Disarmament","덫 해제","Desarme de Armadilhas","Разминирование","Desarme de trampas","ปลดกับดัก","陷阱解除",1,947,"",1,"",1
7356,"HeistLevelHeistJobs1_7",1,185,"Agility","Agilité","Agilität","Agility","민첩함","Agilidade","Проворство","Agilidad","ความคล่องตัว","靈敏",1,947,"",1,"",1
7357,"HeistLevelHeistJobs1_8",1,186,"Deception","Duperie","Täuschung","Deception","기만","Enganação","Маскировка","Engaño","กลฉ้อฉล","詐欺",1,947,"",1,"",1
7358,"HeistLevelHeistJobs1_9",1,187,"Engineering","Ingénierie","Ingenieurwesen","Engineering","공학","Engenharia","Инженерное дело","Ingeniería","งานช่าง","工程",1,947,"",1,"",1
7359,"HeistReachLevel90",1,188,"","","","","","","","","","",1,948,"",1,"",1
