"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
403,"Templar41","I shall wipe the filth from this house of God.","Je purgerai la souillure de cette maison de Dieu.","Ich werde das Ungeziefer aus diesem Gotteshaus vertreiben!","この神の家から汚れを拭き取ってくれよう。","여기 신의 전당에서 오물을 몰아내리라.","Eu limparei esta imundície desta casa de Deus.","Я изгоню нечисть из дома Господня.","Erradicaré la suciedad de esta casa de Dios.","ข้า​จะ​ล้าง​ความ​โสมม​ออก​ไป​จาก​บ้าน​ของ​พระเจ้า","我應該將這神的房間中之污穢抹去。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterCatacombs.ogg","",10000
404,"Templar42","A house of Faith, fallen to desecration.","Une maison de la foi, tombée dans la profanation.","Ein Haus des Glaubens, der Entweihung anheimgefallen.","汚されてしまった信仰の家か。","믿음으로 가득 찼던 곳이 신을 모독할 정도로 몰락했군.","Uma casa da Fé atingida pela profanação.","Обитель чистой веры пала и осквернена.","Una casa de fe, que cayó en la profanación.","บ้าน​แห่ง​ศรัทธา​ล่ม​สลาย​ไป​ด้วย​การ​ลบหลู่","這信仰之屋被褻瀆了。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterFelShrine.ogg","",10000
405,"Templar43","Piety, my God? I am sure you will reveal your purpose in time. ","Piété, mon Dieu ? Je suis sûr que Vous finirez par me révéler Votre dessein. ","Piety, bei Gott? Gewiss werdet Ihr rechtzeitig offenbaren, welchen Zweck Ihr erfüllt. ","パイエティと共にですか、神よ？いつかあなたの考えが明らかになることでしょう。","파이어티, 그대가 어째서? 조만간 진짜 목적을 드러내리라 확신하네.","Piety, meu Deus? Estou certo de que revelarás teu propósito em breve. ","Вера, Бог ты мой! Уверен, в своё время ты расскажешь о своих намерениях.","¿Piedad, mi Dios? Estoy seguro de que revelarás tus planes a su tiempo.","พายตี้้​เนี่ย​นะ พระเจ้า​? ข้า​มั่นใจ​ว่า​ท่าน​จะ​เผย​จุด​ประสงค์​ของ​ท่าน​ใน​กาล​หน้า","派蒂，我的神？我相信妳終究會顯露出你的目的。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterHarvest.ogg","",10000
406,"Templar44","The air here burns with wrath.","L'air ici brûle de rage.","Die Luft hier schwelt vor Zorn.","この場所の空気は怒りで燃えておる。","이곳 공기는 분노로 이글거리는군.","O ar daqui queima com ira.","Сам воздух здесь дрожит от гнева.","El aire aquí quema con ira.","สายลม​ที่​นี่​คุก​รุ่น​ไป​ด้วย​โทสะ","這空氣中燃燒著憤怒。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterKaom.ogg","",10000
407,"Templar45","The earth here trembles with the fear of judgement.","La terre tremble dans la peur du jugement.","Die Erde hier erzittert vor Furcht, verurteilt zu werden.","大地が審判に怯えて震えておる。","땅이 심판이 두려운 나머지 떨고 있군그래.","A terra daqui treme com o temor do julgamento.","Земля дрожит в ожидании праведного суда.","La tierra aquí tiembla de miedo ante su juicio.","ผืน​ดิน​สั่น​สะเทือน​ด้วย​ความ​กลัว​คำพิพากษา","大地因審判的恐懼而顫抖著。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterMines1.ogg","",10000
408,"Templar46","Corruption eats away at the roots of this mountain.","La corruption ronge les racines de cette montagne.","Die Verderbtheit nagt an den Wurzeln dieses Berges.","腐敗がこの山の麓を侵食している。","타락이 산의 근간을 좀먹고 있어.","A corrupção consome as raízes desta montanha.","Порча разъедает корни этой горы.","La corrupción devora las raíces de esta montaña.","มลทิน​กัด​กิน​รากฐาน​ของ​ภูเขา​นี้","腐化侵蝕著這座山。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterMines2.ogg","",10000
409,"Templar47","This land is teetering on the brink of Cataclysm.","Cette terre est au bord du Cataclysme.","Dieses Land steht am Rande einer Katastrophe.","この地は大変動の瀬戸際にある。","대재앙이 임박하여 지면이 동요하는군.","Esta terra está na véspera do Cataclismo.","Этот край в крошечном шаге от катаклизма.","Esta tierra se balancea al borde del Cataclismo.","แผ่น​ดิน​นี้​เข้า​ใกล้​วัน​มหา​วิบัติ​เข้าไป​ทุกที","這片土地正蹒跚在大地震的邊緣。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterMines3.ogg","",10000
410,"Templar48","Sarn, birthplace of the Templar. A fitting place to put things right.","Sarn, lieu de naissance des Templiers. L'endroit parfait pour remettre les choses à leur place.","Sarn, Geburtsort der Templer. Ein geeigneter Ort, um Dinge zu richten.","テンプラーの生まれ故郷サーン。物事を正すのには適した場所だ。","템플러가 태동했던 사안이로군. 모든 것을 제자리로 돌려놓기에 적절한 곳이야.","Sarn, berço dos Templários. Um local digno para acertar as coisas.","Сарн, город первых храмов. Он стоит очищения.","Sarn, la cuna de los Templarios. El lugar más indicado para arreglar las cosas.","ซาร์น บ้านเกิด​ของ​ศาสนา​เทมพลาร์ เป็น​ที่​ที่​เหมาะ​กับ​การ​ทำให้​ทุก​สิ่ง​ถูก​ต้อง​อีก​ครา","薩恩，聖堂教團的出生地。一個適合將事情做正確的地方。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterSarn.ogg","",10000
411,"Templar49","Every stone placed for the glory of God. Beautiful!","Chacune de ces pierres est posée à la gloire de Dieu. C'est magnifique !","Ein jeder Stein hat zum Ruhm Gottes seinen Platz gefunden. Wunderbar!","石の一つ一つが神の栄光のために設置されておる。美しい！","신의 은총을 기리기 위해 돌을 올려놓다니. 아름답도다!","Cada pedra posicionada para a glória de Deus. Maravilhoso!","Каждый камень уложен во славу Господню. Чудесно!","Cada piedra está colocada por la gloria de Dios. ¡Hermoso!","หิน​ทุก​ก้อน​ถูก​วาง​ไว้​เพื่อ​เชิดชู​เกียรติ​ของ​พระเจ้า งดงาม​นัก​!","真美麗，每一塊石頭都代表了上帝的榮耀。","Audio/Dialogue/Character/StrInt/Event/Tmpl_EnterScepter.ogg","",10000
412,"Templar50","No soul should suffer as you have, Deshret.","Aucune âme ne devrait subir les mêmes souffrances que toi, Deshret.","Keine Seele sollte so leiden wie Ihr, Deshret.","デシュレットよ、お前の苦しみは人が経験して良い苦痛を超えておる。","자네만큼이나 고통받는 영혼은 없어야 하네, 데쉬렛.","Nenhuma alma deveria sofrer como tu, Deshret.","Дешрет, никто не заслуживает подобной участи.","Ningún alma debería sufrir como lo has hecho, Deshret.","ไม่มี​วิญญาณ​ใด​ที่​ควร​ทรมาน​เยี่ยง​เจ้า เดสเชรท","沒有任何的靈魂該遭受到跟你一樣的苦難，迪虛瑞特。","Audio/Dialogue/Character/StrInt/Event/Tmpl_FreeDeshret.ogg","",10000
413,"Templar51","We give our fallen heroes more glory than they ever earned in life.","Nous donnons à nos héros défunts plus de gloire qu'ils n'en ont jamais acquise de leur vivant.","Wir erweisen unseren gefallenen Helden mehr Ehre, als sie es zu Lebzeiten verdient haben.","死した英雄たちは生前に勝ち取った以上の栄光を与えられておる。","영웅이 숨을 거두면 삶에서 찾은 것보다 더 큰 영광을 누리는 법이다.","Damos aos nossos heróis mortos mais glória do que eles mereciam em vida.","Мы чествуем павших героев так, как не чествовали их при жизни.","Damos a nuestros héroes caídos más gloria de la que ganaron en vida.","เรา​ให้​เกียรติ​นัก​สู้​ผู้​ล่วง​ลับ​มาก​ไป​กว่า​เกียรติ​ที่พวก​เขา​มี​ใน​ยาม​เป็น","我們給予這些死去英雄的榮耀比他們一輩子得到的還多。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillDaresso.ogg","",10000
414,"Templar52","Embrace death, Doedre, for your flesh was your undoing.","Embrasse la mort, Doedre, car ta chair a causé ta perte.","Gebt Euch dem Tod hin, Doedre, denn Euer Fleisch war Euer Verderben.","ドードゥリよ、死を受け入れよ。お前の肉体がお前の破滅となったのだ。","죽음을 받아들여라, 도이드리. 그대의 육체를 파멸시킨 건 바로 그대 자신이다.","Abrace a morte, Doedre, pois a carne foi teu fim.","Доэдре, смирись со смертью и оставь оковы плоти.","Acoge la muerte, Doedre. Tu cuerpo fue tu perdición.","เปิดอก​รับ​ความ​ตาย​เสีย​เถิด โดเอดรี เพราะ​กาย​หยาบ​นั่น​เป็น​หายนะ​ของ​เจ้า","接受死亡吧，德瑞。放棄你的肉體吧。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillDoedre.ogg","",10000
415,"Templar53","Temptation may turn even the noblest of men. I should take heed.","La tentation peut égarer l'homme le plus noble qui soit. Je devrais faire attention.","Die Versuchung vermag selbst den edelsten Mann zu verändern. Das sollte ich wohl beherzigen.","最も誇り高き男さえ誘惑に振り向いてしまう。私も注意するとしよう。","그 아무리 고결한 자라도 탐욕 때문에 변할 수 있구나. 나도 조심해야겠군.","A tentação pode acabar com o mais nobre dos homens. Eu deveria prestar atenção.","Искушение может отравить даже праведника. Мне надо поостеречься.","La tentación puede cambiar hasta al hombre más noble. Debo prestar atención.","ความยั่วยวน​เปลี่ยน​ได้​แม้​กระทั่ง​ผู้สูงศักดิ์ ข้า​ควร​ระวัง​ให้​ดี","再高尚的人也會經不起誘惑，我必須當心。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillFairgraves.ogg","",10000
416,"Templar54","Your Way led to damnation, Kaom. Find another.","Ta Voie t'a mené à la damnation, Kaom. Trouves-en une autre.","Euer Kodex hat Euch in die Verdammnis geführt, Kaom. Sucht Euch einen anderen.","カオム、お前の道は破滅へと繋がっていた。別の道を探すがいい。","자네는 지옥으로 가는 길을 택했어, 카옴. 다른 길을 찾게나.","Tua Maneira levou à danação, Kaom. Encontre outra.","Каом, твой путь привёл тебя к проклятью. Найди себе другой.","Tu Camino te llevó a la perdición, Kaom. Deberás encontrar otro.","วิถี​ของ​เจ้า​นำ​ไป​สู่​หายนะ คอม​ม์ จงหา​วิถี​อื่น​เสีย​เถิด","你的做法會使你下地獄的岡姆。改變吧。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillKaom.ogg","",10000
417,"Templar55","You fought against Death your whole life, Malachai, when it was the one thing that would grant you true immortality.","Tu as combattu la mort toute ta vie, Malachai, alors que c'était elle qui devait t'apporter la véritable immortalité.","Euer Leben lang habt Ihr den Tod bekämpft, Malachai, doch nur er hätte Euch wahre Unsterblichkeit schenken können.","マラカイ、お前は生涯をかけて死に抗ったが、それこそが唯一お前に真の不滅を与えてくれるものだったのだ。","그대는 평생 죽음과 맞서 싸웠군, 말라카이. 허나, 죽음만이 진정한 불멸을 가져다줄 수단일세.","Lutaste contra a Morte por toda a tua vida, Malachai, quando ela era a única coisa que poderia te dar a verdadeira imortalidade.","Малахай, всю жизнь ты бежал от смерти, но только она дарует истинное бессмертие.","Luchaste contra la Muerte durante toda tu vida, Malachai, pero era lo único que podía darte inmortalidad verdadera.","เจ้า​ต่อสู้​กับ​ความ​ตาย​มา​ตลอด​ชีวิต มาลาไค แต่​มัน​เป็น​สิ่ง​เดียว​ที่​ทำให้​เจ้า​เป็น​อมตะ​ได้​อย่าง​แท้จริง","你一生中都在和死亡戰鬥，瑪拉凱。但死亡才是唯一能讓你永生的方法。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillMalachai.ogg","",10000
418,"Templar56","Your God-given talents were wasted, Maligaro.","Tu n'as pas su exploiter tes talents divins, Maligaro.","Ihr habt Eure gottgegebenen Talente verschwendet, Maligaro.","マリガロ、お前は神に与えられた才を無駄遣いした。","신이 선사한 재능을 낭비했군, 말리가로.","Teus talentos divinos foram inúteis, Maligaro.","Малигаро, твоя божья искра сгорела впустую.","Desperdiciaste los talentos que Dios te dio, Malígaro.","เจ้า​ใช้​พรสวรรค์​ที่​พระเจ้า​ประทาน​ให้​อย่าง​สูญ​เปล่า​นัก มาลิกาโร","你浪費了上帝給你的天賦，馬雷葛蘿。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillMaligaro.ogg","",10000
419,"Templar57","No need, Piety. Just you go and see for yourself.","Ce n'est pas la peine, Piété. Va simplement t'en rendre compte par toi-même.","Kein Bedarf, Piety. Verschwindet und kümmert Euch um Euch selbst.","必要ない、パイエティ。自分で見に行くが良い。","그럴 필요 없네, 파이어티. 그대가 직접 가서 확인해보게나.","Não é necessário, Piety. Basta ver por si mesma.","Вера, не надо. Ступай и береги себя.","No es necesario, Piedad. Ve y observa por ti misma.","ไม่จำเป็น​หรอก​พายตี้ เจ้า​ไป​ดู​กับ​ตา​เจ้า​เสีย​เถิด","沒那個必要，派蒂。你自己親眼去看吧。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillPiety.ogg","",10000
420,"Templar58","You were imprisoned by your own vanity, Shavronne.","C'est ta propre vanité qui t'a emprisonnée, Shavronne.","Ihr wart Gefangene Eurer eigenen Eitelkeit, Shavronne.","シャヴロン、お前は己の虚栄心に囚われておったのだ。","허영심에 스스로 갇히고 말았군, 샤브론.","Foste aprisionada por tua própria vaidade, Shavronne.","Шавронн, ты стала пленницей самолюбования.","Fuiste prisionera de tu propia vanidad, Shavronne.","เจ้า​ถูก​จองจำ​ด้วย​ความ​โอหัง​ของ​เจ้า​เอง แชฟรอนน์","你被你的虛榮心綁住了，薛朗。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillShav.ogg","",10000
421,"Templar59","You are free now, Voll. Go with God.","Tu es libre à présent, Voll. Retourne auprès de Dieu.","Nun seid Ihr frei, Voll. Geht mit Gott.","ヴォール、これでお前は自由だ。神と共に行け。","이제 넌 자유다, 볼. 신과 함께하라.","Você está livre agora, Voll. Vá com Deus.","Волл, ты волен идти. Ступай с Богом.","Eres libre, Voll. Ve con Dios.","เจ้า​เป็น​อิสระ​แล้ว โวลล์ ไปหา​พระเจ้า​เถิด","你現在自由了，福爾。去見上帝吧。","Audio/Dialogue/Character/StrInt/Event/Tmpl_KillVoll.ogg","",10000
422,"Templar60","Go with God!","Retourne auprès de Dieu !","Geht mit Gott!","神と共に行け！","신과 함께 가라!","Vá com Deus!","Ступай с Богом!","¡Ve con Dios!","ไป​หา​พระเจ้า​เถิด","去見上帝吧。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_01.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_01_Parrot.ogg",1450
423,"Templar61","Go with God!","Retourne auprès de Dieu !","Geht mit Gott!","神と共に行け！","신과 함께 가라!","Vá com Deus!","Ступай с Богом!","¡Ve con Dios!","ไป​หา​พระเจ้า​เถิด","去見上帝吧。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_02.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_01_Parrot.ogg",1650
424,"Templar62","Death to Sin!","Mort au péché !","Tod der Sünde!","シンには死を！","씬에게 죽음을!","Morte ao Pecado!","Я искореню грех!","¡Muerte al Pecado!","ซิน​จง​วินาศ​!","消滅罪孽。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_03.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_03_Parrot.ogg",1550
425,"Templar63","Death to Sin!","Mort au péché !","Tod der Sünde!","シンには死を！","씬에게 죽음을!","Morte ao Pecado!","Я искореню грех!","¡Muerte al Pecado!","ซิน​จง​วินาศ​!","消滅罪孽。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_04.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_03_Parrot.ogg",1900
426,"Templar64","Purity will prevail!","La pureté vaincra !","Die Reinheit wird obsiegen!","清浄は勝つ！","정화는 계속된다!","A Pureza prevalecerá!","Да здравствует очищение!","¡La pureza prevalecerá!","ความ​บริสุทธิ์​ย่อม​ครอง​ชัย​!","純潔會獲勝的。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_05.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_05_Parrot.ogg",2000
427,"Templar65","Purity will prevail!","La pureté vaincra !","Die Reinheit wird obsiegen!","清浄は勝つ！","정화는 계속된다!","A Pureza prevalecerá!","Да здравствует очищение!","¡La pureza prevalecerá!","ความ​บริสุทธิ์​ย่อม​ครอง​ชัย​!","純潔會獲勝的。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_06.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_05_Parrot.ogg",2500
428,"Templar66","The corrupt shall fall!","Le corrompu succombera !","Die Verderbten werden fallen!","堕ちたる者よ、滅びよ！","타락한 자는 몰락하리라!","Os corrompidos cairão!","Да сгинет порча!","¡Los corruptos caerán!","ผู้​มี​มลทิน​ย่อม​แพ้​พ่าย​!","死吧，腐化之物。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_07.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_08_Parrot.ogg",1950
429,"Templar67","The corrupt shall fall!","Le corrompu succombera !","Die Verderbten werden fallen!","堕ちたる者よ、滅びよ！","타락한 자는 몰락하리라!","Os corrompidos cairão!","Да сгинет порча!","¡Los corruptos caerán!","ผู้​มี​มลทิน​ย่อม​แพ้​พ่าย​!","死吧，腐化之物。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_08.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_08_Parrot.ogg",2200
430,"Templar68","To damnation with you!","Sois damné !","Verdammt sollt Ihr sein!","天罰を！","지옥으로 같이 데려가주마!","Que se dane!","Изыди, проклятая тварь!","¡Castigo eterno para ti!","ขอ​ให้​เจ้า​จง​พบ​หายนะ​!","下地獄吧。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_09.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_09_Parrot.ogg",2150
431,"Templar69","To damnation with you!","Sois damné !","Verdammt sollt Ihr sein!","天罰を！","지옥으로 같이 데려가주마!","Que se dane!","Изыди, проклятая тварь!","¡Castigo eterno para ti!","ขอ​ให้​เจ้า​จง​พบ​หายนะ​!","下地獄吧。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_KillRare_10.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_KillRare_09_Parrot.ogg",1900
432,"Templar70","I must have time to gather my will.","Je dois prendre le temps de rassembler mon courage.","Ich brauche Zeit, um all meinen Mut zusammenzunehmen.","覚悟を決める時間をくれ。","의지를 가다듬을 시간이 필요해.","Preciso de tempo para recuperar minha vontade.","Мне нужно время, чтобы собрать волю в кулак.","Necesito tiempo para reunir voluntad.","ข้า​ขอ​เวลา​รวบรวม​ความ​มุ่ง​มั่น​สัก​หน่อย","我必須要一點時間集中精神。","Audio/Dialogue/Character/StrInt/Gameplay/Tmpl_SkillonCool.ogg","Audio/Dialogue/NPC/ParrotStrInt/Tmpl_SkillonCool_Parrot.ogg",3050
433,"Scion1","Why not just execute us and be done with it, Dominus?","Pourquoi ne pas simplement nous exécuter pour en finir avec nous, Dominus ?","Warum tötet Ihr uns nicht einfach und die Sache wäre beendet, Dominus?","私達を処刑して、もう終わらせたらどうですの、ドミナス。","그냥 우리를 처형하고 일을 끝맺는 게 어때, 도미누스?","Que tal só nos executar de uma vez, Dominus?","Владыка, почему ты просто нас не убил?","¿Por qué no nos ejecutas y terminas con esto, Dóminus?","ทำไม​แก​ไม่​ประหารพวก​ข้า​ให้​จบ​ไป​เล่า โดมินัส?","為何不乾脆處決我們，終結這一切？該死的神主。","Audio/Dialogue/Character/StrDexInt/Event/Sc_01_GetUp.ogg","",10000
434,"Scion2","So it's true... dead men walk in Wraeclast.","Ainsi donc, c'est vrai… les morts arpentent Wraeclast.","Es stimmt also ... Tote wandeln in Wraeclast.","本当だったのですね...…レイクラストには死者が彷徨っているわ。","소문이 사실이었어... 레이클라스트에 죽은 자들이 돌아다니다니.","Então é verdade... os mortos caminham por Wraeclast.","Так это правда. Земля Рэкласта не принимает мертвецов.","Así que es cierto... los muertos caminan en Wraeclast.","มัน​จริง​สินะ​... คน​ตาย​เดิน​ได้​ใน​เวร์แคลส์ท","所以傳聞是真的…已死者確實行走在瓦爾克拉斯的土地上。","Audio/Dialogue/Character/StrDexInt/Event/Sc_02_KillZombie.ogg","",10000
435,"Scion3","I'll not be joining you today, dead man.","Je ne vous rejoindrai pas dans la mort aujourd'hui.","Heute werde ich mich Euch nicht anschließen, toter Mann.","私は今日あなたの仲間にはなりませんわ、死人。","아직 너와 저승길 동무가 될 생각은 없어.","Não me juntarei à sua laia hoje, homem morto.","Мёртвые, сегодня я не встану в ваши ряды.","Hoy no es el día en que me uniré a ti, cadáver.","ข้า​ยัง​ไม่​ร่วม​กับ​แก​ใน​วัน​นี้ เจ้าคนตาย","我還不打算加入你的行列，該死的殭屍。","Audio/Dialogue/Character/StrDexInt/Event/Sc_03_KillHillock.ogg","",10000
436,"Scion4","I've a simple choice ahead of me. Kill... or be eaten.","Le choix qui s'offre à moi est simple. Tuer… ou être mangée.","Ich habe eine einfache Entscheidung zu treffen. Töten ... oder gefressen zu werden.","選択肢は2つ。殺すか、食べられるか。","간단한 결정을 내려야 할 때야. 죽이거나... 아니면 먹히거나.","Me deparo com uma simples escolha. Matar... ou ser consumida.","Меня ждёт простой выбор: убивать или... быть съеденной.","Tengo una elección simple frente a mi: matar... o ser devorada.","ข้า​มี​ทาง​เลือก​ง่ายๆ อยู่ ฆ่า... หรือ​ถูก​กิน","看來這就是我僅有的選擇：殺戮，或被吞食。","Audio/Dialogue/Character/StrDexInt/Event/Sc_04_EnterCannibalBay.ogg","",10000
437,"Scion5","From Oriath to Axiom, one prison to another.","D'Oriath à Axiom ; d'une prison à une autre.","Von Oriath bis zum Axiom-Gefängnis, von einem Kerker zum anderen.","オリアスからアクシオム、監獄から監獄へ。","오리아스이나 액시옴이나 결국 감옥인 건 매한가지야.","Indo de Oriath para Axiom, de uma prisão para outra.","С Ориата в Аксиому. Я сменила одну тюрьму на другую.","De Oriath a Axiom, de una prisión a otra.","จาก​โอริอาท​สู่​แอ็กเซียม คุก​หนึ่ง​ไป​สู่​อีก​คุก​หนึ่ง","從奧瑞亞到禁靈之獄，只是從一座監牢到另一座罷了。","Audio/Dialogue/Character/StrDexInt/Event/Sc_05_EnterPrison.ogg","",10000
438,"Scion6","You remind me of my ex-husband.","Vous me rappellez mon ex-mari.","Ihr erinnert mich an meinen Ex-Mann.","あなたを見ていると、元夫を思い出しますわ。","당신을 보니 우리 전남편이 생각나네.","Você me lembra do meu ex-marido.","Ты напоминаешь мне мужа.","Me recuerdas a mi exesposo.","แก​ทำให้​ข้า​นึกถึง​อดีต​สามี​ของ​ข้า","你讓我想起我的前夫呢。","Audio/Dialogue/Character/StrDexInt/Event/Sc_06_KillBrutus.ogg","",10000
439,"Scion7","The wall between life and death is crumbling.","Le mur qui sépare la vie de la mort s'effondre.","Die Mauer zwischen Leben und Tod beginnt zu bröckeln.","生と死の間の壁が崩れていくわ。","삶과 죽음의 경계가 무너져내리고 있어.","A parede entre a vida e a morte está cedendo.","Стена между мирами живых и мёртвых рушится.","La pared que separa la vida y la muerte se está derrumbando.","กำแพง​ระหว่าง​ความ​เป็น​กับ​ความ​ตาย​กำลัง​สั่น​คลอน","分隔生與死的高牆正在瓦解。","Audio/Dialogue/Character/StrDexInt/Event/Sc_07_EnterShipGraveyard.ogg","",10000
440,"Scion8","Shore leave is over, captain.","Il est temps de rejoindre votre navire, capitaine.","Euer Landgang ist beendet, Kapitän.","休暇はお終いよ、船長さん。","상륙 기간은 끝났어, 선장님.","Acabou a licença de costa, capitão.","Увольнительная истекла, капитан.","Es tiempo de volver a embarcar, capitán.","หมด​เวลา​พัก​ชายฝั่ง​แล้ว กัปตัน​?","岸上的假期已經結束了，船長。","Audio/Dialogue/Character/StrDexInt/Event/Sc_08_KillFairgraves.ogg","",10000
441,"Scion9","Why must men turn us into monsters?","Pourquoi les hommes finissent-ils toujours par faire de nous des monstres ?","Warum müssen Männer uns zu Monstern machen?","なぜ男は私たちをモンスターにしてしまうのかしら？","어째서 남자들은 우리를 괴물로 만드는 거지?","Por que os homens precisam nos transformar em monstros?","Почему люди должны превращаться в чудовищ?","¿Por qué los hombres terminan convirtiéndonos en monstruos?","ทำไม​พวก​ผู้ชาย​ต้อง​ทำให้​เรา​เป็น​สัตว์​ประหลาด​กัน​ด้วย​?","為什麼人們總想將我們變成怪物？","Audio/Dialogue/Character/StrDexInt/Event/Sc_09_KillMerveil.ogg","",10000
442,"Scion10","Savagery thrives all around me.","La sauvagerie s'en donne à cœur joie autour de moi.","Ich bin umgeben von wilder, gedeihender Raserei.","残虐さが増していくようですわ。","미개한 것들이 주변에 가득하네.","Selvageria sem parar à minha volta.","Вокруг все как с цепи сорвались.","El salvajismo prospera a mi alrededor.","ความ​ป่า​เถื่อน​อยู่​รอบ​ตัว​ข้า","野蠻的一切圍繞著我滋長。","Audio/Dialogue/Character/StrDexInt/Event/Sc_10_EnterSouthForest.ogg","",10000
443,"Scion11","The men here should have listened to their hearts. Their minds were not their own.","Ces hommes auraient plutôt dû écouter leurs cœurs, car leurs esprits ne leur appartenaient plus.","Die Männer hier hätten auf ihr Herz hören sollen. Denn sie waren nicht Herr ihres eigenen Geistes.","ここにいる者たちは心の声を聞くべきでしたわね。頭はどうかしてしまったようですもの。","이곳 사람들은 자기 마음의 소리를 들어봐야 했어. 이미 다른 이에게 마음을 빼앗겼던 거야.","Os homens de lá deveriam ter ouvido seus corações. Suas mentes não eram mais suas.","В таких местах надо следовать зову сердца, а не ускользающего рассудка.","Estos hombres deberían haber escuchado a sus corazones. Sus mentes no estaban bajo su control.","พวก​ผู้ชาย​ที่​นี่​ควร​ฟัง​เสียง​หัวใจ​ของ​พวก​เขา​แต่​แรก เพราะ​จิต​ของ​พวก​เขา​ไม่ใช่​ของ​ตัว​เอง","徘徊在此的人們應該傾聽內心的聲音，因為他們的神智早已被剝奪。","Audio/Dialogue/Character/StrDexInt/Event/Sc_11_EnterCOS.ogg","",10000
444,"Scion12","Someone had to put an end to this cruel experiment.","Quelqu'un devait mettre fin à cette cruelle expérience.","Jemand musste diesem grauenvollen Experiment ein Ende bereiten.","誰かがこの残酷な実験を止めなければなりませんわ。","이 잔혹한 실험을 중단할 사람이 아무도 없었다니.","Alguém tinha que acabar com esta experiência cruel.","Кто-то должен прервать этот жестокий эксперимент.","Alguien debía poner fin a este cruel experimento.","ต้อง​มี​ใคร​หยุด​ทดลอง​อัน​โหด​ร้าย​พวก​นี้","總有人必需終結這殘忍的實驗。","Audio/Dialogue/Character/StrDexInt/Event/Sc_12_KillFidelitas.ogg","",10000
445,"Scion13","After what this land's become, your kind still manages to make it worse.","Après ce que cette terre a subi, ceux de votre espèce parviennent encore à faire empirer les choses.","Nach allem, was aus diesem Land geworden ist ... Euresgleichen verschlimmert es nur.","この地がどんな状態になっても、あなた達はそれを更に悪化させるのですね。","세상이 이렇게나 망가졌는데, 당신네는 상황을 더 악화시키려고 하는군.","Depois de tudo o que essa terra sofreu, a sua laia consegue deixá-la ainda pior.","Кажется, что хуже быть уже не может. Но вы продолжаете гадить этой земле.","Después de lo que le ha ocurrido a esta tierra, los de tu clase logran empeorarla.","แม้​แผ่น​ดิน​จะ​ย่ำแย่​เช่น​นี้ คน​อย่าง​เจ้า​ยัง​ทำให้​มัน​เลว​ร้าย​ลง​ไป​ได้​อีก","這片土地已殘破不堪，而你們這些該死的東西還想讓它變得更糟糕。","Audio/Dialogue/Character/StrDexInt/Event/Sc_13_KillKraityn.ogg","",10000
