"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
269,"LeagueStartingSoonLocal","The league is starting in {0}.","La ligue va commencer dans {0}.","Die Liga beginnt in {0}.","このリーグは{0}後に開始されます。","{0}에 리그가 시작됩니다.","A liga começará em {0}.","Лига начинается через {0}.","La liga comenzará en {0}.","ลีกกำลังจะเริ่มในอีก {0}","競賽將於 {0} 後開始。"
270,"LeagueStartingNow","The league has now started!","La ligue a commencé !","Die Liga hat begonnen!","このリーグは開始されました！","리그가 시작되었습니다!","A liga começou!","Лига стартовала!","¡La liga ya ha comenzado!","ลีกเริ่มแล้ว!","競賽已開始！"
271,"LeagueEndingMinutes","The league is ending in {0}.","La ligue va se terminer dans {0}.","Die Liga endet in {0}.","このリーグは{0}後に終了します。","{0}에 리그가 종료됩니다.","A liga encerrará em {0}.","Лига заканчивается через {0}.","La liga finalizará en {0}.","ลีกกำลังจะจบในอีก {0}","競賽將於 {0} 後結束。"
272,"LeagueFinished","The league has finished!","La ligue est terminée !","Die Liga ist beendet!","このリーグは終了しました！","리그가 종료되었습니다!","A liga terminou!","Лига завершена!","¡La liga ha finalizado!","ลีกจบแล้ว!","競賽已結束！"
273,"LeagueFirstToReachLevel","{0} is the first character to reach level {1}!","{0} est le premier personnage à atteindre le niveau {1} !","{0} erreicht als erster Charakter die Stufe {1}!","初めてレベル{1}に到達したキャラクターは{0}です！","{0} 님이 첫 번째로 {1}레벨이 되었습니다!","{0} foi o primeiro personagem a alcançar o nível {1}!","{0} — первый персонаж, достигший {1} уровня!","¡{0} es el primer personaje en llegar a nivel {1}!","{0} เป็นตัวละครแรกที่ถึงเลเวล {1}!","{0} 是第一個達到等級 {1} 的！"
274,"LeagueFirstToEnterArea","{0} is the first character to enter {1}!","{0} est le premier personnage à atteindre {1} !","{0} betritt als erster Charakter das Gebiet '{1}'!","初めて{1}に入ったキャラクターは{0}です！","{0} 님이 첫 번째로 {1}에 진입했습니다!","{0} foi o primeiro personagem a entrar em {1}!","{0} — первый персонаж, вошедший в область {1}!","¡{0} es el primer personaje en acceder a {1}!","{0} เป็นตัวละครแรกที่เข้าไปใน {1}!","{0} 是第一個進入 {1} 的！"
275,"LeagueFirstToEnterDelveLevelSolo","{0} is the first character to solo delve to depth {1}!","{0} est le premier personnage à atteindre en solo le niveau de profondeur {1} dans la Mine !","{0} erreicht als erster Charakter eigenständig den Tiefenlevel {1}!","初めてソロデルヴで深さ{1}に到達したキャラクターは{0}です！","{0} 님이 첫 번째로 광산 (솔로) {1}층에 진입했습니다!","{0} foi o primeiro personagem a escavar sozinho até a profundidade {1}!","{0} — первый персонаж, в одиночку достигший {1} глубины!","¡{0} es el primer personaje en excavar solo hasta una profundidad de {1}!","{0} เป็นตัวละครแรกที่ลงเหมืองลึกถึงระดับ {1} โดยลำพัง!","{0} 是第一個進入單人掘獄深度 {1} 的！"
276,"LeagueFirstToEnterDelveLevelParty","{0} is the first character to delve to depth {1}!","{0} est le premier personnage à atteindre le niveau de profondeur {1} dans la Mine !","{0} erreicht als erster Charakter den Tiefenlevel {1}!","初めてデルヴで深さ{1}に到達したキャラクターは{0}です！","{0} 님이 첫 번째로 광산 {1}층에 진입했습니다!","{0} foi o primeiro personagem à Escavar até a profundidade {1}!","{0} — первый персонаж, достигший {1} глубины!","¡{0} es el primer personaje en excavar hasta una profundidad de {1}!","{0} เป็นตัวละครแรกที่ลงเหมืองลึกถึงระดับ {1}!","{0} 是第一個進入掘獄深度 {1} 的！"
277,"LeagueFirstToFullyClear","{0} is the first character to fully clear {1}!","{0} est le premier personnage à avoir intégralement vidé {1} !","{0} hat als erster Charakter das Gebiet '{1}' vollständig gesäubert!","初めて{1}を完全に攻略したキャラクターは{0}です！","{0} 님이 첫 번째로 {1}을(를) 완료했습니다!","{0} foi o primeiro personagem a limpar {1} completamente!","{0} — первый персонаж, зачистивший область {1}!","¡{0} es el primer personaje en completar {1}!","{0} เป็นตัวละครแรกที่กวาดล้างศัตรูทั้งหมดใน {1}!","{0} 是第一個 完全清空 {1} 的！"
278,"LeagueFirstToDoQuest","{0} is the first character to {1}!","{0} est le premier personnage à {1} !","{0} hat als erster Charakter {1}!","{0}は初めて{1}をしたキャラクターです！","{0} 님이 첫 번째로 {1}을(를) 진행했습니다!","{0} foi o primeiro personagem a {1}!","{0} — первый персонаж, завершивший задание {1}!","¡{0} es el primer personaje en {1}!","{0} เป็นตัวละครแรกที่{1}!","{0} 是第一個完成 {1} 的！"
279,"RealmRestartingSoon","The realm is restarting in {0}.","Le royaume va redémarrer dans {0}.","Neustart des Realms in {0}.","レルムは{0}後に再起動します。","서버가 {0} 이후 재시작됩니다.","O servidor reiniciará em {0}.","Игровой мир будет перезагружен через {0}.","El reino se reiniciará en {0}.","เซิร์ฟเวอร์จะรีสตาร์ทในอีก {0}","伺服器將於 {0} 後重新啟動。"
280,"RealmShuttingDownSown","The realm is shutting down in {0}.","Le royaume va fermer dans {0}.","Realm fährt in {0} herunter.","レルムは{0}後にシャットダウンします。","서버가 {0} 이후 폐쇄됩니다.","O servidor será desligado em {0}.","Игровой мир будет отключен через {0}.","El reino se cerrará en {0}.","เซิร์ฟเวอร์จะปิดในอีก {0}","伺服器將於 {0} 後關閉。"
281,"RealmRestarting","Beginning realm restart...","Redémarrage du royaume…","Realm wird neu gestartet ...","レルム再起動開始…","서버 재시작 중","Começando reinício do servidor...","Начало перезагрузки игрового мира...","Comenzando el reinicio del reino…","กำลังเริ่มการรีสตาร์ทเซิร์ฟเวอร์...","開始伺服器重啟..."
282,"RealmShuttingDown","Beginning realm shutdown...","Fermeture du royaume…","Realm wird heruntergefahren ...","レルムシャットダウン開始…","서버 폐쇄 중","Começando desligamento do servidor...","Начало отключения игрового мира...","Comenzando el cierre del reino…","กำลังเริ่มปิดเซิร์ฟเวอร์...","開始伺服器關閉..."
283,"RealmRestartDeployPatchNotification","We are restarting the realm to deploy the {0} update. Its patch notes are in the Patch Notes forum. Downtime will be approximately {2}. {1}","Nous allons redémarrer le royaume pour implémenter la mise à jour {0}. Les patch notes sont disponibles sur le forum dans la section « Patch notes ». La maintenance devrait durer environ {2}. {1}","Der Realm wird für das Update {0} neu gestartet. Die Patch-Notes findest du im offiziellen Forum. Die Downtime beträgt ungefähr {2}. {1}","{0}アップデートを適用するため、レルムを再起動します。パッチノートはパッチノート掲示板をご確認ください。レルムの停止時間は{2}ほどとなります。{1}","{0} 업데이트를 적용하기 위해 서버를 재시작합니다. 패치노트 포럼에서 업데이트 내용을 확인하십시오. 약 {2}{1} 이후 이용하실 수 있습니다.","Estamos reiniciando o servidor para implementar a atualização {0}. As notas do patch estão no fórum de Atualizações. {1}.","Мы начинаем перезагрузку игровых миров для установки обновления {0}. Список изменений обновления доступен на нашем форуме. {1}","Estamos reiniciando el reino para implementar la actualización {0}. Las notas de parche están en el foro de Notas de Parches. El tiempo de parada será de aproximadamente {2}. {1}","เราจะรีสตาร์ทเซิร์ฟเวอร์ใหม่เพื่อออกแพทช์อัพเดท {0} คุณสามารถอ่านรายละเอียดแพทช์ได้ภายในเว็บบอร์ด การปิดปรับปรุงครั้งนี้จะใช้เวลาประมาณ {2} {1}","我們將重啟伺服器以進行 {0} 更新。詳細更新內容請參閱公告中的改版資訊。維護時間約 {2}。{1}"
284,"RealmMaintenanceNotification","We are shutting the realm down for maintenance. Downtime will be approximately {1}. {0}","Nous allons fermer le royaume pour des raisons de maintenance. Celle-ci devrait durer environ {1}. {0}","Der Realm wird für Wartungsarbeiten vorübergehend heruntergefahren. Die Downtime beträgt ungefähr {1}. {0}","メンテナンスのためにレルムをシャットダウンします。停止時間は{1}ほどとなります。{0}","점검을 위해 서버를 폐쇄합니다. 약 {1}{0} 이후 이용하실 수 있습니다.","Estamos desligando o servidor para manutenção. {0}","Игровые миры будут закрыты на техническое обслуживание. {0}","Estamos cerrando el reino por mantenimiento. El tiempo de parada será de aproximadamente {1}. {0}","เราจะปิดปรับปรุงเซิร์ฟเวอร์ การปิดปรับปรุงครั้งนี้จะใช้เวลาประมาณ {1} {0}","我們即將關閉伺服器以進行維護。維護時間約 {1}。{0}"
285,"CharacterOffline","That character is not online.","Ce personnage n'est pas en ligne.","Dieser Charakter ist nicht online.","そのキャラクターはオンラインではありません。","온라인 상태가 아닌 캐릭터입니다.","Esse personagem está offline.","Персонаж не в сети.","Ese personaje no está en línea.","ตัวละครนั้นไม่ได้ออนไลน์","該角色不在線上。"
286,"CharacterNameOffline","{0} is not online.","{0} n'est pas en ligne.","{0} ist nicht online.","{0}はオンラインではありません。","{0} 님은 온라인 상태가 아닙니다.","{0} não está online.","{0} не в сети.","{0} no está en línea.","{0} ไม่ออนไลน์ในขณะนี้","{0} 不在線上。"
287,"CharacterDifferentLeague","That character is in a different league.","Ce personnage est dans une autre ligue.","Dieser Charakter spielt in einer anderen Liga.","そのキャラクターは違うリーグに参加しています。","다른 리그에 있는 캐릭터입니다.","Esse personagem está em uma liga diferente.","Персонаж находится в другой лиге.","Ese personaje está en una liga diferente.","ตัวละครนั้นอยู่ในลีกอื่น","該角色在其他聯盟。"
288,"NotMutualFriends","That account has not accepted you as a friend.","Vous n'êtes pas ami avec ce compte.","Dieses Konto hat dich nicht als Freund/in akzeptiert.","そのアカウントはあなたのフレンド申請を許可していません。","친구 신청을 수락하지 않은 계정입니다.","Essa conta não aceitou sua solicitação de amizade.","Этот аккаунт не принял вашу заявку в друзья.","Esa cuenta no te ha aceptado como amigo.","บัญชีนั้นไม่ได้ยอมรับคุณเป็นเพื่อน","此帳號尚未接受你的交友邀請。"
289,"CharacterNotInPvP","That character is not currently engaged in PvP.","Ce personnage n'est pas engagé en combat PvP actuellement.","Dieser Charakter spielt zurzeit keinen PvP-Kampf.","そのキャラクターは現在PvPを遊んでいません。","PvP에 돌입하지 않은 캐릭터입니다.","Esse personagem não está no PvP atualmente.","Этот персонаж в настоящее время не занимается PvP.","Ese personaje no está actualmente enfrentado en JcJ.","ตัวละครนั้นไม่ได้ต่อสู้ใน PvP ในขณะนี้","此角色並非在與玩家對戰中。"
290,"SpectateFollow","You are now queued to spectate that account.","Vous êtes à présent dans la file d'attente pour observer ce compte.","Du bist nun in der Warteschlange, um diesem Konto zuzusehen.","そのアカウントの観戦をする順番待ちに並びました。","해당 계정의 관전 대기열에 들어갑니다.","Você agora está na fila para assistir essa conta.","Вы готовы к наблюдению за игроком.","Ahora estás en cola para observar esa cuenta.","คุณกำลังเข้าคิวเพื่อเข้าชมการต่อสู้","你進入了觀戰此帳號的序列。"
291,"HideoutDoodadLimitReached","Cannot place another Hideout object. You are limited to 750 objects in your Hideout at one time.","Impossible de placer un objet de plus dans votre Repaire : celui-ci est limité à 750 objets à la fois.","Kann kein weiteres Versteck-Objekt platzieren. Du darfst höchstens 750 Objekte gleichzeitig in deinem Versteck platzieren.","隠れ家に物が置けません。隠れ家には最大750個までしか物を置くことが出来ません。","은신처 물품을 더 놓을 수 없습니다. 한 번에 750개만 은신처에 놓을 수 있습니다.","Impossível colocar outro objeto no refúgio. Você está limitado a um máximo de 750 objetos em seu refúgio.","Нельзя разместить другой объект убежища. Вы можете единовременно иметь 750 объект(-ов) в убежище.","No puedes colocar más objetos en la guarida. El límite de objetos en la guarida es de 750.","ไม่สามารถวางวัตถุในที่ซ่อนตัวเพิ่มอีกได้ คุณมีวัตถุในที่ซ่อนตัวของคุณได้พร้อมกันไม่เกิน 750 ชิ้น","無法再放置更多藏身處裝飾物。目前藏身處最多只能放置 750 個裝飾物。"
292,"HardcoreDeathAnnouncement","{0} (Level {1}) has died at position {2} on the ladder.","{0} (Niveau {1}) vient de mourir à la {2}e place du classement.","{0} (Stufe {1}) ist auf Rang {2} der Rangliste gestorben.","{0} （レベル{1}）はラダーの{2}位で死亡しました。","{0}({1}레벨) 님이 래더 {2}위에서 사망했습니다.","{0} (Nível {1}) morreu na posição {2} no ranking.","{0} (уровень {1}) погиб на позиции {2} в ладдере.","{0} (Nivel {1}) ha muerto en el puesto {2} de la clasificación.","{0} (เลเวล {1}) ตายขณะที่อยู่ในอันดับ {2} บนตารางอันดับ","{0} (等級 {1}) 在天梯排名第 {2} 名死亡。"
293,"InteractErrorIncaBossSpawner","It seems to require a triangular key.","Il semblerait qu'une clé triangulaire soit nécessaire.","Offenbar braucht Ihr dafür einen dreieckigen Schlüssel.","三角形の鍵が必要なようです。","삼각형 열쇠가 필요합니다.","Isso parece precisar de uma chave triangular.","Похоже, требуется треугольный ключ.","Aparentemente requiere una llave triangular.","ดูเหมือนว่าจะต้องใช้กุญแจทรงสามเหลี่ยม","似乎需要一個三角形的鑰匙。"
294,"InteractErrorMalachaiPortal","You have not killed Malachai, or were not in the area when he was killed.","Vous n'avez pas tué Malachai ou vous n'étiez pas dans la zone quand il a été tué.","Ihr habt Malachai nicht getötet oder habt Euch nicht in der Nähe aufgehalten, als er getötet wurde.","あなたはマラカイを倒していないか、マラカイが倒された時にそのエリアにいませんでした。","말라카이를 죽이지 않았거나 말라카이가 사망한 지역에 있지 않았습니다.","Você não matou Malachai ou não estava na área quando ele foi morto.","Вам необходимо убить Владыку, возможно вы не присутствовали в области в момент его смерти.","No has matado a Malachai, o no estabas en el área cuando fue asesinado.","คุณยังไม่ได้สังหาร มาลาไค หรือไม่ได้อยู่ในด่านตอนที่เขาถูกสังหาร","你尚未殺死瑪拉凱，或是瑪拉凱死亡時你不在區域中。"
295,"InteractErrorMervielExit","You have not killed Merveil, or were not in the area when she was killed.","Vous n'avez pas tué Merveil ou vous n'étiez pas dans la zone quand elle a été tuée.","Ihr habt Merveil nicht getötet oder habt Euch nicht in der Nähe aufgehalten, als sie getötet wurde.","あなたはメルヴェーユを倒していないか、倒した時にそのエリアにいませんでした。","머베일을 죽이지 않았거나 머베일이 사망한 지역에 있지 않습니다.","Você não matou Merveil ou não estava na área quando ela foi morta.","Вам необходимо убить Мервейл, возможно вы не присутствовали в области в момент её смерти.","No has matado a Merveil, o no estabas en el área cuando fue asesinada.","คุณต้องสังหาร เมอร์เวล หรือไม่ได้อยู่ในด่านตอนที่เธอถูกสังหาร","你尚未殺死莫薇兒，或是瑪拉凱死亡時你不在區域中。"
296,"InteractErrorHillockGate","You must kill Hillock first.","Vous devez d'abord tuer Hillock.","Ihr müsst zunächst Hillock töten.","先にヒロックを倒す必要があります。","우선 힐록을 죽여야 합니다.","Você deve matar Hillock antes.","Вам необходимо убить Хиллока","Primero debes matar a Hillock.","คุณต้องสังหาร ฮิลล็อค ก่อน","你必須先殺死西拉克。"
297,"InteractErrorTowerTransition","You have not killed Dominus, or were not in the area when he was killed.","Vous n'avez pas tué Dominus ou vous n'étiez pas dans la zone quand il a été tué.","Ihr habt Dominus nicht getötet oder habt Euch nicht in der Nähe aufgehalten, als er getötet wurde.","あなたはドミナスを倒していないか、倒した時にそのエリアにいませんでした。","도미누스를 죽이지 않았거나 도미누스가 사망한 지역에 있지 않습니다.","Você não matou Dominus ou não estava na área quando ele foi morto.","Вам необходимо убить Владыку, возможно вы не присутствовали в области в момент его смерти.","No has matado a Dóminus, o no estabas en el área cuando fue asesinado.","คุณต้องสังหาร โดมินัส หรือไม่ได้อยู่ในด่านตอนที่เขาถูกสังหาร","你尚未殺死神主，或是瑪拉凱死亡時你不在區域中。"
298,"InteractErrorMineEntranceSeal","The entrance to the Mines is blocked by Deshret's Seal.","L'entrée de la Mine est verrouillée par le Sceau de Deshret.","Die Türen sind mit einem Siegel verschlossen.","鉱山への入り口はデシュレットの封印により塞がれています。","광산 입구가 데쉬렛의 봉인으로 막혀있습니다.","As portas estão trancadas por um Selo.","Вход в Шахты закрыт печатью Дешрет","La entrada a las Minas está bloqueada por el Sello de Deshret.","ทางเข้าสู่เหมืองถูกปิดกั้นด้วยคาถาผนึกของเดสเชรท","前往礦坑的入口已被迪虛瑞特封印阻擋。"
299,"InteractErrorLockedDoor","The door is locked.","La porte est verrouillée.","Die Tür ist verschlossen.","扉は鍵がかかっています。","문이 잠겨있습니다.","A porta está trancada.","Дверь заперта","La puerta está bloqueada.","ประตูล็อกอยู่","此門已上鎖。"
300,"InteractErrorTowerKey","The Tower Key has not been used to unlock the door.","La Clé de la tour n'a pas été utilisée pour déverrouiller la porte.","Die Tür wurde noch nicht mit einem Turmschlüssel aufgeschlossen.","扉を開くために塔の鍵が使われていません。","탑 열쇠로 문을 아직 열지 않은 상태입니다.","A Chave da Torre não foi utilizada para destrancar a porta.","Ключ Башни не был использован на дверной замок.","La Llave de la Torre no ha sido utilizada para abrir esta puerta.","ไม่ได้ใช้กุญแจหอคอยเพื่อเปิดล็อกประตู","尚未使用鑰匙開啟此門。"
301,"InteractErrorPoisonTree","Tree roots block your path.\r\nPerhaps they can be opened\r\nat a later time.","Des racines bloquent votre chemin.\r\nVous pourrez peut-être les faire disparaître plus tard.","Baumwurzeln blockieren Euren Weg. \r\nVielleicht könnt Ihr sie später öffnen.","木の根が道を塞いでいます。\r\n後で開くことができるかもしれません。","나무뿌리가 앞을 가로막고 있습니다.\r\n나중에 걷어낼 수 있을지도 모릅니다.","Raízes de árvore bloqueiam seu caminho.\r\nTalvez elas possam ser abertas mais tarde.","Заросли деревьев закрывают вам путь.\r\nВозможно, они могут быть открыты\r\nчуть позже.","Hay raíces de árbol bloqueando tu camino. Quizá puedan apartarse en otro momento.","รากไม้ขวางทางคุณอยู่\r\nบางทีอาจจะเปิดได้ในภายหลัง","樹根擋住了你的去路。\r\n或許有什麼方法\r\n可以搞定這些礙事的樹根。"
302,"InteractErrorUndyingBlockage","The way is blocked.","Le passage est bloqué.","Der Weg ist versperrt.","道が塞がれています。","길이 막혔습니다.","A passagem está bloqueada.","Путь заблокирован.","El camino está bloqueado.","เส้นทางถูกปิดกั้น","道路被堵住了。"
303,"InteractErrorLocked","It's locked.","C'est verrouillé.","Abgeschlossen.","鍵がかかっています。","잠겨있습니다.","Está trancado.","Заблокировано.","Está cerrado.","มันถูกล็อก","上著鎖。"
304,"InteractErrorBlockageTransition","The way is blocked.","Le chemin est bloqué.","Der Weg ist versperrt.","道が塞がれています。","길이 막혔습니다.","O caminho está bloqueado.","Путь блокирован.","El camino está bloqueado.","เส้นทางถูกปิดกั้น","神秘屏障擋住了你的去路。"
305,"InteractErrorSpikeBlockage","It seems to require some kind of key.","Il semble qu'il faille une clé spéciale.","Offenbar braucht Ihr einen Schlüssel.","何らかの鍵が必要なようです。","열쇠 종류가 필요할 것 같습니다.","Isso parece precisar de algum tipo de chave.","Похоже, тут нужен ключ.","Aparentemente requiere algún tipo de llave.","ดูเหมือนว่าจะต้องใช้กุญแจบางชนิด","看起來需要某種鑰匙。"
306,"InteractErrorGlyphWall","This wall seems to require three strangely shaped objects.","Il semble qu'il faille placer trois objets à la forme étrange sur ce mur.","In dieser Mauer ist offenbar Platz für drei seltsam geformte Objekte.","この壁は、３つの変わった形の物が必要なようです。","특이한 모양의 물건 3개를 벽에 꽂아야 할 것으로 보입니다.","A parede parece precisar de três objetos com formatos estranhos.","Эта стена, кажется, требует три странных по своей форме объекта.","Este muro parece requerir tres objetos con formas extrañas.","ดูเหมือนว่ากำแพงนี้ต้องใช้วัตถุรูปร่างประหลาด 3 ชิ้น","這片牆上有著三個奇形怪狀的凹洞。"
307,"InteractErrorWaterCave","You must find a way to lower the water first.","Vous devez d'abord trouver un moyen de faire baisser le niveau de l'eau.","Ihr müsst zunächst versuchen, den Wasserspiegel zu senken.","まずは水位を下げる方法を見つけなければなりません。","수위를 낮출 방법을 찾아야 합니다.","Você deve encontrar uma forma de drenar a água primeiro.","Сначала вы должны найти способ снизить уровень воды.","Primero debes encontrar una manera de bajar el nivel del agua.","คุณต้องหาทางลดระดับน้ำก่อน","你必須先想辦法讓水位降低。"
308,"InteractErrorNotYourCraftingTable","You cannot use other people's crafting benches.","Vous ne pouvez pas utiliser les établis d'artisanat qui ne vous appartiennent pas.","Du kannst keine fremden Werkzeugbänke benutzen.","他人のクラフトベンチを使用することはできません。","다른 사람의 작업대를 사용할 수 없습니다.","Você não pode utilizar as bancadas de artesanato de outras pessoas.","Вы не можете использовать верстаки других людей.","No puedes utilizar las mesas de fabricación de otras personas.","คุณไม่สามารถใช้โต๊ะคราฟท์ของผู้อื่นได้","你無法使用他人的工藝器具。"
309,"InteractErrorNotYourMapDevice","You cannot use other people's map devices.","Vous ne pouvez pas utiliser les Dispositifs cartographiques qui ne vous appartiennent pas.","Du kannst keine fremden Kartenapparate benutzen.","他人のマップデバイスを使用することはできません。","다른 사람의 지도 장치를 사용할 수 없습니다.","Você não pode utilizar o dispositivo de mapas de outras pessoas.","Вы не можете использовать машины картоходца других людей.","No puedes usar el artefacto de mapas de otra persona.","คุณไม่สามารถใช้เครื่องเปิดแผนที่ของผู้อื่นได้","你無法使用他人的地圖裝置。"
310,"InteractErrorCoreTransition","You must kill all three of Malachai's guardians to access the Black Core.","Vous devez tuer les trois gardiens de Malachai pour pouvoir accéder au Cœur noir.","Ihr müsst alle drei Wächter Malachais töten, um Zugang zum Schwarzen Kern zu erhalten.","ブラックコアに入るには、マラカイの守護者3人全てを倒す必要があります。","말라카이의 수호자 세 명을 모두 죽여야 어둠의 중심부로 들어갈 수 있습니다.","Você deve abater todos os três guardiões do Malachai para acessar o Núcleo Negro.","Убейте всех трёх стражей Малахая. Вы не можете войти в Средоточие тьмы, пока они живы.","Debes matar a los tres guardianes de Malachai para acceder al Núcleo Negro.","คุณจะต้องสังหารองครักษ์ทั้งสามของ มาลาไค จึงจะสามารถเปิดทางสู่ แก่นอันมืดดำ ได้","你必須擊殺瑪拉凱的三個守衛才能進入黑靈核心。"
311,"InteractErrorCoreTransitionOrgans","You must kill all three of Malachai's guardians and deliver the organs to Piety to access the Black Core.","Vous devez tuer les trois gardiens de Malachai et donner les organes à Piété pour pouvoir accéder au Cœur noir.","Ihr müsst alle drei Wächter Malachais töten und die Organe zu Piety bringen, um Zugang zum Schwarzen Kern zu erhalten.","ブラックコアに入るには、マラカイの守護者3人全てを倒し、パイエティに臓器を届ける必要があります。","말라카이의 수호자 세 명을 모두 죽이고 그 내장을 파이어티에게 가져와야 어둠의 중심부로 들어갈 수 있습니다.","Você deve abater todos os três guardiões do Malachai e entregar os órgãos à Piety para acessar o Núcleo Negro.","Чтобы войти в Средоточие тьмы - убейте трёх стражей Малахая и отнесите Вере органы Малахая.","Debes matar a los tres guardianes de Malachai y entregarle los órganos a Piedad para acceder al Núcleo Negro.","คุณจะต้องสังหารองครักษ์ทั้งสามของ มาลาไค แล้วส่งอวัยวะทั้งสามให้กับ พายตี้ จึงจะสามารถเปิดทางสู่ แก่นอันมืดดำ ได้","你必須擊殺瑪拉凱的三個守衛，並把他們的器官交給派蒂才能進入黑靈核心。"
312,"InteractErrorPietyGateTransition","You must deal with Piety first.","Vous devez d'abord vous occuper de Piété.","Ihr müsst Euch zuerst um Piety kümmern.","先にパイエティを倒す必要があります。","먼저 파이어티와 맞서야 합니다.","Você deve lidar com Piety primeiro.","Сначала вы должны поговорить с Верой.","Primero debes ocuparte de Piedad.","คุณต้องจัดการกับ พายตี้ ก่อน","你必須先對付派蒂。"
313,"InteractErrorVinktarSquareGateLocked","The gate is surging with the power of the Guardians.","La puissance des Gardiens déferle du portail.","Durch dieses Tor strömt die Macht der Wächter.","ゲートは守護者の力に満ちています。","관문에서 요동치는 수호자의 힘이 느껴집니다.","O portão está transbordando com o poder dos Guardiões.","Врата защищены силой Стражников.","El portón se levanta con el poder de los Guardianes.","ประตูนั้นพรั่งพรูไปด้วยพลังของผู้พิทักษ์","大門不斷地擁出守護者的力量。"
314,"NotAllowedInPlayersHideout","You cannot currently access this player's area.","Vous ne pouvez pas accéder à la zone de ce joueur pour l'instant.","Du kannst das Gebiet dieses Spielers derzeit nicht betreten.","このプレーヤーのエリアには現在アクセスすることができません。","지금은 해당 플레이어의 지역으로 갈 수 없습니다.","Você não pode acessar a área deste jogador no momento.","Вы не можете попасть в убежище этого игрока.","No puedes acceder al área de este jugador en este momento.","คุณไม่สามารถเข้าด่านของผู้เล่นคนนี้ได้ในตอนนี้","你目前無法進入這位玩家的地區。"
315,"CantChangeToHideoutFromHere","You can't go to this area from here.","Vous ne pouvez pas vous rendre dans cette zone à partir d'ici.","Du kannst dieses Gebiet von deiner aktuellen Position aus nicht betreten.","このエリアには、ここから行くことはできません。","이곳에서는 해당 지역으로 갈 수 없습니다.","Você não pode ir para esta área daqui.","Вы не можете попасть в убежище отсюда.","No puedes ir a esta área desde aquí.","คุณไม่สามารถเดินทางไปสู่ด่านนี้ได้จากที่นี่","你無法從這前往此地區。"
316,"StrMissionStartPointRocks","The entrance has collapsed","L'entrée s'est effondrée.","Der Eingang ist eingestürzt.","入口が崩壊しました。","입구가 무너졌습니다.","A entrada desabou","Вход рухнул","La entrada ha colapsado.","ทางเข้าถูกปิดตายแล้ว","入口已經倒塌。"
317,"LoginTokenExpired","Your credentials have expired. Please restart the game.","Vos informations de connexion ont expiré. Veuillez redémarrer le jeu.","Deine Zugangsdaten sind abgelaufen. Bitte starte das Spiel erneut.","認証の期限が切れました。ゲームを再スタートしてください。","신용 증명이 만료되었습니다. 게임을 다시 시작해 주십시오.","Suas credenciais expiraram. Por favor reinicie o jogo.","Срок действия данных вашей учетной записи истек. Пожалуйста, перезапустите игру.","Tus credenciales han caducado. Reinicia el juego.","ข้อมูลประจำตัวของคุณหมดอายุแล้ว กรุณาเปิดเกมใหม่","你的認證已經過期。請重新啟動遊戲。"
318,"IgnoredPvP","You have been ignored.","Vous avez été ignoré.","Ein anderer Spieler hat dich ignoriert.","無視されました。","차단당했습니다.","Você foi ignorado.","Вас проигнорировали.","Has sido ignorado.","คุณถูกบล็อค","你已經被忽略。"
319,"LocalChatDisabledWhileSpectating","Local chat is disabled while spectating PvP.","La tchat local est désactivé lorsque vous observez un match PvP.","Der lokale Chat wurde während der Zusehen-Funktion im PvP-Modus deaktiviert.","PvP観戦中は、ローカルチャットは使用できません。","PvP 관전 중에는 근거리 채팅이 해제됩니다.","O chat local está desabilitado enquanto estiver assistindo o PvP.","Локальный чат отключен во время наблюдения PvP","El chat local está deshabilitado mientras observas JcJ.","ช่องแชทในด่านจะถูกปิดเมื่อคุณกำลังรับชม PvP","觀戰時無法使用區域頻道。"
320,"AbandonDailyNotInHideout","You can only use this command inside your Hideout.","Cette commande ne fonctionne que dans votre Repaire.","Du kannst diesen Befehl nur in deinem Versteck verwenden.","このコマンドは隠れ家でしか使用できません。","은신처 안에서만 사용할 수 있는 명령어입니다.","Você só pode utilizar este comando dentro de seu Refúgio.","Вы можете использовать эту команду только находясь в своем убежище","Solamente puedes utilizar ese comando dentro de tu Guarida.","คุณสามารถใช้คำสั่งนี้ได้ในที่ซ่อนตัวเท่านั้น","你只能在你的藏身處使用這項指令。"
321,"NoDailyActive","You don't have a daily mission open.","Vous n'avez pas de mission quotidienne en cours.","Du hast keine Tagesmission aktiviert.","デイリーミッションが開かれていません。","개방된 일일 임무가 없습니다.","Você não tem uma missão diária aberta.","В настоящее время нет активных дневных миссий.","No tienes abierta una misión diaria.","คุณไม่มีภารกิจประจำวัน","你並沒有在進行任何每日任務。"
