"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
1345,"CrucibleRuthlessAltarMaven","Eldritch Enhancements","Sources Surnaturelles","Unheimliche Verstärkung","エルドリッチの高揚","섬뜩한 강화","Ampliações Ancestrais","Мистическое могущество","Selecciones sobrenaturales","เสริมพลังผิดธรรมชาติ","異世界的任務",53,"Complete each of the following Atlas Objectives.","Terminez chacun des objectifs d'Atlas suivants :","Schließt jedes der folgenden Atlas-Bonusziele ab.","以下のアトラス目標を完了せよ","다음 아틀라스 목표를 전부 완료하십시오.","Complete cada um dos seguintes Objetivos do Atlas.","Выполните все перечисленные задания Атласа.","Completa cada uno de los siguientes objetivos del Atlas.","ผ่าน​ภารกิจ สมุด​แผนที่ ดัง​ต่อ​ไป​นี้","完成下列輿圖特殊任務。",2061,1,"","",0,"",1,"","","","",""
1346,"CrucibleRuthlessUberBosses","Unrelenting Ubers","Ubers Ultrarésistants","Unbarmherzige Über-Bosse","容赦のないウーバー達","가차없는 우버","Chefes Cruéis","Бескомпромиссные боссы","Ubers universales","อูเบอร์ไม่อ่อนข้อ","超界限試煉",53,"Defeat any four of the following Pinnacle Boss Encounters while the area is level 85.","Terrassez 4 des Boss finaux suivants alors que la zone est niveau 85 :","Vernichtet 4 der folgenden Endgame-Bosse, während das Gebiet die Stufe 85 hat.","レベル85のエリアで、以下のピナクルボスエンカウンターの中からいずれか4体を倒せ","지역이 85레벨인 동안 다음 엔드게임 보스 인카운터 중 아무거나 4개를 완료하십시오.","Derrote quaisquer quatro dos seguintes Encontros com Chefes Primordiais enquanto em uma área de Nível 85.","Победите четырёх из перечисленных верховных боссов в области 85 уровня.","Derrota a cuatro de los siguientes jefes finales en un área de nivel 85.","สยบ การ​เผชิญ​หน้า​บอส​สูงสุด อย่าง​น้อย 4 อย่าง​ดัง​ต่อ​ไป​นี้​ขณะ​ที่​ด่าน​มี​เลเวล 85","在區域等級 85 時，擊敗下列任 4 名巔峰頭目事件。",44765,"","","",4,"","","","","","",""
1347,"AncestralBeginnerChallenge","Beginner's Basics","Les Débuts du Débutant","Gute Grundlagen","初心者のための基礎","초심자의 기초","Aprendendo o Básico","Начала новичка","Principios de principiante","มือใหม่ไม่ลืม","初學者基礎",54,"Complete each of the following tasks.","Accomplissez chacune des tâches suivantes :","Schließt jede der folgenden Aufgaben ab.","以下の各タスクを完了せよ。","다음 임무를 전부 완료하십시오.","Complete cada uma das seguintes tarefas.","Выполните все перечисленные задания.","Completa cada una de las siguientes tareas.","ผ่าน​ภารกิจ​ดัง​ต่อ​ไป​นี้","完成以下的事件。",5865,"","","",0,"","","","","","",""
1348,"AncestralLeagueChallenge1","Cultivated Cultural Customs","Coutumes Culturelles Conviviales","Kultivierte kulturelle Konvention","洗練された文化的洗練","문화적 관습","Costumes Culturais Cultivados","Культивируемая клановая культура","Costumbres culturales cultivadas","จารีตที่จารึก","培育文化習俗",54,"Complete each of the following encounters.","Achevez chacun des objectifs suivants :","Absolviert jedes der folgenden Gefechte.","以下の各エンカウンターを完了せよ。","다음 인카운터를 전부 완료하십시오.","Completa cada um dos seguintes encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่าน​การ​เผชิญหน้า​ดัง​ต่อ​ไป​นี้","完成以下的事件。",26519,"","","",0,"",1,"","","","",""
1349,"AncestralVendorRecipes1","Peddler's Produce I","Les Colifichets du Colporteur I","Hilfsbereiter Händler I","商人による生成 I","상인의 상품 I","Mostruário do Mascate I","Котомка коробейника I","Mercancía del mercader I","ยื่นหมูยื่นแมว 1","小販的產品 I",54,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific combination of items to a vendor, not when you buy items from their purchase screen.","Réalisez des formules de marchand afin d'obtenir chacun des objets ci-dessous. Une formule de marchand consiste à vendre un assortiment spécifique d'objets à un PNJ.","Verwendet Händlerrezepte, um jeden der folgenden Gegenstände zu erhalten. Ein Händlerrezept ist eine Liste bestimmter Gegenstände, die Ihr mit einem Händler tauscht, statt einen Gegenstand über seine/ihre Händlerseite zu erwerben.","以下の各アイテムをベンダーレシピを用いて入手せよ。ベンダーレシピとは、特定の組み合わせのアイテムをベンダーとトレードすることで、ベンダーの購入画面からアイテムを購入することではありません。","거래 조합을 완료하여 다음 아이템을 전부 받으십시오. 거래 조합은 상인의 구입 화면에서 아이템을 살 때가 아니라, 특정 조합에 해당하는 아이템들을 상인과 거래할 때 이루어집니다.","Complete as receitas dos vendedores para receber cada um dos seguintes itens. Uma receita de vendedor é quando você troca uma combinação específica de itens em um vendedor, não quando você compra itens de sua loja.","Соберите вещи на обмен по рецептам торговцев и получите по одному из перечисленных предметов. Под рецептом торговца понимается определенная подборка вещей, которые предлагаются торговцу, а не покупаются через его окно торговли.","Completa recetas de venta para recibir cada uno de los siguientes objetos. Una receta de venta se logra cuando intercambias una combinación específica de objetos con un vendedor, no cuando compras objetos en su ventana de compra.","ทำ​การ​ขาย​ของ​ตาม​สูตร​ขาย​ของ​เพื่อ​ให้​ได้​ไอเทม​ดัง​ต่อ​ไป​นี้ สูตร​ขาย​ของ​คือ​การ​ขาย​ของ​ให้​กับ​ผู้​ค้าขาย​ตาม​รูป​แบบ​เฉพาะ​ที่​จะ​ทำให้​ได้​รับ​ไอเทม​พิเศษ ไม่ใช่​การ​ซื้อ​ไอเทม​จาก​ผู้​ค้า​ขาย​โดย​ตรง","完成以下商人配方獲取道具。 注意，商人配方是指用指定道具與商人交換特定物品，並非由商人處購買。",23712,"","","",0,"","","","","","",""
1350,"AncestralDefeatActBosses1","Act Adversaries I","Les Adversaires des Actes I","Akt-Antagonisten I","章の敵 I","장의 수장들 I","Adversários dos Atos I","Антагонисты в Актах I","Adversarios de acto I","ปรปักษ์ประจำบท 1","章節對手 I",54,"Complete each of the following encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","以下の各エンカウンターを完了せよ。","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่าน​การ​เผชิญหน้า​ดัง​ต่อ​ไป​นี้","完成以下的事件。",15216,"","","",0,"","","","","","",""
1351,"AncestralMiscChallenge","Deadly Deeds","Manœuvres Mortelles","Tödliche Taten","命懸けの行為","위압적인 위업","Ações Assassinas","Смертоносные свершения","Maniobras mortales","การกระทำนำภัย","致命行為",54,"Complete each of the following encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","以下の各エンカウンターを完了せよ。","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่าน​การ​เผชิญหน้า​ดัง​ต่อ​ไป​นี้","完成以下的事件。",2176,"","","",0,"","","","","","",""
1352,"AncestralLeagueChallenge2","Tawhoa's Tribal Trials","Tournois Tribaux de Tawhoa","Tawhoas tribaler Test","タウホアの部族の試練","타호아의 부족 시련","Torneios Tribais de Tawhoa","Туземные традиции Тахоа","Torneos tribales de Tawhoa","บททดสอบแห่งทาฟ์วัว","塔赫亞的部落試煉",54,"Complete each of the following encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","以下の各エンカウンターを完了せよ。","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่าน​การ​เผชิญหน้า​ดัง​ต่อ​ไป​นี้","完成以下的事件。",51545,"","","",0,"",1,"","","","",""
1353,"AncestralDefeatActBosses2","Act Adversaries II","Les Adversaires des Actes II","Akt-Antagonisten II","章の敵 II","장의 수장들 II","Adversários dos Atos II","Антагонисты в Актах II","Adversarios de acto II","ปรปักษ์ประจำบท 2","章節對手 II",54,"Complete each of the following encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","以下の各エンカウンターを完了せよ。","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่าน​การ​เผชิญหน้าดัง​ต่อ​ไป​นี้","完成以下的事件。",14662,"","","",0,"","","","","","",""
1354,"AncestralRegretQuests","Quality Quandaries","Quêtes de Qualité","Abenteuerliche Abwege","優良な苦境","궁극의 궁지","Escolhas Especiais","Заметные затруднения","Dilemas decisivos","จนตรอกอย่างไม่อับจน","品質困境",54,"Complete each of the following quests.","Terminez chacune des quêtes suivantes :","Schließt jede der folgenden Quests ab.","以下の各クエストを完了せよ。","다음 퀘스트를 전부 완료하십시오.","Complete cada uma das seguintes missões.","Выполните все перечисленные задания.","Completa cada una de las siguientes misiones.","ผ่าน​ภารกิจ​ดัง​ต่อ​ไป​นี้","完成以下的任務。",25138,"","","",0,"","","","","","",""
1355,"AncestralCompleteEssenceEncounters","Ecstatic Essences","Essences Extatiques","Ekstatische Essenzen","悦に入るエッセンス","애틋한 에센스","Êxtase Essencial","Самозабвенные Сущности","Esencias eufóricas","เอสเซนส์อิ่มใจ","狂喜精華",54,"Complete each of the following Essence encounters.","Achevez chacune des rencontres d'Essence suivantes :","Schließt jede der folgenden Essenz-Begegnungen ab.","以下の各エッセンスエンカウンターを完了せよ。","다음 에센스 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros com Essências.","Выполните перечисленные действия с Сущностями.","Completa cada uno de los siguientes encuentros de esencias.","ผ่าน​การ​เผชิญ​หน้า เอสเซนส์ ดัง​ต่อ​ไป​นี้","完成以下每個精髓事件。",63975,"","","",0,"",1,"","","","",""
1356,"AncestralCompleteDominationEncounters","Divine Domination","Domination Divine","Himmlische Herrschaft","神のドミネーション","지고한 지배","Domínio Divino","Главенствующее Господство","Dominación divina","แสดงฤทธิ์ศักดิ์สิทธิ์","神聖統治",54,"Complete each of the following encounters while you have a shrine on you.","Achevez chacune des rencontres suivantes en étant affecté par un Autel :","Absolviert jedes der folgenden Gefechte, während ein Schrein auf Euch wirkt.","シュラインのバフを得た状態で以下の各エンカウンターを完了せよ。","성소 효과를 받는 상태에서 다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros enquanto afetado por um altar.","Выполните перечисленные действия в игре, находясь под влиянием алтаря.","Completa cada uno de los siguientes encuentros bajo los efectos de un santuario.","ผ่าน​การ​เผชิญหน้า​ดัง​ต่อ​ไป​นี้​ขณะ​ที่​คุณ​มีสถานะ​จาก แท่นบูชา","你身上有神殿效果時完成以下的事件。",54239,"","","",0,"","","","","","",""
1357,"AncestralCompleteBreachEncounters","Brutal Breaches","Brèches Brutales","Radikale Risse","蛮行のブリーチ","균일한 균열","Fenda Frenética","Разорительные Разломы","Fisuras feroces","บรีชบรรลัย","殘酷的裂痕",54,"Complete each of the following Breach encounters.","Achevez chacun des objectifs de Brèche suivants :","Schließt jede der folgenden Riss-Begegnungen ab.","以下の各ブリーチエンカウンターを完了せよ。","다음 균열 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros com Fendas.","Выполните перечисленные действия в Разломе.","Completa cada uno de los siguientes encuentros de fisuras.","ผ่าน​การ​เผชิญหน้า บรีช ดัง​ต่อ​ไป​นี้","完成以下每個裂痕事件。",59556,"","","",0,"",1,"","","","",""
1358,"AncestralLeagueChallenge3","Ramako's Regal Rituals","Rituels Royaux de Ramako","Ramakos royale Rituale","ラマコの威厳ある儀式","라마코의 웅장한 의식","Rituais Régios de Ramako","Ритуалы регалий Рамако","Rituales regios de Ramako","ราชพิธีแห่งรามาโค","雷默科的高貴儀式",54,"Defeat any seven of the following Karui Tribes in the final match of the Trial of the Ancestors while you have at least 100 ranking.","En ayant au moins 100 de classement, remportez la manche finale du Tournoi des Ancêtres contre au moins 7 des Tribus karuies suivantes :","Besiegt einen der folgenden 7 Karui-Stämme im finalen Wettkampf der Prüfung der Ahnen, während Ihr über mindestens Rang 100 verfügt.","ランキングレート100以上で先祖の試練の決勝戦で以下の中からいずれか7つのカルイの部族を撃破せよ","랭킹 100 이상일 때 선조들의 심판 마지막 시합에서 다음 카루이 부족 중 7개를 처치하십시오.","Derrote quaisquer sete das seguintes Tribos Karui na partida final do Torneio dos Ancestrais enquanto ao menos na 100° Classificação.","Победите любые 7 из перечисленных племён каруи в финальном матче Испытания предков, имея как минимум 100 ранг.","Derrota a siete de las siguientes tribus karui en el combate final del Torneo de los ancestros estando al menos en el puesto 100 de la clasificación.","สยบ ชนเผ่า​คารุย อย่าง​น้อย 7 เผ่า​ดัง​ต่อ​ไป​นี้​ใน​รอบ​สุดท้าย​ของ บททดสอบ​แห่ง​บรรพชน ขณะ​ที่​คุณ​มี ระดับ​ของ​ทีม อย่าง​น้อย 100","在祖靈的試煉的最後一場對局中，擊敗以下七個卡魯部落之一，並且你的階級至少達到 100。",11315,"","","",7,1,"","","","","",""
1359,"AncestralCompleteHarbingerEncounters","Harrowing Harbingers","Précurseurs Poignants","Vorzeichenbringende Vorboten","悲惨なハービンジャー","섬뜩한 선구자","Emissários Excruciantes","Прорывающиеся Предвестники","Heraldos horripilantes","ฮาร์บินเจอร์มหาโหด","令人震撼的先兆",54,"Complete each of the following Harbinger encounters.","Achevez chacun des objectifs de Précurseurs suivants :","Schließt jede der folgenden Harbinger-Begegnungen ab.","以下の各ハービンジャーエンカウンターを完了せよ。","다음 선구자 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros com Emissários.","Выполните перечисленные действия с Предвестниками.","Completa cada uno de los siguientes encuentros de heraldos.","ผ่าน​การ​เผชิญหน้า ฮาร์บินเจอร์ ดัง​ต่อ​ไป​นี้","完成以下每個神諭事件。",11500,"","","",0,"",1,"","","","",""
1360,"AncestralCompleteLegionEncounters","Legendary Legions","Légions Légendaires","Legendäre Legionen","伝承のリージョン","군집한 군단","Legiões Lendárias","Легендарные Легионы","Legiones legendarias","กองพันบันลือโลก","傳奇的軍團",54,"Complete each of the following Legion encounters.","Achevez chacun des objectifs de Légion suivantes :","Schließt jede der folgenden Legion-Begegnungen ab.","以下の各リージョンエンカウンターを完了せよ。","다음 군단 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros com Legiões.","Выполните перечисленные действия, касающиеся Легионов.","Completa cada uno de los siguientes encuentros de legión.","ผ่าน​การ​เผชิญหน้า กองพัน ดัง​ต่อ​ไป​นี้","完成以下每個戰亂事件。",5434,"","","",0,"",1,"","","","",""
1361,"AncestralCompleteDeliriumEncounters","Delusional Delirium","Délire Délirant","Deliriöses Delirium","妄想生むデリリウム","환멸의 환영","Delírio Desvairado","Дезориентирующий Делириум","Delirio delusivo","เดลิเรียมลวงหลอก","妄想的癲狂",54,"Complete each of the following Delirium encounters.","Achevez chacun des objectifs de Délire suivants :","Schließt jede der folgenden Delirium-Begegnungen ab.","以下の各デリリウムエンカウンターを完了せよ。","다음 환영 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros Delirantes.","Выполните перечисленные действия в Делириуме.","Completa cada uno de los siguientes encuentros de delirio.","ผ่าน​การ​เผชิญหน้า เดลิเรียม ดัง​ต่อ​ไป​นี้","完成以下每個譫妄事件。",60884,"","","",0,"",1,"","","","",""
1362,"AncestralCompleteRitualEncounters","Relentless Rituals","Rituels Redoutables","Rücksichtslose Rituale","無慈悲極まるリチュアル","의아한 의식","Rituais Rígidos","Радикальные ритуалы","Rituales rutinarios","พิธีกรรมระห่ำ","無情的儀式",54,"Complete each of the following Ritual encounters.","Achevez chacun des objectifs de Rituel suivants :","Schließt jede der folgenden Ritual-Begegnungen ab.","以下の各リチュアルエンカウンターを完了せよ。","다음 의식 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros Ritualísticos.","Выполните перечисленные действия Ритуала.","Completa cada uno de los siguientes encuentros de ritual.","ผ่าน​การ​เผชิญหน้า พิธีกรรม ดัง​ต่อ​ไป​นี้","完成以下每個祭祀事件。",62403,"","","",0,"",1,"","","","",""
1363,"AncestralLeagueChallenge4","Arohongui's Ancestral Artifacts","Artefacts Ancestraux d'Arohongui","Arohonguis angestammte Artefakte","アロホングイの先祖の遺物","아로호누이의 선대 유물","Artefatos Ancestrais de Arohongui","Античные артефакты Арохонгуи","Artefactos ancestrales de Arohongui","อุปกรณ์อนุสรณ์แห่งอะโรฮอนกุย","艾蘿紅薇的祖靈神器",54,"Use any 17 of the following Field Items.","Utilisez 17 des Objets de terrain parmi les suivants :","Benutzt 17 der folgenden Feldgegenstände.","以下の中からいずれか17種類のフィールドアイテムを使用せよ","다음 전장 아이템 중 17개를 사용하십시오.","Use quaisquer 17 dos seguintes Itens de Campo.","Используйте любые 17 из перечисленных полевых предметов.","Usa 17 de los siguientes objetos del campo de batalla.","ใช้ ไอเทมภาคสนาม อย่างน้อย 17 อย่าง​ดัง​ต่อ​ไป​นี้","使用下列 17 個戰場物品。",53732,"","","",17,1,"","","","","",""
1364,"AncestralAchieveAscension","Achieve Ascension","Atteindre l'Ascendance","Anspruchsvolle Aszendenz","アセンションを達成せよ","전설적인 전직","Alcance a Ascensão","Восхождение","Alcanza la ascensión","ขึ้นครองอำนาจ","實現升華",54,"Use the Ascendancy Device in each of the following Labyrinths.","Servez-vous de l'Autel d'Ascendance dans les Labyrinthes suivants :","Erreicht die Aszendenz in folgenden Labyrinthen.","以下の各ラビリンスでアセンダンシーデバイスを使用せよ。","다음 미궁 전부에서 전직 장치를 사용하십시오.","Use o Dispositivo de Ascensão em cada um dos seguintes Labirintos.","Воспользуйтесь устройством Восхождения в каждом из перечисленных Лабиринтов.","Usa el Artefacto de ascendencia en cada uno de los siguientes laberintos.","ใช้ แท่นบูชา​ครอง​อำนาจ ใน​เขาวงกต​ดัง​ต่อ​ไป​นี้","在下列帝王迷宮中使用昇華裝置。",39790,"","","",0,"","","","","","",""
1365,"AncestralDivinationCards","Divined Destiny","Divination de la Destinée","Schillerndes Schicksal","予言された運命","운치 있는 운명","Destino Divino","Божественный жребий","Destino divinatorio","พานพบพรหมลิขิต","預言的命運",54,"Turn in Divination card sets of the following sizes.","Rendez des jeux complets de Cartes divinatoires composés des quantités suivantes :","Tauscht Sets mit Weissagungskarten der folgenden Größen ein.","以下のスタックサイズの占いカードのセットを交換せよ。","다음 규모의 점술 카드 세트를 제출하십시오.","Troque conjuntos de Cartas de Adivinhação dos seguintes tamanhos.","Обменяйте наборы Гадальных карт следующих размеров.","Entrega barajas de cartas de adivinación de los siguientes tamaños.","แลก ชุด​ไพ่พยากรณ์ ที่​มี​ขนาด​กอง​ดัง​ต่อ​ไป​นี้","完成以下堆疊大小的命運卡。",9684,"","","",0,1,"","","","","",""
1366,"AncestralVendorRecipes2","Peddler's Produce II","Les Colifichets du Colporteur II","Hilfsbereiter Händler II","商人による生成 II","상인의 상품 II","Mostruário do Mascate II","Котомка коробейника II","Mercancía del mercader II","ยื่นหมูยื่นแมว 2","小販的產品 II",54,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific combination of items to a vendor, not when you buy items from their purchase screen.","Réalisez des formules de marchand afin d'obtenir chacun des objets ci-dessous. Une formule de marchand consiste à vendre un assortiment spécifique d'objets à un PNJ.","Verwendet Händlerrezepte, um jeden der folgenden Gegenstände zu erhalten. Ein Händlerrezept ist eine Liste bestimmter Gegenstände, die Ihr mit einem Händler tauscht, statt einen Gegenstand über seine/ihre Händlerseite zu erwerben.","以下の各アイテムをベンダーレシピを用いて入手せよ。ベンダーレシピとは、特定の組み合わせのアイテムをベンダーとトレードすることで、ベンダーの購入画面からアイテムを購入することではありません。","거래 조합을 완료하여 다음 아이템을 전부 받으십시오. 거래 조합은 상인의 구입 화면에서 아이템을 살 때가 아니라, 특정 조합에 해당하는 아이템들을 상인과 거래할 때 이루어집니다.","Complete receitas de vendedores para receber cada um dos seguintes itens. Uma receita de vendedor é quando você troca uma combinação específica de itens com um vendedor, não quando você compra itens de sua loja.","Соберите вещи на обмен по рецептам торговцев и получите по одному из перечисленных предметов. Под рецептом торговца понимается определенная подборка вещей, которые предлагаются торговцу, а не покупаются через его окно торговли.","Completa recetas de venta para recibir cada uno de los siguientes objetos. Una receta de venta se logra cuando intercambias una combinación específica de objetos con un vendedor, no cuando compras objetos en su ventana de compra.","ทำ​การ​ขาย​ของ​ตาม​สูตร​ขาย​ของ​เพื่อ​ให้​ได้​ไอเทม​ดัง​ต่อ​ไป​นี้ สูตร​ขาย​ของ​คือ​การ​ขาย​ของ​ให้​กับ​ผู้​ค้าขาย​ตาม​รูป​แบบ​เฉพาะ​ที่​จะ​ทำให้​ได้​รับ​ไอเทม​พิเศษ ไม่ใช่​การ​ซื้อ​ไอเทม​จาก​ผู้​ค้า​ขาย​โดย​ตรง","執行各個以下的商人配方，以獲得相對應的物品。商人配方是指將特定組合的物品交易給商人，而不是從購買畫面中購買物品。",46546,"","","",0,"","","","","","",""
1367,"AncestralUseCurrencyItems","Crucial Construction","Construction Cruciale","Kritische Konstruktion","正念場の創生","굳건한 구조물","Construção Crucial","Ключевое конструирование","Construcción crucial","สร้างเสริมสิ่งสำคัญ","重大建設",54,"Use each of the following Currency items.","Utilisez chacun des Objets monétaires suivants :","Benutzt jeden der folgenden Währungsgegenstände.","以下の各カレンシーアイテムを使用せよ。","다음 화폐 아이템을 사용하십시오.","Use cada um dos seguintes itens Monetários.","Используйте каждый из перечисленных видов валюты.","Usa cada uno de los siguientes objetos monetarios.","ใช้ ไอเทม​เงินตรา ดัง​ต่อ​ไป​นี้","使用以下每種通貨道具。",55421,"","","",0,1,"","","","","",""
1368,"AncestralLeagueChallenge5","Tasalio's Traditional Tributes","Tributs Traditionnels de Tasalio","Tasalios traditionelle Tribute","タサリオの伝統的貢物","타살리오의 전통적인 공물","Tributos Tradicionais de Tasalio","Традиционные таинства Тасалио","Tributos tradicionales de Tasalio","เทิดทูนธรรมเนียมแห่งทาซาลีโอ","塔薩里奧的傳統貢品",54,"Use any 18 of the following Tattoos or Omens.","Utilisez 18 Tatouages ou Présages parmi les suivants :","Benutzt 18 der folgenden Omen oder Tätowierungen.","以下の中からいずれか18種類のタトゥーまたはお告げを使用せよ","다음 문신 또는 징조 중 18개를 사용하십시오.","Use quaisquer 18 das seguintes Tatuagens ou Presságios.","Используйте любые 18 из перечисленных татуировок или предсказаний.","Usa 18 de los siguientes tatuajes o augurios.","ใช้ ลายสัก​หรือ​ลาง​บอก​เหตุ อย่าง​น้อย 18 อย่าง​ดัง​ต่อ​ไป​นี้","使用以下任何 18 種紋身或預兆。",30791,"","","",18,1,"","","","","",""
1369,"AncestralCompleteUniqueMaps","Remarkable Realms","Royaumes Remarquables ","Reichhaltige Reiche","注目すべき領域","영묘한 영역","Reinos Reluzente","Примечательные реальности","Reinos regios","ดินแดนโดดเด่น","卓越的領域",54,"Complete each of the following Unique Maps.","Terminez chacune des Cartes uniques suivantes :","Schließt jede der folgenden einzigartigen Karten ab.","以下の各ユニークマップを完了せよ。","다음 고유 지도를 전부 완료하십시오.","Complete cada um dos seguintes Mapas Únicos.","Завершите все перечисленные уникальные карты.","Completa cada uno de los siguientes mapas únicos.","ผ่าน แผนที่​ยูนิค ดัง​ต่อ​ไป​นี้","完成以下每個傳奇地圖。",29488,1,"","",0,1,"","","","","",""
1370,"AncestralSanctumToCore","Sanctimonious Seclusion","Sanctuaires Saugrenus","Heuchlerische Herätiker","聖人ぶった隔絶地","은밀한 은거","Isolamento Ilusório","Святошеское схимничество","Soledad santificadora","สถานสันโดษแสร้งศักดิ์สิทธิ์","虔誠的隔離",54,"Complete each of the following Sanctum encounters in level 81 or higher areas.","Achevez chacune des rencontres de Sanctuaire suivantes dans des zones de niveau 81 (ou plus) :","Schließt jede der folgenden Sanctum-Begegnungen in Gebieten der Stufe 83 oder höher ab.","レベル81以上のエリアで以下の各サンクタムエンカウンターを完了せよ。","81레벨 이상의 지역에서 다음 성역 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes encontros Sanctum em áreas de nível 81 ou superior.","Выполните перечисленные действия в Святилище в областях 81 уровня или выше.","Completa cada uno de los siguientes encuentros del Santuario prohibido en áreas de nivel 81 o superiores.","ผ่าน​การ​เผชิญหน้า เทวสถาน ดัง​ต่อ​ไป​นี้​ใน​ด่าน​เลเวล 81 ขึ้นไป","在 81 級或更高級別區域內完成以下每個聖域事件。",64518,"","","",0,"",1,"","","","",""
1371,"AncestralCorruptItems","Completely Complicit Corruption","Corruption Complètement Complice","Völlig verkommene Verderbtheit","完全に共謀したコラプション","탁한 타락","Corrupção Completamente Camarada","Окончательное осквернение","Corrupción completamente cómplice","ตรึกตรองตั้งใจใส่มลทิน","完全共犯腐敗",54,"Corrupt items to achieve each of the following outcomes.","Corrompez des Objets afin d'obtenir chacun des résultats suivants :","Verderbt Gegenstände und erzielt jedes der folgenden Ergebnisse.","アイテムをコラプトし以下の各結果を得よ。","아이템을 타락시켜 다음 결과를 전부 얻어내십시오.","Corrompa itens para conseguir qualquer um dos seguintes resultados.","Оскверните предметы, получив каждый из перечисленных результатов.","Corrompe objetos para conseguir cada uno de los siguientes resultados.","ใส่​มลทิน​ให้​กับ​ไอเทม เพื่อ​ให้​เกิด​ผลลัพธ์​ดัง​ต่อ​ไป​นี้","汙染物品以達到以下每個結果。",21196,1,"","",0,"","","","","","",""
1372,"AncestralCrossContamination","Cross Contamination","Contamination Croisée","Kreuzkontamination","交差するコンタミネーション","교차 감염","Contaminação Cruzada","Перекрёстная порча","Contaminación cruzada","ปนเปื้อนปนเป","交叉污染",54,"Complete any four of the following past league content encounters.","Accomplissez 4 rencontres provenant de ligues passées parmi les suivantes :","Schließt 4 der folgenden Begegnungen mit Inhalten vergangener Ligen ab.","以下の中からいずれか4つの過去リーグコンテンツエンカウンターを完了せよ。","다음 이전 리그 콘텐츠 인카운터 중 4개를 완료하십시오.","Complete quaisquer quatro dos seguintes encontros com conteúdos de ligas passadas.","Выполните любые четыре из перечисленных действий в прошлых лигах.","Completa cuatro de los siguientes encuentros de ligas del pasado.","ผ่าน​การ​เผชิญหน้า เนื้อหา​ลีก​ใน​อดีต อย่าง​น้อย 4 อย่าง​ดัง​ต่อ​ไป​นี้","完成以下四個先前聯盟內容事件中的任意四個。",19643,"","","",4,"","","","","","",""
