"rownum","string","string","string","string","i32","[i32]"
43,"GamepadTargetingCustomOptionPriortiseCombatDirectionDesc","{0}\r\nAuto-targeting priortises your {2} move direction.\r\n\r\n{1}\r\nAuto-targeting priotises targets in the direction your character is facing.","","",-1402799092,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
44,"GamepadTargetingModeTitleAuto","Targeting Mode\r\n<bigger>{<valuedefault>{Automatic}}","","",-45190577,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
45,"GamepadTargetingAutoDescription","<subtitle>{Automatic (recommended)}\r\nSwitch between Ranged and Melee modes automatically depending on your weapon and skills. \r\n\r\n<italic>{<subtitle>{Skills which change targeting modes}}","","",-1138268282,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
46,"QuickMoveToRelicsInventory","Place Relic","","",136701853,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
47,"ConsoleActionToggleItemAdvancedInfo","Toggle Advanced Info","","",124735499,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
48,"GamepadSettingAdvancedInfoOnPromotePopup","Advanced Info on Inspect","","",-568220610,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
49,"GamepadSettingAdvancedInfoOnPromotePopupDesc","Show advanced information when entering Inspect Mode.","","",-107684687,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
50,"GamepadTargetingOptionMeleeDefaultTag","(Default for Melee)","","",770267387,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
51,"GamepadTargetingOptionRangedDefaultTag","(Default for Ranged)","","",-300818620,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
52,"UISettingsHideCharmBar","Hide Charm Display","","",545010221,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
53,"WorldScreenContentListTitle","Points Of Interest","","",1836105055,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
54,"WorldScreenContentListCompletedSubtitle","Completed","","",-743402916,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
55,"WorldScreenNodeInfoPrompt","Show Points of Interest","","",-455540015,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
56,"GamepadHighlightOffTitle","Label Visibility Off","","",-530125987,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
57,"GamepadActionToggleHighlight","Toggle Label Visibility","","",542029058,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
58,"GamepadHelpToggleHighlightUnbound","<bigger>{<<gamepad_toggle_highlight>>} Bind action to show all labels.","","",-444445578,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
59,"GamepadTargetingCustomOptionLargeSelectionAreaOffTitle","Precise","","",-1670312222,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
60,"GamepadTargetingCustomOptionDistanceWeightingOffTitle","Off","","",-1721775681,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
61,"GamepadTargetingCustomOptionAimOverrideSoftlockOffTitle","Off","","",-2121452870,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
62,"GamepadTargetingCustomOptionPriortiseCombatDirectionOffTitle","Move Direction","","",291913783,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
63,"GamepadTargetingCustomOptionLargeSelectionAreaOnTitle","Wide","","",-1407053595,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
64,"GamepadTargetingCustomOptionDistanceWeightingOnTitle","On","","",-1480181943,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
