"rownum","Id","Term","Definition","string"
270,"AtlasDifficulty","Difficulty","Difficulty causes monsters to have increased damage and life, as well as improving the items they drop.\r\n\r\nCertain Bosses with increased difficulty will gain new abilities and begin to drop exclusive items, and have a reduced number of [LimitedRespawn|Respawn Attempts].\r\n\r\nDifficulty above 4 has no additional effect.",""
271,"LimitedRespawn","Revival Availability","Most endgame content allows for a limited number of deaths before you can no longer access the area. Most areas allow unlimited leaving and re-entry for other reasons except while fighting a boss.\r\n\r\nOn death during a boss fight, the [MapOwner|Map Owner] may respawn all players into a new instance of the area to attempt the boss fight again.\r\n\r\nThe number of modifiers on a [Waystone] will reduce the number of Revivals available allowed when opening a Map. For pinnacle endgame content, increased [AtlasDifficulty|Difficulty] will reduce the number of Revivals available.",""
272,"MapBoss","Map Boss","Maps will occasionally contain a Map Boss. These Map Bosses are extremely powerful monsters that have special mechanics and drop greatly increased rewards.\r\n\r\nMap Bosses frequently drop Maps one Tier higher.",""
273,"WakingNightmare","Waking Nightmare","This [Debuff|Debuff] causes you take 10% increased damage and have 10% reduced Light Radius for 10 seconds per stack.",""
274,"Toughness","Toughness","The higher toughness a monster has, the less damage it takes. A monster with 100% increased Toughness takes 50% less damage, a monster with 200% increased toughness takes 67% less damage, and so on. Reduced toughness causes monsters to take more damage.",""
275,"AilmentSpread","Spreading Ailments","Spreading an ailment inflicts a new, matching ailment on another target, from the same source. The new ailment can potentially spread further, but never back to the same target twice.",""
276,"DanceWithDeath","Dance with Death","25% more [SkillSpeed|Skill Speed] while Off Hand is empty and you have a [One-Handed] [MartialWeapon|Martial Weapon] equipped in your Main Hand.",""
277,"Contributes","Damage Contributing to Ailments","By default, specific [Ailments] are calculated based on only specific [DamageTypes|damage types], such as only the [Fire] damage of a [HitDamage|Hit] mattering when inflicting [Ignite].\r\n\r\nAllowing another damage type to contribute to an [Ailments|Ailment] means that all damage of the relevant types is summed when performing calculations for that [Ailments|Ailment].\r\n\r\nFor [Ailments] that use [HitDamage|Hit] damage to determine [Ailments|Ailment] chance or buildup, this means that the damage type becomes capable of inflicting that [Ailments|Ailment]. For [Ailments] that only use [HitDamage|Hit] damage to determine [Ailments|Ailment] [BuffMagnitude|Magnitude] (i.e. [Bleeding] and [Poison]), you still need a way to apply those [Ailments] (e.g. a source of [Bleeding] or [Poison] chance).",""
278,"WeaponSetPassiveSkillPoints","Weapon Set Passive Skill Points","Weapon Set Passive Skill Points can be allocated in each of your Weapon Set Passive Trees, including your default Passive Tree.",""
279,"RunicInscription","Runic Inscriptions","Certain Skills which create Areas of Effect on the ground create Runic Inscriptions when doing so. Various effects such as Support Gems and Unique Items can interact with these Inscriptions to cause many different effects.",""
280,"Offering","Offering Skills","Offering Skills target an active Skeleton [Minion] to create an Offering Spike. Offering Spikes grant various [Buff|Buffs] to you or your [Minion|Minions], and can even directly damage Enemies. Offering Skills are themselves damageable [Minion|Minions] and their [Buff|Buffs] are lost if they die.",""
281,"Payoff","Payoff Skills","Payoff Skills have powerful extra affects when [HitDamage|Hitting] enemies inflicted with specific [Debuff|Debuffs], often [Consume|Consuming] the [Debuff] in the process. Payoff Skills cannot inflict the [Debuff] they interact with.",""
282,"Grenade","Grenade Skills","Grenade Skills are only usable when wielding a [Crossbow]. They have cooldowns, but generally deliver high damage or powerful utility.\r\n\r\nGrenade Skills have a fuse duration and will generally not explode until the fuse has expired, so they are strongest when you aim carefully and predict enemy movements.\r\n\r\nGrenades cannot [Fork] or [Chain].",""
283,"StunRecovery","Stun Recovery","Increasing your Stun Recovery causes you to recover more quickly from being [Stun|Stunned].",""
284,"GraspingVines","Grasping Vines","Grasping Vines is a stacking [Debuff] that [Slow|Slows] character movement speed by 8% for each stack applied.",""
285,"Enraged","Enraged","Enraged is a [Buff] that grants 25% [Toughness] and 25% increased damage.",""
286,"Volatiles","Volatiles","Volatiles are homing orbs which move towards a target before exploding after a duration or when they get close enough, dealing damage in a larger area. ",""
287,"Petrify","Petrify","Petrify is a [Debuff] which causes targets to become covered in stone and unable to move or act.",""
288,"Rune","Runes","Runes can be socketed into Weapons or Armours with a Rune Socket to add an additional modifier to the item, as listed on the Rune. Once socketed, a Rune cannot be removed.",""
289,"AlternateStrengthBonus","Black Scythe Training","Gain no inherent bonus from [Strength]\r\n1% increased [EnergyShield|Energy Shield] per 2 Strength",""
290,"KeystoneAlternateDexterityBonus","Circular Teachings","Gain no inherent bonus from [Dexterity]\r\n1% increased [Armour|Armour] per 2 Dexterity",""
291,"KeystoneAlternateIntelligenceBonus","Knightly Tenets","Gain no inherent bonus from [Intelligence]\r\n1% increased [Evasion|Evasion Rating] per 2 Intelligence",""
292,"SacredWater","Sacred Water","Sacred Water is a resource you find within the Trial of the Sekhemas. It is used to purchase [Boons] from merchants and venerate Maraketh Shrines, granting you various effects within the Trial.",""
293,"Boons","Boons","Boons are positive effects that are applied to the Trial of the Sekhemas; making them easier to run.\r\nBoons can be gained from certain Maraketh Shrines or from buying them from the Trial Merchant using [SacredWater|Sacred Water].\r\nBoons can be either Minor or Major, providing varying benefits to your Trial.",""
294,"Afflictions","Afflictions","Afflictions are negative effects that are applied to the Trial of the Sekhemas; making them harder to run.\r\nAfflictions will be applied for entering certain rooms in the Trial or from encountering certain Maraketh Shrines.\r\nAfflictions can be either Minor or Major, providing varying negative effects to your Trial.",""
295,"Enfeeble","Enfeeble","Enfeeble is a [Curse] that lessens the damage dealt by those affected. If not otherwise specified, Enfeeble lessens damage dealt by unique targets by 10%, and other targets by 20%.",""
296,"BindingChains","Binding Chains","Binding Chains is a stacking [Debuff] that [Slow|Slows] character movement speed by 8% for each stack applied.",""
297,"SekhemaKeys","Trial of the Sekhema Keys","Bronze, Silver or Gold Keys are sometimes awarded for completing rooms or for killing monsters within the Trial of the Sekhemas. After completing each floor of the Trial there will be an assortment of Bronze, Silver and Gold caches which can be opened by their respective key, revealing treasures within.",""
298,"Relic","Relics","Relics are items that are placed in the Relic Altar before the start of the Trial of the Sekhemas.\r\nRelics influence various aspects of the Trial to make it easier. Your Relics persist between Trials.\r\nSelected Relics cannot be changed while you have an active Trial.\r\nRelics have varying dimensions, so arrange them carefully to maximise your benefits.\r\nYou can unlock more Relic slots by killing bosses deeper into the Trials.\r\nSpare Relics can be stored in the Relic Locker or any of your personal stash tabs.",""
299,"SlowMagnitudeModifier","Slow Magnitude Modifier","This is modifier applies to [Debuff|Debuffs] you inflict that [Slow|Slow] enemies, and scales only the specific [BuffMagnitude|Magnitude] that slows the target. It will not affect any other [BuffMagnitude|Magnitudes] that [Debuff] has if it does other things in addition to the [Slow].",""
300,"HighInfernalFlame","High Infernal Flame","You are on High Infernal Flame if you have 65% of your maximum Infernal Flame or more.",""
301,"PurpleFlamesOfChayula","Purple Flame of Chayula","Purple Flames of Chayula provide a stacking [Buff] granting 7% of damage as extra [Chaos] damage. Stacks up to 10 times.",""
302,"SkillSpeed","Skill Speed","Affects the speed at which all Skills are used. Increases and reductions to Skill Speed stack additively with increases and reductions to [Attack] Speed, [Spell|Cast] Speed, [Warcry] Speed, and similar stats.",""
303,"WildwoodWisp","Wildwood Wisp","Wildwood Wisps grant 50% increased Tribute Gained to Players within 3 metres of it.",""
304,"CloseRange","Close Range","Close Range is anywhere within 2 metres of your character. Normally, [Melee] [Attack|Attacks] you make are in Close Range.",""
305,"Unleash","Unleash","Unleash is an effect that allows [Spell|Spells] to accumulate Seals that allows the [Spell] to reoccur when being cast. There is a limit of 2 Seals per [Spell].",""
306,"Link","Link Skills","Link Skills are Skills that allow you to link to your [Allies] to provide them with [Buff|Buffs] while you are within a certain distance of them.",""
307,"Guard","Guard","Guard is a [Buff] that absorbs damage from [HitDamage|Hits], taking the damage before your Life or [EnergyShield|Energy Shield] until depleted.",""
308,"ContainsMapBoss","Map Boss","Area contains a deadly [MapBoss|Map Boss]. ",""
309,"ContainsDelirium","Delirium","Maps containing a Delirium Mirror can have the mirror walked through to unleash the rolling Delirium fog ring across the current area. \r\nYou must stay within this fog as it expands to maintain the [Delirious|Delirium] or it will dissapear.\r\n\r\nDefeating any monster while in this fog adds to a rewards counter, with the culminated rewards being dropped after the fog dissapears.\r\nSimulacrum Splinters can be collected from Delirium Monsters to form a Simulacrum that allows access to a challenging Delirium encounter via the [Realmgate].\r\n\r\nMaps instilled with [DistilledEmotion|Distilled Emotions] will have constant Delirium Fog throughout the map, and not have any rewards that drop as Delirium fog does not dissapear in these maps.",""
310,"ContainsExpedition","Expedition","Expeditions are Ancient Kalguuran burial sites, with hidden artifacts and dangers buried beneath the ground.\r\nHelp the Kalguuran Settlers set up a chain of explosives and unearth the treasures, but beware of the dangers that hide in wait. \r\nRemnants can also be detonated to add modifiers to the rest of the Expedition encounter; making them harder but more rewarding.\r\n\r\nExpedition monsters and chests will occasionally drop Artifacts that can be traded at the Kalguuran Settlers for items.\r\nVendor Refresh Currencies can also occasionally drop which allow for the refreshing of Kalguuran Settler shops.",""
311,"ContainsBreach","Breach","A Breach is a tear in the fabric of reality. Opening it will allow you to see and interact with monsters from another dimension.\r\nThe faster you can defeat these monsters, the longer you will keep the Breach open.\r\n\r\nBreaches will sometimes have Clasped Hands, which drop items when walked over. \r\nBreach Splinters can be collected from Clasped Hands and defeated Breach monsters to form a Breachstone that allows access to the Twisted Domain via the [Realmgate].",""
312,"ContainsRitual","Ritual","Ritual Altars are sacrificial sites that absorb the monsters slain within their ritual circles. After an amount of monsters have been slain, the Ritual can be activated.\r\nActivating the Ritual will resurrect the slain monsters, requiring you slay them once more. \r\n\r\nDefeating these revived monsters earns you Tribute, a resource that you can trade for various Favours from the Ritual Altar. \r\nThe list of Favours tradable for Tribute can be rerolled, costing Tribute.\r\nFavours can be deferred, paying a part of their cost but having them appear again later.",""
313,"ContainsIrradiated","Irradiated","Area has +1 to Monster Level.",""
314,"PrecursorTablet","Precursor Tablets","Precursor Tablets are special items that can be consumed by completed [PrecursorTower|Precursor Towers] to add more Endgame Mechanics to surrounding maps on your Atlas.",""
315,"Waystone","Waystones","Waystones are items that can be used to travel to Maps on the Atlas. \r\nWaystones come in different tiers, with higher tiers meaning higher level monsters to fight.\r\nWaystones can be modified to increase the difficulty and reward of the monster encountered in maps.",""
316,"Essence","Essence","Essence monsters are powerful monsters trapped in crystallised corruption.\r\nBreaking these monsters free allows them to be defeated, dropping the Essence that can then be used to modify equipment.",""
317,"Shrine","Shrine","Shrines are Precursor Artifacts that empower monsters with its [Presence] with various effects.\r\nDefeat all the monsters surrounding the Shrine and interact with it to temporarily gain the power for yourself.",""
318,"Strongbox","Strongbox","Strongboxes are locked chests that contain various items.\r\nAttempting to unlock a Strongbox will unleash packs of monsters that must be defeated in order to get the items within.\r\nStrongboxes can be modified to increase the difficulty and reward of the monsters and rewards within respectively.",""
319,"PrecursorTower","Precursor Towers","Precursor Towers are ancient structures that are scattered all throughout the Atlas. Precursor Tower Maps can be completed to reveal a large area around them and allow for the use of a [PrecursorTablet|Precursor Tablet], modifying the Maps in an area around it.\r\n\r\nCompleting a Precursor Tower requires you to activate the Precursor Beacon.",""
320,"FracturingMirror","Fracturing Mirrors","Fracturing Mirrors are structures found in [ContainsDelirium|Delirium] Fog that shatter when you get near them, spawning [ContainsDelirium|Delirium] monsters.",""
321,"Acrobatics","Acrobatics","Can [Evasion|Evade] all Hits\n75% less [Evasion] Rating",""
322,"BasicJewel","Basic Jewel","Basic Jewels do not affect nodes in a radius.\nBasic Jewels are Rubies, Emeralds, Sapphires and Diamonds.",""
323,"Realmgate","The Realmgate","The Realmgate is a piece of Vaal Technology which allows the use of Atlas mechanic keys; accessing deadly areas and facing off against powerful enemies.",""
324,"ReliquaryVault","The Reliquary Vault","The Reliquary Vault is a Vaal Vault which can be accessed by using Reliquary Keys found throughout the Atlas.",""
325,"ContainsCorruption","Corruption","Contains Corruption, which may add an additional modifier to the area.\r\n\r\nCorrupted Areas cause slain monsters to [CoalescedCorruption|Coalesce Corruption] to manifest powerful monsters.",""
326,"ContainsUniqueMap","Unique Map","Contains a [Rarity|Unique] Map layout which may contain specialised rewards.\r\n\r\nUnique Maps cannot gain additional content, [Essence|Essences], [Shrine|Shrines], or [Strongbox|Strongboxes].",""
327,"ContainsHideout","Hideout","Contains a Hideout that can be fully cleared to unlock the Hideout for personal use.\r\n\r\nAll monsters in the area are at least [Rarity|Magic].",""
328,"ContainsWanderingTrader","Wandering Trader","Contains a Wandering Trader who may offer you powerful rewards.",""
329,"CopperCitadel","Copper Citadel","The Copper Citadel is an endgame area which can be accessed with a Tier 15 or above [Waystone]. The boss of this area will drop a Crisis Fragment.\r\n\r\nIncreases to [Waystone] Drop Chance gives a chance for additional Crisis Fragments to drop.",""
330,"IronCitadel","Iron Citadel","The Iron Citadel is an endgame area which can be accessed with a Tier 15 or above [Waystone]. The boss of this area will drop a Crisis Fragment.\r\n\r\nIncreases to [Waystone] Drop Chance gives a chance for additional Crisis Fragments to drop.",""
331,"StoneCitadel","Stone Citadel","The Stone Citadel is an endgame area which can be accessed with a Tier 15 or above [Waystone]. The boss of this area will drop a Crisis Fragment.\r\n\r\nIncreases to [Waystone] Drop Chance gives a chance for additional Crisis Fragments to drop.",""
332,"TheBurningMonoilth","The Burning Monolith","The Burning Monolith houses the most dangerous foe in all of Wraeclast. \r\nAccess to this foe requires three different Crisis Fragments from the [CopperCitadel|Copper], [IronCitadel|Iron] and [StoneCitadel|Stone] Citadels.",""
333,"MapNode","Map Node","This represents a Map. A [Waystone] can be used to access it. \r\n\r\nIf you fail to complete the Map, it may be attempted again but will not contain additional content, [Essence|Essences], [Shrine|Shrines], or [Strongbox|Strongboxes]. It will not be [ContainsCorruption|Corrupted] and cannot be influenced by [PrecursorTower|Precursor Towers].\r\n\r\nMaps between Tier 6 and Tier 10 have an additional 10% penalty to [ElementalDamage|Elemental] [Resistances].\r\n\r\nMaps between Tier 11 and Tier 16 have an additional 10% penalty to [ElementalDamage|Elemental] [Resistances].\r\n\r\nTo complete a Map, defeat all [Rarity|Rare] Enemies. In Maps with [MapBoss|Bosses], you must additionally defeat the [MapBoss|Boss] to complete it.",""
334,"CooldownRecovery","Cooldown Recovery Rate","Cooldown Recovery Rate modifies the speed at which your Skill cooldowns are restored. For example, with 100% increased Cooldown Recovery Rate your Skill cooldowns will effectively be halved.\r\n\r\nCooldown Recovery Rate does not affect anything other than Skill cooldowns.",""
335,"Jewel","Jewels","Jewels are items that can be socketed into Jewel Sockets on the Passive Skill Tree to grant bonuses. Basic Jewels simply grant you the listed stats, while some other kinds of Jewel can have more complicated effects, such as modifying other Passive Skills within a certain radius.",""
336,"IronGrip","Iron Grip","Gain no inherent bonus from [Strength]\r\n1% increased [Projectile] [Attack] damage per 2 [Strength]",""
337,"IronWill","Iron Will","Gain no inherent bonus from [Strength]\r\n1% increased [Spell] damage per 2 [Strength]",""
338,"SoulEater","Soul Eater","Gain 1% increased [SkillSpeed|Skill Speed] for 4 seconds when an enemy dies in your [Presence], stacking up to 50 times. A stack is lost every 0.5 seconds if one has not been gained within the past 4 seconds.",""
339,"Leech","Leech","Leech can recover [LifeLeech|Life], [ManaLeech|Mana], or [EnergyShieldLeech|Energy Shield] over time, usually as a result of [HitDamage|Hitting] an enemy and based on the damage of the [HitDamage|Hit].",""
340,"Historic","Historic Jewels","You can only have one Historic Jewel socketed.",""
341,"Catalyst","Catalysts","Catalysts are Currency items that are exclusive drops from the [ContainsBreach|Breach] mechanic. Catalysts add [Quality] that affect certain modifiers on Ring and Amulet equipment.",""
342,"Omen","Omens","Omens are Currency items that are exclusive drops from the [ContainsRitual|Ritual] mechanic. Omens enable exclusive meta-crafting effects, allowing for more specialised crafting.",""
343,"Logbook","Logbooks","Logbooks are items that are exclusive drops from the [ContainsExpedition|Expedition] mechanic. Logbooks can be taken to Dannig to open a special area that is one very large [ContainsExpedition|Expedition Encounter]. ",""
344,"AudienceWithTheKing","Audience With The King","An Audience with the King is an item that is an exclusive drop from the [ContainsRitual|Ritual] mechanic. This item allows you to access the Crux of Nothingness via the [Realmgate].",""
345,"DistilledEmotion","Distilled Emotions","Distilled Emotions are Currency items that are exclusive drops from the [ContainsDelirium|Delirium] mechanic. Distilled Emotions allow you to instil an amulet with a Notable Passive Skill from the Passive Tree. Instilling a Notable Passive Skill which you have already allocated normally will not grant its effects a second time.\r\n\r\nMaps can also be instilled, adding various rewards while making them more challenging.",""
346,"Corrupted","Corrupted Items","Certain items can be found Corrupted or made Corrupted using a Vaal Orb, changing their properties unpredictably.\r\nMost methods of item crafting and modification cannot be used on Corrupted items. There is no penalty for using Corrupted items.",""
347,"Mirrored","Mirrored Items","Certain items can be found Mirrored or made Mirrored using a Mirror of Kalandra.\r\nMirrored items are copies of an original item. Most methods of item crafting and modification cannot be used on Mirrored items.",""
348,"Hexproof","Hexproof","Hexproof means that you are [Unaffected] by [Curse|Curses].",""
349,"Runic","Runic","Runic Monsters are powerful monsters encountered in [ContainsExpedition|Expeditions].\r\nRunic Monsters are more commonly found by using explosives on larger [ContainsExpedition|Expedition] markers.",""
350,"CoalescedCorruption","Coalesced Corruption","Monsters slain close together have a chance to merge together and manifest powerful Monsters.",""
351,"PerfectTiming","Perfect Timing","Certain [Channelling] skills have extra effects and benefits if released within a certain timing window while using the skill.\r\nCertain support gems and items can modify the duration of that timing window.",""
352,"Limit","Limit","Certain skills can only have a limited number of effects active at once.\r\nIf a new effect is created while at the maximum number of effects, the oldest effect will dissapear.\r\nCertain support gems and items can modify skill effect limits.",""
353,"SoulEaterMonster","Monster Soul Eater","Monsters with Soul Eater gain 1% increased [SkillSpeed|Skill Speed] and 1% less damage taken for 4 seconds when a monster dies in their [Presence], stacking up to 50 times. A stack is lost every 0.5 seconds if one has not been gained within the past 4 seconds.",""
354,"Remnant","Remnants","Remnants are lingering objects in the world which can be collected for various bonuses. These are generally created by persistent [Spirit] Reserving Skills, and will do things like recovering your Life, temporarily boosting your [EnergyShield|Energy Shield] or restoring Mana.",""
355,"AscendancyPoints","Ascendancy Points","Ascendancy Passive Skill Points can be allocated in your Ascendancy Skill Tree once you have chosen your Ascendancy. Your Ascendancy class is unlocked by completing any Ascension Trial. In order to change your Ascendancy, you must complete an Ascension Trial to the furthest extent you have successfully already done so, and then interact with the Ascendancy Altar while you have no Ascendancy Passive Skill Points currently assigned. Trialmaster and Balbala will offer the ability to refund passive points while in rooms with Ascendancy Altars to facilitate this.\r\n\r\nYou can obtain 4 sets of 2 Ascendancy Points for a total of 8 in the following ways:\r\nSet 1 - Completing floor 1 of the Trial of the Sekhemas or completing the Trials of Chaos with at least 7 Trials\r\nSet 2 - Completing floor 2 of the Trial of the Sekhemas or completing the Trials of Chaos\r\nSet 3 - Completing floor 3 of the Trial of the Sekhemas or completing the Trials of Chaos with at least 10 Trials\r\nSet 4 - Completing floor 4 of the Trial of the Sekhemas or completing the secret challenge behind the locked door in the Trials of Chaos",""
356,"HonourResistance","Honour Resistance","You lose this much less [Honour].\r\nMaximum Honour Resistance is capped at 75% by default and cannot be higher than 90%.",""
357,"GainsStages","Stage-Gaining Skills","Skills can gain Stages passively or while attacking/casting them, depending on the Skill in question.\r\n\r\nStages gained for a given skill apply to that instance of the Skill and will not carry over from one area to another.",""
358,"PrimedPin","Primed for Pin","Normal enemies are Primed for [Pinned|Pin] when they have at least 40% [Pinned|Pin] buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.",""
359,"Infusion","Elemental Infusions","Elemental Infusions are consumed when you use a non-[Melee] [Projectile] [Attack] to Infuse the [Projectile|Projectiles] fired by that [Attack]. Infused [Projectile|Projectiles] trigger an Infused Blast when they reach the end of their flight.\r\n\r\nYour weapon can have a maximum of 6 of each type of Infusion active by default. Infusions last 15 seconds. Infusions are specific to your current weapon, so do not affect non-weapon damage and are not carried over if you weapon swap.\r\n\r\n[Projectile|Projectiles] which [Split] or [Fork] from an Infused [Projectile] do not gain the benefits of Infusion.",""
360,"ChaosInfusion","Chaos Infusion","Chaos Infusion behaves identically to [Infusion|Elemental Infusions], but causes a [Chaos] blast.",""
361,"Banner","Banner Skills","Banner Skills generate [Valour] while carried, and can be placed to create powerful [Buff|Buffing] Areas which are more powerful the more [Valour] was consumed on placement.",""
362,"Conditional","Conditional Usage","Skills which are Conditional require some sort of condition to be met before they can be used. [Combo] is an example of this, but almost anything can be a condition, such as having to have killed a certain number of enemies [Recently] or having to have moved a certain distance.",""
363,"Whirlwind","Whirlwinds","Whirlwinds [Blind] and [Slow] the movement speed of enemies within them.  If their creator crosses the edge of the Whirlwind it collapses, damaging and [Knockback|Knocking Back] enemies caught inside. The collapse deals [Melee] damage.\r\n\r\nTrying to create a Whirlwind that would overlap with an existing Whirlwind instead moves the existing Whirlwind and grants it a stage, making it larger and more damaging.\r\n\r\nA Whirlwind that overlaps an allied [ElementalGround|Elemental Ground Surface] takes on that element, gaining 50% of damage as the corresponding type and applying the Ground Surface's debuff to enemies inside the Whirlwind.",""
364,"Volatility","Volatility","Volatility detonates after 4 seconds, dealing 100 [Physical] Damage to you per Volatility. For 10 seconds after detonation, you [Gain] 1% of Damage as [Chaos] for each Volatility which detonated. The detonation timer will reset on gaining another stack of Volatility.\r\n\r\nVolatility can be gained once every 0.1 seconds, and Volatility does not normally have a maximum (though some effects can set one).",""
365,"Bloodstained","Bloodstained","While [Bleeding] enemies build up Bloodstained, gaining the Bloodstained [Debuff] after Bleeding for a total of 6 seconds. Bloodstained builds up 100% faster if the [Bleeding] enemy is moving or the Bleed is [Aggravate|Aggravated].\r\n\r\nCertain skills allow you to view the Bloodstained Debuff on enemies and can consume the Debuff for powerful effects.",""
366,"RevealWeakness","Revealing Weaknesses","Revealed Weaknesses are highlighted on enemy Life bars, and occupy a total of 45% of their maximum Life (but in random segments). While the enemy's current Life is within a highlighted segment, they are considered to have an Open Weakness.",""
367,"Resonance","Resonance","Resonance is a buff granted by the Trinity skill. There are three types of Resonance: Fire, Cold and Lightning. You can have a maximum of 100 of each type of Resonance.\r\n\r\nYou lose 5 Resonance per second of specific types if you haven't gained Resonance of that type in the past 8 seconds.",""
368,"Incision","Incision","Incision is a Debuff which causes the affected target to gain increasingly higher chance to be inflicted with [Bleeding] when [HitDamage|Hit]. All Incision stacks are removed when [Bleeding] is inflicted.\r\n\r\nEach stack of Incision applies 10% chance to be inflicted with [Bleeding] when [HitDamage|Hit]. A maximum of 10 Incision stacks can be present on a target at once.",""
369,"ThornsRetaliation","Retaliate with Thorns","Retaliating specifically refers only to the inherent ability to deal [Thorns] damage to enemies when they [HitDamage|Hit] you.\r\n\r\nSome effects may cause you to deal [Thorns] damage in other ways, but those are not Retaliation, and effects which specifically care about when you Retaliate will ignore them.",""
370,"Companion","Companions","Companions are a type of [Reviving] [Minion] that are more complex and powerful than typical [Minion|Minions]. By default you can only have one Companion of any type summoned at a time.",""
371,"MonsterCategory","Monster Category","Every Monster has exactly one Monster Category. These are Humanoid, Beast, Undead, Construct, Demon and Eldritch.\r\n\r\nCertain Skills interact with specific Monster Categories.",""
372,"Hobble","Hobble","Hobbling a target lowers their [Evasion] by a specified amount. If this brings that target's [Evasion] value to 0, they are fully Hobbled for 12 seconds.\r\n\r\nHobble from Players lowers [Evasion] by 3 times as much against Normal Monsters and 2 times as much against Magic Monsters.",""
373,"Hazard","Hazards","Hazards are objects created in the world (usually by some player skill) and which are destroyed when traversed by an enemy, dealing damage and/or applying some effect to the enemy which triggered the Hazard.",""
374,"UnholyMight","Unholy Might","Unholy Might is a [Buff] that grants 30% of all damage as [Gain|extra] [Chaos|Chaos Damage].",""
375,"Impale","Impale","Impale is a [Debuff] inflicted by [HitDamage|Hits], which stores 30% of the [Premitigation|Pre-mitigation] [Physical] [HitDamage|Hit damage] of the Impaling hit as its [BuffMagnitude|Magnitude].\r\n\r\nSubsequent [Attack] [HitDamage|Hits] against Impaled targets will Extract the Impale debuff. When this occurs, the stored damage of the Impale is added to the [Premitigation|Pre-mitigation] damage of that attack hit.\r\n\r\nA maximum of 60 Impale [Debuff|Debuffs] can be present on a target at once. If multiple Impales are present on a target, each [Attack] [HitDamage|Hits] only Extracts and benefits from the strongest one of them.",""
376,"BloodLoss","Blood Loss","All [Physical] damage over time taken by a target (including [Bleeding]) is accumulated as Blood Loss.",""
377,"PerfectionBuff","Perfection Buff","Perfection lasts for 10 seconds and can stack up to 4 times, granting 5% more Damage per stack. This Damage bonus is not limited to Skills Supported by Perfection Support.\r\n\r\nFailing to successfully execute any [PerfectTiming|Perfect Timing] will remove all Perfection stacks on you.",""
378,"KillingBlow","Killing Blow","A Killing Blow is any [HitDamage|Hit Damage] which successfully reduces a target to zero Life, killing them. Damage over time cannot cause Killing Blows.",""
379,"ForksCrit","Forking Critical Hits","Hits with this weapon roll against their [Critical|Critical Hit] chance twice when determining if they are a [Critical|Critical Hit].\r\n\r\nIf either roll succeeds, the hit will be a [Critical|Critical Hit], and thus the [CriticalDamageBonus|Critical Damage Bonus] will apply as normal.\r\n\r\nIf both rolls succeed, the hit will be a [Critical|Critical Hit], and the [CriticalDamageBonus|Critical Damage Bonus] will apply twice to that Hit.\r\n\r\nIf a modifier makes your Critical Hit Chance [Lucky], that Luck will apply individually to both of these rolls.",""
380,"Premitigation","Pre-mitigation Damage","Your Pre-mitigation Damage is the damage of your hits after all your modifiers to damage have been applied, but before the target's mitigation, such as [Armour], [Resistances] or [Block|Blocking], prevents any of that damage.\r\n\r\nThe target's modifiers to Damage taken apply after their mitigation, so Pre-mitigation Damage also does not include the effects of those modifiers. However, modifiers that cause the target to take damage as a different [DamageTypes|Type] occur before mitigating the damage, so are included in Pre-mitigation Damage.",""
381,"EasyTargetDebuff","Easy Target","Easy Target is a [Debuff] which causes the next [Projectile] [Attack] [HitDamage|Hit] against the affected target to deal increased Damage, at which point the [Debuff] is consumed.",""
382,"ExpectedKnockback","Expected Knockback","The Expected Knockback distance is the distance a target would be [Knockback|Knocked Back] were there nothing impeding that [Knockback], such as terrain, other entities, or other mitigating circumstances.",""
383,"RogueExile","Rogue Exile","Rogue Exiles are dangerous foes that wander Wraeclast and Maps. \r\nThey have access to the same Skills, Items, and Uniques that you do. This can make them very formidable opponents - however, if they can be defeated they will drop a full set of gear, including any [Rarity|Unique] equipment that they were using in combat.\r\nIf any Rogue Exile manages to defeat you, they will portal away, taking their equipment with them.",""
384,"AzmeriSpirit","Azmeri Spirit","Azmeri Spirits are the spirits of various Azmeri Animal Guardians. \r\nAzmeri Spirits appear as wisps that flee as you approch them. [Rarity|Normal or Magic] Monsters the Spirit comes into contact with become [SpiritTouched|Spirit-Influenced], making them more powerful. \r\nSometimes the Spirit will reach and [SpiritPossessed|Possess] a [Rarity|Rare or Unique] monster, making them substantially stronger and rewarding while occasionally summoning spiritual animals depending on the type of Animal Spirit they represent.\r\n[SpiritPossessed|Possessed] monsters are more rewarding depending on how many [SpiritTouched|Spirit-Influenced] monsters were defeated leading up to possession.",""
385,"SpiritPossessed","Possessed","A Possessed monster is a [Rarity|Rare or Unique] monster that has had an [AzmeriSpirit|Azmeri Spirit] enter and empower them. The possessed monster is empowered by the spirit and gains bonuses depending on the type of Spirit that possessed them. Occasionally the possessed monster will summon spiritual animals depending on the type of Animal Spirit they represent.\r\nPossessed monsters are more rewarding depending on how many [SpiritTouched|Spirit-Influenced] monsters were defeated leading up to possession.",""
386,"SpiritTouched","Spirit-Influenced","A Spirit-Influenced monster is a [Rarity|Normal or Magic] monster that has been passed through by an [AzmeriSpirit|Azmeri Spirit]. These monsters are empowered by the spirit and gain bonuses depending on the type of Spirit that passed through them. \r\nDefeating Spirit-Influenced monsters makes the resulting [SpiritPossessed|Possessed] monster more rewarding.",""
