"rownum","BaseItemTypesKey","Stacks","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","bool","CosmeticTypeName","Possession_AchievementItemsKey","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","rid","rid","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements"
2292,1888,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Spectre Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2293,1889,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Spectre Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2294,1890,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Spectre Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2295,1891,1,1,"grant_micro","","","Adds the Spectre Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2296,1892,1,1,"grant_micro","","","Adds the Spectre Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2297,1893,1,1,"modify_portal_variation","","","This character's portals use the Spectre Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2298,1894,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Spectre Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2299,1895,1,1,"grant_micro","","","Changes the appearance of any equipped Staff, Two Hand Sword, Axe or Mace to a Spectre Staff.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2300,1896,1,1,"grant_micro","","","Adds Spectre Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2301,1897,1,1,"grant_micro","","","Attaches the Spectre Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2302,1898,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Elder Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2303,1899,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Elder Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2304,1900,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Elder Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2305,1901,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Elder Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2306,1902,1,1,"grant_micro","","","Adds the Assassin Halo Helmet Attachment to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",1,[],[],[]
2307,1903,1,1,"grant_micro","","","Adds the Assassin Seer Helmet Attachment to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",1,[],[],[]
2308,1904,1,1,"modify_portal_variation","","","This character's portals use the Dragon Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",1,[],[],[]
2309,1905,1,1,"grant_micro","","","Adds the Undertaker Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2310,1906,1,1,"grant_micro","","","Adds the Undertaker Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2311,1907,1,1,"grant_micro","","","Adds the Undertaker Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2312,1908,1,1,"grant_micro","","","Adds the Master Undertaker Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2313,1909,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Master Undertaker Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2314,1910,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Master Undertaker Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2315,1911,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Master Undertaker Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2316,1912,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Master Undertaker Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2317,1913,1,1,"modify_portal_variation","","","This character's portals use the Soulstealer Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2318,1914,1,1,"grant_micro","","","Adds the Soulstealer Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2319,1915,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Master Soulstealer Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2320,1916,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Master Soulstealer Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2321,1917,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Master Soulstealer Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2322,1918,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Master Soulstealer Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2323,1919,1,1,"grant_micro","","","Adds the Master Soulstealer Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2324,1920,1,1,"grant_micro","","","Adds the Soulstealer Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2325,1921,1,1,"grant_micro","","","Adds the Pitfighter Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",1,[],[],[]
2326,1922,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Pitfighter Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2327,1923,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Pitfighter Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2328,1924,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Pitfighter Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2329,1925,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Pitfighter Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2330,1926,1,1,"grant_micro","","","Adds the Pitfighter Helmet Attachment to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",1,[],[],[]
2331,1927,1,1,"grant_micro","","","Adds the Pitfighter Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2332,1928,1,1,"grant_micro","","","Adds the Pitfighter Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",1,[],[],[]
2333,1929,1,1,"grant_micro","","","The Pitfighter Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",1,[],[],[]
2334,1930,1,1,"grant_micro","","","Adds the Assassin Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",1,[],[],[]
2335,1931,1,1,"grant_micro","","","Adds the Assassin Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2336,1932,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Assassin Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2337,1933,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Assassin Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2338,1934,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Assassin Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2339,1935,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Assassin Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2340,1936,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Assassin Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2341,1937,1,1,"grant_micro","","","Adds the Assassin Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",1,[],[],[]
2342,1938,1,1,"grant_micro","","","The Assassin Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",1,[],[],[]
2343,1939,1,1,"grant_micro","","","Adds the Vanguard Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2344,1940,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Vanguard Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2345,1941,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Vanguard Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2346,1942,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Vanguard Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2347,1943,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Vanguard Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2348,1944,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Vanguard Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2349,1945,1,1,"grant_micro","","","Adds the Vanguard Banner Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2350,1946,1,1,"grant_micro","","","Adds the Vanguard Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2351,1947,1,1,"grant_micro","","","The Vanguard Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2352,1948,1,1,"grant_micro","","","Adds the Empyrean Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2353,1949,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Empyrean Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2354,1950,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Empyrean Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2355,1951,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Empyrean Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2356,1952,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Empyrean Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2357,1953,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Empyrean Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2358,1954,1,1,"grant_micro","","","Adds the Empyrean Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2359,1955,1,1,"modify_portal_variation","","","This character's portals use the Empyrean Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2360,1956,1,1,"grant_micro","","","Adds the Empyrean Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2361,1957,1,1,"grant_micro","","","The Empyrean Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2362,1958,1,1,"grant_micro","","","Adds the Crucible Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2363,1959,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Crucible Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2364,1960,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Crucible Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2365,1961,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Crucible Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2366,1962,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Crucible Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2367,1963,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Crucible Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2368,1964,1,1,"grant_micro","","","Adds the Crucible Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2369,1965,1,1,"modify_portal_variation","","","This character's portals use the Crucible Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2370,1966,1,1,"grant_micro","","","Adds the Crucible Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2371,1967,1,1,"grant_micro","","","The Crucible Apparition possesses your amulet.",[],"","Amulet Effect","",[],[],0,"",0,"",2,[],[],[]
2372,1968,1,1,"grant_micro","","","Your Blade Vortex becomes a Sawblade Effect.",[],"","Blade Vortex Skin","",[],[],0,"",0,"","",[],[],[]
2373,1969,1,1,"grant_micro","","","Replaces the default skin on your Ancestral Warchief and Earthbreaker Totems with a Void version.",[],"","Ancestral Warchief Skin","",[],[],0,"",0,"",1,[],[],[]
2374,1970,1,1,"modify_portal_variation","","","This character's portals use the Doomcrow Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2375,1971,1,1,"grant_micro","","","Your Barrage becomes a Celestial Effect.",[],"","Barrage Skin","",[],[],0,"",0,"",1,[],[],[]
2376,1972,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Oriath Shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
2377,1973,1,1,"grant_micro","","","Changes the appearance of any equipped Staff, Two Hand Axe or Mace to a Colossus Axe.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2378,1974,1,1,"grant_micro","","","Adds the Arctic Crystal Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2379,1975,1,1,"grant_micro","","","Changes the appearance of any equipped Bow to the Arctic Crystal Bow.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2380,1976,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Demon Parasite Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2381,1977,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Demon Parasite Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2382,1978,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Demon Parasite Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2383,1979,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Demon Parasite Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2384,1980,1,1,"grant_micro","","","Adds the Demon Parasite Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2385,1981,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",1,[],[],[]
2386,1982,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2387,1983,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2388,1984,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2389,1985,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2390,1986,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2391,1987,1,1,"grant_micro","","","Attaches the Maraketh Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",3,[],[],[]
2392,1988,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Arctic Crystal Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
2393,1989,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Arctic Crystal Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
2394,1990,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Arctic Crystal Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
2395,1991,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Arctic Crystal Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
2396,1992,1,1,"grant_micro","","","Adds the Purple Crystal Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2397,1993,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Purple Crystal Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2398,1994,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Purple Crystal Boots.",[],"","Boots Skin","",[],[],0,"",0,"","",[],[],[]
2399,1995,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Purple Crystal Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
2400,1996,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Purple Crystal Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"","",[],[],[]
2401,1997,1,1,"grant_micro","","","Adds the Celestial Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2402,1998,1,1,"grant_micro","","","Attaches the Arctic Crystal Apparition Effect to your amulet",[],"","Amulet Effect","",[],[],0,"",0,"",1,[],[],[]
2403,1999,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Sin Shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
2404,2000,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Innocence Shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
2405,2001,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Sin and Innocence Shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
2406,2002,1,1,"grant_micro","","","Adds the Crimson Seraph Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"","",[],[],[]
2407,2003,1,1,"grant_micro","","","Adds the Void Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",1,[],[],[]
2408,2004,1,1,"grant_micro","","","Your Mirage Archer becomes a Stygian Effect.",[],"","Mirage Archer Skin","",[],[],0,"",0,"",1,[],[],[]
2409,2005,1,1,"grant_micro","","","Changes the appearance of any equipped Sword, One Hand Axe or One Hand Mace to the Colossus Machete.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2410,2008,1,1,"grant_micro","","","Attaches the Lightning Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",0,[],[],[]
2411,2006,1,1,"grant_micro","","","Your Aura becomes a Lava Effect.",[],"","Aura Skin","",[],[],0,"",0,"",1,[],[],[]
2412,2007,1,1,"grant_micro","","","Attaches the Purple Crystal Apparition Effect to your amulet",[],"","Amulet Effect","",[],[],0,"",0,"","",[],[],[]
2413,2009,1,1,"modify_portal_variation","","","This character's portals use the Sentinel Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
2414,2010,1,1,"grant_micro","","","Your Aura becomes a Stygian Effect.",[],"","Aura Skin","",[],[],0,"",0,"",1,[],[],[]
2415,2011,1,1,"grant_micro","","","Adds the Sunstone Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2416,2012,1,1,"modify_portal_variation","","","This character's portals use the Sunstone Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2417,2013,1,1,"grant_micro","","","Adds the Sunstone Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2418,2014,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Sunspire Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2419,2015,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Sunspire Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2420,2016,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Sunspire Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2421,2017,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Sunspire Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2422,2018,1,1,"grant_micro","","","Adds the Sunspire Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2423,2019,1,1,"grant_micro","","","Adds the Doomcrow Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2424,2020,1,1,"grant_micro","","","Adds the Doomcrow Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2425,2021,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Doomguard Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2426,2022,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Doomguard Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2427,2023,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Doomguard Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2428,2024,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Doomguard Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2429,2025,1,1,"grant_micro","","","Adds the Doomguard Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
2430,2026,1,1,"grant_micro","","","Your Aura becomes a Celestial Effect.",[],"","Aura Skin","",[],[],0,"",0,"","",[],[],[]
2431,2027,1,1,"grant_micro","","","Your Aura becomes a Celestial Effect.",[],"","Aura Skin","",[],[],0,"",0,"",3,[],[],[]
2432,2028,1,1,"grant_micro","","","Your Aura becomes a Celestial Effect.",[],"","Aura Skin","",[],[],0,"",0,"",3,[],[],[]
2433,2029,1,1,"grant_micro","","","Your Aura becomes a Celestial Effect.",[],"","Aura Skin","",[],[],0,"",0,"",3,[],[],[]
2434,2030,1,1,"grant_micro","","","Adds the Soulstealer Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2435,2031,1,1,"grant_micro","","","Adds the Soulstealer Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2436,2032,1,1,"grant_micro","","","Adds the Soulstealer Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2437,2033,1,1,"grant_micro","","","Adds the Soulstealer Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
2438,2034,1,1,"grant_micro","","","Changes the appearance of any equipped Bow to the Infernal Bow.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
2439,2035,1,1,"grant_micro","","","Changes the appearance of any equipped Quiver to the Infernal Quiver.",[],"","Quiver Skin","",[],[],0,"",0,"",1,[],[],[]
2440,2036,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Synthesis Crown.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
2441,2037,1,1,"grant_micro","","","Adds the Synthesis Crown Attachment to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
2442,2038,1,1,"grant_micro","","","Adds the Synthesis Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2443,2039,1,1,"grant_micro","","","Adds the Madcap Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2444,2040,1,1,"grant_micro","","","Adds the Madcap Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2445,2041,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Madcap Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2446,2042,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Madcap Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2447,2043,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Madcap Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2448,2044,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Madcap Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2449,2045,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Madcap Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2450,2046,1,1,"grant_micro","","","Changes the appearance of any equipped Dagger, Wand or Claw to the Madcap Dagger.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2451,2047,1,1,"modify_portal_variation","","","This character's portals use the Madcap Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
2452,2048,1,1,"grant_micro","","","Adds the Madcap Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
2453,2049,1,1,"grant_micro","","","Attaches the Madcap Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
2454,2050,1,1,"grant_micro","","","Your Aura becomes a Madcap Effect.",[],"","Aura Skin","",[],[],0,"",0,"",2,[],[],[]
2455,2051,1,1,"grant_micro","","","Your Phase Run becomes a Madcap Effect.",[],"","Phase Run Skin","",[],[],0,"",0,"",2,[],[],[]
2456,2052,1,1,"grant_micro","","","Adds Madcap Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
2457,2053,1,1,"grant_micro","","","Adds the Huntsman Wings back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2458,2054,1,1,"grant_micro","","","Adds the Huntsman Cloak back attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
2459,2055,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Huntsman Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2460,2056,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Huntsman Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
2461,2057,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Huntsman Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
2462,2058,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Huntsman Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
2463,2059,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Huntsman Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
2464,2060,1,1,"grant_micro","","","Changes the appearance of any equipped Dagger, Wand or Claw to the Huntsman Dagger.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
2465,2061,1,1,"modify_portal_variation","","","This character's portals use the Huntsman Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
