"rownum","Id","Text","rid","Command","Parameters","AchievementItemsKeys","bool","i32","HarvestCraftOptionIconsKeys","Description","DDSFile","bool","bool"
164,"ModCritical_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcrit>{Critical} modifier",1,"add_type_mod","critical noinfluence",[6987],"",35191,[0],"Augment a non-Influenced Magic or Rare item with a new Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
165,"ModCritical_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcrit>{Critical} modifier",1,"add_type_mod","critical noinfluence",[6987],"",60915,[0],"Augment a non-Influenced Magic or Rare item with a new Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
166,"ModCritical_4","<white>{Remove} a random <craftingcrit>{Critical} modifier from a non-Influenced item",1,"remove_type_mod","critical noinfluence",[6987],"",1121,[8],"Remove a random Critical modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
167,"ModCritical_5","<white>{Randomise} the numeric values of the random <craftingcrit>{Critical} modifiers on a Magic or Rare item",1,"reroll_type_mods","critical",[6987],"",17355,[9],"Randomise the numeric values of the random Critical modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
168,"ModCritical_6","<white>{Remove} a random <craftingcrit>{Critical} modifier from a non-Influenced item and <white>{add} a new <craftingcrit>{Critical} modifier",1,"remove_type_and_add_type_mod","critical FOR critical noinfluence",[6987],"",5040,"[8,0]","Remove a random Critical modifier from a non-Influenced item and add a new Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
169,"ModCritical_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcrit>{Critical} modifier. <craftingcrit>{Critical} modifiers are more common",1,"reroll_with_mod_with_affinity_multiplier","critical ON normal_magic_rare",[6987],"",54452,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Critical modifier. Critical modifiers are more common","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
170,"ModCritical_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcrit>{Critical} modifier with lucky values",1,"add_type_mod_lucky","critical noinfluence",[6987],"",27594,[0],"Augment a non-Influenced Magic or Rare item with a new Critical modifier with lucky values","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
171,"ZanaCraft_1","<white>{Sacrifice} a <white>{Map}. Add a free craft to your Map device",1,"sacrifice_map_for_zana_craft","FREE_CRAFT",[6987],1,36495,[],"Sacrifice a Map. Add a free craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
172,"ZanaCraft_2","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Anarchy} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapAnarchyExiles","[6987,7110]",1,32659,[],"Sacrifice a Map. Add a free Infused Anarchy craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
173,"ZanaCraft_3","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Nemesis} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapNemesisZana","[6987,7110]",1,48442,[],"Sacrifice a Map. Add a free Infused Nemesis craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
174,"ZanaCraft_4","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Domination} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapExtraShrinesCrafted","[6987,7110]",1,38113,[],"Sacrifice a Map. Add a free Infused Domination craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
175,"ZanaCraft_5","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Bloodlines} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapBloodlinesLeagueCrafted","[6987,7110]",1,16398,[],"Sacrifice a Map. Add a free Infused Bloodlines craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
176,"ZanaCraft_6","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Rampage} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapRampageLeagueCrafted","[6987,7110]",1,26607,[],"Sacrifice a Map. Add a free Infused Rampage craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
177,"ZanaCraft_7","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Ambush} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedMapExtraStrongBoxes_","[6987,7110]",1,27547,[],"Sacrifice a Map. Add a free Infused Ambush craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
178,"ZanaCraft_8","<white>{Sacrifice} a <white>{Map}. Add a free Infused <white>{Harbinger} craft to your Map device",1,"sacrifice_map_for_zana_craft","HarvestInfusedHarbingerLeagueCrafted","[6987,7110]",1,56038,[],"Sacrifice a Map. Add a free Infused Harbinger craft to your Map device","Art/2DItems/Currency/Harvest/RedSeedTier2Chieftain.dds","",""
179,"QualityChange_1","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Critical Strike Chance per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalCriticalStrikeChance__",[6987],"",40845,[],"Enchant a Weapon. Quality does not increase its Physical Damage, has 1% increased Critical Strike Chance per 4% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
180,"QualityChange_2","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Accuracy per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAccuracyRatingIncrease_",[6987],"",4183,[],"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Accuracy per 2% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
181,"QualityChange_3","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Attack Speed per 8% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalIncreasedAttackSpeed",[6987],"",8552,[],"Enchant a Weapon. Quality does not increase its Physical Damage, has 1% increased Attack Speed per 8% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
182,"QualityChange_4","<white>{Enchant} a <white>{Melee Weapon}. Quality does not increase its Physical Damage, has <enchanted>{+1 Weapon Range per 10% Quality}",2,"add_enchant_to_class","Claw Dagger One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalMeleeWeaponRange_",[6987],"",58011,[],"Enchant a Melee Weapon. Quality does not increase its Physical Damage, has +1 Weapon Range per 10% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
183,"QualityChange_5","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Elemental Damage per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityElementalDamagePercent",[6987],"",18805,[],"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Elemental Damage per 2% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
184,"QualityChange_6","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Area of Effect per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAreaOfEffect_",[6987],"",25609,[],"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Area of Effect per 4% Quality","Art/2DItems/Currency/Harvest/RedSeedTier3BrambleHulk.dds","",1
185,"QualityChange_2_1","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Life per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedLife",[6987],"",28005,[],"Enchant Body Armour. Quality does not increase its Defences, grants +1 Maximum Life per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
186,"QualityChange_2_2","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Mana per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedMana",[6987],"",40859,[],"Enchant Body Armour. Quality does not increase its Defences, grants +1 Maximum Mana per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
187,"QualityChange_2_3","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Strength per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityStrength",[6987],"",9251,[],"Enchant Body Armour. Quality does not increase its Defences, grants +1 Strength per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
188,"QualityChange_2_4","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Dexterity per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityDexterity",[6987],"",9935,[],"Enchant Body Armour. Quality does not increase its Defences, grants +1 Dexterity per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
189,"QualityChange_2_5","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Intelligence per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIntelligence_",[6987],"",2499,[],"Enchant Body Armour. Quality does not increase its Defences, grants +1 Intelligence per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
190,"QualityChange_2_6","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{1% Fire Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityFireResistance",[6987],"",17860,[],"Enchant Body Armour. Quality does not increase its Defences, grants 1% Fire Resistance per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
191,"QualityChange_2_7","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{1% Cold Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityColdResistance",[6987],"",13941,[],"Enchant Body Armour. Quality does not increase its Defences, grants 1% Cold Resistance per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
192,"QualityChange_2_8","<white>{Enchant Body Armour}. Quality does not increase its Defences, grants <enchanted>{1% Lightning Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityLightningResistance",[6987],"",27657,[],"Enchant Body Armour. Quality does not increase its Defences, grants 1% Lightning Resistance per 2% quality","Art/2DItems/Currency/Harvest/BlueSeedTier3Goatman.dds","",1
193,"UniqueExchange_2","<white>{Change} a <white>{Unique Bestiary} item or item with an Aspect into Lures of the same beast family",2,"sacrifice_bestiary_item_for_best_sextant","",[6987],1,23202,[],"Change a Unique Bestiary item or item with an Aspect into Lures of the same beast family","Art/2DItems/Currency/Harvest/BlueSeedTier3NessaCrab.dds","",""
194,"UniqueExchange_3","<white>{Change} a <white>{Harbinger Unique} or <white>{Unique Piece} into a random Beachhead Map",2,"sacrifice_harbinger_unique_or_fragment_for_beachhead","UniqueShieldStrInt10 UniqueOneHandSword25 UniqueStaff20 UniqueBelt25 UniqueQuiver13 UniqueHelmetDexInt8 UniqueOneHandSword32 UniqueBelt36 UniqueShieldStrInt14 UniqueQuiver17 UniqueHelmetDexInt14 UniqueStaff26 WEIGHTINGS 25 30 30 15 0 0 70 30 MAPS UniqueMap4_18 UniqueMap4_19 UniqueMap4_20 UniqueMap4_24","[6987,7105]",1,13670,[],"Change a Harbinger Unique or Unique Piece into a random Beachhead Map","Art/2DItems/Currency/Harvest/BlueSeedTier3NessaCrab.dds","",""
195,"MapFragmentExchange_1","<white>{Change} a <white>{Sacrifice} or <white>{Mortal Fragment} into another random Fragment of that type",1,"exchange_item_in_set_for_other_item_in_set","single HarvestSacrificeFragmentExchange single HarvestMortalSacrificeFragmentExchange","[6987,7184]",1,44410,[],"Change a Sacrifice or Mortal Fragment into another random Fragment of that type","Art/2DItems/Currency/Harvest/BlueSeedTier2ShieldCrab.dds",1,""
196,"MapFragmentExchange_2","<white>{Change} a <white>{Shaper Fragment} into another random Shaper Fragment",1,"exchange_item_in_set_for_other_item_in_set","single HarvestShaperFragmentExchange","[6987,7184]",1,12785,[],"Change a Shaper Fragment into another random Shaper Fragment","Art/2DItems/Currency/Harvest/BlueSeedTier2ShieldCrab.dds",1,""
197,"MapFragmentExchange_3","<white>{Change} an <white>{Elder Fragment} into another random Elder Fragment of that type",1,"exchange_item_in_set_for_other_item_in_set","single HarvestElderFragmentExchange","[6987,7184]",1,54634,[],"Change an Elder Fragment into another random Elder Fragment of that type","Art/2DItems/Currency/Harvest/BlueSeedTier2ShieldCrab.dds",1,""
198,"LeagueFragmentExchange_1","<white>{Change} a <white>{Pale Court Key} into another random Pale Court Key",2,"exchange_item_in_set_for_other_item_in_set","single HarvestPaleCourtFragmentExchange","[6987,7184]",1,15521,[],"Change a Pale Court Key into another random Pale Court Key","Art/2DItems/Currency/Harvest/BlueSeedTier3Rhex.dds",1,""
199,"LeagueFragmentExchange_2","<white>{Change} a stack of <white>{Breach Splinters} or a <white>{Breachstone} into Splinters or a Breachstone of another type",2,"exchange_item_in_set_for_other_item_in_set","HarvestBreachSplinterExchange HarvestBreachStoneExchange HarvestBreachStoneExchange2 HarvestBreachStoneExchange3 HarvestBreachStoneExchange4","[6987,7184]",1,45621,[],"Change a stack of Breach Splinters or a Breachstone into Splinters or a Breachstone of another type","Art/2DItems/Currency/Harvest/BlueSeedTier3Rhex.dds","",""
200,"LeagueFragmentExchange_3","<white>{Change} a stack of <white>{Timeless Splinters} or a <white>{Timeless Emblem} into Splinters or an Emblem of another type",2,"exchange_item_in_set_for_other_item_in_set","HarvestTimelessSplinterExchange HarvestTimelessEmblemExchange","[6987,7184]",1,22512,[],"Change a stack of Timeless Splinters or a Timeless Emblem into Splinters or an Emblem of another type","Art/2DItems/Currency/Harvest/BlueSeedTier3Rhex.dds","",""
201,"JewelImplicit_1","Set a new <white>{Implicit} modifier on a <white>{Cobalt, Crimson, Viridian} or <white>{Prismatic Jewel}",1,"add_harvest_implicit_to_jewel","regular",[6987],"",59974,[],"Set a new Implicit modifier on a Cobalt, Crimson, Viridian or Prismatic Jewel","Art/2DItems/Currency/Harvest/YellowSeedTier2Parasite.dds","",""
202,"JewelImplicit_2","Set a new <white>{Implicit} modifier on an <white>{Abyss Jewel} or <white>{Timeless Jewel}",1,"add_harvest_implicit_to_jewel","abyss timeless",[6987],"",56076,[],"Set a new Implicit modifier on an Abyss Jewel or Timeless Jewel","Art/2DItems/Currency/Harvest/YellowSeedTier2Parasite.dds","",""
203,"JewelImplicit_3","Set a new <white>{Implicit} modifier on a <white>{Cluster Jewel}",1,"add_harvest_implicit_to_jewel","cluster","[6987,7111]","",61956,[],"Set a new Implicit modifier on a Cluster Jewel","Art/2DItems/Currency/Harvest/YellowSeedTier2Parasite.dds","",""
204,"Synthesised_1","<white>{Synthesise} an item, giving random Synthesised implicits. Cannot be used on Unique, Influenced, Synthesised or Fractured items",3,"add_synthesized_implicits","12 3 1","[6987,7109]","",35989,[],"Synthesise an item, giving random Synthesised implicits. Cannot be used on Unique, Influenced, Synthesised or Fractured items","Art/2DItems/Currency/Harvest/YellowSeedBoss.dds","",""
205,"SocketLinks_1","<white>{Reforge} the links between sockets on an item, linking <white>{three sockets}",0,"set_socket_links_number","3",[6987],"",33916,[7],"Reforge the links between sockets on an item, linking three sockets","Art/2DItems/Currency/Harvest/BlueSeedTier1Regurgitator.dds","",""
206,"SocketLinks_2","<white>{Reforge} the links between sockets on an item, linking <white>{four sockets}",0,"set_socket_links_number","4",[6987],"",27647,[7],"Reforge the links between sockets on an item, linking four sockets","Art/2DItems/Currency/Harvest/BlueSeedTier1Regurgitator.dds","",""
207,"SocketLinks_3","<white>{Reforge} the links between sockets on an item, linking <white>{five sockets}",0,"set_socket_links_number","5",[6987],"",57741,[7],"Reforge the links between sockets on an item, linking five sockets","Art/2DItems/Currency/Harvest/BlueSeedTier1Regurgitator.dds","",""
208,"SocketLinks_4","<white>{Reforge} the links between sockets on an item, linking <white>{six sockets}",0,"set_socket_links_number","6","[6987,7108]","",26003,[7],"Reforge the links between sockets on an item, linking six sockets","Art/2DItems/Currency/Harvest/BlueSeedTier1Regurgitator.dds","",""
209,"ModDefences_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier",0,"reroll_with_mod","defences ON normal_magic_rare",[6987],"",27866,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
210,"ModDefences_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier",0,"reroll_with_mod","defences ON normal_magic_rare",[6987],"",42433,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
211,"ModDefences_2","<white>{Remove} a random <white>{non-Defence} modifier from a non-Influenced item and <white>{add} a new <craftingdefences>{Defence} modifier",0,"remove_non_type_and_add_type_mod","defences FOR defences noinfluence",[6987],"",27012,"[8,0]","Remove a random non-Defence modifier from a non-Influenced item and add a new Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
212,"ModDefences_2b","<white>{Remove} a random <white>{non-Defence} modifier from a non-Influenced item and <white>{add} a new <craftingdefences>{Defence} modifier",0,"remove_non_type_and_add_type_mod","defences FOR defences noinfluence",[6987],"",55587,"[8,0]","Remove a random non-Defence modifier from a non-Influenced item and add a new Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
213,"ModDefences_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingdefences>{Defence} modifier",0,"add_type_mod","defences noinfluence",[6987],"",59636,[0],"Augment a non-Influenced Magic or Rare item with a new Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
214,"ModDefences_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingdefences>{Defence} modifier",0,"add_type_mod","defences noinfluence",[6987],"",9802,[0],"Augment a non-Influenced Magic or Rare item with a new Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
215,"ModDefences_4","<white>{Remove} a random <craftingdefences>{Defence} modifier from a non-Influenced item",0,"remove_type_mod","defences noinfluence",[6987],"",48579,[8],"Remove a random Defence modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
216,"ModDefences_5","<white>{Randomise} the numeric values of the random <craftingdefences>{Defence} modifiers on a Magic or Rare item",0,"reroll_type_mods","defences",[6987],"",450,[9],"Randomise the numeric values of the random Defence modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
217,"ModDefences_6","<white>{Remove} a random <craftingdefences>{Defence} modifier from a non-Influenced item and <white>{add} a new <craftingdefences>{Defence} modifier",0,"remove_type_and_add_type_mod","defences FOR defences noinfluence",[6987],"",23146,"[8,0]","Remove a random Defence modifier from a non-Influenced item and add a new Defence modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
218,"ModDefences_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier. <craftingdefences>{Defence} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","defences ON normal_magic_rare",[6987],"",49328,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Defence modifier. Defence modifiers are more common","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
219,"ModDefences_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingdefences>{Defence} modifier with Lucky values",0,"add_type_mod_lucky","defences noinfluence",[6987],"",19626,[0],"Augment a non-Influenced Magic or Rare item with a new Defence modifier with Lucky values","Art/2DItems/Currency/Harvest/BlueSeedTier1Rhoa.dds","",""
220,"ModLightning_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier",0,"reroll_with_mod","lightning ON normal_magic_rare",[6987],"",60131,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
221,"ModLightning_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier",0,"reroll_with_mod","lightning ON normal_magic_rare",[6987],"",17082,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
222,"ModLightning_2","<white>{Remove} a random <white>{non-Lightning} modifier from a non-Influenced item and <white>{add} a new <craftinglightning>{Lightning} modifier",0,"remove_non_type_and_add_type_mod","lightning FOR lightning noinfluence",[6987],"",18375,"[8,0]","Remove a random non-Lightning modifier from a non-Influenced item and add a new Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
223,"ModLightning_2b","<white>{Remove} a random <white>{non-Lightning} modifier from a non-Influenced item and <white>{add} a new <craftinglightning>{Lightning} modifier",0,"remove_non_type_and_add_type_mod","lightning FOR lightning noinfluence",[6987],"",35730,"[8,0]","Remove a random non-Lightning modifier from a non-Influenced item and add a new Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
224,"ModLightning_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglightning>{Lightning} modifier",0,"add_type_mod","lightning noinfluence",[6987],"",30756,[0],"Augment a non-Influenced Magic or Rare item with a new Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
225,"ModLightning_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglightning>{Lightning} modifier",0,"add_type_mod","lightning noinfluence",[6987],"",29465,[0],"Augment a non-Influenced Magic or Rare item with a new Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
226,"ModLightning_4","<white>{Remove} a random <craftinglightning>{Lightning} modifier from a non-Influenced item",0,"remove_type_mod","lightning noinfluence",[6987],"",13230,[8],"Remove a random Lightning modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
227,"ModLightning_5","<white>{Randomise} the numeric values of the random <craftinglightning>{Lightning} modifiers on a Magic or Rare item",0,"reroll_type_mods","lightning",[6987],"",14602,[9],"Randomise the numeric values of the random Lightning modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
228,"ModLightning_6","<white>{Remove} a random <craftinglightning>{Lightning} modifier from a non-Influenced item and <white>{add} a new <craftinglightning>{Lightning} modifier",0,"remove_type_and_add_type_mod","lightning FOR lightning noinfluence",[6987],"",11384,"[8,0]","Remove a random Lightning modifier from a non-Influenced item and add a new Lightning modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
229,"ModLightning_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier. <craftinglightning>{Lightning} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","lightning ON normal_magic_rare",[6987],"",45001,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Lightning modifier. Lightning modifiers are more common","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
230,"ModLightning_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglightning>{Lightning} modifier with Lucky values",0,"add_type_mod_lucky","lightning noinfluence",[6987],"",22569,[0],"Augment a non-Influenced Magic or Rare item with a new Lightning modifier with Lucky values","Art/2DItems/Currency/Harvest/BlueSeedTier1Sandspitter.dds","",""
231,"ModChaos_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier",0,"reroll_with_mod","chaos ON normal_magic_rare",[6987],"",21579,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
232,"ModChaos_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier",0,"reroll_with_mod","chaos ON normal_magic_rare",[6987],"",665,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
233,"ModChaos_2","<white>{Remove} a random <white>{non-Chaos} modifier from a non-Influenced item and <white>{add} a new <craftingchaos>{Chaos} modifier",0,"remove_non_type_and_add_type_mod","chaos FOR chaos noinfluence",[6987],"",64939,"[8,0]","Remove a random non-Chaos modifier from a non-Influenced item and add a new Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
234,"ModChaos_2b","<white>{Remove} a random <white>{non-Chaos} modifier from a non-Influenced item and <white>{add} a new <craftingchaos>{Chaos} modifier",0,"remove_non_type_and_add_type_mod","chaos FOR chaos noinfluence",[6987],"",3343,"[8,0]","Remove a random non-Chaos modifier from a non-Influenced item and add a new Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
235,"ModChaos_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingchaos>{Chaos} modifier",0,"add_type_mod","chaos noinfluence",[6987],"",27722,[0],"Augment a non-Influenced Magic or Rare item with a new Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
