"rownum","GroundEffectTypesKey","i32","i32","rid","f32","[i32]","bool","AOFile","[string]","EndEffect","rid","rid","rid","rid","rid","bool","bool","bool","rid","rid","bool","bool","bool","rid"
235,8,1002,2,2046,450,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
236,8,1003,1,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Siren/WaterGeyserGroundEffect.ao""]","[""merv_geyser_loop""]","merv_geyser_end","","","","","","","","","","",1,"","",""
237,8,1004,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
238,8,1005,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
239,8,1006,2,"",380,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Sudoku/calamity_of_frost.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
240,8,1007,2,2046,400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
241,8,1008,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/ScreecherMiniboss/teleport_cold_degen.ao""]","[""startLoop""]","end","","","","","","","","","","","","","",""
242,8,1009,2,"",150,[],"","[""Metadata/Effects/Spells/cold_frozen_vortex/frozen_vortex_01.ao""]","[""loop_01""]","fadeout_01","","","","","","","","","","","","","",""
243,8,1010,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/BitterGuy_Boss/ice_skill.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"","",""
244,8,1011,2,"",385,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/ice/chilled_ground/ao/calamity_of_frost_instant.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
245,26,0,2,"",800,[],1,"[""Metadata/Effects/Spells/ground_effects/vaal_cold_snap/VaalColdSnapGroundEffect.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
246,18,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_boss/final/crown_of_thorns/anger_ground.ao""]","[""loop""]","fadeout","",63,"","","","","","","","","","","",""
247,18,1000,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/corruption_grd.ao""]","[""idle""]","end",2137,154,"","","","","","","","","","","",""
248,18,1001,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/RootedGuys/RootedGuy05/RootPrison/degen_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
249,27,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/torch/oil_ground.ao""]","[""loop""]","fadeout","",71,"","","","",1,"",1423,"","","","",""
250,27,1,2,1424,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/tar_zombie_oil_ground.ao""]",[],"fadeout_fire","","","","","","",1,"",1425,"","","","",""
251,27,1000,2,1424,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGuardBombThrower/oil_ground.ao""]",[],"fadeout_fire","",476,"","","","",1,"",1425,"","","","",""
252,27,2000,2,"",180,[],1,"[""Metadata/Effects/Spells/crossbow_oilgrenade/grd_Oil.ao""]","[""loop""]","fadeout","",475,"","","","",1,"",1423,"","","","",""
253,27,2001,2,"",230,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/RudjaDreadEngineer/tar_GRDZONE.ao""]","[""loop""]","fadeout","",476,"","","",1,1,"",1423,"","",1,"",""
254,27,2002,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGuardBombThrower/grd_Oil.ao""]","[""loop""]","fadeout","",477,"","","","",1,"",1423,"","","","",""
255,28,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/scorched/scorched_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
256,29,0,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/brain/void_zone/rig.ao""]","[""loop""]","fadeout","",40,"","","","",1,"","","","","","",""
257,30,0,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
258,30,1,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1697,"","","","","","","","","","","","",""
259,30,2,2,"",135,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Touching_Tentacle_Orb/lightning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
260,31,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/brittle/brittle_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
261,32,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/sapping/sapping_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
262,33,0,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","",112,"","","","","","","","","","",""
263,33,1000,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/WormsKing/ao/MaggotGround.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
264,34,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/LyciaBoss/ao/degen_area.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"",1,""
265,34,1,2,"",180,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheSentinels/bloodpool1.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",1,""
266,35,0,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_flames.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
267,36,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_plagues.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
268,37,0,2,"",167,[],"","[""Metadata/Effects/Spells/monsters_effects/Gallows/Act1/LivingBlood/LivingBlood.ao""]","[""idle""]","fadeout","","","","","","","","","","","","","",""
269,38,0,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/FungalArtillery/ao/fungal_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","",1,"",""
270,40,0,2,"",200,[],"","[""Metadata/Effects/Spells/grd_Zones/grd_Jagged01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
271,41,0,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd.ao""]","[""idle""]","fadeout","","",463,"","","","","","","",1,1,"",""
272,41,1,2,2070,150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/SulphurBoss/ao/gas_degen.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
273,41,1000,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/RootedGuys/RootedGuy01/spores_degen.ao""]","[""idle""]","fadeout",2198,"","","","","","","","","","","","",""
274,41,1001,2,2047,350,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/MutantBird/ao/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
275,41,1002,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/GoblinGiantBoss/ao/vomit_grd_instant.ao""]","[""idle""]","fadeout",2270,"",469,"","","","","","","","",1,"",""
276,41,1003,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FountainStatue/black_goop_grd.ao""]","[""idle""]","fadeout",2270,"",469,"","","","","","","",1,1,"",""
277,42,0,2,2173,160,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/corrupting_blood.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
278,43,0,2,"",200,[],"","[""Metadata/Effects/Spells/crossbow_toxic_grenade/toxic_cloud.ao""]","[""toxic_cloud""]","end","","","","","","","","","","","","","",8104
279,44,1000,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/BlackStrider/webbed_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
