"rownum","BaseItemTypesKey","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","Scroll","rid","[rid]","[i32]","i32","string","i32","[rid]","[rid]","[string]","bool","string","bool","bool"
939,3539,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Map Area\r\n150% more Rare Elder Items found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Map Area\r\n30% more Rare Elder Items found in Area","",""
940,3540,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Shaper Influence outcome to Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Shaper Influence outcome to Area","",""
941,3541,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Adds Elder Influence outcome to Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Adds Elder Influence outcome to Area","",""
942,3543,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Tier 14+ Maps found in Area have a chance to drop as Shaper Guardian, Elder Guardian, Conqueror or Unique Synthesised Maps instead",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Tier 14+ Maps found in Area have a chance to drop as Shaper Guardian, Elder Guardian, Conqueror or Unique Synthesised Maps instead","",""
943,3542,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Influenced Monster Packs in Area have 40% increased Pack Size",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Influenced Monster Packs in Area have 40% increased Pack Size","",""
944,3544,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 20% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
945,3545,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 40% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
946,3546,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 60% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
947,3547,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\r\nMap owner gains 100% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
948,3548,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains Niko\nMap owner gains 150% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains Niko\nMap owner gains 150% more Sulphite","",""
949,3549,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Map owner gains 150% more Sulphite",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Map owner gains 150% more Sulphite","",""
950,3550,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Sulphite found in Map Area releases Enraging Fumes\nMonsters affected by Enraging Fumes have 50% increased Item Quantity\nSulphite in your maps is guarded by Monsters from the Azurite Mine",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Sulphite found in Map Area releases Enraging Fumes\nMonsters affected by Enraging Fumes have 50% increased Item Quantity\nSulphite in your maps is guarded by Monsters from the Azurite Mine","",""
951,3551,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","50% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
952,3552,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","100% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
953,3553,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","150% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
954,3554,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","250% more Divination Cards found in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","","",""
955,3555,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 8 to 12 additional packs of Doedre's Devoted\nDoedre's Devoted have 1% additional chance to drop a Stacked Deck",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"DISABLED","",""
956,3557,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Divination Cards which drop in Area are stolen by a Final Map Boss\nThat Final Map Boss becomes more Difficult and deals\nincreased Damage the more Divination Cards they have stolen\nThat Final Map Boss duplicates all stolen Divination Cards when defeated",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"DISABLED","",""
957,3556,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Packs of Magic Monsters that\nhave 800% increased chance to drop Divination Cards",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"DISABLED","",""
958,3558,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area is haunted by 3 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area is haunted by 3 additional Tormented Spirits","",""
959,3559,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area is haunted by 5 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area is haunted by 3 additional Tormented Spirits","",""
960,3560,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area is haunted by 7 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area is haunted by 3 additional Tormented Spirits","",""
961,3561,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area is haunted by 12 additional Tormented Spirits",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area is haunted by 3 additional Tormented Spirits","",""
962,3562,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area is haunted by 3 additional Tormented Spirits\nTormented Spirits in Area have a 25% chance to\nbe set free when Possessed Monsters are slain",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area is haunted by 2 additional Tormented Spirits\nTormented Spirits in Area have a 25% chance to\nbe set free when Possessed Monsters are slain","",""
963,3563,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Tormented Spirits in Area are replaced with unusual variants",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Tormented Spirits in Area are replaced with unusual variants","",""
964,3564,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Tormented Spirits in Area have a 25% chance to\nbe set free when Possessed Monsters are slain",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Tormented Spirits in Area have a 25% chance to\nbe set free when Possessed Monsters are slain","",""
965,3565,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Rare Monsters in Area have a quarter chance to be Possessed by up to 1 Tormented Spirit",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Rare Monsters in Area have a quarter chance to be Possessed by up to 1 Tormented Spirit","",""
966,3566,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","",""
967,3567,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 4 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","",""
968,3568,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 5 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","",""
969,3569,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 9 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 3 additional Strongboxes","",""
970,3570,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 5 additional Strongboxes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Strongboxes","",""
971,3571,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","15% Chance for Strongboxes in Area to be openable again",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"15% Chance for Strongboxes in Area to be openable again","",""
972,3572,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","75% Increased effect of Explicit Modifiers on Strongboxes in Area",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"75% Increased effect of Explicit Modifiers on Strongboxes in Area","",""
973,3573,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains many additional Strongboxes\nArea's inhabitants are lying in ambush",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains many additional Strongboxes\nArea's inhabitants are lying in ambush","",""
974,3574,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Strongboxes in Area are more likely to be rarer varieties",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Strongboxes in Area are more likely to be rarer varieties","",""
975,3575,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","",""
976,3576,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","",""
977,3577,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 4 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","",""
978,3578,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 7 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Harbingers","",""
979,3579,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 3 additional Harbingers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 1 additional Harbinger","",""
980,3580,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Harbingers in Area spawn Empowered Obelisks\nEmpowered Obelisks drop Currency Shards when defeated",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Harbingers in Area drop a single type of currency shard","",""
981,3582,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Currency shards dropped by Harbingers in Area are duplicated",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Currency shards dropped by Harbingers in Area have a 25% chance to be duplicated","",""
982,3581,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Harbingers in Area have a 50% chance to be replaced by a powerful Harbinger Boss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Harbingers in Area have a 50% chance to be replaced by a powerful Harbinger Boss","",""
983,3583,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","",""
984,3584,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 25% increased number of Runic Monster Markers\r\n20% increased number of Explosives",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","",""
985,3585,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 50% increased number of Runic Monster Markers\r\n20% increased number of Explosives",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","",""
986,3586,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Expedition Encounter\r\nArea contains 50% increased number of Runic Monster Markers\r\n20% increased number of Explosives\r\nRemnants in area have an additional Suffix",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Expedition Encounter","",""
987,3587,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an Expedition Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","Area contains an Expedition Encounter","",""
988,3588,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Expedition Encounters in Area have 100% increased\nnumber of Runic Monster Markers",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","Expedition Encounters in Area have 100% increased\nnumber of Runic Monster Markers","",""
989,3589,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Expedition Encounters in Area have 20% increased number of Explosives\n80% increased Explosive Radius",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","Expedition Encounters in Area have 20% increased number of Explosives\n80% increased Explosive Radius","",""
990,3591,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Remnants in Expedition Encounters in Area have 2 additional Suffixes and Prefixes",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","Remnants in Expedition Encounters in Area have 1 additional Suffix and Prefix","",""
991,3590,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Expedition Encounters in Area are lead by Dannig",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],"","Expedition Encounters in Area are lead by Dannig","",""
992,3592,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","",""
993,3593,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter\r\nEach Legion contains a War Hoard",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","",""
994,3594,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter\r\nEach Legion contains a War Hoard\r\nEach Legion is accompanied by a General",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","",""
995,3595,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Legion Encounters\r\nEach Legion contains a War Hoard\r\nEach Legion is accompanied by a General",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","",""
996,3596,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Legion Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Legion Encounter","",""
997,3597,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Legion Factions in Area have 5 additional Sergeants",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Legion Factions in Area have 2 additional Sergeants","",""
998,3598,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Legion Factions in Area are accompanied by a General",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Legion Factions in Area are accompanied by a General","",""
999,3599,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Legion Encounters in Area always contain the Maraketh Faction",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Legion Encounters in Area always contain the Maraketh Faction","",""
1000,3600,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Legion Monsters in Area can be broken out of Stasis multiple times\nLegion Monsters in Area gain increased Difficulty and Reward for each time they are broken out",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Legion Monsters in Area can be broken out of Stasis multiple times\nLegion Monsters in Area gain increased Difficulty and Reward for each time they are broken out","",""
1001,3601,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an Ultimatum Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an Ultimatum Encounter","",""
1002,3602,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an Ultimatum Encounter\r\nUltimatum Monsters grant 100% increased Experience",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an Ultimatum Encounter","",""
1003,3603,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an Ultimatum Encounter\r\nUltimatum Monsters grant 100% increased Experience\r\nUltimatum Encounters grant rewards as though you completed an additional Round",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an Ultimatum Encounter","",""
1004,3604,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an Ultimatum Encounter\r\nUltimatum Monsters grant 200% increased Experience\r\nUltimatum Encounters grant rewards as though you completed 2 additional Rounds",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an Ultimatum Encounter","",""
1005,3605,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","",""
1006,3606,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","",""
1007,3607,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss\r\n50% chance for Blight Chests to contain an additional Reward",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","",""
1008,3608,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains a Blight Encounter\r\nBlight Encounters contain an additional Blight Boss\r\n50% chance for Blight Chests to contain an additional Reward\r\nLanes of Blight Encounters in Areas have an additional Reward Chest",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains a Blight Encounter","",""
1009,3609,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","",""
1010,3610,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss\r\nAbysses in Area spawn 50% increased Monsters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","",""
1011,3611,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss\r\nAbysses in Area spawn 50% increased Monsters\r\nAbysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","",""
1012,3612,10,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Abysses\r\nAbysses in Area spawn 50% increased Monsters\r\nAbysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","",""
1013,3613,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Abyss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Abyss","",""
1014,3614,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Abysses in Area spawn 75% increased Monsters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Abysses in Area spawn 75% increased Monsters","",""
1015,3615,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Abysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire\nAbysses in Area spawn Hoards as they travel",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Abysses in Area that do not lead to an Abyssal Depths lead to a Stygian Spire\nAbysses in Area spawn Hoards as they travel","",""
1016,3616,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Rare Abyss Monsters in Area have a 50% chance to drop\nan additional Rare item with an Abyssal socket",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"DISABLED","",""
1017,3617,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Monsters from Abysses in Areas have increased Difficulty and Reward for\neach prior Pit in that Abyss",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Monsters from Abysses in Areas have increased Difficulty and Reward for\neach prior Pit in that Abyss","",""
1018,3618,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 4 additional Rogue Exiles",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Rogue Exiles","",""
1019,3619,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Wild Rogue Exiles in Area have a 30% chance to be replaced with a Rogue Giant",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Wild Rogue Exiles in Area have a 30% chance to be replaced with a Rogue Giant","",""
1020,3620,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Wild Rogue Exiles in Area have a 50% chance to appear in pairs",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Wild Rogue Exiles in Area have a 50% chance to appear in pairs","",""
1021,3621,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Imprisoned Monsters",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Imprisoned Monster","",""
1022,3622,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Essences found in Area are a tier higher",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Essences found in Area are a tier higher","",""
1023,3624,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Rare monsters that are natural inhabitants of the Area are imprisoned by Essences",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Rare monsters that are natural inhabitants of the Area are imprisoned by Essences","",""
1024,3623,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Using a Remnant of Corruption in Area can only result in\nupgrading or transforming Essences",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Using a Remnant of Corruption in Area can only result in\nupgrading or transforming Essences","",""
1025,3625,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Imprisoned Monsters released in Areas grant a random Essence Modifier to another Imprisoned Monster in the Area\nImprisoned Monsters in Areas have increased Difficulty and Reward for\neach Essence Modifier",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Imprisoned Monsters released in Areas grant a random Essence Modifier to another Imprisoned Monster in the Area\nImprisoned Monsters in Areas have increased Difficulty and Reward for\neach Essence Modifier","",""
1026,3627,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Apparition Shrines",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Apparition Shrine","",""
1027,3628,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains an additional Evolving Shrine",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains an additional Evolving Shrine","",""
1028,3626,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains 2 additional Shrines",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains 2 additional Shrines","",""
1029,3629,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Shrines in Area are guarded by an Atlas Boss\nModifiers to the Final Map Boss also apply to these Atlas Bosses",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Shrines in Area are guarded by an Atlas Boss\nModifiers to the Final Map Boss also apply to this Atlas Boss","",""
1030,3630,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Rerolling Favours at Ritual Altars in Area has no cost the first 2 times\nRitual Altars in Area allow rerolling Favours 1 additional time",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Rerolling Favours at Ritual Altars in Area has no cost the first 2 times\nRitual Altars in Area allow rerolling Favours 1 additional time","",""
1031,3631,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Ritual Altars in Area spawn a Wildwood Wisp\nWildwood Wisps grant 70% increased Tribute Gained to nearby Players",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Ritual Altars in Area spawn a Wildwood Wisp\nWildwood Wisps grant 50% increased Tribute Gained to nearby Players","",""
1032,3632,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Rituals in Area offer 100% increased Favours",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Rituals in Area offer 100% increased Favours","",""
1033,3633,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Area contains the Sacred Grove",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Area contains the Sacred Grove","",""
1034,3635,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","If Area contains the Sacred Grove, it will contain up to 1 additional Tier 4 seed of each type, if possible",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"If Area contains the Sacred Grove, it will contain up to 1 additional Tier 4 seed of each type, if possible","",""
1035,3634,20,3,"","Can be used in a personal Map Device to add modifiers to a Map.","","Lifeforce dropped by Harvest Monsters in Area is duplicated\nHarvest Monsters in Area have 100% more Life",[],"","",[],[],5000,"Can be used in a personal Map Device to add modifiers to a Map.",0,[],[],[],1,"Lifeforce dropped by Harvest Monsters in Area is duplicated\nHarvest Monsters in Area have 100% more Life","",""
